Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,53.25,59.6,1.4,10.2,,,,,75.95,5.9,63.73,0.91,3.15,60.13,1.47,,0.38,0.45,44.02,1.41,78.33,59.38,26.65,4.45,0.56,,,0.91,999.44,19.72,,7.08,5.16,1.13,1.18,0.1,0.36,,,0.91,13.8,,,4.06,33.45,11.35,1.6,,,,,2.02,2.17,,,,0.76,,,,,,,,,,21.34,,,1.72,2.24,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,66.55,,10.4,,,,,597.78,27,71.3,,,67.49,0.68,,0.33,0.22,14.39,0.57,21.4,22.29,13.62,16.51,,,,,16.92,16.92,,6.25,4.59,0.71,0.75,5.91,,,,,7.11,,,4,16.09,20.34,1.4,,,0.51,,5.17,,43.61,13.24,,0.18,,,,,,,0.46,,,4.19,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.24,12.53,,,8,8696254174.0,Airlines,Transportation
AAON,74.07,67.6,,26.3,8.1,29.5,31.8,,20.3,29.5,62.97,0.36,46.39,66.81,31.13,,,,133.46,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.74,36.09,105.97,,,,9.03,2.24,0.77,8.52,0.95,0.24,45.32,20.39,19.72,15.07,79.69,35.65,94.37,,,15.78,,20.14,13.61,58.79,58.79,2.34,9.22,,3.19,9.39,,108.33,6.66,1.8,,55.84,45.85,69.84,2.35,9.05,17,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,116.82,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,45.08,3.6,,26,,,,,8.9,36.6,56.65,,43.79,1.88,,0.08,0.12,37.69,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.65,27.05,10.68,25.59,23.72,9.48,0.5,0.45,3.7,0.21,1.77,9.72,2.65,14.15,6.07,80.43,,119.11,40.02,2.38,,,0.36,,1.55,0.87,51.63,48.32,,0.18,,,,,10.3,1.74,0.16,,,5.41,73.33,,0.36,1.42,0.62,0.36,4.12,2.95,1.7,,1.76,,4.95,5.19,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.38,46.17,2.7,,4.9,6.2,6.4,8.6,,5.4,44.87,0.58,23.26,45.02,8.66,,0.37,0.61,225.0,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.94,25.56,31.64,26.03,24,8.24,8.8,3.58,0.16,27.83,3.2,0.44,30.43,18.31,11.58,6.93,187.47,46.21,,,,23.97,,31.51,59.73,37.01,33.33,2.1,8.87,,1.4,1.56,,31.9,9.41,1.95,,,29.35,34.17,2.12,2.48,59.68,0.83,26.93,278.63,59.87,140.28,,32.51,,3.38,48.85,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,39.58,45.48,,,9.7,8.1,22.2,18.4,28.45,8.5,28.32,6.07,22.86,40.1,0.77,,4.87,0.25,27.0,5.78,,148.94,6.31,7.97,1.8,,1.38,4.94,22.71,12.12,23.93,,,,7.1,4.4,0.35,29.66,8.24,4.96,37.5,9.08,,2.94,26.46,63.33,1.92,,,16.36,,28.14,1.39,27.84,27.84,12.1,4.52,,2.41,1.32,11.28,15.24,1.32,0.59,,,10.06,18.53,,1.19,1.41,5.78,2.43,683.81,4.81,6.24,,4.5,,,32.74,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,45.91,,8.7,,,,,,,34.98,,,42.46,1.76,,8.08,9.01,2.65,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.4,,0.77,,,,,,,,1.03,,,,,,,,0.73,,,,23.45,,,,,,,,2.39,1.83,,,,,0.8,9.34,,,,,,,,1.14,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,43.63,,2.2,20.8,5.4,3.2,9.8,60.73,11,47.6,10.85,,44.51,3.67,,0.59,6.19,2.21,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.83,9.16,6.87,8.79,8.31,6.37,2.02,2.2,10.92,0.67,25.25,10.38,6.83,11.76,15.94,3.93,6.4,2.75,50.98,7.91,,,16.92,,23.87,2.03,14.28,13.98,2.85,2.43,,,,,9.69,1.66,0.46,,,7.66,10.36,1.69,0.71,4.42,0.9,10.03,70.19,19.21,15.52,,15.33,,6.16,12.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,28.5,50.87,2,8.4,5.9,40.8,24.6,,23.18,11.1,34.66,2,15.62,46.42,2.96,,0.07,0.06,55.01,1.38,,,56.6,3.53,0.8,,0.26,1.64,15.83,11.67,17.69,12.03,9.7,0.58,0.58,6.32,0.36,3.3,7.9,1.64,15.01,26.12,,1.62,51.5,,3.58,,,1.89,,3.62,1.88,22.73,15.85,0.98,0.43,,0.86,1.12,,12.94,,1.08,,,10.52,15.91,0.79,0.95,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.28,28.57,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,3.83,46.87,,38.3,,,,,322.31,8,38.39,,,43.43,4.61,,0.99,4.98,132.5,1.62,,33.1,6.78,0.96,0.27,,,,32.17,31.36,17.93,20.96,20.62,6,6.81,3.11,0.38,37.96,4.97,,29.9,,,10.69,165.87,83.07,22.92,,,16.96,,15.01,9.79,46.49,46.49,,7.93,,,,,20.92,4.72,,,17.93,20.92,35.07,,,10.78,1.62,7.98,839.68,21.23,22.05,,19.8,,4.17,,,,2,92399740712.0,Other Consumer Services,Consumer Services
