Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,1.25,62.27,1.5,7.9,7.7,13.5,33.2,24.7,10.5,52.37,0.94,19.66,60.66,6.93,1.08,0.68,146.09,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.92,26.05,26.7,26.56,23.29,6.41,6.54,3.23,0.57,24.48,3.85,0.64,26.63,16.4,9.5,3.58,142.53,50.56,14.22,,18.35,,19.42,6.92,34.78,28.53,2.38,6.38,,0.91,1.63,,26.17,5.53,1.29,,,21.96,32.13,2.05,2.21,24.07,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,49.69,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,61.71,1.4,10.2,,,,,5.9,72.59,1.26,,66.8,1.02,0.31,0.49,31.03,1.45,86.07,58.94,24.77,12.36,0.45,,,1.26,,41.53,,16.02,5.95,0.6,0.61,,0.3,,,1.26,70.3,,,,40.33,7,,,,,,1.3,,,,0.53,,,,,,,,,,60.74,,,1.08,1.36,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,4.72,40.92,,10.4,,,,,27,33.87,,11.67,35.67,0.76,0.34,0.19,14.11,0.62,20.89,20.46,14.17,12.45,,,,,12.93,12.93,34.98,10.86,6.75,0.76,0.8,7.73,,2.29,13.06,,5.29,,17.44,4.15,19.68,22.37,1.87,,1.56,,7.6,,12.83,6.19,,0.18,,,,,7.06,,0.41,,,2.46,,,,,0.51,1.25,8.53,7.75,,,4.5,,32.04,9.47,,,8,8696254174.0,Airlines,Transportation
AAON,41.55,58.27,,26.3,8.1,29.5,31.8,,29.5,68.05,0.59,38.49,59.06,22.88,,0.01,82.93,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.39,29.72,24.66,137.17,,,,5.8,3.36,0.78,4.23,0.73,0.39,,20.49,,,80.47,34.15,46.97,,15.2,,19.47,9.19,38.84,38.84,1.55,5.94,,2.14,12.16,,140.23,4.47,1.2,,33.31,43.52,79.15,1.8,6.79,11.55,1.54,19.75,39.21,30.05,27.34,,22.64,,0.51,82.89,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,81.53,3.6,,26,,,,8.9,92.79,57.29,10.88,87.2,1.87,0.09,0.13,84.19,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.68,79.33,20.31,186.11,21.85,12.1,0.74,0.74,1.26,0.21,0.4,0.9,1.2,22.34,8.26,14,1.34,196.18,40.1,1.14,,0.17,,0.89,1.99,113.77,113.77,,0.42,,,,,113.47,5.21,0.39,,,17.52,,,0.7,5.36,0.29,0.15,2.06,1.5,0.72,,1.49,,,10.96,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,17.62,40.16,2.9,1.3,5.7,20.9,23.2,14.6,15.7,54.6,0.76,2.44,43.7,8.01,0.55,0.68,173.71,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.55,22.23,20.32,25.26,22.4,20.5,6.95,7,4.5,0.21,27.71,3.98,0.55,26.64,21.43,12.46,2.63,178.42,45.03,40.5,,26.16,,30.76,36.27,27.06,27.06,1.6,7.07,,1.12,1.21,,25.53,6.6,1.78,,,23.45,27.08,1.48,2.02,36.27,1.02,29.33,279.4,57.36,159.97,,34.58,,3.81,40.97,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,25.17,43.42,,,9.7,8.1,22.2,18.4,8.5,44.93,7.67,6.76,43.57,0.62,0.84,0.05,21.11,1.94,,145.67,6.48,6.84,1.43,,1.57,6.24,22.3,11.66,27.6,,,,6.62,4.48,0.4,23.98,8.23,6.31,,6.41,,,33.1,62.84,1.88,,14.66,,27.6,1.07,25.13,25.13,10.93,3.64,,2.18,1.32,9.5,15.19,1.1,0.47,,,8.57,17.29,,0.98,1.09,1.94,2.15,576.18,4.53,5.34,,4.22,,3.33,27.42,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,15.09,55.14,,,7.8,9.6,49.1,7.4,3.8,43.82,5.42,15.3,50.38,2.07,0.34,0.22,178.49,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.32,42.58,21.01,16.35,14.2,13.76,6.62,6.64,2.35,0.08,40.62,7,3.46,16.02,26.34,32.5,1.15,137.79,62.42,6.09,,8.95,,24.92,30.41,65.38,20.14,1.3,5.83,,0.9,0.47,,14.39,,1.33,,,13.9,24.57,0.98,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.87,39.49,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,41.96,,2.2,20.8,5.4,3.2,9.8,11,37,9.58,,40.82,3.28,0.4,4.67,2.51,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6.03,10.28,7.56,9.95,8.72,6.58,2.16,2.3,9.73,0.6,23.91,9.69,6.03,13.62,14.22,,5.85,3.25,50.72,6.73,,18.19,,23.76,2.54,13.57,12.87,2.63,2.52,,,,,10.73,1.93,0.44,,,8.11,12.26,2.06,0.76,6.44,0.67,10.71,61.69,18.14,17.21,,17.86,,5.68,12.55,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,10.64,47.15,,50.3,,28.2,37.8,,24,47.1,,,46.89,2.57,0.02,0.01,208.27,1.06,37.87,13.72,8,5.3,1.69,,,,10.05,9.39,56.9,10.21,9.42,0.55,0.66,9.95,0.32,1.15,4.02,,6.43,31.65,13.9,11.75,241.97,18.62,6.47,,4.07,,7.23,1.31,7.28,6.38,0.2,0.3,,0.2,2.29,,26.39,,1.01,,,14.16,82.63,0.26,0.48,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.3,12.04,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,58.36,2,8.4,5.9,40.8,24.6,,11.1,66.86,2.52,,61.94,2.94,0.05,0.04,42.8,1.48,,,60.22,2.73,0.8,,0.27,2.06,9.79,7.64,15.57,10.68,8.38,0.5,0.5,10.21,0.37,3.2,9.66,2.1,12.95,25.34,,1.9,52.03,,4.92,,3.15,,5.04,1.49,10.95,13.25,0.82,0.34,,0.72,0.94,,10.78,,0.88,,,8.99,9.79,0.72,0.78,,1.48,5.21,63.86,11.09,14.3,,7.6,,,22.77,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,29.08,56.46,,38.3,,,,,8,46.79,,6.99,53.87,5.9,1.01,4.37,161.84,1.66,,30.09,8.04,1.03,0.28,,,,43.32,42.46,24.56,28.16,23.88,8.5,9.54,2.31,0.4,38.86,3.73,,35.39,,3.58,13,164.95,82.83,18.29,,48.32,,15.31,12.65,22.36,22.36,,10.8,,,,,27.95,3.73,,,25.61,27.73,19.13,,,14,1.66,24.12,820.81,23.88,72.17,,67.71,,2.25,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,17.52,35.47,0.7,6.3,12.3,6.8,21.3,,5.8,12.52,3.4,12.88,25.89,5.24,0.53,0.47,112.44,1.64,133.76,86.26,57.28,1.48,0.41,,0.49,1.82,28.59,19.8,41.26,22.55,19.57,4.98,5.2,3.5,0.53,12.61,2.59,1.91,24.47,16.05,0.9,1.81,106.89,55.19,10.17,,14.27,,16.15,5.05,34.49,27.01,2.35,4.86,,1,2.01,,38.84,6.19,1.21,,,27.09,40.39,2.08,1.81,31.94,1.16,7.8,72.21,12.35,15.31,,10.58,,2.79,43.08,,,10,176555322492.0,Medical Specialties,Health Technology
