Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,20.1,48.58,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,38.31,1.01,,44.28,6.03,,0.74,0.61,138.09,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,24.95,21.63,28.63,24.35,21.29,5.94,6.25,4.01,0.54,21.81,3.57,0.68,24.41,15.68,4.91,2.34,133.74,54.39,17.3,,,21.75,,22.9,6.73,28.65,26.5,2.21,6.23,,0.77,1.64,,28.61,5.5,1.24,,,22.68,28.51,2.06,2.12,25.67,1.37,13.03,74.15,18.1,23.78,,16.15,,3.26,44.55,,,10,33913792728.0,Medical Specialties,Health Technology
AA,8.75,35.6,1.4,10.2,,,,,75.95,5.9,25.64,1.38,2.38,31.96,1.14,,0.44,0.55,28.97,1.55,79.98,58.53,26.31,10.94,0.65,,,1.38,,36.58,,6.97,4.45,0.79,0.8,,0.27,,,1.38,10.43,,,2.67,39.47,8.14,,,,,,,1.33,,,,0.49,,,,,,,,,,15.74,,,1.28,1.4,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,67.19,,10.4,,,,,597.78,27,90.28,,,77.32,0.66,,0.34,0.21,11.22,0.6,20.92,21.96,14.01,19.76,,,,,19.09,19.09,,10.22,6.1,0.68,0.71,5.24,,,,,6.22,,,4.03,16.58,20.23,1.4,,,,,5.34,,,11.6,,0.14,,,,,,,0.34,,,3.61,,,,,0.5,,5.17,4.89,,,12.18,,44.02,8.37,,,8,8696254174.0,Airlines,Transportation
AAON,32.18,47.05,,26.3,8.1,29.5,31.8,,20.3,29.5,38.11,0.56,6.02,42.9,18.99,,,,88.52,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.37,29.55,24.22,70.06,,,,6.02,3.38,0.73,8.59,1.43,0.37,31.8,20.56,18.09,11.33,78.6,36.27,88.05,,,15.61,,20.32,9.68,39.91,39.91,1.59,6.16,,2.01,5.79,,72.3,4.67,1.22,,46.84,32.66,51.01,1.59,6.51,12.29,1.7,19.5,39.13,29.71,25.86,,21.83,,0.62,81.28,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,16.78,3.6,,26,,,,,8.9,3.17,54.94,,10.24,1.72,,0.09,0.12,38.72,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.57,128.48,16.43,16.63,21.92,10.51,0.51,0.52,0.78,0.21,3.13,15.25,2.57,13.97,6.86,82.92,,147.61,39.48,0.41,,,,,0.3,0.89,3872,3872,,0.21,,,,,6.54,19.56,0.18,,,4.28,14.01,,0.34,2.22,0.3,,0.91,0.64,,,0.32,,,5.17,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.36,46.58,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,32.53,0.61,26.66,41.38,9.94,,0.47,0.61,220.91,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.41,25.14,32.56,25.37,23.28,7.97,8.81,3.65,0.2,27.06,3.11,0.45,29.52,19.91,11.24,6.09,183.87,45.96,120.35,,,26.44,,31.27,50.44,33.62,33.62,1.99,8.89,,1.27,1.43,,32.85,8.68,2.06,,,30.34,35.42,1.94,2.5,50.44,0.91,29.81,269.91,59,151.08,,35.41,,3.33,48.66,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,22.71,46.54,,,9.7,8.1,22.2,18.4,28.45,8.5,22.07,6.39,19.67,37.85,0.72,,0.99,0.07,25.51,1.84,,145.05,6.23,6.69,1.44,,1.49,5.2,23.54,12.42,22.81,,,,7.15,4.25,0.4,31.33,8.98,5.22,35.93,8.26,,2.74,27.02,62.62,1.87,,,15.39,,27.37,1.3,28.66,28.66,12.46,4.39,,2.3,1.12,11.18,13.97,1.3,0.56,,,9.55,19.12,,1.14,1.32,1.84,2.29,628.91,4.67,5.7,,4.27,,3.89,31.49,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.45,61.2,,,7.8,9.6,49.1,7.4,26.06,3.8,57.83,5.14,6.2,58.62,2.02,,0.31,0.19,196.42,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.15,41.7,22.06,22.45,14.38,14,6.78,7.26,2.4,0.05,32.33,5.12,3.18,16.24,20.15,7.21,5.07,146.38,62.76,5.48,,,9.71,,24.95,51.15,65.47,18.36,1.18,6.32,,0.75,0.58,,19.63,,1.44,,,18.71,32.99,1.27,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.92,42.61,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,36.6,,8.7,,,,,,,30.1,,,33.99,1.8,,9.52,9.3,2.4,10.96,,,406.96,,0.07,,,,,,,,,8.29,3.12,,0.79,,,,,,,32.02,1.06,,,,,,,,0.64,,,,21.08,,,,,,,,1.92,1.5,,,,,0.72,10.96,,,,,,,,0.77,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,60.85,,2.2,20.8,5.4,3.2,9.8,60.73,11,70.2,10.1,,62.29,3.73,,0.44,4.44,2.37,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.36,9.13,6.83,9.45,8.82,6.77,2.15,2.19,10.95,0.66,25.65,11,6.36,12.95,14.52,4.92,6.6,2.65,50.83,7.5,,,17.86,,24.06,2.17,13.02,12.47,2.54,2.59,,,,,10.26,1.76,0.48,,,8.05,11.4,1.85,0.77,5.04,0.79,10.57,68.13,19.18,16.5,,16.25,,5.94,13.17,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
