Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,44.44,1.5,7.9,7.7,13.5,33.2,24.7,10.5,31.07,1.04,2.9,40.17,6.19,,0.99,0.58,132.17,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.7,27.32,22.97,27.08,23.66,20.75,5.72,5.73,3.66,0.54,21.57,3.88,0.73,23.7,17.19,9.5,3.53,149.3,50.71,14.21,,,18.15,,19.76,6.48,30.82,25.85,2.15,5.63,,0.84,1.66,,26.03,5.66,1.17,,,21.71,33.45,1.82,2.07,26.87,1.97,11.55,64.95,15.98,22.07,,14.5,,2.22,44.74,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,36.49,1.4,10.2,,,,,5.8,27.34,1.5,,32.01,0.98,,0.31,0.52,26.79,1.45,86.07,58.94,24.77,11.68,0.43,,,1.55,,35.36,,13.64,5.07,0.51,0.52,,0.3,,,1.55,58.48,,,,40.21,7,,,,,,,1.09,,,,0.46,,,,,,,,,,52.19,,,0.94,1.09,0.74,,,,,,,,0.47,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,53.38,,10.4,,,,,27,43.95,,,51.39,0.76,,0.34,0.19,14.86,0.62,20.89,20.46,14.17,12.45,,,,,13.06,13.06,35.51,10.97,6.81,0.77,0.81,7.66,,2.29,12.63,,5.26,,34.88,3.56,20.01,22.37,1.87,,,1.56,,7.6,,13.28,6.43,,0.19,,,,,8.59,,0.42,,,2.67,,,,,0.51,1.25,8.53,7.75,,,4.5,,29.94,9.81,,,8,8696254174.0,Airlines,Transportation
AAON,36.54,65.22,,23.5,10.5,20.6,22,,22.6,65.49,0.62,12.27,66.28,18.42,,,,81.78,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.4,31.25,25.92,227.83,,,,5.89,3.2,0.72,2.66,0.46,0.4,,19.63,,,81.63,32.77,42.97,,,15.18,,18.83,9.5,38.96,38.96,3.19,5.91,,2.53,19.9,,224.06,4.68,1.25,,40.7,53.08,117.62,2.08,7.48,12.03,1.5,19.51,38.13,29.02,27.91,,22.62,,0.36,83.08,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,50.32,5.1,,192.4,8,16.8,,10.4,42.91,130.41,,46.76,1.91,,0.06,0.08,63.96,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.49,22.43,11.77,,20.31,10.66,0.65,0.66,4.46,0.22,,,1.55,17.64,15.81,,2.05,207.94,41.67,3.92,,,1.72,,2.98,1.45,20.65,15.3,1.65,0.34,,1.03,,,,1.56,0.29,,,14.33,,2.51,0.53,3.62,0.27,1.6,6.46,4.79,7.26,,3.59,,,8.21,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,20.84,41.75,2.9,1.3,5.7,20.9,23.2,14.6,15.7,28.12,0.72,4.57,37.46,8.5,,0.55,0.68,183.85,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.52,23.82,21.77,27.38,24.01,21.97,7.43,7.5,4.2,0.21,27.71,3.74,0.52,28.41,21.18,12.46,2.68,178.33,45.03,40.5,,,26.16,,30.76,38.63,28.82,28.82,1.71,7.5,,1.18,1.28,,27.21,6.99,1.88,,,24.94,28.84,1.57,2.14,38.63,1.02,29.33,279.4,57.36,159.97,,34.58,,3.5,43.64,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,39.76,,,3.9,1.6,,,2.3,30.55,7.04,5.16,35.18,0.64,,1.18,0.05,21.71,2.56,,145.67,6.48,6.78,1.41,,1.57,6.15,22.44,11.68,30.27,,,,6.6,4.46,0.4,22.3,7.53,6.24,,5.15,,,34.35,62.84,1.88,,,14.66,,27.6,1.09,25.55,25.55,25.55,3.9,,2.14,1.46,9.95,17.47,1.13,0.49,,,9.14,18.44,,0.99,1.09,2.56,2.15,556.85,4.48,5.34,,4.22,,3.88,27.87,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,5.64,71.04,,,9.6,18.2,8.3,16.6,13.4,66.32,7.13,6.72,70.41,2.13,,0.38,0.22,174.26,0.96,66.58,52.46,75.76,3.62,5.02,,0.67,3.46,34.73,21.04,14.29,14.12,13.54,6.54,6.51,2.88,0.09,45.53,8.08,3.58,15.35,26.53,9.5,1.38,135.75,62.42,6.64,,,8.95,,24.92,25.31,63.5,19.56,0.98,5.66,,1.23,0.45,,12.44,,1.29,,,12.06,19.48,0.84,1.42,,0.84,3.54,206.51,9.61,34.02,,9.33,,7.82,37.87,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,47.19,,631.1,,,,,215.7,47.04,,,46.93,3.3,,7.13,9.73,5.21,8.34,330,3766.17,358.81,,0.07,,,,,,,,,8.29,15.43,,0.78,,,,,,,,1.6,96.92,,,,,,,1.25,,,,29.85,,,,,,,,3.3,2.56,358.2,,,,1.46,8.33,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,10.36,35.27,,10.1,15.8,5.3,6.9,2,15.3,30.24,8.06,,32.89,3.78,,0.52,4.74,2.57,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.94,12.27,8.64,11.31,8.91,6.67,2.16,2.32,8.15,0.65,20.35,8.28,5.94,13.26,10.87,6.94,5.41,3.43,50.3,19.12,,,18.29,,22.51,2.21,13.3,12.76,5.55,2.42,,,,,11.93,1.65,0.43,,,8.9,13.72,,0.8,4.88,0.79,10.98,52.73,15.37,17.44,,18.54,,5.39,12.1,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
