Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,11.48,52.96,1.5,7.9,7.7,13.5,33.2,24.7,10.5,62.08,1.06,2.9,57.83,6.56,0.85,0.65,133.5,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.7,28.64,24.23,26.39,24.25,21.23,5.96,6.16,3.49,0.57,23.33,3.95,0.7,23.21,15.91,5.47,2.47,135.69,50.63,14.64,,18.84,,19.54,6.26,31.56,25.09,2.09,5.95,,0.8,1.6,,25.58,4.87,1.18,,,20.71,31.3,1.9,2.01,21.22,1.64,11.49,63.42,15.6,20.99,,14.11,,2.79,43.77,,,10,33913792728.0,Medical Specialties,Health Technology
AA,5.14,37.07,1.4,10.2,,,,,5.9,21.06,1.05,37.6,30.97,1.06,0.45,0.53,36.81,1.61,83.25,57.67,25.57,134.11,0.64,,,1.05,,427.99,,21.94,7.92,0.79,0.78,,0.28,,,1.05,324.14,,,2.93,40.29,6.37,,,,,,1.66,,,,0.66,,,,,,,,,,209.17,,,1.66,1.73,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,42.51,,10.4,,,,,27,52.69,,,47.24,0.66,0.33,0.21,11.01,0.58,20.92,21.48,13.98,14.34,,,,,14,14,,11.87,6.9,0.71,0.74,7.14,,,,,4.96,,20.08,4.55,18.68,21.59,1.73,,0.94,,6.83,,18.35,5.99,,0.14,,,,,,,0.32,,,2.74,,,,,0.48,0.76,7.26,6.75,,,3.98,,39.68,7.98,,,8,8696254174.0,Airlines,Transportation
AAON,14.73,56.91,,26.3,8.1,29.5,31.8,,29.5,47.61,0.52,13.44,54.52,31.07,0.07,0.49,88.16,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.34,33.75,27.75,61.25,,,,6.69,2.96,0.82,10.92,1.75,0.34,,20.53,18.68,10.86,77.7,35.56,58.55,,15.44,,19.77,9.22,41.07,41.07,1.64,6.34,,2.26,5.03,,58,4.57,1.27,,32.29,29.9,44.17,1.77,6.26,11.45,1.57,19.39,38.08,29.18,25.9,,21.96,,0.72,84.79,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.69,3.6,,26,,,,8.9,74.17,33.99,5.13,61.2,1.3,0.09,0.11,64.44,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.59,72.59,17.88,15.54,19.74,10.74,0.65,0.65,1.38,0.21,4.18,12.26,1.59,17.67,6.14,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.5,93.39,93.39,,0.34,,,,,8.12,4.01,0.3,,,5.7,12.67,,0.56,3.87,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.45,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,11.69,63.59,2.9,1.3,5.7,20.9,23.2,14.6,15.7,50.03,0.58,18.61,59.73,10.55,0.54,0.64,228.88,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.42,30.32,27.69,35.7,28.09,26.1,8.71,9.53,3.3,0.22,26.71,2.9,0.44,30.8,20.09,10,5.32,179.49,45.59,59.12,,26.31,,30.98,47.29,35.6,35.6,2.11,9.39,,1.47,1.67,,35.05,8.65,2.32,,,32.34,37.85,2,2.67,47.29,0.99,29.34,262.55,56.47,150.79,,34.83,,2.87,51.78,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,3.31,76.18,,,9.7,8.1,22.2,18.4,8.5,88.07,6.72,,82.37,0.7,0.98,0.06,24.54,2.06,,143.65,6.4,6.71,1.43,,1.49,5.47,23.01,12.21,25.5,,,,7.01,4.35,0.4,27.51,8.17,5.51,,7.48,,2.41,29.15,62.64,1.88,,15.46,,27.6,1.25,27.57,27.57,11.99,4.17,,2.39,1.33,10.7,15.17,1.25,0.54,,,9.7,18.86,,1.1,1.27,2.06,2.29,612.23,4.67,5.68,,4.28,,3.52,30.68,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,25.85,63.27,,,7.8,9.6,49.1,7.4,3.8,77.43,5.7,4.71,68.05,1.81,0.44,0.24,175.27,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.49,35.97,19.17,16.2,14.44,13.64,6.43,6.52,2.78,0.05,40.24,7.07,3.53,15.11,24.35,6.77,4.99,142.14,62.28,5.83,,11.02,,24.96,38.61,52.01,15.99,1.03,5.53,,0.72,0.47,,13.77,,1.3,,,13.29,20.22,0.9,1.53,,0.83,4.34,199,9.56,52.94,,9.67,,5.2,38.19,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,58.5,,8.7,,,,,,72.77,,,66.28,2.3,6.66,9.48,3.37,7.76,,,342.96,,0.07,,,,,,,,,8.29,11.23,,0.77,,,,,,,31.92,1.22,,,,,,,0.88,,,,25.2,,,,,,,,2.72,2.05,,,,,1.03,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,59.07,,2.2,20.8,5.4,3.2,9.8,11,81.72,11.03,,69.52,3.49,0.4,3.65,2.18,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,6.94,8.69,6.41,8.63,8.47,6.44,2.03,2.01,11.51,0.65,25.4,11.97,6.94,12.72,14.58,5.26,6.21,2.96,50.66,6.83,,18.25,,23.83,2.14,11.66,11.18,2.28,2.32,,,,,9.2,1.65,0.42,,,7.12,10.36,1.77,0.7,5.07,0.7,10.77,64.69,18.64,17.03,,17.22,,6.33,11.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
