Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,32.98,56.6,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,78.07,1.04,3.96,63.47,6.11,0.74,0.61,140.41,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.69,25.43,22.04,29.13,24.77,21.65,6.05,6.36,3.93,0.54,21.81,3.51,0.69,24.86,15.68,4.82,2.34,133.98,54.39,17.3,,21.75,,22.9,6.84,29.13,26.95,2.25,6.34,,0.86,1.81,,28.99,5.59,1.25,,,23.05,28.99,2.08,2.16,26.1,1.37,13.03,74.15,18.1,23.78,,16.15,,3.22,45.29,,,10,33913792728.0,Medical Specialties,Health Technology
AA,47.46,64.17,1.4,10.2,,,,,75.95,5.9,75.74,0.96,6.39,67.03,1.41,0.38,0.45,42.78,1.41,78.33,59.38,26.65,4.45,0.56,,,0.96,933.96,18.42,,6.62,4.82,1.05,1.1,0.11,0.36,,,0.96,13.41,,,4.06,34.18,11.35,1.6,,,,2.02,2.11,,,,0.71,,,,,,,,,,19.77,,,1.67,2.18,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,58.92,,10.4,,,,,597.78,27,47.22,,,55.05,0.67,0.33,0.22,13.19,0.57,21.4,22.29,13.62,16.51,,,,,16.54,16.54,,6.11,4.49,0.69,0.73,6.05,,,,,6.52,,,3.98,16.15,20.34,1.4,,0.51,,5.17,,39.97,12.13,,0.17,,,,,,,0.42,,,3.82,,,,,0.47,0.43,6.13,5.96,,,2.95,,32.39,11.47,,,8,8696254174.0,Airlines,Transportation
AAON,86.12,56.56,,26.3,8.1,29.5,31.8,,20.3,29.5,48.35,0.42,37.38,53.36,23.49,,,113.02,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.28,37.86,31.03,89.81,,,,7.71,2.64,0.73,8.59,1.12,0.28,39.94,20.43,16.6,10.85,79.09,36.27,88.05,,15.61,,20.32,12.35,50.91,50.91,2.03,7.92,,2.77,7.99,,92.24,5.96,1.56,,59.8,41.69,65.1,2.04,8.31,15.7,1.7,19.5,39.13,29.71,25.86,,21.83,,0.48,103.69,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,47.95,3.6,,26,,,,,8.9,66.87,56.44,,54.15,1.71,0.09,0.12,38.16,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.64,125.37,16.03,16.24,21.41,9.66,0.51,0.51,0.8,0.21,3.13,15.47,2.64,13.81,7.81,83.75,,147.09,39.48,0.41,,,,0.3,0.87,3816,3816,,0.2,,,,,6.48,19.27,0.18,,,4.19,13.76,,0.33,2.19,0.3,,0.91,0.64,,,0.32,,,5.09,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,28.39,41.18,2.7,,4.9,6.2,6.4,8.6,,5.4,28.07,0.58,23.68,35.26,8.58,0.37,0.61,223.45,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.59,25.24,31.24,25.42,23.3,7.98,8.69,3.62,0.16,27.83,3.22,0.45,30.1,18.34,16.37,9.2,187.57,46.21,,,23.97,,31.51,59.27,36.75,33.1,2.08,8.84,,1.39,1.55,,31.67,9.34,1.95,,,29.14,33.92,2.11,2.47,59.27,0.83,26.93,278.63,59.87,140.28,,32.51,,3.42,48.47,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,32.68,52.45,,,9.7,8.1,22.2,18.4,28.45,8.5,52.56,6.01,23.06,51.56,0.78,4.87,0.25,27.32,5.78,,148.94,6.31,7.97,1.8,,1.38,4.89,22.79,12.17,23.98,,,,7.12,4.39,0.35,29.66,8.14,4.91,37.94,9.06,,2.94,27.11,63.33,1.92,,16.36,,28.14,1.4,28.16,28.16,12.24,4.55,,2.44,1.34,11.41,15.39,1.33,0.6,,,10.16,18.73,,1.2,1.42,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.32,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,37.39,63.23,,,7.8,9.6,1.7,7.4,21.19,3.8,69.12,4.98,18.62,66.59,1.99,0.17,0.1,201.68,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.05,42.86,26.06,26.76,15.26,14.72,7.12,7.52,2.33,0.04,28.13,4.99,3.23,16.66,15.77,7.26,5.09,147.37,67.21,5.43,,9.22,,26.13,59.14,70.03,18.76,1.21,6.4,,0.68,0.66,,19.99,,1.46,,,21.55,40.17,1.86,1.81,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.5,43.19,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,59.19,,8.7,,,,,,,66.62,,,61.93,1.89,8.08,9.01,2.72,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.53,,0.77,,,,,,,32.02,1.06,,,,,,,0.75,,,,23.91,,,,,,,,2.45,1.88,,,,,0.82,9.34,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.83,,2.2,20.8,5.4,3.2,9.8,60.73,11,46.15,10.8,1.65,41.7,3.67,0.59,6.19,2.22,1.2,94.19,189.94,25.24,0.13,0.03,,0.85,6.8,8.28,6.23,8.81,8.33,6.39,2.03,2.01,12.08,0.67,25.25,11.47,6.8,12.13,16.04,4.46,6.54,2.74,50.98,7.56,,16.92,,23.79,2.04,12.91,12.61,2.57,2.43,,,,,9.75,1.67,0.46,,,7.69,10.39,1.68,0.71,4.44,0.89,10.03,70.57,19.31,15.52,,15.27,,6.2,12.33,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,10.38,61.53,,50.3,,28.2,37.8,,8.08,24,76.97,,8.45,67.35,2.74,0.03,0.01,242.04,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.27,12.06,36.48,11.31,10.31,0.54,0.59,7.54,0.33,1.58,5.49,,8.64,31.66,,6.43,260.99,17.41,3.89,,2.16,,5.9,1.41,13.7,8.99,0.28,0.28,,0.29,1.59,,18.37,,1.03,,,9.68,82,0.36,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.84,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,25.55,58.93,2,8.4,5.9,40.8,24.6,,23.18,11.1,71.15,2,14.59,62.91,2.95,0.07,0.06,54.5,1.38,,,56.6,3.53,0.8,,0.26,1.64,15.68,11.55,17.5,11.9,9.6,0.57,0.58,6.38,0.36,3.3,7.97,1.64,14.87,26.21,,1.62,51.47,,3.58,,1.89,,3.62,1.86,22.52,15.71,0.98,0.42,,0.85,1.11,,12.79,,1.07,,,10.42,15.74,0.79,0.94,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.34,28.24,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,5.88,59.42,,38.3,,,,,322.31,8,59.98,,,59.37,3.6,0.71,4.95,137.82,1.41,,29.97,7.3,1.12,0.28,,,,39.52,38.5,17.85,21.85,21.51,6.34,7.41,2.53,0.3,41.38,4.99,,29.92,,,10.66,169.13,82.59,20.75,,46.11,,15.21,10.92,18.75,18.75,,8.63,,,,,20.71,3.18,,,22.19,20.64,15.58,,,12.1,1.41,21.22,720.92,19.41,63.33,,55.65,,3.3,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,17.53,56.91,0.7,6.3,12.3,6.8,6.7,,,5.8,62.98,3.49,6.36,58.57,5.33,0.52,0.52,117.73,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.87,28.73,19.98,32.57,22.54,17.8,4.69,5.13,3.48,0.54,15.74,3.18,1.87,22.81,11.26,8.91,6.5,108.16,55.55,11.5,,13.99,,16.24,5.13,35.78,26.05,2.27,4.98,,1.41,1.64,,31.69,5.19,1.16,,,23.58,41.42,3.23,1.96,23.22,1.14,7.9,65.41,12.45,14.86,,10.65,,3.32,42.05,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,37.9,57.18,,6.9,,13.2,4.1,,3.27,5.9,63.85,0.21,9.34,58.7,2.73,1.75,0.61,98.65,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.21,25.9,13.76,42.56,,,1.73,2.07,3.86,0.56,4.86,2.51,0.21,22.31,18.3,27.72,12.61,75.72,19.84,4.58,,5.17,,7.87,1.98,37.51,30.54,1.51,1.9,,,,,39.77,2.42,,,,15.26,23.39,1.95,1.33,4.3,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,51.05,,,,38.8,40.9,46.1,223.57,16.4,64.31,,,55.96,1.67,1.48,8.69,15.0,2.16,197.37,87.05,38.64,1.68,0.11,,,,87.12,57.99,24.61,12.04,9.62,1.94,2.23,1.15,0.57,9.04,3.24,,18.43,,,16.61,33.37,91.73,,,3.43,,2.56,4.81,83.33,83.33,3.74,2.8,,,,,30.86,4.75,,24.19,7.5,30.86,127.14,,,6.07,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,21.73,,12.2,,,16.9,,,10.9,16.28,,,19.38,1.77,0.13,0.04,42.51,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.95,9.22,,9.41,7.43,1.68,1.88,8.37,0.52,,,,11.15,0.76,15.8,10.03,85.3,96.45,5.11,,8.99,,17.48,1.29,13.94,12.12,,1.25,,,,,,1.74,0.58,,,30.04,,,1.28,5.62,1.06,5.05,19.42,10.06,9.78,,8.25,,,125.03,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,51.81,,100.9,,,,,,,51.29,,,52.66,,4.31,,,4.49,,,,,,,,,,,,,,19.67,,,,,,,,,11.86,,,,,,,,,3.25,,,,,,,,,,,,5.16,4.85,,,,,3.28,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,48.69,,18.8,33.9,6,,,132.17,4.2,51.64,2.58,,49.94,3.52,0.04,0.02,18.55,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.58,14.12,5.83,31.3,12.29,6.37,0.3,0.31,7.08,0.11,0.99,7.32,2.58,8.17,16.97,,1.83,21.44,27.85,3.83,,1.25,,2.28,3.56,10.85,7.42,0.55,0.14,,,,,13.69,,,,,4,13.57,1.17,0.78,,0.22,3.79,11.26,9.28,37.17,,6.52,,7.42,27.28,,,7,13551493187.000002,Food Retail,Retail Trade
