Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ESE,30.54,43.96,19.61,0.4,7.1,,17.6,17.3,,26.04,13.3,19.91,0.22,33.1,33.51,5.52,0.19,0.42,140.07,1.91,120.33,50.25,73.57,0.78,0.13,,0.08,0.22,25.92,18.76,47.45,,,,3.66,3.86,0.67,7.72,2.16,0.22,29.32,16.22,,,113.88,39.35,9.65,,9.92,,14.34,2.96,36.14,34.06,2.62,3.59,,2.21,3.03,,46.55,1.23,4.3,1.33,,53.46,28.92,40.96,2.36,2.03,12.65,1.31,5.73,42.7,9.91,8.66,,7.48,,,41.88,,,10,2722638535.0,Electronic Equipment/Instruments,Electronic Technology
ESI,31.02,43.35,11.28,0.7,0.9,85.7,5.2,5.6,5.5,1.81,9.2,32.59,1.15,6.58,38,2.14,0.98,0.2,27.29,3.52,81.09,35.85,70.57,4.06,0.79,,0.31,1.15,26.46,17.45,30.55,15.01,13.98,3.19,3.41,3.82,0.48,11.28,4.03,1.15,16.89,7.96,31.8,5.15,21.03,41.56,5.93,,11.08,,13.49,2.76,25.06,26.6,7.39,2.8,,,,,24.84,1.3,,1.57,,,20.2,24.6,,1.4,,2.77,5.35,35.05,6.78,11.4,,7.71,,1.72,,,,5,4716314277.0,Chemicals: Major Diversified,Process Industries
ESLT,12.22,59.92,20.18,,9.7,,2.5,,,3.84,8.3,55.25,0.75,32.45,57.5,1.67,0.02,0.08,251.43,1.15,182.5,89.62,138.4,3.06,0.52,,0.21,0.79,34.71,24.2,63.37,,,,1.94,2.88,0.28,3.07,1.79,0.79,28.41,5.04,10.56,8.05,225.57,23.89,4.56,,4,,6.26,3.68,43.31,35.29,7.84,1.74,,3.03,4.86,,56.52,1.11,3.78,1.16,,,28.57,51.78,,3.93,9.32,0.64,2.56,14.53,7.22,8.77,,4.71,,,38.95,,,10,8858517924.730385,Aerospace & Defense,Electronic Technology
ESRT,9.73,58.33,,1.7,,,17.3,,10.9,38.65,9.1,64.66,0.33,12.77,60.95,0.81,0.78,0.17,11.23,1.69,,41.33,113.37,6.51,2.38,,0.59,1.25,21.2,10.34,15.99,28.99,11.39,5.3,5.17,4.73,0.24,32.4,13.29,1.25,97.04,15.74,,1.5,9.25,54.26,1.48,,6.5,,20.51,1.83,41.33,47.09,12.07,3.92,,,,13.32,12.12,1.21,4.35,0.69,,,12.12,,5.67,0.95,8.92,1.69,1.15,107.47,4.97,4.88,,3.8,,,39.45,,,8,1383845455.0,Real Estate Investment Trusts,Finance
ESS,28.9,48.23,,0.4,,3.6,,17.5,6.3,,4.4,44.07,3.93,11.66,45.74,1.94,0.33,0.02,299.79,0.97,85.53,239.53,1.96,3.97,1.18,,1.53,3.2,24.51,15.88,28.24,41.72,21.37,13.88,14.76,4.08,0.43,52.25,4.68,3.24,50.42,5.06,,4.57,264.24,81.83,3.36,,31.55,,44.22,3.58,35.32,47.9,21.77,11.15,,2.76,1.67,20.81,21.34,1.13,2.74,0.93,,,18.43,18.94,,1.59,3.58,0.8,4.37,1764.62,8.62,10.02,,6.4,,1.46,38.81,,,10,14455363768.0,Real Estate Investment Trusts,Finance
ESTA,63.02,55.72,,,,,,,,,21.1,61.49,,,58.08,1.62,0.79,0.2,46.0,3.62,479.67,224.57,133.38,,6.09,,,,,,,,,10.16,9.63,,0.12,,,,,,30.34,16.69,55.82,65.08,,,,,,39.07,,,,8.23,,,,,,0.83,,,,,,,,,56.92,2.29,,,,,,,,,,,,,1340076881.0,Medical Specialties,Health Technology
ESTC,,60.3,19.78,,13.4,,14.2,,88.1,28.27,20.4,47.29,,,55.69,4.96,1.51,2.03,104.05,1.99,,21.5,65.68,,0.73,,,,,,52.25,148.24,121.02,7.22,7.62,,0.36,14.62,1.81,,61.13,,24.69,15.3,100.2,74.02,,,4.39,,,13.7,195.02,71.03,6.4,8.11,,,,,55.63,1.04,8.32,,,69.37,54.7,,4.72,9.22,23.27,1.99,2.89,,,8.69,,5.02,,,,,,1,7705228876.000001,Packaged Software,Technology Services
ET,26.39,60,5.75,,16.7,5,18.6,25,34.6,39.17,19.6,49.3,5.36,11.76,55.69,1.46,0.02,0.01,19.04,1.08,13.27,39.39,41.6,3.98,1.7,,1.04,6.64,12.38,8.32,18.42,10.96,7.65,1.51,1.5,8.08,0.28,8.15,10.36,6.72,12.13,15.6,9.21,6.15,11.27,18.07,3.02,,6.05,,10.85,1.87,14.13,15.75,,0.78,,,,,9.57,1.69,1.34,1.62,,,6.38,13.05,2.73,0.86,2.61,0.88,4.34,11.3,9.71,14.44,,8.11,,,15.25,,,9,42716184034.0,Oil & Gas Pipelines,Industrial Services
ETN,56.11,43.7,20.88,,8.3,5.6,22.2,22.9,4.2,48.18,9.4,25.01,1.35,12.58,35.95,5.75,0.25,0.2,356.01,1.53,92.88,81.73,69.29,1.83,0.53,,0.35,1.05,32.55,27.14,46.35,26.23,22.14,5.55,6.09,3.07,0.49,13.14,2.28,1.05,29.67,14.49,13.46,7.6,219.09,37.83,39.01,,15.31,,18.23,7.41,38.15,34.09,4.11,5.84,,2.09,2.94,,44.45,1.62,,3.22,,,35.67,39.81,2.64,3.23,,1,9.77,65.89,14.96,19.82,,11.5,,1.76,55.86,,,10,86838359756.0,Electrical Products,Producer Manufacturing
ETNB,,41.27,5.13,,,,15.1,13.4,14.3,,,28.34,,,36.48,,10.83,,,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,2.37,2.17,,,,,2.2,11.66,,,,,,,,,,,,,1310348136.0000002,Pharmaceuticals: Major,Health Technology
