Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,70.96,1.5,7.9,7.7,13.5,33.2,24.7,10.5,76.54,0.94,15.11,75.04,6.94,,1.08,0.68,145.21,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.99,26.11,26.76,26.62,23.34,6.43,6.55,3.23,0.57,24.48,3.88,0.64,26.5,16.39,9.5,3.58,142.48,50.56,14.22,,,18.35,,19.42,6.88,34.57,28.36,2.36,6.32,,0.91,1.62,,26.04,5.49,1.29,,,21.84,31.95,2.04,2.19,23.92,2.04,11.42,62.86,15.64,21.32,,14.14,,2.2,49.39,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,60.69,1.4,10.2,,,,,5.9,72.44,1.36,,66.08,1.02,,0.31,0.49,30.02,1.45,86.07,58.94,24.77,12.36,0.45,,,1.36,,41.67,,16.08,5.97,0.6,0.61,,0.3,,,1.36,69.14,,,,40.32,7,,,,,,,1.26,,,,0.52,,,,,,,,,,59.76,,,1.04,1.32,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,1.36,37.9,,10.4,,,,,27,17.95,,12.07,29.44,0.76,,0.34,0.19,13.99,0.62,20.89,20.46,14.17,12.45,,,,,12.93,12.93,35,10.87,6.75,0.76,0.8,7.73,,2.29,13.18,,5.08,,17.44,4.15,19.68,22.37,1.87,,,1.56,,7.6,,12.72,6.13,,0.18,,,,,7.03,,0.4,,,2.45,,,,,0.51,1.25,8.53,7.75,,,4.5,,31.98,9.39,,,8,8696254174.0,Airlines,Transportation
AAON,35.25,51.44,,26.3,8.1,29.5,31.8,,29.5,42.35,0.59,34.08,46.58,22.47,,,0.01,81.26,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.39,29.1,24.14,134.28,,,,5.68,3.44,0.78,4.23,0.74,0.39,,20.5,,,80.3,34.15,46.97,,,15.2,,19.47,9.01,38.1,38.1,1.52,5.82,,2.1,11.92,,137.57,4.38,1.18,,32.65,42.68,77.64,1.77,6.66,11.32,1.54,19.75,39.21,30.05,27.34,,22.64,,0.52,81.3,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,20.68,32.14,2.9,1.3,5.7,20.9,23.2,14.6,15.7,34.09,0.77,4.79,31.32,7.96,,0.55,0.68,173.09,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.56,22.05,20.15,25.05,22.22,20.34,6.89,6.94,4.54,0.21,27.71,4,0.56,26.56,21.45,12.46,2.63,178.39,45.03,40.5,,,26.16,,30.76,36.12,26.95,26.95,1.59,7.05,,1.11,1.21,,25.41,6.58,1.77,,,23.35,27,1.47,2.01,36.12,1.02,29.33,279.4,57.36,159.97,,34.58,,3.82,40.8,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,13.37,61.22,,,7.8,9.6,49.1,7.4,3.8,54.01,5.39,13.53,58.18,2.09,,0.34,0.22,181.2,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.3,42.99,21.21,16.51,14.37,13.89,6.69,6.71,2.33,0.08,40.62,6.89,3.4,16.23,26.27,32.5,0.85,137.61,62.42,6.09,,,8.95,,24.92,30.87,66.37,20.45,1.32,5.86,,0.92,0.48,,14.31,,1.35,,,13.78,24.62,0.99,1.52,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.77,40.09,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.12,,8.7,,,,,,49.01,,0.97,46.44,3.08,,6.39,9.83,4.7,7.33,,,330.79,,0.07,,,,,,,,,8.29,19.84,,0.77,,,,,,,,1.41,,,,,,,,1.19,,,,35.45,,,,,,,,3.22,2.55,,,,,1.39,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,43.64,,2.2,20.8,5.4,3.2,9.8,11,40.23,9.53,,43.37,3.3,,0.4,4.67,2.52,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6,10.5,7.72,10.05,8.81,6.65,2.19,2.35,9.52,0.6,23.91,9.66,6,13.5,14.15,,5.85,3.25,50.72,6.73,,,18.19,,23.76,2.55,13.62,12.92,2.64,2.52,,,,,10.76,1.94,0.44,,,8.13,12.27,2.07,0.76,6.46,0.67,10.71,61.69,18.14,17.21,,17.86,,5.59,12.6,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,9.63,49.33,,50.3,,28.2,37.8,,24,56.48,,,50.66,2.57,,0.02,0.01,204.7,1.06,37.87,13.72,8,5.3,1.69,,,,10.05,9.4,56.95,10.22,9.43,0.55,0.66,9.95,0.32,1.15,4.09,,6.32,31.62,13.9,11.75,241.44,18.62,6.47,,,4.07,,7.23,1.28,7.16,6.27,0.2,0.3,,0.2,2.25,,26,,0.99,,,13.93,81.19,0.25,0.47,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.3,11.83,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,55.27,2,8.4,5.9,40.8,24.6,,11.1,59.45,2.58,,57.76,2.94,,0.05,0.04,41.69,1.48,,,60.22,2.73,0.8,,0.27,2.11,9.77,7.63,15.54,10.66,8.36,0.49,0.5,10.24,0.37,3.2,9.92,2.14,12.61,25.36,,1.9,52.01,,4.92,,,3.15,,5.04,1.45,10.66,12.91,0.8,0.34,,0.7,0.91,,10.52,,0.86,,,8.78,9.54,0.71,0.76,,1.48,5.21,63.86,11.09,14.3,,7.6,,,22.18,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,27.36,62.79,,38.3,,,,,8,62.89,,2.83,63.85,6.03,,1.01,4.37,166.44,1.66,,30.09,8.04,1.03,0.28,,,,44.55,43.67,25.26,28.96,24.56,8.74,9.81,2.24,0.4,38.86,3.63,,36.48,,3.58,13,164.53,82.83,18.29,,,48.32,,15.31,13,22.99,22.99,,11.12,,,,,28.81,3.84,,,26.34,28.57,19.66,,,14.4,1.66,24.12,820.81,23.88,72.17,,67.71,,2.19,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,13.71,61.11,0.7,6.3,12.3,6.8,21.3,,5.8,54,3.25,9.17,59.48,5.38,,0.53,0.47,118.85,1.64,133.76,86.26,57.28,1.48,0.41,,0.49,1.74,29.7,20.57,42.86,23.42,20.33,5.17,5.41,3.37,0.53,12.61,2.45,1.85,25.81,15.93,0.9,1.81,106.84,55.19,10.17,,,14.27,,16.15,5.34,36.46,28.55,2.48,5.18,,1.05,2.13,,41.07,6.54,1.28,,,28.6,42.63,2.2,1.91,33.76,1.16,7.8,72.21,12.35,15.31,,10.58,,2.69,45.54,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,42.75,49.21,,6.9,,13.2,4.1,,5.9,36.12,0.24,8.5,45.47,3.2,,0.24,0.18,80.89,2.12,68.99,45.13,58.86,1.48,0.24,,0.07,0.24,19.9,11.62,77.52,,,1.77,1.93,5.03,0.65,2.49,1.46,0.24,23.35,22.93,,7.05,65.51,19.23,6.5,,,6.9,,7.92,1.68,24.81,29.09,1.44,1.72,,,,,68.43,2.18,,,,15.07,21.85,1.31,1.12,3.67,1.18,4.6,13.78,7.31,7.01,,5.02,,3.87,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,25.42,26.35,,,,38.8,40.9,46.1,16.4,16.17,,,21.94,2.88,,1.73,7.67,18.73,2.42,137.65,138.21,40.3,,0.13,,,,,,170.31,18.77,27.88,2.94,3.92,,0.58,2.3,0.54,,28.81,,,21.28,31.33,94.27,,,,,,,7.15,,,,4.23,,,,,191.12,,,25.31,10.29,191.12,,,,8.4,2.28,,,,,,,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHR,86.99,56.18,,100.9,,,,,,77.87,,,63.46,,,4.08,,,4.21,,,,,,,,,,,,,,230.99,,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,5.37,5.09,,,,,4.04,4.21,,,,,,,,0.29,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,7.99,48.27,,,,13.9,48,21.1,10.6,68.2,2.32,,54.29,3.54,,0.03,0.02,20.62,0.85,31.8,26.09,3.33,3.19,5.83,,0.16,2.32,12.25,5.75,68,10.59,6.07,0.33,0.34,8.16,0.1,0.49,3.29,2.32,8.01,22.94,3.62,1.84,21.89,27.77,3.79,,,1.71,,2.6,4.7,8.81,6.94,0.27,0.15,,,,,30.03,,,,,4.75,19.03,0.48,0.9,,0.19,5.02,14.24,12.08,73.94,,7.61,,,38.19,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,33.39,54.73,2.6,5.9,,7,21.8,,6.8,49.09,,30.99,53.58,2.29,,0.16,0.15,31.47,1.36,,23.37,76.62,2.99,0.81,,,,18.98,11.92,32.82,,10.87,2.75,2.95,5.27,0.38,9,3.9,,19.08,16.14,,4.95,30.6,50.49,2.81,,,8.37,,15.17,2.57,28.1,20.98,1.75,2.36,,1.07,2.27,,26.29,,0.92,,,20.4,32.98,1.77,1.05,,1.36,3.8,100.6,9.7,10.01,,6.05,,0.33,35.76,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,39.23,0.9,22.7,,62.7,72,31,34.8,32.96,,,37.63,7.81,,1.78,11.2,108.12,3.79,162.49,34,59.97,0.15,0.05,,,,10.87,10.39,22.65,,11.25,2.98,2.73,9.2,0.68,12.05,3.86,,,22.86,,14.06,121.55,43.46,49.71,,,21.78,,23.51,4.09,14.55,14.55,0.3,3.14,,,,,26.31,1.63,1.62,39.75,5.33,22.85,26.64,0.58,1.73,4.09,2.71,21.61,84.29,32.35,32.58,,38.22,,1.51,42.07,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,114.02,60.11,,,,2.6,0.1,,,58.99,,93.4,60,6.66,,5.94,7.19,69.57,6.06,,,90.59,,0.2,,,,,,16.79,,,47.34,28.33,,0.59,168.73,5.07,,,,,,0.0,,,,,,,,7.5,,,,30.42,,,,,17.47,,,10.04,9.66,15.74,,,,7.5,6.06,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,5.59,58.42,4.6,,,0.1,22.9,46.8,7.7,63.43,0.83,6.95,61.32,2.15,,0.2,0.44,90.85,1.05,,54.73,61.01,4.81,1.21,,0.21,0.83,35.74,24.67,23.54,14.99,13.06,1.92,0.94,2.8,0.2,3.98,4.8,0.96,20.15,8.74,58.7,,81.17,6.54,5.01,,,0.42,,5.51,5.5,201.89,25.12,8.97,0.85,,,,,21.24,,2.06,,,17.49,77.51,,1.79,,1.05,0.54,42.47,6.94,2.56,,9.39,,4.18,135.6,,,7,11643339642.999998,Engineering & Construction,Industrial Services
