Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,27.99,41.93,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,31.11,1.04,4.96,36.77,6.08,0.74,0.61,138.83,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.68,25.24,21.88,28.96,24.63,21.53,6.01,6.32,3.96,0.54,21.81,3.55,0.68,24.59,15.7,4.79,2.34,133.84,54.39,17.3,,21.75,,22.9,6.76,28.8,26.65,2.22,6.26,,0.85,1.79,,28.68,5.53,1.24,,,22.76,28.68,2.06,2.13,25.8,1.37,13.03,74.15,18.1,23.78,,16.15,,3.22,44.77,,,10,33913792728.0,Medical Specialties,Health Technology
AA,29.49,63.63,1.4,10.2,,,,,75.95,5.9,62.53,0.95,,63.85,1.43,0.38,0.45,41.71,1.41,78.33,59.38,26.65,4.45,0.56,,,0.96,926.46,18.28,,7.04,5.07,1.08,1.09,0.11,0.36,,,0.96,13.79,,,3.15,39.94,11.35,1.6,,,,2.02,2.05,,,,0.72,,,,,,,,,,20.2,,,1.63,2.05,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,74.62,,10.4,,,,,597.78,27,87.25,,,80.04,0.67,0.34,0.21,13.09,0.6,20.92,21.96,14.01,19.76,,,,,19.84,19.84,,10.62,6.33,0.7,0.74,5.04,,,,,6.65,,,4.04,16.42,20.23,1.4,,,,5.34,,,13.54,,0.17,,,,,,,0.39,,,4.22,,,,,0.5,,5.17,4.89,,,12.18,,36.37,9.8,,,8,8696254174.0,Airlines,Transportation
AAON,80.44,63.14,,26.3,8.1,29.5,31.8,,20.3,29.5,41.71,0.44,13.71,56.71,22.94,,,109.34,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.29,36.84,30.2,87.36,,,,7.5,2.71,0.73,8.59,1.16,0.29,39.62,20.45,16.31,10.76,78.94,36.27,88.05,,15.61,,20.32,11.95,49.25,49.25,1.96,7.66,,2.68,7.73,,89.26,5.76,1.51,,57.85,40.35,62.98,1.97,8.04,15.19,1.7,19.5,39.13,29.71,25.86,,21.83,,0.49,99.86,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,46.58,3.6,,26,,,,,8.9,63.63,54.09,,53.7,1.72,0.09,0.12,39.82,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.51,128.56,16.44,16.64,21.93,9.9,0.52,0.52,0.78,0.21,3.13,14.83,2.51,14.45,6.84,83.71,,147.25,39.48,0.41,,,,0.3,0.91,3982,3982,,0.21,,,,,6.74,20.11,0.19,,,4.38,14.4,,0.35,2.29,0.3,,0.91,0.64,,,0.32,,,5.32,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,25.51,61.63,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,71.54,0.56,32.12,65.08,10.43,0.47,0.61,235.0,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.42,29.14,26.73,34.62,26.98,24.73,8.48,9.37,3.43,0.2,27.06,2.92,0.43,31.43,19.76,11.14,6.1,185.65,45.96,120.35,,26.44,,31.27,53.63,35.77,35.77,2.12,9.46,,1.48,1.66,,34.94,9.23,2.19,,,32.25,37.64,2.06,2.66,53.65,0.91,29.81,269.91,59,151.08,,35.41,,3.13,51.76,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,45.75,69.77,,,9.7,8.1,22.2,18.4,28.45,8.5,88.32,5.82,31.86,77.27,0.76,0.99,0.07,28.22,1.84,,145.05,6.23,6.69,1.44,,1.49,4.73,24.38,12.86,23.63,,,,7.4,4.1,0.4,31.33,8.12,4.75,39.75,7.93,,2.88,27.06,62.62,1.87,,15.39,,27.37,1.44,31.71,31.71,13.79,4.84,,2.75,1.34,12.36,15.46,1.44,0.62,,,10.54,21.17,,1.26,1.46,1.84,2.29,628.91,4.67,5.7,,4.27,,3.6,34.68,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,29.25,37.58,,,7.8,9.6,49.1,7.4,26.06,3.8,23.1,5.35,17.17,31.1,1.99,0.31,0.19,188.86,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.28,40.81,21.59,21.97,14.37,13.99,6.69,7.1,2.45,0.05,32.33,5.33,3.28,15.65,20.29,7.1,4.99,146.79,62.76,5.48,,9.71,,24.95,49.21,62.95,17.65,1.14,6.09,,0.79,0.62,,18.83,,1.38,,,17.96,31.74,1.23,1.69,,0.71,3.83,192.43,9.41,53.28,,9.12,,3.02,40.97,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,64.52,,8.7,,,,,,,83.64,,,72.19,2.08,9.52,9.3,2.87,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.79,,0.79,,,,,,,32.02,1.06,,,,,,,0.76,,,,25.18,,,,,,,,2.3,1.79,,,,,0.86,10.96,,,,,,,,0.64,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.16,,2.2,20.8,5.4,3.2,9.8,60.73,11,28.79,10.56,4.82,35.93,3.7,0.44,4.44,2.28,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.62,9.89,7.39,9.37,8.74,6.71,2.13,2.37,10.11,0.66,25.65,10.04,6.62,12.46,14.58,4.92,6.6,2.71,50.83,7.5,,17.86,,24.06,2.13,14.11,13.54,2.76,2.53,,,,,10.02,1.71,0.47,,,7.86,11.16,1.81,0.75,4.85,0.79,10.57,68.13,19.18,16.5,,16.25,,5.99,12.48,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
