Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,55.41,1.5,7.9,7.7,13.5,33.2,24.7,10.5,62.12,1.03,7.56,57.23,6.28,,0.99,0.58,134.84,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.68,28.33,23.83,27.07,24.55,21.53,5.93,5.95,3.53,0.54,21.57,3.73,0.7,24.57,17.14,9.5,3.53,149.31,50.71,14.21,,,18.15,,19.76,6.73,32.01,26.84,2.24,5.84,,0.86,1.69,,27.06,5.77,1.19,,,22.51,34.73,1.86,2.11,27.9,1.97,11.55,64.95,15.98,22.07,,14.5,,2.21,46.47,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,44.74,1.4,10.2,,,,,5.8,49.18,1.42,,44.98,0.98,,0.31,0.52,27.4,1.45,86.07,58.94,24.77,11.68,0.43,,,1.46,,37.13,,14.33,5.32,0.54,0.55,,0.3,,,1.46,62.11,,,,40.24,7,,,,,,,1.15,,,,0.46,,,,,,,,,,53.92,,,0.95,1.15,0.74,,,,,,,,0.47,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,56.82,,10.4,,,,,27,58.49,,,57.44,0.76,,0.34,0.19,14.66,0.62,20.89,20.46,14.17,12.45,,,,,13.12,13.12,35.47,11.01,6.84,0.77,0.81,7.62,,2.29,12.38,,5.37,,34.88,3.56,20.29,22.37,1.87,,,1.56,,7.6,,13.55,6.56,,0.19,,,,,8.75,,0.41,,,2.68,,,,,0.51,1.25,8.53,7.75,,,4.5,,30.05,10,,,8,8696254174.0,Airlines,Transportation
AAON,33.38,72.31,,23.5,10.5,20.6,22,,22.6,79.65,0.6,10.97,75.42,18.87,,,,84.36,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.38,33.12,27.47,226.3,,,,6.24,3.02,0.72,2.66,0.43,0.38,,19.62,,,81.71,32.77,42.97,,,15.18,,18.83,10.07,41.33,41.33,3.39,6.29,,2.61,20.53,,237.64,4.83,1.29,,41.97,56.29,124.78,2.15,7.71,12.72,1.5,19.51,38.13,29.02,27.91,,22.62,,0.35,88.13,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,51.07,5.1,,192.4,8,16.8,,10.4,45.93,130.79,,48.12,1.9,,0.06,0.08,64.49,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.48,22.47,11.79,,20.35,10.68,0.65,0.67,4.45,0.22,,,1.55,17.7,16.02,,2.05,207.96,41.67,3.92,,,1.72,,2.98,1.45,20.72,15.36,1.65,0.34,,1.04,,,,1.57,0.29,,,14.35,,2.52,0.54,3.63,0.27,1.6,6.46,4.79,7.26,,3.59,,,8.24,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,19.47,39.49,2.9,1.3,5.7,20.9,23.2,14.6,15.7,23.27,0.72,4,34.17,8.39,,0.55,0.68,182.31,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.52,23.67,21.63,26.94,23.85,21.83,7.39,7.45,4.22,0.21,27.71,3.76,0.52,28.17,21.24,12.46,2.63,178.18,45.03,40.5,,,26.16,,30.76,38.38,28.64,28.64,1.69,7.49,,1.17,1.27,,27.01,6.93,1.86,,,24.8,28.66,1.55,2.12,38.06,1.02,29.33,279.4,57.36,159.97,,34.58,,3.56,43.36,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,46.09,,,9.7,8.1,22.2,18.4,8.5,49.03,7.43,9.2,45.42,0.64,,0.84,0.05,21.78,1.94,,145.67,6.48,6.84,1.43,,1.57,6,22.68,11.86,27.81,,,,6.73,4.41,0.4,23.98,7.9,6.09,,6.25,,,32.86,62.84,1.88,,,14.66,,27.6,1.12,26.18,26.18,11.38,3.81,,2.25,1.36,9.88,15.87,1.16,0.48,,,8.89,18.02,,1.01,1.17,1.94,2.15,576.18,4.53,5.34,,4.22,,3.21,28.56,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,7.99,76.27,,,9.6,18.2,8.3,16.6,13.4,82.66,7.07,6.55,78.57,2.16,,0.38,0.22,177.49,0.96,66.58,52.46,75.76,3.62,5.02,,0.67,3.39,35.31,21.39,14.37,14.28,13.7,6.61,6.61,2.83,0.09,45.53,7.93,3.51,15.63,26.41,9.5,1.38,135.87,62.42,6.64,,,8.95,,24.92,25.78,64.68,19.93,1,5.76,,1.25,0.45,,12.67,,1.31,,,12.28,19.85,0.85,1.45,,0.84,3.54,206.51,9.61,34.02,,9.33,,7.71,38.56,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,51.11,,631.1,,,,,215.7,56.63,,,52.68,3.44,,7.13,9.73,5.34,8.34,330,3766.17,358.81,,0.07,,,,,,,,,8.29,16.47,,0.78,,,,,,,,1.6,96.92,,,,,,,1.29,,,,31.43,,,,,,,,3.38,2.62,377.14,,,,1.51,8.33,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,7.6,38.34,,10.1,15.8,5.3,6.9,2,15.3,39.04,8.11,,37.81,3.78,,0.52,4.74,2.55,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.9,12.3,8.66,11.28,8.83,6.71,2.15,2.33,8.13,0.65,20.35,8.22,5.9,13.51,10.89,6.94,5.52,3.42,50.3,19.12,,,18.29,,22.51,2.25,13.4,12.86,5.59,2.48,,,,,12.18,1.67,0.43,,,9.07,14,,0.8,4.92,0.79,10.98,52.73,15.37,17.44,,18.54,,5.4,12.19,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
