Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,62.47,1.5,7.9,7.7,13.5,33.2,24.7,10.5,54.87,0.94,18.5,60.93,6.93,1.08,0.68,145.56,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.91,26.05,26.69,26.55,23.28,6.41,6.54,3.24,0.57,24.48,3.87,0.64,26.51,16.4,9.5,3.58,142.62,50.56,14.22,,18.35,,19.42,6.89,34.66,28.43,2.37,6.43,,0.91,1.63,,26.09,5.51,1.29,,,21.92,32.02,2.04,2.2,23.98,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,49.51,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,60.74,1.4,10.2,,,,,5.9,66.27,1.25,,63.89,1.03,0.31,0.49,31.86,1.45,86.07,58.94,24.77,12.36,0.45,,,1.25,,42.64,,16.45,6.11,0.62,0.63,,0.3,,,1.25,71.96,,,,40.35,7,,,,,,1.34,,,,0.54,,,,,,,,,,62.36,,,1.11,1.4,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAON,35.64,63.08,,26.3,8.1,29.5,31.8,,29.5,65.89,0.56,45.13,64.62,23.83,,0.01,85.51,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.37,31.15,25.85,143.77,,,,6.08,3.21,0.78,4.23,0.71,0.37,,20.47,,,80.76,34.15,46.97,,15.2,,19.47,9.48,40.07,40.07,1.6,6.12,,2.21,12.54,,144.69,4.6,1.24,,34.34,44.88,81.62,1.86,7,11.91,1.54,19.75,39.21,30.05,27.34,,22.64,,0.48,85.51,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,79.66,3.6,,26,,,,8.9,82.41,56.65,5.36,82.89,1.89,0.09,0.13,84.25,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.65,81.59,20.89,191.39,22.47,12.45,0.76,0.76,1.23,0.21,0.4,0.9,1.19,22.41,7.88,14,1.34,196.21,40.1,1.14,,0.17,,0.89,1.99,113.85,113.85,,0.46,,,,,113.52,5.21,0.39,,,17.52,,,0.7,5.36,0.29,0.15,2.06,1.5,0.72,,1.49,,,10.97,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,16.82,41.16,2.9,1.3,5.7,20.9,23.2,14.6,15.7,42.61,0.78,5.48,42.41,8,0.55,0.68,170.85,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.57,22.19,20.28,25.22,22.37,20.47,6.93,6.99,4.51,0.21,27.71,4.05,0.57,26.19,21.43,12.46,2.63,178.47,45.03,40.5,,26.16,,30.76,35.67,26.61,26.61,1.57,6.92,,1.1,1.19,,25.11,6.49,1.75,,,23.07,26.64,1.45,1.99,35.67,1.02,29.33,279.4,57.36,159.97,,34.58,,3.81,40.29,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,27.01,43.35,,,9.7,8.1,22.2,18.4,8.5,39.19,7.64,13.84,42.57,0.62,0.84,0.05,21.34,1.94,,145.67,6.48,6.84,1.43,,1.57,6.22,22.25,11.63,27.53,,,,6.6,4.49,0.4,23.98,8.14,6.29,,6.43,,,33.15,62.84,1.88,,14.66,,27.6,1.08,25.4,25.4,11.04,3.68,,2.2,1.33,9.58,15.44,1.12,0.47,,,8.59,17.49,,0.99,1.1,1.94,2.15,576.18,4.53,5.34,,4.22,,3.34,27.71,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,15.02,53.92,,,7.8,9.6,49.1,7.4,3.8,49.91,5.45,15.72,50.91,2.08,0.34,0.22,178.53,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.34,42.78,21.11,16.43,14.27,13.82,6.65,6.67,2.34,0.08,40.62,6.98,3.45,16.05,26.32,32.5,1.15,137.79,62.42,6.09,,8.95,,24.92,30.41,65.4,20.15,1.3,5.81,,0.9,0.47,,14.37,,1.33,,,13.87,24.59,0.98,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.83,39.5,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,39.39,,8.7,,,,,,33.05,,,36.5,2.91,6.39,9.83,4.58,7.33,,,330.79,,0.07,,,,,,,,,8.29,17.41,,0.77,,,,,,,,1.45,,,,,,,1.16,,,,34.65,,,,,,,,3.14,2.49,,,,,1.36,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.01,,2.2,20.8,5.4,3.2,9.8,11,31.5,9.79,,36.52,3.24,0.4,4.67,2.45,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6.16,10.19,7.49,9.76,8.56,6.46,2.12,2.28,9.81,0.6,23.91,9.93,6.16,13.27,14.36,,5.85,3.26,50.72,6.73,,18.19,,23.76,2.45,13.24,12.56,2.56,2.48,,,,,10.42,1.88,0.43,,,7.93,11.85,2.01,0.74,6.28,0.67,10.71,61.69,18.14,17.21,,17.86,,5.78,12.25,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,,59.67,2,8.4,5.9,40.8,24.6,,11.1,59.85,2.49,1.98,61.37,2.95,0.05,0.04,43.78,1.48,,,60.22,2.73,0.8,,0.27,2.04,10,7.8,15.9,10.9,8.56,0.51,0.51,10,0.37,3.2,9.44,2.07,13.29,25.12,,1.9,52.08,,4.92,,3.15,,5.04,1.52,11.2,13.55,0.84,0.35,,0.73,0.96,,11.04,,0.9,,,9.21,10,0.74,0.8,,1.48,5.21,63.86,11.09,14.3,,7.6,,,23.29,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
