Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,40.8,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,18.54,1.02,,33.81,5.12,,0.7,0.39,133.19,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.71,24.73,21.34,29.13,23.01,20.48,5.82,6.14,4.04,0.5,21.09,3.62,0.75,23.92,15.32,8.66,5.96,135.2,54.3,15.5,,,19.8,,22.86,6.43,30.09,25.14,2.21,5.95,,0.81,1.4,,28.19,0.99,6.97,1.18,,,22.11,28.65,2.04,1.99,43.33,1.58,11.63,68.51,17.6,21.45,,14.54,,3.58,41.18,,,10,33913792728.0,Medical Specialties,Health Technology
AA,40.65,29.03,30.58,1.4,10.2,,,,,75.95,5.9,6.57,1.05,21.63,18.68,1.35,,0.38,0.45,36.62,1.41,78.33,59.38,26.65,4.45,0.56,,,1.07,866.09,17.09,,4.75,3.69,0.91,1.05,0.11,0.36,,,1.07,9.53,,,6.49,31.9,11.35,1.6,,,,,2.02,1.84,,,,0.65,,,,,,1.14,,,,,18.09,,,1.43,1.9,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,0.21,60.37,28.98,,10.4,,,,,597.78,27,43.34,,27.04,55.52,0.69,,0.33,0.22,16.64,0.57,21.4,22.29,13.62,16.51,,,,,17.5,17.5,,8.44,5.74,0.73,0.77,5.71,,,,,7.41,,,3.99,16.38,20.34,1.4,,,0.51,,5.17,,49.88,15.14,,0.21,,,,,,1.02,,0.53,,,4.8,,,,,0.47,0.43,6.13,5.96,,,2.95,,25.57,14.33,,,8,8696254174.0,Airlines,Transportation
AAON,81.26,40.02,28.02,,26.3,8.1,29.5,31.8,,20.3,29.5,23.36,0.38,62.69,32.54,28.84,,,,123.83,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,41.09,33.14,97.31,,,,8.29,2.43,0.77,8.52,1.04,0.26,42.05,20.42,17.97,15.07,80.14,35.65,94.37,,,15.78,,20.14,12.49,53.96,53.96,2.15,8.46,,2.96,8.71,,99.42,1.55,6.18,1.67,,51.81,42.07,64.09,2.18,8.4,15.6,1.79,19.56,38.79,29.01,25.52,,21.87,,0.51,107.21,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,50.65,,3.6,,26,,,,,8.9,34.96,49.81,,46.38,1.9,,0.08,0.12,41.96,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.33,28.59,11.28,27.04,29.89,13.51,0.7,0.48,3.5,0.21,1.77,8.51,2.33,24.62,4.24,,,99.09,40.02,2.38,,,0.36,,1.55,0.99,58.86,55.09,,0.21,,,,,11.74,0.42,1.94,0.18,,,6.16,83.6,,0.4,1.62,0.62,0.36,4.12,2.95,1.7,,1.76,,4.35,5.92,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.91,64.9,,2.7,,4.9,6.2,6.4,8.6,,5.4,52.06,0.53,6.53,62.43,9.34,,0.37,0.61,249.79,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,30.77,28.15,34.84,28.65,26.39,9.09,9.69,3.25,0.16,27.83,2.9,0.4,33.78,18.06,11.41,6.91,188.64,46.21,,,,23.97,,31.51,65.8,40.8,36.75,2.31,9.78,,1.56,1.73,,35.16,1.32,10.44,2.17,,,32.35,37.67,2.36,2.76,65.8,0.83,26.93,278.63,59.87,140.28,,32.51,,3.06,53.81,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,22.81,28.41,1.72,,,9.7,8.1,22.2,18.4,28.45,8.5,9.11,6.38,27.77,19.35,0.76,,4.87,0.25,25.42,5.78,,148.94,6.31,7.97,1.8,,1.38,5.17,21.9,11.69,23.08,,,,6.84,4.57,0.35,29.66,8.59,5.17,51.35,9.25,,2.18,26.34,63.33,1.92,,,16.36,,28.14,1.33,26.71,26.71,11.61,4.35,,2.27,1.24,10.83,14.67,0.96,1.24,0.56,,,9.65,17.78,,1.12,1.35,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.41,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,8.44,40.58,,,,7.8,9.6,1.7,7.4,21.19,3.8,40.04,5.86,,40.23,1.77,,0.17,0.1,171.52,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.58,37.46,20.28,23.66,13.49,13.01,6.26,6.73,2.64,0.04,28.13,5.11,3.79,14.06,16.67,7.67,5.45,150.49,67.21,5.43,,,9.22,,26.13,50.68,60.08,16.09,1.04,5.52,,0.58,0.64,,19.64,1.14,,1.25,,,18.58,34.64,1.58,1.54,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.74,37.03,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,34.96,,,2.2,20.8,5.4,3.2,9.8,60.73,11,22.51,11.87,4.81,30.47,3.69,,0.59,6.19,2.03,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.47,7.67,5.76,8.91,8.39,6.44,2.04,1.85,13.04,0.67,25.25,10.28,5.59,11.28,15.86,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.04,14.42,14.12,2.88,2.45,,,,,9.79,0.74,1.69,0.47,,,7.73,10.46,1.72,0.72,4.49,0.9,10.03,70.19,19.21,15.52,,15.33,,5.94,12.38,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,11.05,37.43,10.17,,50.3,,28.2,37.8,,8.08,24,15.11,,7.44,27.11,2.76,,0.03,0.01,243.86,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.44,12.22,37.65,11.46,10.45,0.55,0.59,7.44,0.33,1.58,5.46,,8.93,30.92,,6.16,265.16,17.41,3.89,,,2.16,,5.9,1.42,13.78,9.05,0.28,0.3,,0.29,1.6,,18.45,0.92,,1.04,,,9.74,82.49,0.36,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.92,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,18.72,26.97,6.81,2,8.4,5.9,40.8,24.6,,23.18,11.1,9.84,2.19,9.19,18.73,2.91,,0.07,0.06,51.14,1.38,,,56.6,3.53,0.8,,0.26,1.79,14.91,10.99,16.66,11.33,9.14,0.54,0.55,6.71,0.36,3.3,8.64,2.11,13.96,26.69,,1.73,51.59,,3.58,,,1.89,,3.62,1.72,20.79,14.5,0.9,0.39,,0.8,1.04,,11.83,0.99,,1,,,9.62,14.55,0.74,0.88,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.59,26.07,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,36.11,2.09,,38.3,,,,,322.31,8,17.76,,,28.55,4.47,,0.99,4.98,129.35,1.62,,33.1,6.78,0.96,0.27,,,,30.81,30.04,17.18,20.08,19.76,5.76,6.52,3.12,0.38,37.96,5.16,,29.19,,,10.79,167.59,83.07,22.92,,,16.96,,15.01,9.42,44.75,44.75,,7.63,,,,,20.14,0.77,4.61,,,17.5,20.14,33.76,,,10.38,1.62,7.98,839.68,21.23,22.05,,19.8,,4.33,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,8.03,33.8,2.61,0.7,6.3,12.3,6.8,6.7,,,5.8,20.69,3.68,12.64,26.91,5.15,,0.52,0.52,112.42,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.97,27.39,19.04,31.08,21.48,16.96,4.47,4.89,3.65,0.54,15.74,3.34,2.11,21.78,11.43,8.9,6.44,108.84,55.55,11.5,,,13.99,,16.24,4.88,34.02,24.76,2.15,4.75,,1.34,1.57,,30.16,1.03,4.95,1.11,,,22.42,39.4,3.08,1.87,22.08,1.14,7.9,65.41,12.45,14.86,,10.65,,3.49,39.98,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,29.46,37.41,10.16,,6.9,,13.2,4.1,,3.27,5.9,14.16,0.19,24.19,27.08,2.81,,1.75,0.61,99.08,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.2,27.14,14.42,44.63,,,1.82,2.29,3.49,0.56,4.86,2.46,0.2,22.41,18.17,26.64,11.51,77.77,19.84,4.58,,,5.17,,7.87,2.02,38.32,31.2,1.54,1.98,,,,,40.7,1.28,2.43,,,,15.56,23.86,1.96,1.34,4.4,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
