Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,47.12,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,45.04,1.04,5.61,45.31,5.2,0.7,0.39,134.42,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.72,25.21,21.76,29.69,23.46,20.88,5.94,6.26,3.97,0.5,21.09,3.58,0.75,24.15,15.28,8.61,5.95,135.83,54.3,15.5,,19.8,,22.86,6.5,30.41,25.41,2.23,6.03,,0.81,1.41,,28.45,0.99,7.04,1.19,,,22.3,28.77,2.06,1.99,43.79,1.58,11.63,71.45,17.6,21.45,,14.54,,3.54,41.62,,,10,33913792728.0,Medical Specialties,Health Technology
AA,31.8,34.96,16.83,1.4,10.2,,,,,75.95,5.9,32.28,1.1,18.19,31.57,1.36,0.38,0.45,37.15,1.41,78.33,59.38,26.65,4.45,0.56,,,1.1,873.45,17.23,,4.8,3.72,0.92,1.03,0.11,0.36,,,1.1,9.11,,,6.69,31.41,11.35,1.6,,,,2.02,1.83,,,,0.64,,,,,,1.18,,,,,18.02,,,1.45,1.89,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,4.65,68.09,26.64,,10.4,,,,,597.78,27,71.53,,29.79,68.35,0.69,0.33,0.22,17.62,0.57,21.4,22.29,13.62,16.51,,,,,17.74,17.74,,8.55,5.82,0.74,0.79,5.64,,,,,7.82,,12.26,4.05,16.48,20.34,1.4,,0.51,,5.17,,53.39,16.21,,0.22,,,,,,1.07,,0.56,,,5.13,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.25,15.32,,,8,8696254174.0,Airlines,Transportation
AAON,83.3,39.05,27.02,,26.3,8.1,29.5,31.8,,20.3,29.5,23.13,0.39,56.97,31.93,28.62,,,119.65,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,40.73,32.86,96.48,,,,8.22,2.46,0.77,8.52,1.06,0.26,40.63,20.42,17.97,15.07,80.3,35.65,94.37,,15.78,,20.14,12.2,52.71,52.71,2.1,8.28,,2.86,8.41,,97.1,1.49,5.97,1.61,,50.06,41.13,62.62,2.11,8.11,15.24,1.79,19.56,38.79,29.01,25.52,,21.87,,0.52,104.96,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.05,7.39,3.6,,26,,,,,8.9,54.48,46.18,,53.34,1.9,0.08,0.12,46.05,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.16,28.9,11.41,27.34,30.22,13.66,0.7,0.48,3.46,0.21,1.77,7.94,2.16,26.9,3.92,,,94.3,40.02,2.38,,0.36,,1.55,1.06,63.08,59.04,,0.21,,,,,12.58,0.49,2.13,0.2,,,6.62,89.57,,0.43,1.73,0.62,0.36,4.12,2.95,1.7,,1.76,,4.23,6.34,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.63,67.64,3.13,2.7,,4.9,6.2,6.4,8.6,,5.4,58.77,0.53,9.73,65.73,9.56,0.37,0.61,252.2,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,31.69,29,35.89,29.54,27.18,9.37,9.99,3.16,0.16,27.83,2.85,0.4,34.1,17.99,11.41,6.91,189.04,46.21,,,23.97,,31.51,66.9,41.48,37.36,2.35,9.92,,1.57,1.75,,35.77,1.33,10.54,2.19,,,32.92,38.34,2.38,2.78,66.9,0.83,26.93,278.63,59.87,140.28,,32.51,,2.98,54.71,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,25.1,37.71,7.68,,,9.7,8.1,22.2,18.4,28.45,8.5,37.23,6.33,32.64,35.92,0.76,4.87,0.25,26.01,5.78,,148.94,6.31,7.97,1.8,,1.38,5.15,21.99,11.74,23.17,,,,6.87,4.55,0.35,29.66,8.55,5.15,52.55,9.22,,2.77,26.49,63.33,1.92,,16.36,,28.14,1.34,26.81,26.81,11.66,4.37,,2.32,1.27,10.88,14.66,0.98,1.27,0.57,,,9.68,17.82,,1.15,1.35,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.72,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,18.21,50.72,,,,7.8,9.6,1.7,7.4,21.19,3.8,57.49,5.78,8.34,54.39,1.81,0.17,0.1,176.2,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.54,38.35,20.76,24.22,13.81,13.32,6.41,6.81,2.61,0.04,28.13,5.02,3.75,14.45,16.48,7.74,5.5,150.67,67.21,5.43,,9.22,,26.13,51.67,61.18,16.39,1.06,5.61,,0.6,0.66,,19.99,1.17,,1.28,,,18.96,35.28,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.69,37.73,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,55.82,14.94,,8.7,,,,,,,64.09,,4.17,58.32,1.95,8.08,9.01,2.82,9.34,,,376.42,,0.07,,,,,,,,,8.29,9.45,,0.77,,,,,,,22.79,1.0,,,,,,,0.77,,,,24.96,,,,,,2.82,,,2.54,1.94,,,,,0.85,9.34,,,,,,,,1.01,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,28.86,,,2.2,20.8,5.4,3.2,9.8,60.73,11,16.26,9.69,2.87,23.79,3.55,0.59,6.19,1.85,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.1,6.98,5.24,8.39,7.9,6.06,1.92,1.68,14.33,0.67,25.25,13.77,6.1,10.28,16.3,3.83,6.6,2.72,50.98,7.91,,16.92,,23.87,1.91,10.76,10.51,2.14,2.29,,,,,9.15,0.68,1.57,0.43,,,7.23,9.8,1.59,0.67,4.2,0.9,10.03,70.19,19.21,15.52,,15.33,,5.93,11.56,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
