Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,13.7,63.65,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,82.11,1,1.55,69.73,6.21,0.74,0.61,142.92,1.78,125.99,57.06,69.2,1.56,0.5,,0.18,0.66,25.91,22.46,29.74,25.28,22.1,6.17,6.49,3.86,0.54,21.81,3.45,0.67,25.26,15.57,4.91,2.34,133.66,54.39,17.3,,21.75,,22.9,6.96,29.65,27.43,2.29,6.45,,0.8,1.7,,29.64,5.69,1.28,,,23.53,29.54,2.13,2.2,26.57,1.37,13.03,72.53,18.1,23.78,,16.15,,3.14,46.1,,,10,33913792728.0,Medical Specialties,Health Technology
AA,7.66,44.92,1.4,10.2,,,,,75.95,5.9,38.52,1.24,16.76,44.61,1.21,0.44,0.55,32.1,1.55,79.98,58.53,26.31,10.94,0.65,,,1.24,,40.95,,27.53,9.39,0.84,0.89,,0.27,,,1.24,51.2,,,2.82,39.31,8.14,,,,,,1.5,,,,0.54,,,,,,,,,,17.65,,,1.42,1.55,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,57.01,,10.4,,,,,597.78,27,73.96,,,63.78,0.65,0.34,0.21,10.62,0.6,20.92,21.96,14.01,19.76,,,,,18.95,18.95,,19.14,8.7,0.71,0.71,5.28,,,,,10.45,,,4.06,16.62,20.23,1.4,,,,5.34,,,10.98,,0.13,,,,,,,0.32,,,3.44,,,,,0.5,,5.17,4.89,,,12.18,,45.82,7.93,,,8,8696254174.0,Airlines,Transportation
AAON,37.89,67.57,,26.3,8.1,29.5,31.8,,20.3,29.5,77.91,0.52,3.08,72.36,20.12,,,95.56,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.34,31.63,25.93,75.01,,,,6.44,3.16,0.73,8.59,1.33,0.34,42.17,20.52,18.09,11.33,78.51,36.27,88.05,,15.61,,20.32,10.44,43.02,43.02,1.71,6.64,,2.17,6.25,,77.99,5.04,1.32,,50.56,35.22,55.05,1.72,7.03,13.27,1.7,19.5,39.13,29.71,25.86,,21.83,,0.58,87.62,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,23.3,3.6,,26,,,,,8.9,8.78,47.03,,17.1,1.74,0.09,0.12,45.31,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.2,136.84,17.5,17.71,13.67,8.16,0.56,0.55,0.73,0.21,3.13,13.03,2.2,18.97,4.73,85.44,,147.78,39.48,0.41,,,,0.3,1.04,4531,4531,,0.24,,,,,7.67,22.88,0.21,,,5.01,16.39,,0.4,2.6,0.3,,0.91,0.64,,,0.32,,,6.05,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,16.6,61.58,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,66.48,0.59,21.05,64.65,10.25,0.47,0.61,229.0,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.5,26.14,33.86,26.34,24.43,8.41,9.16,3.51,0.2,27.06,3,0.44,30.62,19.81,11.13,6.01,183.4,45.96,120.35,,26.44,,31.27,52.28,34.86,34.86,2.06,9.17,,1.31,1.48,,34.01,9,2.13,,,31.44,36.66,2.01,2.59,52.28,0.91,29.81,269.91,59,151.08,,35.41,,3.2,50.44,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,19.7,69.39,,,9.7,8.1,22.2,18.4,28.45,8.5,85.84,5.99,19.7,74.79,0.74,0.99,0.07,27.25,1.84,,145.05,6.23,6.69,1.44,,1.49,4.88,24.01,12.67,23.27,,,,7.29,4.16,0.4,31.33,8.41,4.92,36.33,8.09,,2.7,27.17,62.62,1.87,,15.39,,27.37,1.39,30.62,30.62,13.31,4.64,,2.45,1.2,11.85,14.81,1.39,0.6,,,10.06,20.26,,1.22,1.41,1.84,2.29,628.91,4.67,5.7,,4.27,,3.71,33.64,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,25.93,67.07,,,7.8,9.6,49.1,7.4,26.06,3.8,61.02,5.09,6.09,65.98,2.04,0.31,0.19,196.31,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.12,42.03,22.24,22.62,16.22,15.6,7.24,7.31,2.38,0.05,32.33,5.13,3.16,18.04,20.1,7.41,5.2,146.27,62.76,5.48,,9.71,,24.95,51.12,65.44,18.35,1.18,6.31,,0.75,0.58,,19.54,,1.44,,,18.64,32.92,1.27,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.89,42.58,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,41.09,,8.7,,,,,,,41.58,,,41.01,1.89,9.52,9.3,2.56,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.45,,0.79,,,,,,,31.92,1.06,,,,,,,0.67,,,,22.19,,,,,,,,2.04,1.6,,,,,0.77,10.96,,,,,,,,0.73,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,49.05,,2.2,20.8,5.4,3.2,9.8,60.73,11,27.61,10.61,,42.39,3.7,0.44,4.44,2.27,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.68,8.81,6.59,9.35,9.35,7.13,2.25,2.11,11.35,0.66,25.65,11.49,6.68,13.12,14.59,5.17,6.56,2.66,50.83,7.5,,17.86,,24.06,2.12,12.47,11.95,2.44,2.54,,,,,9.95,1.71,0.47,,,7.83,11,1.8,0.74,4.83,0.79,10.57,68.13,19.18,16.5,,16.25,,5.96,12.61,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,21.52,72.98,2,8.4,5.9,40.8,24.6,,23.18,11.1,90.95,1.92,34.76,79.9,3.12,0.05,0.04,57.15,1.44,,,58.62,2.69,0.76,,0.28,1.57,11.98,9.38,14,12.05,9.74,0.58,0.59,8.35,0.37,4.23,9.68,1.58,15.48,26.01,,2.09,50.84,,4.81,,3.04,,4.88,1.95,14.96,18.2,1.13,0.44,,0.9,0.86,,10.76,,1.15,,,9.14,9.86,0.91,0.99,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.41,29.16,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABT,0.87,65.75,0.7,6.3,12.3,6.8,6.7,,,5.8,74.89,3.58,,69.6,5.29,0.52,0.49,113.27,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.92,28.63,19.66,36.03,21.95,18.95,4.87,5,3.49,0.54,13.88,2.87,1.95,24.31,12.91,8.41,6.41,106.61,55.24,10.7,,13.65,,15.92,5.01,35.73,25.45,2.21,4.92,,0.81,1.66,,35.06,5.22,1.15,,,25.07,45.97,2.62,1.92,24.1,1.18,7.63,64.74,12.05,14.52,,10.37,,3.1,41.34,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,16.69,60.28,,6.9,,13.2,4.1,,3.27,5.9,69.39,0.22,10.52,64.43,3.18,0.24,0.15,91.49,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.22,23.48,13.06,307.75,,,1.89,2.06,4.26,0.63,0.67,0.37,0.22,26.34,20.03,,,70.49,19.03,5.57,,6.05,,7.68,1.83,30.06,30.13,1.49,1.81,,,,,271.68,2.37,,,,19.63,30.34,1.72,1.29,4.14,1.36,4.09,12.41,6.71,6.29,,4.98,,0.58,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,52.17,,,,38.8,40.9,46.1,223.57,16.4,70.56,,,57.2,2.09,1.48,8.69,16.57,2.16,197.37,87.05,38.64,1.68,0.11,,,,99.22,66.05,28.11,22.81,35.31,2.39,2.54,1.01,0.57,9.04,2.93,,31.82,,,16.93,32.61,91.73,,,3.43,,2.56,5.31,92.11,92.11,4.13,3.07,,,,,34.19,5.24,,26.73,8.29,34.19,140.47,,,6.71,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,72.74,,12.2,,,16.9,,,10.9,83.26,,,77.64,2.41,0.14,0.04,81.98,1.18,18.83,519.12,44.07,8.34,0.67,,,,98.52,39.74,,15.75,12.55,2.93,3.08,1.02,0.52,,,,23.21,,15.72,10.23,86.12,96.46,5.51,,,,17.58,2.54,,22.95,,2.43,,,,,,3.52,1.11,,,70.8,,,2.42,12.16,1.17,,3.96,2,,,,,,256.03,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,37.87,,100.9,,,,,,,26.43,,,33.89,,4.31,,,4.49,,,,,,,,,,,,,,315.26,,,,,,,,,16.47,,,,,,,,,3.56,,,,,,,,,,,,5.4,5.07,,,,,3.43,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,41.21,,18.8,33.9,6,,,132.17,4.2,21.88,2.45,,35.2,3.6,0.04,0.02,19.62,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.45,13.43,5.84,30.72,12.12,6.2,0.32,0.32,7.45,0.11,1.05,7.13,2.45,8.27,19.47,,1.71,21.82,27.84,3.99,,1.41,,2.43,4,10.48,7.68,0.57,0.15,,,,,14.11,,,,,4.21,12.56,0.83,0.76,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.47,31,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,74.47,74.49,2.6,5.9,,7,21.8,,142.28,6.8,83.4,,29.99,77.72,2.94,0.15,0.15,50.36,1.32,,22.1,60.56,2.39,0.84,,,,19.57,13.97,24.62,,15.91,3.86,3.98,5.11,0.37,16.16,4.69,,32.74,13.44,23.91,6.24,32.6,50.71,3.86,,12.01,,19.46,4.27,29.62,26.93,2.24,3.54,,1.25,1.75,,21.97,,1.39,,,18.77,24.17,2.57,1.58,,1.32,5.59,174.23,13.31,14.81,,7.6,,2.94,54.74,,,10,2556336665.0,Packaged Software,Technology Services
