Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,28.25,32.71,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,16.35,1.07,4.62,25.28,6.01,0.74,0.61,133.46,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.88,21.56,28.54,24.27,21.22,5.92,6.23,4.02,0.54,21.81,3.7,0.71,23.64,15.74,4.78,2.34,133.85,54.39,17.3,,21.75,,22.9,6.5,27.69,25.62,2.14,6.01,,0.82,1.72,,27.57,5.32,1.19,,,21.88,27.56,1.98,2.05,24.81,1.37,13.03,74.15,18.1,23.78,,16.15,,3.27,43.05,,,10,33913792728.0,Medical Specialties,Health Technology
AA,40.9,64.08,1.4,10.2,,,,,75.95,5.9,64.72,0.95,,64.72,1.42,0.38,0.45,42.02,1.41,78.33,59.38,26.65,4.45,0.56,,,0.95,949.71,18.73,,6.73,4.9,1.07,1.12,0.11,0.36,,,0.95,13.47,,,3.98,34.89,11.35,1.6,,,,2.02,2.07,,,,0.72,,,,,,,,,,20.04,,,1.64,2.07,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,71.39,,10.4,,,,,597.78,27,77.39,,,74.94,0.67,0.34,0.21,12.96,0.6,20.92,21.96,14.01,19.76,,,,,19.8,19.8,,10.59,6.32,0.7,0.74,5.05,,,,,6.59,,,4.04,16.4,20.23,1.4,,,,5.34,,,13.4,,0.17,,,,,,,0.39,,,4.19,,,,,0.5,,5.17,4.89,,,12.18,,36.71,9.67,,,8,8696254174.0,Airlines,Transportation
AAON,95.69,53.66,,26.3,8.1,29.5,31.8,,20.3,29.5,27.3,0.46,19.97,43.76,23.02,,,107.13,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.3,37,30.33,87.73,,,,7.53,2.7,0.73,8.59,1.18,0.3,38.82,20.44,16.31,10.76,78.96,36.27,88.05,,15.61,,20.32,11.71,48.26,48.26,1.92,7.52,,2.62,7.58,,87.45,5.65,1.48,,56.68,39.56,61.73,1.93,7.88,14.88,1.7,19.5,39.13,29.71,25.86,,21.83,,0.49,98.28,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,42.92,3.6,,26,,,,,8.9,43.38,54.52,,45.25,1.72,0.09,0.12,38.75,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.55,130.08,16.64,16.83,22.19,10.02,0.53,0.53,0.77,0.21,3.13,15.24,2.55,14.06,6.4,83.71,,147.22,39.48,0.41,,,,0.3,0.89,3875,3875,,0.21,,,,,6.58,19.57,0.18,,,4.26,14.02,,0.34,2.22,0.3,,0.91,0.64,,,0.32,,,5.17,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,49.83,55.84,,,9.7,8.1,22.2,18.4,28.45,8.5,47.89,6.01,26.6,54.47,0.75,0.99,0.07,27.37,1.84,,145.05,6.23,6.69,1.44,,1.49,4.89,24.22,12.78,23.47,,,,7.35,4.13,0.4,31.33,8.37,4.91,38.55,8.03,,2.87,27.1,62.62,1.87,,15.39,,27.37,1.4,30.75,30.75,13.37,4.72,,2.67,1.3,12.04,15.08,1.39,0.6,,,10.28,20.63,,1.22,1.42,1.84,2.29,628.91,4.67,5.7,,4.27,,3.64,33.79,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,32.31,40.57,,,7.8,9.6,1.7,7.4,21.19,3.8,38.51,5.35,15.24,37.71,1.97,0.31,0.19,188.76,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.28,40.43,21.39,21.76,14.22,13.84,6.62,7.04,2.47,0.05,32.33,5.33,3.28,15.64,20.36,7.09,4.98,146.89,62.76,4.9,,9.71,,22.31,49.16,62.92,17.64,1.14,6.05,,0.64,0.62,,18.76,,1.38,,,17.92,31.75,1.23,1.69,,0.71,3.83,192.43,9.41,53.28,,8.16,,3.06,40.95,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,60.94,,8.7,,,,,,,70.51,,,65.63,2.03,9.52,9.3,2.84,10.96,,,406.96,,0.07,,,,,,,,,8.29,6.59,,0.79,,,,,,,32.02,1.06,,,,,,,0.75,,,,24.3,,,,,,,,2.27,1.78,,,,,0.86,10.96,,,,,,,,0.67,,,,4,1545160366.0,Biotechnology,Health Technology
ABG,9.89,46.27,,50.3,,28.2,37.8,,8.08,24,36.18,,3.73,43.84,2.67,0.03,0.02,225.9,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.93,11.82,,10.89,9.97,0.55,0.61,7.73,0.32,,,,7.8,30.4,,6.44,260.98,17.75,4.56,,2.51,,6.31,1.36,11.59,7.81,0.24,0.3,,0.25,,,,,0.99,,,41.47,,0.31,0.52,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.35,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,29.26,52.9,2,8.4,5.9,40.8,24.6,,23.18,11.1,45.85,2.07,17.14,52.37,2.95,0.07,0.06,53.43,1.38,,,56.6,3.53,0.8,,0.26,1.69,15.68,11.56,17.52,11.91,9.61,0.57,0.58,6.38,0.36,3.3,8.13,1.69,14.58,26.2,,1.62,51.44,,3.58,,1.89,,3.62,1.83,22.08,15.4,0.96,0.42,,0.83,1.09,,12.58,,1.04,,,10.23,15.44,0.77,0.92,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.32,27.68,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
