Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,13.41,57.43,1.5,7.9,7.7,13.5,33.2,24.7,10.5,62.27,0.98,1.06,59.3,6.63,0.85,0.65,140.22,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.65,25.46,22.07,26.92,24.93,21.83,6.12,6.37,3.93,0.57,21.81,3.51,0.65,24.56,15.83,5.44,2.44,135.14,50.63,14.64,,18.84,,19.54,6.58,29.09,26.91,2.24,6.27,,0.77,1.54,,26.87,5.11,1.24,,,21.77,32.85,2,2.11,22.29,1.64,11.49,63.42,15.6,20.99,,14.11,,2.74,45.97,,,10,33913792728.0,Medical Specialties,Health Technology
AA,19.98,50.34,1.4,10.2,,,,,5.9,64.73,1.21,24.43,56.85,1.23,0.44,0.55,32.52,1.55,79.98,58.53,26.31,10.94,0.65,,,1.21,,41.85,,28.15,9.6,0.86,0.91,,0.27,,,1.21,57.86,,,2.82,39.24,8.14,,,,,,1.5,,,,0.56,,,,,,,,,,18.17,,,1.43,1.57,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,52.77,,10.4,,,,,27,72.96,,,59.8,0.65,0.34,0.21,10.14,0.6,20.92,21.96,14.01,19.76,,,,,18.95,18.95,,19.15,8.7,0.71,0.71,5.28,,,,,9.98,,,4.06,16.65,20.23,1.4,,,,5.34,,,10.49,,0.13,,,,,,,0.31,,,3.26,,,,,0.5,,5.17,4.89,,,12.18,,45.78,7.57,,,8,8696254174.0,Airlines,Transportation
AAON,48.94,62.99,,26.3,8.1,29.5,31.8,,29.5,74.29,0.55,7.74,67.7,19.81,,,93.0,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,31.05,25.45,73.63,,,,6.32,3.22,0.73,8.59,1.36,0.36,41.61,20.53,18.37,11.35,78.31,36.27,88.05,,15.61,,20.32,10.16,41.89,41.89,1.67,6.56,,2.11,6.08,,75.94,4.9,1.28,,49.21,34.32,53.58,1.68,6.84,12.92,1.7,19.5,39.13,29.71,25.86,,21.83,,0.6,85.32,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,52.75,3.6,,26,,,,8.9,60.92,41.47,,55.96,1.29,0.09,0.11,51.1,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.94,71.56,17.63,15.32,21.03,11.11,0.64,0.64,1.4,0.21,4.18,15.47,1.94,14.07,6.42,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.19,74.06,74.06,,0.27,,,,,6.49,3.18,0.24,,,4.55,10.05,,0.44,3.07,0.29,0.13,1.96,1.42,0.62,,1.21,,,6.7,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,19.99,61.31,,,9.7,8.1,22.2,18.4,8.5,68.74,6.3,13.5,62.76,0.72,0.99,0.07,26.05,1.84,,145.05,6.23,6.69,1.44,,1.49,5.13,23.55,12.43,22.82,,,,7.15,4.25,0.4,31.33,8.79,5.17,34.73,8.26,,2.7,27.16,62.62,1.87,,15.39,,27.37,1.33,29.27,29.27,12.73,4.48,,2.34,1.14,11.38,14.29,1.33,0.57,,,9.73,19.54,,1.16,1.35,1.84,2.29,628.91,4.67,5.7,,4.27,,3.85,32.16,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,17.11,72.08,,,7.8,9.6,49.1,7.4,3.8,80.54,5.08,,75.68,2.05,0.31,0.19,196.37,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.11,42.28,22.37,22.76,16.32,15.69,7.28,7.36,2.37,0.05,32.33,5.13,3.14,18.06,20.06,7.41,5.2,146.22,62.76,5.48,,9.71,,24.95,51.14,65.46,18.35,1.18,6.34,,0.75,0.58,,19.64,,1.44,,,18.74,33.14,1.27,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.89,42.6,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.98,,8.7,,,,,,43.83,,,40.87,1.95,9.52,9.3,2.51,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.43,,0.79,,,,,,,31.92,1.13,,,,,,,0.7,,,,23.16,,,,,,,,2.01,1.57,,,,,0.76,10.96,,,,,,,,0.7,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,65.76,,2.2,20.8,5.4,3.2,9.8,11,58.76,10.34,,65.72,3.72,0.44,4.44,2.33,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.51,9.06,6.78,9.42,9.41,7.18,2.26,2.18,11.04,0.66,25.65,11.19,6.51,13.31,14.55,5.17,6.56,2.62,50.83,7.5,,17.86,,24.06,2.1,12.8,12.26,2.5,2.53,,,,,9.94,1.7,0.46,,,7.84,10.98,1.79,0.74,4.85,0.79,10.57,68.13,19.18,16.5,,16.25,,5.96,12.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,15.01,49.29,,50.3,,28.2,37.8,,24,58.58,,18.89,50.88,2.68,0.03,0.02,230.89,1.25,45.36,16.38,4.15,6.36,1.58,,,,13.06,11.94,,12.36,9.77,0.57,0.62,7.66,0.32,,,,7.91,30.18,,8.9,254.71,17.75,4.56,,2.51,,6.31,1.38,11.85,7.98,0.25,0.3,,0.23,,,,,1.01,,,42.44,,0.32,0.53,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.62,,,10,4632090814.999999,Specialty Stores,Retail Trade
