Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,48.77,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,50.86,1.02,,48.05,5.18,,0.7,0.39,136.1,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.7,25.03,21.6,29.48,23.31,20.74,5.9,6.22,4,0.5,21.09,3.57,0.74,24.45,15.3,8.61,5.95,135.68,54.3,15.5,,,19.8,,22.86,6.51,30.45,25.44,2.23,6.01,,0.82,1.42,,28.47,1,7.13,1.2,,,22.33,28.79,2.08,2.01,43.84,1.58,11.63,71.45,17.6,21.45,,14.54,,3.57,41.7,,,10,33913792728.0,Medical Specialties,Health Technology
AA,34.65,38.86,23.63,1.4,10.2,,,,,75.95,5.9,45.95,1.03,12.11,37.45,1.36,,0.38,0.45,38.61,1.41,78.33,59.38,26.65,4.45,0.56,,,1.04,876.63,17.29,,4.89,3.8,0.94,1.04,0.11,0.36,,,1.04,9.86,,,6.69,31.7,11.35,1.6,,,,,2.02,1.9,,,,0.66,,,,,,1.22,,,,,18.7,,,1.51,1.97,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,0.49,68.02,30.25,,10.4,,,,,597.78,27,71.49,,28.85,68.29,0.69,,0.33,0.22,17.35,0.57,21.4,22.29,13.62,16.51,,,,,17.61,17.61,,8.54,5.81,0.74,0.78,5.68,,,,,7.74,,12.14,4.01,16.43,20.34,1.4,,,0.51,,5.17,,52.27,15.87,,0.22,,,,,,1.06,,0.56,,,5.03,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.39,15.02,,,8,8696254174.0,Airlines,Transportation
AAON,87.2,41.85,27.96,,26.3,8.1,29.5,31.8,,20.3,29.5,30.55,0.39,71.8,35.98,29,,,,123.44,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,41.6,33.56,98.53,,,,8.39,2.4,0.77,8.52,1.03,0.26,41.92,20.42,17.97,15.07,80.21,35.65,94.37,,,15.78,,20.14,12.56,54.28,54.28,2.16,8.51,,2.95,8.68,,100.01,1.54,6.16,1.66,,51.65,42.33,64.47,2.18,8.37,15.7,1.79,19.56,38.79,29.01,25.52,,21.87,,0.52,107.85,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,18.73,75.68,1.1,2.7,,4.9,6.2,6.4,8.6,,5.4,80.58,0.53,10.44,78.26,9.55,,0.37,0.61,258.2,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.39,31.56,28.87,35.74,29.5,27.15,9.36,9.94,3.17,0.16,27.83,2.82,0.39,34.92,18,11.41,6.91,188.82,46.21,,,,23.97,,31.51,67.76,41.99,37.82,2.38,10.07,,1.61,1.79,,36.19,1.37,10.79,2.24,,,33.29,38.77,2.44,2.85,67.71,0.83,26.93,278.63,59.87,140.28,,32.51,,2.99,55.42,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,23.97,38.04,2.78,,,9.7,8.1,22.2,18.4,28.45,8.5,38.59,6.36,29.94,35.91,0.76,,4.87,0.25,26.25,5.78,,148.94,6.31,7.97,1.8,,1.38,5.14,21.94,11.71,23.15,,,,6.86,4.56,0.35,29.66,8.53,5.14,52.67,9.2,,2.77,26.52,63.33,1.92,,,16.36,,28.14,1.34,26.88,26.88,11.69,4.34,,2.35,1.28,10.99,14.8,0.99,1.28,0.58,,,9.85,17.98,,1.16,1.36,5.78,2.43,683.81,4.81,6.24,,4.5,,,32.01,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.21,54.64,,,,7.8,9.6,1.7,7.4,21.19,3.8,72.59,5.67,2.44,61.52,1.83,,0.17,0.1,180.0,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.48,37.92,20.52,24.26,13.83,13.34,6.42,6.74,2.64,0.04,28.13,4.96,3.68,14.76,16.41,7.74,5.5,150.57,67.21,5.43,,,9.22,,26.13,52.72,61.94,16.59,1.07,5.75,,0.61,0.67,,20.43,1.2,,1.31,,,19.33,35.7,1.66,1.62,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.66,38.52,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,53.54,9.52,,8.7,,,,,,,62.26,,,55.3,1.87,,8.08,9.01,2.95,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.1,,0.77,,,,,,,22.79,1.0,,,,,,,,0.8,,,,25.82,,,,,,2.95,,,2.66,2.03,,,,,0.88,9.34,,,,,,,,1.07,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,30.44,,,2.2,20.8,5.4,3.2,9.8,60.73,11,18.88,12.65,4.29,25.75,3.59,,0.59,6.19,1.9,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,5.94,8.87,6.65,8.51,8.01,6.14,1.95,2.13,11.27,0.67,25.25,10.73,5.94,10.56,16.19,3.83,6.6,2.75,50.98,7.91,,,16.92,,23.87,1.96,13.82,13.53,2.76,2.35,,,,,9.38,0.69,1.61,0.44,,,7.41,10.02,1.64,0.68,4.32,0.9,10.03,70.19,19.21,15.52,,15.33,,6.11,11.87,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,16.56,43.67,13.49,,50.3,,28.2,37.8,,8.08,24,42.31,,13.73,39.94,2.76,,0.03,0.01,247.04,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.5,12.27,37.82,11.47,10.45,0.55,0.6,7.41,0.33,1.58,5.45,,9.05,30.91,,6.16,265.76,17.41,3.89,,,2.16,,5.9,1.42,13.8,9.06,0.28,0.3,,0.29,1.62,,18.47,0.93,,1.05,,,9.75,82.58,0.37,0.51,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.93,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,24.43,32.85,12.97,2.6,6.2,5.8,5.2,24.3,,,12.8,27.31,2.24,10.77,28.53,2.8,,0.05,0.04,50.85,1.33,,,56.48,4.47,0.82,,0.26,1.79,20.67,13.9,27.01,11.02,8.75,0.53,0.54,4.84,0.35,2,5.34,2.11,13.53,25.04,,2.31,52.11,,2.5,,,0.98,,2.54,1.76,39.65,14.77,1.26,0.38,,0.77,1.67,,19.11,0.98,,0.97,,,14.11,59.66,0.81,0.89,,1.33,1.63,40.75,5.81,4.49,,3.02,,3.81,27.25,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,49.84,4.46,,38.3,,,,,322.31,8,57.26,,,51,4.66,,0.99,4.98,134.99,1.62,,33.1,6.78,0.96,0.27,,,,32.63,31.81,18.19,21.32,20.98,6.12,6.91,3.06,0.38,37.96,4.9,,30.46,,,10.76,167.85,83.07,22.92,,,16.96,,15.01,9.94,47.2,47.2,,8.04,,,,,21.22,0.8,4.81,,,18.27,21.22,35.61,,,10.95,1.62,7.98,839.68,21.23,22.05,,19.8,,4.12,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,8.01,49.34,3.9,0.7,6.3,12.3,6.8,6.7,,,5.8,63.87,3.6,11.83,52.68,5.23,,0.52,0.52,114.76,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.92,27.93,19.42,31.69,21.9,17.29,4.56,4.99,3.58,0.54,15.74,3.27,2.06,22.14,11.36,8.9,6.44,108.95,55.55,11.5,,,13.99,,16.24,4.98,34.74,25.29,2.2,4.85,,1.37,1.6,,30.8,1.05,5.06,1.13,,,22.89,40.24,3.15,1.91,22.55,1.14,7.9,65.41,12.45,14.86,,10.65,,3.44,40.85,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,32.56,33.55,17.64,,6.9,,13.2,4.1,,3.27,5.9,12.8,0.2,31.58,23.58,2.79,,1.75,0.61,100.02,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.2,26.79,14.24,44.05,,,1.78,2.14,3.73,0.56,4.86,2.52,0.2,22.61,18.2,27.02,11.51,77.91,19.84,4.58,,,5.17,,7.87,1.97,37.43,30.47,1.51,1.94,,,,,39.73,1.28,2.45,,,,15.22,23.32,1.98,1.35,4.29,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
