Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,7.45,60.12,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,63.77,0.97,2.74,63.44,5.38,,0.7,0.39,141.19,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,26.31,22.7,30.98,24.48,21.78,6.19,6.53,3.8,0.5,21.09,3.39,0.7,25.36,15.14,8.66,5.96,135.0,54.3,15.5,,,19.8,,22.86,6.86,32.11,26.83,2.35,6.35,,0.85,1.48,,30.08,1.05,7.39,1.25,,,23.59,30.57,2.16,2.11,46.23,1.58,11.63,68.51,17.6,21.45,,14.54,,3.37,43.94,,,10,33913792728.0,Medical Specialties,Health Technology
AA,78.98,39.27,58.96,1.4,10.2,,,,,75.95,5.9,15.79,0.96,8.79,30.14,1.42,,0.38,0.45,39.54,1.41,78.33,59.38,26.65,4.45,0.56,,,0.97,941.22,18.57,,5.17,4.01,0.99,1.13,0.1,0.36,,,0.97,11.25,,,4.18,32.17,11.35,1.6,,,,,2.02,2.02,,,,0.71,,,,,,1.23,,,,,19.92,,,1.55,2.09,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,0.36,78.6,25.66,,10.4,,,,,597.78,27,85.27,,20.19,81.93,0.7,,0.33,0.22,17.58,0.57,21.4,22.29,13.62,16.51,,,,,17.78,17.78,,8.57,5.83,0.74,0.79,5.62,,,,,8.1,,,3.96,16.3,20.34,1.4,,,0.51,,5.17,,53,16.09,,0.22,,,,,,1.08,,0.56,,,5.1,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.06,15.21,,,8,8696254174.0,Airlines,Transportation
AAON,111.57,48.86,56.63,,26.3,8.1,29.5,31.8,,20.3,29.5,29.82,0.38,90.91,41.4,30.24,,,,132.36,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.25,43.32,34.94,102.59,,,,8.74,2.31,0.77,8.52,0.98,0.25,44.94,20.4,17.97,15.07,80.03,35.65,94.37,,,15.78,,20.14,13.17,56.9,56.9,2.27,8.92,,3.17,9.31,,104.85,1.65,6.61,1.78,,55.38,44.37,67.59,2.33,8.97,16.45,1.79,19.56,38.79,29.01,25.52,,21.87,,0.5,113.31,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,66.33,,3.6,,26,,,,,8.9,76.08,45.32,,70.57,1.91,,0.08,0.12,45.54,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.12,29.77,11.75,28.16,31.13,14.07,0.73,0.5,3.36,0.21,1.77,7.77,2.12,26.13,3.12,,,101.97,40.02,2.38,,,0.36,,1.55,1.08,64.47,60.33,,0.23,,,,,12.86,0.45,2.11,0.2,,,6.75,91.56,,0.43,1.77,0.62,0.36,4.12,2.95,1.7,,1.76,,3.95,6.48,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.97,77.92,3.11,2.7,,4.9,6.2,6.4,8.6,,5.4,95.53,0.53,17.52,87.03,9.33,,0.37,0.61,246.49,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,30.73,28.12,34.8,28.62,26.36,9.08,9.68,3.25,0.16,27.83,2.91,0.4,33.34,18.07,11.49,6.89,188.35,46.21,,,,23.97,,31.51,65.72,40.75,36.71,2.31,9.77,,1.54,1.71,,35.12,1.31,10.3,2.14,,,32.32,37.63,2.33,2.72,65.72,0.83,26.93,278.63,59.87,140.28,,32.51,,3.08,53.75,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,29.89,49.44,7.21,,,9.7,8.1,22.2,18.4,28.45,8.5,38.99,5.93,30.32,45.76,0.79,,4.87,0.25,27.72,5.78,,148.94,6.31,7.97,1.8,,1.38,4.82,23.14,12.35,24.29,,,,7.23,4.32,0.35,29.66,8,4.82,56,8.95,,2.18,27.8,63.33,1.92,,,16.36,,28.14,1.43,28.67,28.67,12.47,4.65,,2.48,1.36,11.62,15.69,1,1.35,0.61,,,10.36,19.09,,1.22,1.45,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.72,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,33.64,41.31,0.08,,,7.8,9.6,1.7,7.4,21.19,3.8,33.9,5.73,17.04,40.51,1.79,,0.17,0.1,174.37,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.53,37.93,20.53,23.95,13.66,13.17,6.34,6.74,2.63,0.04,28.13,5.03,3.73,14.33,16.57,7.68,5.5,150.35,67.21,5.43,,,9.22,,26.13,51.46,61,16.34,1.05,5.6,,0.59,0.65,,19.94,1.16,,1.27,,,18.87,35.17,1.61,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.7,37.6,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,57.4,4.65,,8.7,,,,,,,63.11,,,59.37,1.97,,8.08,9.01,2.91,9.34,,,376.42,,0.07,,,,,,,,,8.29,9.72,,0.77,,,,,,,22.79,1.01,,,,,,,,0.83,,,,26.73,,,,,,2.88,,,2.62,2.01,,,,,0.91,9.34,,,,,,,,1,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,58.38,,,2.2,20.8,5.4,3.2,9.8,60.73,11,65.08,10.33,0.93,61.82,3.98,,0.59,6.19,2.27,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.51,10.45,7.84,10.03,9.48,7.28,2.31,2.51,9.57,0.67,25.25,9.19,6.51,12.27,15.06,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.29,16.12,15.79,3.22,2.74,,,,,10.94,0.83,1.83,0.51,,,8.64,11.7,1.88,0.78,5.02,0.9,10.03,70.19,19.21,15.52,,15.33,,5.47,13.84,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
