Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,47.4,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,29.45,1,,43.06,5.22,,0.7,0.39,133.01,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.69,25.34,21.87,29.85,23.58,20.98,5.97,6.29,3.95,0.5,21.09,3.53,0.73,23.89,15.25,8.66,5.96,135.17,54.3,15.5,,,19.8,,22.86,6.6,30.87,25.8,2.26,6.1,,0.8,1.39,,28.92,0.98,6.96,1.18,,,22.68,29.39,2.04,1.99,44.45,1.58,11.63,68.51,17.6,21.45,,14.54,,3.5,42.25,,,10,33913792728.0,Medical Specialties,Health Technology
AAL,,64.06,28.83,,10.4,,,,,597.78,27,51.76,,25.79,60.81,0.69,,0.33,0.22,16.46,0.57,21.4,22.29,13.62,16.51,,,,,17.57,17.57,,8.47,5.76,0.73,0.78,5.69,,,,,7.41,,,3.99,16.37,20.34,1.4,,,0.51,,5.17,,50.67,15.38,,0.21,,,,,,1.01,,0.53,,,4.87,,,,,0.47,0.43,6.13,5.96,,,2.95,,25.17,14.54,,,8,8696254174.0,Airlines,Transportation
AAON,87.68,47.39,38.76,,26.3,8.1,29.5,31.8,,20.3,29.5,35.71,0.38,68.06,41.95,30.13,,,,122.48,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.25,43.15,34.8,102.19,,,,8.71,2.32,0.77,8.52,0.99,0.25,41.62,20.4,17.97,15.07,80.13,35.65,94.37,,,15.78,,20.14,13.12,56.68,56.68,2.26,8.89,,2.93,8.62,,104.44,1.53,6.12,1.65,,51.28,44.2,67.33,2.16,8.31,16.39,1.79,19.56,38.79,29.01,25.52,,21.87,,0.49,112.87,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,56.28,,3.6,,26,,,,,8.9,51.1,48.1,,55.26,1.9,,0.08,0.12,42.97,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.25,29.02,11.45,27.45,30.34,13.71,0.71,0.49,3.45,0.21,1.77,8.23,2.25,25.22,3.81,,,99.44,40.02,2.38,,,0.36,,1.55,1.02,60.9,57,,0.22,,,,,12.15,0.43,1.99,0.19,,,6.38,86.5,,0.41,1.67,0.62,0.36,4.12,2.95,1.7,,1.76,,4.21,6.12,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.88,80.79,3.79,2.7,,4.9,6.2,6.4,8.6,,5.4,92.67,0.51,3.84,87.75,9.5,,0.37,0.61,248.05,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.39,31.43,28.76,35.6,29.27,26.96,9.29,9.9,3.18,0.16,27.83,2.84,0.39,33.54,18.01,11.41,6.9,188.6,46.21,,,,23.97,,31.51,67.24,41.69,37.55,2.36,9.99,,1.55,1.72,,35.93,1.32,10.37,2.15,,,33.06,38.49,2.34,2.74,67.24,0.83,26.93,278.63,59.87,140.28,,32.51,,3,54.98,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.39,44.71,0.04,,,9.7,8.1,22.2,18.4,28.45,8.5,29.91,5.98,25.35,39.1,0.78,,4.87,0.25,25.91,5.78,,148.94,6.31,7.97,1.8,,1.38,4.87,22.92,12.24,24.15,,,,7.19,4.36,0.35,29.66,8.13,4.87,52.34,9,,2.18,26.35,63.33,1.92,,,16.36,,28.14,1.41,28.22,28.22,12.27,4.6,,2.32,1.27,11.49,15.6,0.98,1.27,0.57,,,10.24,18.87,,1.14,1.42,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.38,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,7.11,44.43,,,,7.8,9.6,1.7,7.4,21.19,3.8,54.08,5.76,,47.04,1.79,,0.17,0.1,173.02,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.54,37.88,20.5,23.92,13.64,13.15,6.33,6.73,2.69,0.04,28.13,5.04,3.74,14.2,16.58,7.67,5.45,150.47,67.21,5.43,,,9.22,,26.13,51.37,60.9,16.31,1.05,5.6,,0.59,0.65,,19.91,1.15,,1.26,,,18.84,35.11,1.6,1.55,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.71,37.53,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.74,,,8.7,,,,,,,35.63,,,42.99,1.84,,8.08,9.01,2.7,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.66,,0.77,,,,,,,22.79,1.01,,,,,,,,0.78,,,,25.05,,,,,,2.66,,,2.42,1.86,,,,,0.85,9.34,,,,,,,,1.08,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.37,,,2.2,20.8,5.4,3.2,9.8,60.73,11,33.88,11.31,6.25,38.74,3.76,,0.59,6.19,2.02,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.12,9.52,7.14,9.14,8.64,6.63,2.1,2.29,10.5,0.67,25.25,10.01,5.33,11.22,15.67,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.1,14.8,14.49,2.96,2.52,,,,,10.05,0.74,1.64,0.45,,,7.93,10.74,1.67,0.7,4.61,0.9,10.03,70.19,19.21,15.52,,15.33,,6.06,12.71,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,10.73,46.37,16.27,,50.3,,28.2,37.8,,8.08,24,29.39,,9.51,39.03,2.78,,0.03,0.01,243.51,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.68,12.43,38.31,11.66,10.63,0.56,0.6,7.31,0.33,1.58,5.27,,9.24,30.54,,6.16,265.04,17.41,3.89,,,2.16,,5.9,1.47,14.28,9.38,0.29,0.31,,0.29,1.6,,19.12,0.92,,1.04,,,10.1,85.47,0.36,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.38,,,10,4632090814.999999,Specialty Stores,Retail Trade
