Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,41.26,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,20.46,1.02,,34.64,5.13,,0.7,0.39,134.51,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.71,24.77,21.37,29.17,23.04,20.51,5.83,6.15,4.04,0.5,21.09,3.61,0.74,24.16,15.32,8.62,5.96,135.22,54.3,15.5,,,19.8,,22.86,6.44,30.13,25.18,2.21,5.96,,0.81,1.41,,28.23,0.99,7.04,1.19,,,22.14,28.69,2.06,2.01,43.38,1.58,11.63,68.51,17.6,21.45,,14.54,,3.61,41.24,,,10,33913792728.0,Medical Specialties,Health Technology
AA,49.23,27.32,35.21,1.4,10.2,,,,,75.95,5.9,5.33,1.07,17.34,16.88,1.34,,0.38,0.45,37.84,1.41,78.33,59.38,26.65,4.45,0.56,,,1.09,852.38,16.81,,4.68,3.63,0.9,1.02,0.12,0.36,,,1.09,9.84,,,6.49,31.85,11.35,1.6,,,,,2.02,1.8,,,,0.64,,,,,,1.18,,,,,17.75,,,1.48,1.87,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,3.43,62.01,31.34,,10.4,,,,,597.78,27,50.33,,28.65,58.34,0.69,,0.33,0.22,16.87,0.57,21.4,22.29,13.62,16.51,,,,,17.55,17.55,,8.46,5.76,0.73,0.78,5.7,,,,,7.6,,,3.99,16.39,20.34,1.4,,,0.51,,5.17,,50.42,15.31,,0.21,,,,,,1.03,,0.54,,,4.85,,,,,0.47,0.43,6.13,5.96,,,2.95,,25.29,14.47,,,8,8696254174.0,Airlines,Transportation
AAON,83.96,42.13,26.91,,26.3,8.1,29.5,31.8,,20.3,29.5,29.96,0.39,64.55,36.06,29.12,,,,124.03,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,41.54,33.5,98.38,,,,8.38,2.41,0.77,8.52,1.02,0.26,42.05,20.42,17.97,15.07,80.15,35.65,94.37,,,15.78,,20.14,12.62,54.55,54.55,2.17,8.55,,2.97,8.72,,100.51,1.55,6.19,1.67,,51.89,42.54,64.8,2.19,8.41,15.8,1.79,19.56,38.79,29.01,25.52,,21.87,,0.51,108.62,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,47.2,,3.6,,26,,,,,8.9,27.58,50.88,,41.32,1.89,,0.08,0.12,43.52,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.38,28.29,11.17,26.76,29.59,13.37,0.69,0.47,3.53,0.21,1.77,8.72,2.38,25.54,4.56,,,98.74,40.02,2.38,,,0.36,,1.55,0.96,57.48,53.79,,0.2,,,,,11.46,0.44,2.01,0.19,,,6.02,81.63,,0.41,1.58,0.62,0.36,4.12,2.95,1.7,,1.76,,4.45,5.78,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,22.27,25.35,2.71,,,9.7,8.1,22.2,18.4,28.45,8.5,7.18,6.5,28.7,16.47,0.75,,4.87,0.25,26.0,5.78,,148.94,6.31,7.97,1.8,,1.38,5.27,21.9,11.69,22.86,,,,6.84,4.57,0.35,29.66,8.75,5.27,52.53,9.34,,2.18,26.33,63.33,1.92,,,16.36,,28.14,1.3,26.21,26.21,11.4,4.25,,2.32,1.27,10.62,14.35,0.99,1.27,0.57,,,9.47,17.45,,1.15,1.32,5.78,2.43,683.81,4.81,6.24,,4.5,,,30.82,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,10.59,38.3,,,,7.8,9.6,1.7,7.4,21.19,3.8,33.19,5.93,,36.46,1.76,,0.17,0.1,175.58,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.61,37.19,20.13,23.49,13.39,12.91,6.21,6.61,2.67,0.04,28.13,5.15,3.82,14.4,16.73,7.67,5.45,150.51,67.21,5.43,,,9.22,,26.13,50.24,59.56,15.96,1.03,5.48,,0.59,0.66,,19.47,1.17,,1.27,,,18.42,34.34,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.77,36.71,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,43.71,3.09,,8.7,,,,,,,30.5,,,38.85,1.79,,8.08,9.01,2.84,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.8,,0.77,,,,,,,22.79,1.01,,,,,,,,0.74,,,,23.98,,,,,,2.81,,,2.56,1.96,,,,,0.82,9.34,,,,,,,,1.12,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,36.03,,,2.2,20.8,5.4,3.2,9.8,60.73,11,25.63,11.84,4.33,32.1,3.69,,0.59,6.19,2.06,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.44,9.31,6.98,8.93,8.41,6.45,2.05,2.24,10.74,0.67,25.25,10.26,5.56,11.44,15.85,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.05,14.44,14.14,2.89,2.45,,,,,9.8,0.75,1.7,0.47,,,7.74,10.48,1.73,0.73,4.5,0.9,10.03,70.19,19.21,15.52,,15.33,,6.09,12.4,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,12.94,37.94,11.35,,50.3,,28.2,37.8,,8.08,24,17.12,,9.75,28.1,2.76,,0.03,0.01,245.77,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.45,12.23,37.67,11.47,10.45,0.55,0.59,7.43,0.33,1.58,5.45,,9,30.9,,6.16,265.28,17.41,3.89,,,2.16,,5.9,1.42,13.8,9.06,0.28,0.3,,0.29,1.61,,18.48,0.93,,1.05,,,9.76,82.61,0.37,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.94,,,10,4632090814.999999,Specialty Stores,Retail Trade
