Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,48.02,1.5,7.9,7.7,13.5,33.2,24.7,10.5,36.32,1.06,,45.06,6.48,,0.85,0.65,136.76,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.7,28.21,23.86,25.99,23.88,20.91,5.87,6.06,3.54,0.57,23.33,3.85,0.7,27.47,15.95,5.44,2.44,135.3,50.63,14.64,,,18.84,,19.54,6.42,32.33,25.71,2.14,6.1,,0.75,1.5,,26.25,4.98,1.21,,,21.25,32.01,1.95,2.06,21.74,1.64,11.49,63.42,15.6,20.99,,14.11,,2.81,44.84,,,10,33913792728.0,Medical Specialties,Health Technology
AA,25.37,28.25,1.4,10.2,,,,,5.9,28.16,1.32,50.34,26.52,1.15,,0.44,0.55,30.63,1.55,79.98,58.53,26.31,10.94,0.65,,,1.32,,37.33,,23.47,8.47,0.85,0.81,,0.27,,,1.32,235.41,,,2.82,39.65,8.14,,,,,,,1.35,,,,0.49,,,,,,,,,,15.88,,,1.35,1.48,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,28.07,,10.4,,,,,27,17.67,,,24.61,0.65,,0.34,0.21,9.9,0.6,20.92,21.96,14.01,19.76,,,,,18.58,18.58,,18.77,8.53,0.69,0.69,5.38,,,,,14.2,,,4.05,16.78,20.23,1.4,,,,,5.34,,,10.23,,0.12,,,,,,,0.3,,,3.19,,,,,0.5,,5.17,4.89,,,12.18,,51.36,7.38,,,8,8696254174.0,Airlines,Transportation
AAON,33.82,49.7,,26.3,8.1,29.5,31.8,,29.5,42.93,0.55,9.3,46.73,18.72,,,,85.98,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,29.08,23.84,68.87,,,,5.92,3.44,0.73,8.59,1.47,0.36,38.46,20.57,18.37,11.35,78.25,36.27,88.05,,,15.61,,20.32,9.41,38.77,38.77,1.54,6.04,,1.95,5.62,,70.28,4.53,1.19,,45.49,31.78,49.56,1.55,6.32,11.94,1.7,19.5,39.13,29.71,25.86,,21.83,,0.61,78.96,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,41.85,3.6,,26,,,,8.9,36,35.49,,40.2,1.28,,0.09,0.11,60.92,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.66,69.94,17.23,14.95,20.52,10.84,0.62,0.63,1.43,0.21,4.18,12.97,1.66,16.77,6.93,102.47,1.3,163.68,39.77,1.15,,,0.14,,0.85,1.42,88.29,88.29,,0.31,,,,,7.68,3.79,0.28,,,5.43,11.98,,0.53,3.66,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.98,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,26.71,40.25,2.9,1.3,5.7,20.9,23.2,14.6,15.7,31.44,0.62,20.97,34.49,9.56,,0.47,0.61,213.35,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.45,26.13,23.97,30.95,24.93,23.17,7.73,8.4,3.83,0.2,27.06,3.22,0.47,28.75,20.05,10.04,5.41,182.4,45.96,120.35,,,26.44,,31.27,48.7,32.47,32.47,1.92,8.59,,1.22,1.38,,31.7,8.38,1.99,,,29.3,34.14,1.87,2.41,48.71,0.91,29.81,269.91,59,151.08,,35.41,,3.5,46.98,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,57.61,,,9.7,8.1,22.2,18.4,8.5,50.35,6.47,,54.97,0.7,,0.99,0.07,25.22,1.84,,145.05,6.23,6.69,1.44,,1.49,5.27,23.21,12.25,22.5,,,,7.05,4.31,0.4,31.33,9.06,5.31,39.55,8.38,,2.7,29.11,62.62,1.87,,,15.39,,27.37,1.29,28.42,28.42,12.36,4.34,,2.27,1.11,11.08,13.86,1.28,0.56,,,9.44,18.97,,1.12,1.31,1.84,2.29,628.91,4.67,5.7,,4.27,,4.01,31.08,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,11.3,64.07,,,7.8,9.6,49.1,7.4,3.8,62.47,5.27,,64.3,1.98,,0.31,0.19,190.4,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.23,41.57,24.7,21.86,15.71,14.94,7.01,7.07,2.41,0.05,39.8,6.61,3.26,36.07,20.33,7.37,5.1,142.93,62.76,5.48,,,9.71,,24.95,48.86,62.5,17.52,1.13,6.04,,0.73,0.46,,15.18,,1.39,,,17.83,31.51,1.24,1.7,,0.71,3.83,192.43,9.41,53.28,,9.12,,3.06,40.68,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,35.96,,8.7,,,,,,22.59,,,31.33,1.95,,9.52,9.3,2.76,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.43,,0.79,,,,,,,31.92,1.23,,,,,,,,0.7,,,,23.16,,,,,,,,2.21,1.73,,,,,0.83,10.96,,,,,,,,0.7,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,67.72,,2.2,20.8,5.4,3.2,9.8,11,86.7,10.63,,75.86,3.63,,0.44,4.44,2.25,1.11,98.87,188.94,24.71,0.13,0.04,,0.79,6.69,8.8,6.58,9.08,9.08,6.92,2.18,2.1,11.36,0.66,25.65,11.59,6.69,13.11,14.71,5.39,6.5,2.63,50.83,7.78,,,17.86,,24.2,2.06,12.36,11.84,2.42,2.47,,,,,9.77,1.67,0.45,,,7.66,10.83,1.79,0.73,4.79,0.78,10.57,67.86,19.1,16.5,,16.34,,6.41,12.5,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
