Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,2.85,57.88,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,79.27,0.98,,65.03,5.27,0.7,0.39,137.97,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.68,25.64,22.12,30.19,23.85,21.23,6.04,6.37,3.9,0.5,21.09,3.49,0.72,24.37,15.21,8.71,5.68,134.72,54.3,15.5,,19.8,,22.86,6.67,31.21,26.08,2.29,6.18,,0.83,1.45,,29.22,1.02,7.22,1.22,,,22.94,29.69,2.11,2.06,44.94,1.58,11.63,68.51,17.6,21.45,,14.54,,3.47,42.72,,,10,33913792728.0,Medical Specialties,Health Technology
AA,54.92,59.29,26.15,1.4,10.2,,,,,75.95,5.9,52.95,0.87,,57.95,1.5,0.38,0.45,46.43,1.41,78.33,59.38,26.65,4.45,0.56,,,0.87,1036.41,20.45,,7.35,5.35,1.17,1.22,0.1,0.36,,,0.87,14.62,,,4.06,32.97,11.35,1.6,,,,2.02,2.26,,,,0.8,,,,,,1.41,,,,,22.24,,,1.82,2.37,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,13,63.54,33.01,,10.4,,,,,597.78,27,60.85,,18.93,62.71,0.68,0.33,0.22,14.52,0.57,21.4,22.29,13.62,16.51,,,,,16.99,16.99,,8.45,5.69,0.71,0.75,5.89,,,,,7.13,,,4.01,16.18,20.34,1.4,,0.51,,5.17,,44,13.36,,0.19,,,,,,0.9,,0.47,,,4.23,,,,,0.47,0.43,6.13,5.96,,,2.95,,28.74,12.63,,,8,8696254174.0,Airlines,Transportation
AAON,92.15,63.45,27.23,,26.3,8.1,29.5,31.8,,20.3,29.5,53.36,0.36,59.22,60.72,31.67,,,136.34,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.6,36.78,108,,,,9.2,2.19,0.77,8.52,0.93,0.24,46.33,20.38,19.72,15.07,79.86,35.65,94.37,,15.78,,20.14,13.9,60.06,60.06,2.39,9.42,,3.26,9.59,,110.66,1.71,6.81,1.84,,57.05,46.85,71.37,2.4,9.24,17.37,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,119.6,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,23.39,62.94,1.69,2.7,,4.9,6.2,6.4,8.6,,5.4,82.3,0.55,22.8,70.1,8.95,0.37,0.61,237.33,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.42,29.16,26.68,33.02,27.15,25.01,8.62,9.19,3.43,0.16,27.83,3.03,0.43,32.04,18.2,11.49,6.89,187.91,46.21,,,23.97,,31.51,62.95,39.03,35.16,2.21,9.31,,1.48,1.64,,33.66,1.26,9.92,2.06,,,30.96,36,2.24,2.62,62.95,0.83,26.93,278.63,59.87,140.28,,32.51,,3.23,51.48,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,38.08,63.95,1,,,9.7,8.1,22.2,18.4,28.45,8.5,77.88,5.79,30.75,68.94,0.8,4.87,0.25,28.44,5.78,,148.94,6.31,7.97,1.8,,1.38,4.71,23.4,12.49,24.65,,,,7.31,4.27,0.35,29.66,7.82,4.72,57.46,8.84,,2.18,27.61,63.33,1.92,,16.36,,28.14,1.46,29.32,29.32,12.75,4.79,,2.54,1.39,11.96,16.15,1.03,1.39,0.62,,,10.66,19.64,,1.25,1.48,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.68,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,36.79,51.51,,,,7.8,9.6,1.7,7.4,21.19,3.8,76.87,5.57,22.39,58.58,1.85,0.17,0.1,182.93,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.41,39.25,21.25,24.79,14.14,13.63,6.56,6.97,2.55,0.04,28.13,4.83,3.6,15.01,16.31,7.63,5.52,150.08,67.21,5.43,,9.22,,26.13,53.65,63.52,17.02,1.1,5.83,,0.62,0.68,,20.75,1.22,,1.33,,,19.65,36.63,1.69,1.64,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.65,39.17,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,58.51,11.86,,8.7,,,,,,,68.21,,,61.57,1.96,8.08,9.01,3.01,9.34,,,376.42,,0.07,,,,,,,,,8.29,9.54,,0.77,,,,,,,,1.02,,,,,,,0.82,,,,26.55,,,,,,2.95,,,2.71,2.08,,,,,0.91,9.34,,,,,,,,1.01,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.5,,,2.2,20.8,5.4,3.2,9.8,60.73,11,35.65,11.34,3.64,38.14,3.62,0.59,6.19,2.12,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.14,7.97,5.98,8.6,8.24,6.32,2.01,1.92,12.55,0.67,25.25,12.01,7.14,11.28,16.08,3.83,6.46,2.76,50.98,7.91,,16.92,,23.87,1.96,12.33,12.05,2.46,2.35,,,,,9.37,0.77,1.61,0.45,,,7.39,10,1.63,0.68,4.33,0.9,10.03,70.19,19.21,15.52,,15.33,,6.21,11.78,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,10.57,58.46,,,50.3,,28.2,37.8,,8.08,24,51.54,,1.77,56.8,2.79,0.03,0.01,259.83,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.89,12.62,38.89,11.84,10.79,0.57,0.61,7.2,0.33,1.58,5.11,,9.55,30.23,,6.16,262.75,17.41,3.89,,2.16,,5.9,1.51,14.7,9.65,0.3,0.32,,0.31,1.71,,19.69,0.99,,1.11,,,10.41,88.02,0.39,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.78,,,10,4632090814.999999,Specialty Stores,Retail Trade
