Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.54,66.33,1.5,7.9,7.7,13.5,33.2,24.7,10.5,63.5,0.95,16.25,67.08,6.93,1.08,0.68,147.48,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.92,26.05,26.7,26.56,23.29,6.41,6.54,3.23,0.57,24.48,3.82,0.64,26.88,16.4,9.5,3.58,142.52,50.56,14.22,,18.35,,19.42,6.98,35.11,28.8,2.4,6.47,,0.92,1.65,,26.42,5.58,1.31,,,22.22,32.45,2.07,2.23,24.3,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,50.23,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,59.33,1.4,10.2,,,,,5.9,66.32,1.34,,63.31,1.02,0.31,0.49,30.44,1.45,86.07,58.94,24.77,12.36,0.45,,,1.31,,41.53,,16.02,5.95,0.6,0.61,,0.3,,,1.31,68.97,,,,40.33,7,,,,,,1.28,,,,0.51,,,,,,,,,,59.57,,,1.06,1.34,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,7.5,37.57,,10.4,,,,,27,17.77,,11.95,29.1,0.76,0.34,0.19,13.96,0.62,20.89,20.46,14.17,12.45,,,,,12.93,12.93,34.98,10.86,6.75,0.76,0.8,7.73,,2.29,13.21,,5.22,,17.44,4.15,19.68,22.37,1.87,,1.56,,7.6,,12.69,6.12,,0.18,,,,,7.02,,0.4,,,2.43,,,,,0.51,1.25,8.53,7.75,,,4.5,,32.04,9.38,,,8,8696254174.0,Airlines,Transportation
AAP,,79.18,3.6,,26,,,,8.9,90.12,59.01,8.07,84.71,1.87,0.09,0.13,81.77,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.75,79.33,20.31,186.11,21.85,12.1,0.74,0.74,1.26,0.21,0.4,0.92,1.22,21.74,8.26,14,1.34,196.18,40.1,1.14,,0.17,,0.89,1.93,110.5,110.5,,0.43,,,,,110.2,5.06,0.37,,,17,,,0.68,5.2,0.29,0.15,2.06,1.5,0.72,,1.49,,,10.65,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,20.18,36.92,2.9,1.3,5.7,20.9,23.2,14.6,15.7,45.5,0.76,5.06,38.6,8.01,0.55,0.68,172.55,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.56,22.23,20.32,25.26,22.4,20.5,6.95,7,4.5,0.21,27.71,4.01,0.56,26.46,21.43,12.46,2.63,178.41,45.03,40.5,,26.16,,30.76,36,26.88,26.88,1.59,7.03,,1.11,1.21,,25.35,6.56,1.76,,,23.28,26.9,1.47,2.01,36.02,1.02,29.33,279.4,57.36,159.97,,34.58,,3.81,40.69,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,16.84,44.29,,,9.7,8.1,22.2,18.4,8.5,48.68,7.73,6.9,45.15,0.62,0.84,0.05,21.17,1.94,,145.67,6.48,6.84,1.43,,1.57,6.26,22.3,11.66,27.6,,,,6.62,4.48,0.4,23.98,8.2,6.33,,6.41,,,33.09,62.84,1.88,,14.66,,27.6,1.08,25.2,25.2,10.96,3.66,,2.18,1.32,9.51,15.27,1.11,0.47,,,8.56,17.35,,0.98,1.1,1.94,2.15,576.18,4.53,5.34,,4.22,,3.33,27.51,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.62,53.71,,,7.8,9.6,49.1,7.4,3.8,38.81,5.49,16.09,47.96,2.07,0.34,0.22,177.88,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.37,42.58,21.01,16.35,14.2,13.76,6.62,6.64,2.35,0.08,40.62,7.02,3.49,15.95,26.34,32.5,1.15,137.79,62.42,6.09,,8.95,,24.92,30.32,65.16,20.07,1.29,5.81,,0.9,0.47,,14.29,,1.33,,,13.81,24.49,0.97,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.87,39.39,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.72,,8.7,,,,,,32.44,,,37.55,2.97,6.39,9.83,4.71,7.33,,,330.79,,0.07,,,,,,,,,8.29,18.3,,0.77,,,,,,,,1.42,,,,,,,1.19,,,,35.68,,,,,,,,3.23,2.56,,,,,1.39,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABG,11.06,49.49,,50.3,,28.2,37.8,,24,54.44,,,50.81,2.57,0.02,0.01,210.0,1.06,37.87,13.72,8,5.3,1.69,,,,10.05,9.39,56.9,10.21,9.42,0.55,0.66,9.95,0.32,1.15,3.98,,6.46,31.65,13.9,11.75,241.84,18.62,6.47,,4.07,,7.23,1.32,7.34,6.44,0.2,0.3,,0.21,2.31,,26.65,,1.02,,,14.28,83.33,0.26,0.49,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.3,12.14,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABNB,38.84,54.93,,38.3,,,,,8,41.1,,10.47,51.27,5.9,1.01,4.37,160.56,1.66,,30.09,8.04,1.03,0.28,,,,43.32,42.46,24.56,28.16,23.88,8.5,9.54,2.31,0.4,38.86,3.76,,35.09,,3.58,13,164.83,82.83,18.29,,48.32,,15.31,12.55,22.18,22.18,,10.71,,,,,27.71,3.7,,,25.41,27.49,18.97,,,13.89,1.66,24.12,820.81,23.88,72.17,,67.71,,2.25,,,,2,92399740712.0,Other Consumer Services,Consumer Services
