Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,20.1,48.58,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,38.31,1.04,,44.28,6.06,,0.74,0.61,138.03,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.69,25.11,21.76,28.81,24.5,21.42,5.98,6.28,3.98,0.54,21.81,3.57,0.69,24.4,15.66,4.91,2.34,133.76,54.39,17.3,,,21.75,,22.9,6.72,28.64,26.49,2.21,6.25,,0.77,1.64,,28.6,5.5,1.23,,,22.68,28.49,2.06,2.12,25.66,1.37,13.03,74.15,18.1,23.78,,16.15,,3.23,44.53,,,10,33913792728.0,Medical Specialties,Health Technology
AA,8.75,35.6,1.4,10.2,,,,,75.95,5.9,25.64,1.41,2.38,31.96,1.15,,0.44,0.55,28.17,1.55,79.98,58.53,26.31,10.94,0.65,,,1.41,,37.06,,7.06,4.51,0.8,0.81,,0.27,,,1.41,10.14,,,2.67,39.47,8.14,,,,,,,1.3,,,,0.48,,,,,,,,,,15.74,,,1.24,1.36,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,67.19,,10.4,,,,,597.78,27,90.28,,,77.32,0.66,,0.34,0.21,10.99,0.6,20.92,21.96,14.01,19.76,,,,,19.22,19.22,,10.29,6.14,0.68,0.72,5.2,,,,,6.1,,,4.03,16.57,20.23,1.4,,,,,5.34,,,11.37,,0.14,,,,,,,0.33,,,3.54,,,,,0.5,,5.17,4.89,,,12.18,,42.43,8.2,,,8,8696254174.0,Airlines,Transportation
AAON,32.18,47.05,,26.3,8.1,29.5,31.8,,20.3,29.5,38.11,0.55,6.02,42.9,19.19,,,,88.26,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,29.91,24.52,70.92,,,,6.09,3.34,0.73,8.59,1.43,0.36,31.68,20.55,18.09,11.33,78.61,36.27,88.05,,,15.61,,20.32,9.65,39.76,39.76,1.58,6.18,,2,5.77,,72.07,4.65,1.22,,46.7,32.6,50.82,1.59,6.49,12.26,1.7,19.5,39.13,29.71,25.86,,21.83,,0.62,80.97,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,16.78,3.6,,26,,,,,8.9,3.17,54.73,,10.24,1.72,,0.09,0.12,38.53,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.56,127.12,16.26,16.45,21.69,10.4,0.51,0.51,0.79,0.21,3.13,15.32,2.56,13.9,7.27,82.92,,147.61,39.48,0.41,,,,,0.3,0.88,3853,3853,,0.21,,,,,6.49,19.46,0.18,,,4.26,13.92,,0.34,2.21,0.3,,0.91,0.64,,,0.32,,,5.14,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.36,46.58,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,32.53,0.61,26.66,41.38,9.94,,0.47,0.61,220.11,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.41,25.14,32.57,25.38,23.28,7.98,8.81,3.65,0.2,27.06,3.12,0.45,29.41,19.91,11.24,6.09,183.92,45.96,120.35,,,26.44,,31.27,50.25,33.5,33.5,1.98,8.86,,1.26,1.42,,32.74,8.65,2.05,,,30.21,35.22,1.93,2.49,50.25,0.91,29.81,269.91,59,151.08,,35.41,,3.33,48.48,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,22.71,46.54,,,9.7,8.1,22.2,18.4,28.45,8.5,22.07,6.29,19.67,37.85,0.71,,0.99,0.07,26.06,1.84,,145.05,6.23,6.69,1.44,,1.49,5.12,23.31,12.3,22.59,,,,7.08,4.29,0.4,31.33,8.79,5.13,36.7,8.34,,2.74,27.02,62.62,1.87,,,15.39,,27.37,1.33,29.28,29.28,12.73,4.45,,2.35,1.14,11.35,14.12,1.33,0.57,,,9.61,19.37,,1.16,1.35,1.84,2.29,628.91,4.67,5.7,,4.27,,3.93,32.17,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.45,61.2,,,7.8,9.6,49.1,7.4,26.06,3.8,57.83,5.03,6.2,58.62,2.05,,0.31,0.19,199.35,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.08,42.25,22.36,22.75,14.57,14.19,6.87,7.35,2.37,0.05,32.33,5.05,3.12,16.48,20.06,7.21,5.07,146.38,62.76,5.48,,,9.71,,24.95,51.91,66.45,18.63,1.2,6.4,,0.76,0.59,,19.78,,1.46,,,18.87,33.34,1.29,1.78,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,43.24,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,36.6,,8.7,,,,,,,30.1,,,33.99,1.81,,9.52,9.3,2.58,10.96,,,406.96,,0.07,,,,,,,,,8.29,3.34,,0.79,,,,,,,32.02,1.06,,,,,,,,0.68,,,,22.64,,,,,,,,2.06,1.61,,,,,0.78,10.96,,,,,,,,0.77,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,60.85,,2.2,20.8,5.4,3.2,9.8,60.73,11,70.2,10.14,,62.29,3.75,,0.44,4.44,2.37,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.38,9.22,6.89,9.55,8.91,6.83,2.17,2.21,10.85,0.66,25.65,11,6.38,12.95,14.46,4.92,6.6,2.65,50.83,7.5,,,17.86,,24.06,2.15,13.02,12.47,2.54,2.58,,,,,10.2,1.74,0.48,,,8.01,11.28,1.84,0.76,4.94,0.79,10.57,68.13,19.18,16.5,,16.25,,5.94,12.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
