Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,26.16,46.58,1.5,7.9,7.7,13.5,33.2,24.7,10.5,62.11,1.03,7.95,50.72,6.52,0.85,0.65,134.69,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.68,28.44,24.06,26.2,26.09,22.74,6.22,6.11,3.52,0.57,23.33,3.91,0.7,25.78,15.93,4.95,102.1,135.9,50.63,14.64,,18.84,,19.54,6.32,31.84,25.32,2.11,6.03,,0.81,1.61,,25.8,4.91,1.19,,,20.9,31.52,1.92,2.03,21.41,1.64,11.49,63.42,15.6,20.99,,14.11,,2.8,44.16,,,10,33913792728.0,Medical Specialties,Health Technology
AA,26.8,52.81,1.4,10.2,,,,,5.9,64.96,1.02,23.3,54.14,1.08,0.45,0.53,39.94,1.61,83.25,57.67,25.57,134.11,0.64,,,1.02,,445.95,,22.86,8.25,0.83,0.81,,0.28,,,1.02,328.25,,63.4,3.09,39.57,6.37,,,,,,1.8,,,,0.7,,,,,,,,,,220.71,,,1.8,1.88,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAON,23.13,59.01,,26.3,8.1,29.5,31.8,,29.5,73.15,0.61,6.61,66.65,26.78,0.07,0.49,84.74,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.4,28.54,23.46,51.79,,,,5.65,3.5,0.82,10.92,1.83,0.4,,20.63,,,77.47,35.56,58.55,,15.44,,19.77,8.86,39.47,39.47,1.57,6.11,,2.17,4.83,,55.8,4.39,1.22,,31.04,28.74,42.49,1.7,6.02,11.01,1.57,19.39,38.08,29.18,25.9,,21.96,,0.84,81.48,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,5.94,43.69,3.6,,26,,,,8.9,53.07,33.35,13.58,46.58,1.31,0.09,0.11,63.69,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.56,73.56,18.12,15.75,19.71,10.8,0.65,0.66,1.36,0.21,4.18,12.41,1.56,17.32,5.89,116.65,1.3,163.7,39.77,1.15,,0.14,,0.85,1.48,92.3,92.3,,0.35,,,,,8.04,3.96,0.3,,,5.65,12.55,,0.55,3.83,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.35,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,1.77,62.29,2.9,1.3,5.7,20.9,23.2,14.6,15.7,48.92,0.63,,58.54,9.62,0.54,0.64,209.07,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.46,26.91,24.58,31.68,24.96,23.16,7.8,8.46,3.72,0.22,26.71,3.18,0.47,28.44,20.38,10.5,5,178.76,45.59,59.12,,26.31,,30.98,43.2,32.51,32.51,1.92,8.53,,1.34,1.52,,32.02,7.9,2.12,,,29.54,34.62,1.83,2.44,43.2,0.99,29.34,275.4,56.47,150.79,,34.62,,3.25,47.3,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,16.87,50.38,,,9.7,8.1,22.2,18.4,8.5,52.92,7.59,,51.05,0.64,0.98,0.06,21.39,2.06,,143.65,6.4,6.71,1.43,,1.49,6.18,21.65,11.48,23.95,,,,6.6,4.62,0.4,27.51,9.38,6.23,,8.09,,2.19,29.22,62.64,1.88,,15.46,,27.6,1.09,24.03,24.03,10.45,3.67,,2.08,1.16,9.4,13.37,1.09,0.47,,,8.51,16.62,,0.96,1.1,2.06,2.29,612.23,4.67,5.68,,4.28,,3.99,26.74,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,15.55,63.94,,,7.8,9.6,49.1,7.4,3.8,71.69,5.78,1.37,68.2,1.82,0.44,0.24,170.75,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.54,36.61,19.51,16.3,14.13,13.65,6.54,6.64,2.73,0.05,40.24,7.26,3.62,15.22,24.3,6.21,3.88,141.98,62.28,5.83,,11.02,,24.96,37.61,50.67,15.58,1.01,5.58,,0.7,0.45,,13.86,,1.27,,,13.35,20.35,0.88,1.49,,0.83,4.34,199,9.56,52.94,,9.67,,5.07,37.2,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,17.86,,8.7,,,,,,2.22,,,9.7,1.98,6.66,9.48,2.73,7.76,,,342.96,,0.07,,,,,,,,,8.29,5.56,,0.77,,,,,,,,1.21,,,,,,,0.71,,,,21.96,,,,,,,,2.2,1.66,,,,,0.83,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,36.08,,2.2,20.8,5.4,3.2,9.8,11,46.92,11.44,,37.5,3.41,0.4,3.65,2.1,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.2,8.35,6.16,8.31,8.15,6.19,1.95,1.93,11.98,0.65,25.4,12.43,7.2,12.27,14.86,6.1,6.19,2.99,50.66,6.83,,18.25,,23.83,2.06,11.23,10.77,2.2,2.24,,,,,8.87,1.59,0.41,,,6.86,9.99,1.71,0.67,4.88,0.7,10.77,64.69,18.64,17.03,,17.22,,6.54,11.05,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,1.29,47.88,,50.3,,28.2,37.8,,24,42.52,,3.18,45.13,2.69,0.01,0.01,223.66,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.2,9.5,98.97,10.76,9.92,0.55,0.63,9.8,0.33,0.64,2.18,,7.55,31.47,,9.41,252.23,18.22,5.43,,3.68,,6.86,1.35,8.15,7.11,0.22,0.31,,0.23,4.05,,46.7,,1.02,,,14.46,121.3,0.28,0.49,,0.38,6.33,26.89,13.18,17.8,,9.59,,,12.29,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,15.64,62.02,2,8.4,5.9,40.8,24.6,,11.1,55.81,2.14,2.7,60.18,3.06,0.05,0.04,50.77,1.44,,,58.62,2.69,0.76,,0.28,1.75,11.22,8.78,13.11,11.91,9.33,0.55,0.55,8.91,0.37,4.23,10.9,1.77,15.51,26.59,,2.11,50.51,,4.81,,3.04,,4.88,1.73,13.29,16.17,1,0.4,,0.87,0.83,,9.54,,1.02,,,8.17,8.83,0.81,0.88,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.59,25.9,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,15.83,49.88,,38.3,,,,,8,53.2,,2.61,52.4,4.24,0.78,5.4,150.94,1.44,,31.15,7.78,0.93,0.26,,,,39.57,38.73,20.48,25.48,21.49,7.62,8.32,2.53,0.32,40.97,4.38,,34.53,,18.6,10.87,167.51,82.86,20.56,,48.23,,15.86,12.17,20.2,20.2,,9.7,,,,,23.7,3.48,,,25.62,23.56,16.97,,,13.51,1.44,22.9,794.68,22.38,69.5,,64.25,,2.75,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,52.03,0.7,6.3,12.3,6.8,21.3,,5.8,54.66,3.75,,54.01,5.04,0.47,0.46,105.49,1.6,135.43,83.91,57.68,1.4,0.38,,0.47,2.01,26.68,18.37,38.82,20.63,17.88,4.57,4.74,3.75,0.54,12.21,2.68,2.09,22.72,14.76,8.1,5.7,107.36,55.1,10.17,,13.96,,15.76,4.73,32.86,24.03,2.09,4.56,,0.89,1.94,,37.44,5.24,1.1,,,25.82,42.13,2.1,1.76,25.73,1.11,7.71,67.68,12.14,14.89,,10.32,,3.23,39.22,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,21.86,47.62,,6.9,,13.2,4.1,,5.9,46.79,0.24,4.58,46.11,3.16,0.41,0.29,82.86,2.28,70.68,47.28,58.62,1.66,0.26,,0.07,0.24,22.28,12.33,44.73,,,1.7,1.91,4.49,0.65,4.27,2.5,0.24,24.34,22.89,,,68.2,18.95,6.11,,6.05,,7.6,1.7,28.38,30.35,1.5,1.73,,,,,40.15,2.2,,,,12.88,18.28,1.53,1.12,3.58,1.36,4.04,12.16,6.5,6.18,,4.91,,2.68,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,57.33,,,,38.8,40.9,46.1,16.4,78.52,,,66.12,1.56,1.42,7.89,15.6,2.04,155.25,99.1,38.89,9.83,0.13,,,,,364.48,34.72,24.44,39.95,2.36,2.72,,0.54,7.83,2.47,,32.54,,,18.65,32.67,92.27,,,,,,5.55,,,,3.16,,,,,40.6,,,32.5,9.07,40.6,1418.16,,,7.26,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHR,,60.33,,100.9,,,,,,79.84,,,68.6,,5.78,,,6.01,,,,,,,,,,,,,,167.62,,,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,4.26,4.02,,,,,3.1,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,37.53,,18.8,33.9,6,,,4.2,39.46,2.43,,36.82,3.56,0.03,0.01,19.87,0.84,31.65,26.39,3.35,3.15,5.18,,0.18,2.43,12.26,5.64,40.35,11.03,6.04,0.32,0.32,8.16,0.11,0.79,5.46,2.43,8.14,22.07,8,1.59,21.89,27.82,4.29,,1.64,,2.67,4.17,8.91,7.3,0.54,0.14,,,,,18.38,,,,,4.3,13.95,0.62,0.82,,0.18,4.95,13.56,11.36,58.13,,7.76,,2.78,34.26,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,63.6,63.62,2.6,5.9,,7,21.8,,6.8,76.98,,16.86,68.26,2.57,0.19,0.17,37.69,1.37,,22.6,71.62,2.69,0.84,,,,18.24,12.19,23.32,,12.29,3.06,3.23,5.48,0.38,13.85,5.16,,21.55,15.03,,,31.58,50.52,3.24,,9.88,,17.2,3.19,27.91,21.78,1.82,2.78,,1.11,1.71,,19.94,,1.09,,,16.21,21.76,1.96,1.18,,1.37,4.54,120.19,11.23,11.91,,6.74,,2.23,41.87,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,63.66,0.9,22.7,,62.7,72,31,34.8,52.65,,,61.49,9.28,1.92,11.83,141.19,4,174.18,32.12,62.57,0.15,0.05,,,,13.54,12.92,27.17,,11.25,2.98,3.48,7.39,0.69,12.8,3.15,,,22.35,6.4,,117.07,44.58,50.74,,22.16,,24,5.1,18.65,18.65,0.38,4.13,,,,,32.28,2.06,1.99,36.76,6.57,28.31,34.22,0.75,2.16,5.1,2.87,20.88,79.89,31.17,31.17,,36.43,,1.28,50.96,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,55.95,58.2,,,,2.6,0.1,,,70.81,,,63.24,6.37,5.32,6.57,53.79,5.46,,,75.9,,0.18,,,,,,,,,16.08,19.09,,0.64,,,,,,,9.52,0.0,,,,,,,5.77,,,,20.39,,,,,,,,9.85,9.37,,,,,5.77,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,4.72,61.15,4.6,,,0.1,22.9,46.8,7.7,83.9,0.89,,70.42,2.16,0.19,0.44,89.26,1.06,,54.74,60.22,4.7,1.23,,0.15,0.89,34.82,24.2,19.95,13.02,11.35,1.78,0.91,2.87,0.19,4.48,5.67,0.98,17.68,6.96,14.85,8.1,94.92,6.56,4.98,,,,5.49,5.52,,23.52,8.4,0.83,,,,,17.94,,1.86,,,15.39,64.87,,1.75,,1.06,,45.39,7.23,,,9.55,,4.42,141.68,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,0.86,59.4,0.3,15.1,11.9,7.8,16.1,6.2,13.6,75.53,2.68,,66.49,6.93,0.3,1.2,307.17,1.16,,20.04,71.1,0.43,0.17,,0.42,1.61,20.42,17.74,22.09,17.12,14.84,2.81,2.97,4.9,0.51,13.44,4.5,1.67,23.7,14.5,7.17,5.2,327.88,32.58,171.01,,10.79,,14.2,6.94,28.13,25.86,2.31,3.06,,1.32,0.88,,22.6,6.55,1.09,,,21.38,32.49,2.5,1.52,37.37,1.16,13.46,227.4,27.32,26.23,,19.64,,3.29,34.17,,,10,207617355910.0,Information Technology Services,Technology Services
