Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,10.36,46.58,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,58.38,1.09,,49.44,5.73,,0.74,0.61,132.06,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.72,23.43,20.31,26.88,22.86,19.98,5.58,5.86,4.27,0.54,21.81,3.73,0.72,23.38,15.92,4.77,2.33,134.29,54.39,17.3,,,21.75,,22.9,6.43,27.4,25.35,2.11,5.91,,0.81,1.7,,27.29,5.26,1.18,,,21.65,27.29,1.96,2.03,24.55,1.37,13.03,74.15,18.1,23.78,,16.15,,3.5,42.6,,,10,33913792728.0,Medical Specialties,Health Technology
AA,57.33,66.2,1.4,10.2,,,,,75.95,5.9,77.74,0.87,,69.56,1.49,,0.38,0.45,46.45,1.41,78.33,59.38,26.65,4.45,0.56,,,0.87,1033.63,20.39,,7.33,5.33,1.17,1.22,0.1,0.36,,,0.87,14.56,,,4.06,33.34,11.35,1.6,,,,,2.02,2.25,,,,0.79,,,,,,,,,,22.17,,,1.82,2.37,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.92,61.17,,10.4,,,,,597.78,27,51.83,,,58.65,0.68,,0.33,0.22,14.2,0.57,21.4,22.29,13.62,16.51,,,,,16.94,16.94,,6.26,4.6,0.71,0.75,5.9,,,,,6.94,,,4.01,16.12,20.34,1.4,,,0.51,,5.17,,43.03,13.06,,0.19,,,,,,,0.46,,,4.12,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.1,12.35,,,8,8696254174.0,Airlines,Transportation
AAON,72.93,68.02,,26.3,8.1,29.5,31.8,,20.3,29.5,69.8,0.36,43,68.23,30.84,,,,135.56,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.27,35.71,104.86,,,,8.93,2.26,0.77,8.52,0.94,0.24,46.03,20.39,19.72,15.07,79.74,35.65,94.37,,,15.78,,20.14,13.82,59.72,59.72,2.38,9.39,,3.24,9.53,,110.06,6.77,1.83,,56.72,46.59,70.94,2.39,9.19,17.27,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,118.91,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,48.85,3.6,,26,,,,,8.9,46.34,54.94,,49,1.88,,0.08,0.12,38.69,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.57,27.33,10.79,25.85,28.58,12.92,0.67,0.46,3.66,0.21,1.77,9.46,2.57,18.85,5.7,84.29,,111.46,40.02,2.38,,,0.36,,1.55,0.89,53,49.6,,0.19,,,,,10.58,1.79,0.17,,,5.48,75.28,,0.36,1.46,0.62,0.36,4.12,2.95,1.7,,1.76,,4.8,5.33,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.05,52.27,2.7,,4.9,6.2,6.4,8.6,,5.4,59.54,0.56,22.94,54.38,8.78,,0.37,0.61,228.52,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.43,26.01,32.19,26.49,24.42,8.39,8.96,3.52,0.16,27.83,3.15,0.44,30.91,18.26,11.57,6.92,187.62,46.21,,,,23.97,,31.51,60.62,37.59,33.85,2.13,9.03,,1.43,1.58,,32.38,9.55,1.98,,,29.82,34.74,2.16,2.52,60.62,0.83,26.93,278.63,59.87,140.28,,32.51,,3.32,49.57,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,47.8,56.18,,,9.7,8.1,22.2,18.4,28.45,8.5,63.49,5.85,23.3,57.94,0.78,,4.87,0.25,27.84,5.78,,148.94,6.31,7.97,1.8,,1.38,4.76,23,12.28,24.23,,,,7.19,4.35,0.35,29.66,7.99,4.78,38.67,8.97,,2.94,26.45,63.33,1.92,,,16.36,,28.14,1.43,28.7,28.7,12.48,4.63,,2.49,1.36,11.49,15.51,1.36,0.61,,,10.23,18.87,,1.23,1.45,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.95,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,34.46,34.98,,,7.8,9.6,1.7,7.4,21.19,3.8,45.04,5.84,14.49,35.43,1.73,,0.17,0.1,171.73,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.58,36.51,19.76,23.06,13.15,12.68,6.1,6.49,2.74,0.04,28.13,5.15,3.78,14.1,16.87,7.46,5.43,149.97,67.21,5.43,,,9.22,,26.13,50.36,59.63,15.97,1.03,5.36,,0.58,0.64,,19.04,,1.25,,,18.02,33.59,1.58,1.54,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.82,36.77,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.01,,8.7,,,,,,,46.94,,,47.67,1.77,,8.08,9.01,2.72,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.58,,0.77,,,,,,,,1.02,,,,,,,,0.73,,,,23.63,,,,,,,,2.45,1.88,,,,,0.82,9.34,,,,,,,,1.13,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,35.95,,2.2,20.8,5.4,3.2,9.8,60.73,11,21.05,11.18,,31.5,3.62,,0.59,6.19,2.15,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.04,8.1,6.08,8.63,8.16,6.26,1.99,1.95,12.35,0.67,25.25,11.85,7.04,11.44,16.07,3.83,6.4,2.76,50.98,7.91,,,16.92,,23.87,1.97,12.5,12.22,2.49,2.37,,,,,9.45,1.62,0.45,,,7.46,10.1,1.65,0.69,4.3,0.9,10.03,70.19,19.21,15.52,,15.33,,6.26,11.94,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
