Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,9.6,49.37,1.5,7.9,7.7,13.5,33.2,24.7,10.5,52,1.07,2.8,52.01,6.4,0.85,0.65,131.78,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.71,27.76,23.48,25.57,23.5,20.58,5.77,5.97,3.6,0.57,23.33,4,0.72,22.94,16,5.45,2.47,135.51,50.63,14.64,,18.84,,19.54,6.18,31.15,24.77,2.06,5.89,,0.79,1.58,,25.25,4.8,1.17,,,20.48,30.85,1.88,1.99,20.95,1.64,11.49,63.42,15.6,20.99,,14.11,,2.88,43.19,,,10,33913792728.0,Medical Specialties,Health Technology
AA,7.61,31.54,1.4,10.2,,,,,5.9,13.6,1.15,37.02,24.17,1.07,0.44,0.55,34.92,1.55,79.98,58.53,26.31,10.94,0.65,,,1.15,,31.86,,20.03,7.23,0.72,0.69,,0.27,,,1.15,320.66,,,2.93,40.29,8.14,,,,,,1.61,,,,0.58,,,,,,,,,,18.99,,,1.54,1.61,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,35.73,,10.4,,,,,27,34.82,,,36.34,0.66,0.33,0.21,10.59,0.58,20.92,21.48,13.98,14.34,,,,,13.86,13.86,,11.75,6.83,0.7,0.73,7.22,,,,,4.78,,19.13,4.45,18.69,21.59,1.73,,0.94,,6.83,,17.65,5.76,,0.14,,,,,,,0.3,,,2.66,,,,,0.48,0.76,7.26,6.75,,,3.98,,41.93,7.67,,,8,8696254174.0,Airlines,Transportation
AAON,16.82,54.28,,26.3,8.1,29.5,31.8,,29.5,42.7,0.56,14.65,50.99,28.81,0.07,0.49,86.94,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.37,31.02,25.5,56.28,,,,6.14,3.22,0.82,10.92,1.78,0.37,,20.58,18.68,10.86,77.73,35.56,58.55,,15.44,,19.77,9.1,40.49,40.49,1.61,6.24,,2.23,4.96,,57.2,4.51,1.25,,31.85,29.51,43.56,1.74,6.17,11.29,1.57,19.39,38.08,29.18,25.9,,21.96,,0.77,83.27,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,41.04,3.6,,26,,,,8.9,34.64,35.92,0.83,40.14,1.28,0.09,0.11,59.62,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.68,70.2,17.29,15.03,19.09,10.39,0.63,0.63,1.42,0.21,4.18,13.26,1.68,16.37,6.82,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.39,86.41,86.41,,0.32,,,,,7.54,3.71,0.28,,,5.29,11.73,,0.52,3.59,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.82,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,9.84,57.05,2.9,1.3,5.7,20.9,23.2,14.6,15.7,37.85,0.59,11.87,50.82,10.18,0.54,0.64,224.31,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.43,28.96,26.45,34.1,26.85,24.94,8.32,9.11,3.45,0.22,26.71,2.96,0.45,30.3,20.2,10.03,5.34,179.58,45.59,59.12,,26.31,,30.98,46.35,34.88,34.88,2.06,9.14,,1.44,1.63,,34.33,8.48,2.27,,,31.7,37.1,1.96,2.61,46.35,0.99,29.34,262.55,56.47,150.79,,34.83,,3,50.75,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,65.27,,,9.7,8.1,22.2,18.4,8.5,59.38,6.83,,65.59,0.69,0.98,0.06,23.91,2.06,,143.65,6.4,6.71,1.43,,1.49,5.56,22.68,12.03,25.13,,,,6.91,4.41,0.4,27.51,8.39,5.6,,7.61,,2.41,29.15,62.64,1.88,,15.46,,27.6,1.21,26.87,26.87,11.68,4.11,,2.33,1.3,10.53,14.95,1.21,0.52,,,9.53,18.56,,1.07,1.23,2.06,2.29,612.23,4.67,5.68,,4.28,,3.59,29.85,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,24.46,56.38,,,7.8,9.6,49.1,7.4,3.8,58.58,5.78,4,57.34,1.84,0.44,0.24,172.32,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.56,36.53,19.47,16.46,14.66,13.85,6.53,6.62,2.74,0.05,40.24,7.19,3.6,14.83,24.23,6.77,4.99,142.14,62.28,5.83,,11.02,,24.96,38,51.13,15.72,1.01,5.62,,0.7,0.46,,13.95,,1.28,,,13.46,20.51,0.89,1.5,,0.83,4.34,199,9.56,52.94,,9.67,,5.03,37.5,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,44.5,,8.7,,,,,,39.75,,,45.01,2.03,6.66,9.48,2.97,7.76,,,342.96,,0.07,,,,,,,,,8.29,6.96,,0.77,,,,,,,31.92,1.22,,,,,,,0.77,,,,23.95,,,,,,,,2.4,1.81,,,,,0.91,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,46.32,,2.2,20.8,5.4,3.2,9.8,11,42.44,11.37,,47.13,3.5,0.4,3.65,2.11,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.15,9.47,7,8.66,8.49,6.46,2.03,2.19,10.56,0.65,25.4,10.92,7.15,12.55,14.56,5.16,6.39,2.76,50.66,6.83,,18.25,,23.83,2.13,12.76,12.21,2.49,2.34,,,,,9.22,1.66,0.42,,,7.15,10.38,1.79,0.7,5.02,0.7,10.77,64.69,18.64,17.03,,17.22,,6.32,11.38,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,16.02,68.78,2,8.4,5.9,40.8,24.6,,11.1,81.71,2.03,21.47,73.52,3.09,0.05,0.04,53.59,1.44,,,58.62,2.69,0.76,,0.28,1.67,11.58,9.06,13.53,11.64,9.4,0.56,0.57,8.64,0.37,4.23,10.33,1.68,14.62,26.31,,2.09,50.64,,4.81,,3.04,,4.88,1.82,14.03,17.07,1.06,0.42,,0.92,0.87,,10.07,,1.08,,,8.62,9.29,0.86,0.93,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.52,27.39,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,1.21,46.76,,38.3,,,,,8,45.04,,5.26,45.6,4.2,0.78,5.4,147.99,1.44,,31.15,7.78,0.93,0.26,,,,39.46,38.61,20.24,25.4,21.43,7.59,8.29,2.53,0.32,40.97,4.47,,33.95,,,11.92,168.73,82.86,20.56,,48.23,,15.86,11.93,19.81,19.81,,9.51,,,,,23.22,3.42,,,25.13,23.08,16.64,,,13.25,1.44,22.9,794.68,22.38,69.5,,64.25,,2.78,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,45.4,0.7,6.3,12.3,6.8,6.7,,5.8,45.4,4,,45.21,4.94,0.47,0.46,102.03,1.6,134.53,83.35,57.11,1.47,0.38,,0.48,2.12,26.37,18.64,37.67,20.02,17.36,4.43,4.55,3.79,0.54,12.09,2.77,2.16,22.03,14.86,8.52,6.3,107.73,55.24,12.37,,13.65,,15.92,4.57,32.19,22.93,1.99,4.38,,0.8,1.88,,36.22,5.07,1.06,,,24.96,40.73,2.03,1.71,24.89,1.11,7.61,66.45,11.91,14.69,,10.43,,3.36,37.9,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,11.64,58.78,,6.9,,13.2,4.1,,5.9,57.37,0.22,6.32,59.99,3.27,0.41,0.29,88.43,2.28,70.68,47.28,58.62,1.66,0.26,,0.07,0.23,23.33,12.91,46.94,,,1.78,2.01,4.29,0.65,4.27,2.34,0.23,26,22.73,,,68.79,18.95,6.11,,6.05,,7.6,1.81,30.28,32.39,1.6,1.83,,,,,42.8,2.35,,,,13.72,19.48,1.63,1.19,3.82,1.36,4.04,12.16,6.5,6.18,,4.91,,2.53,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,62.32,,,,38.8,40.9,46.1,16.4,52.65,,,61.61,2.04,1.42,7.89,17.75,2.04,155.25,99.1,38.89,9.83,0.13,,,,,415.52,39.58,27.86,45.55,2.69,3.1,,0.54,7.83,2.17,,37.04,,,18.08,33.13,92.27,,,,,,6.31,,,,3.6,,,,,46.22,,,36.98,10.32,46.22,1613.64,,,8.26,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,44.21,,12.2,,,16.9,,10.9,38.78,,,42.76,2.1,0.16,0.04,65.16,1.27,18.65,504.43,43.97,9.27,0.69,,,,103.07,37.12,,13.35,10.61,2.48,2.66,0.97,0.52,,,,18.34,1.09,15.48,9.87,86.51,96.44,5.93,,,,17.7,2.08,,18.2,,1.99,,,,,,3.01,0.87,,,60.11,,,1.98,11.22,1.25,,3.32,1.65,,,3.15,,,223.81,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,58.4,,100.9,,,,,,44.37,,,55.21,,5.78,,,6.01,,,,,,,,,,,,,,242.01,,,,,,,,,16.47,,,,,,,,,3.92,,,,,,,,,,,,5.4,5.1,,,,,3.93,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,53.81,,18.8,33.9,6,,,4.2,65.22,2.43,,58.65,3.57,0.03,0.01,20.0,0.84,31.65,26.39,3.35,3.15,5.18,,0.18,2.4,12.32,5.66,40.8,11.08,6.07,0.32,0.32,8.12,0.11,0.79,5.42,2.4,8.22,21.85,,1.6,21.91,27.82,4.29,,1.64,,2.67,4.19,8.97,7.35,0.54,0.15,,,,,18.54,,,,,4.37,14.12,0.63,0.82,,0.18,4.95,13.56,11.36,58.13,,7.76,,2.75,34.59,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,48.05,67.37,2.6,5.9,,7,21.8,,6.8,57.95,,20.03,65.51,2.71,0.19,0.17,41.44,1.37,,22.6,71.62,2.69,0.84,,,,20.01,13.37,25.58,,13.48,3.36,3.54,5,0.38,13.85,4.69,,23.65,14.62,,,31.79,50.52,3.24,,9.88,,17.2,3.5,30.7,23.95,2,3.05,,1.22,1.88,,21.89,,1.2,,,17.82,23.93,2.15,1.3,,1.37,4.54,120.19,11.23,11.91,,6.74,,1.99,46.18,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,39.67,0.9,22.7,,62.7,72,31,34.8,18.5,,6.84,31.13,8.91,1.92,11.83,127.96,4,174.18,32.12,62.57,0.15,0.05,,,,12.68,12.11,25.45,,11.25,2.98,3.26,7.89,0.69,12.8,3.47,,,22.49,,,116.73,44.58,50.74,,22.16,,24,4.63,16.9,16.9,0.34,3.75,,,,,29.27,1.86,1.8,33.32,5.95,25.71,30.98,0.68,1.96,4.63,2.87,20.88,79.89,31.17,31.17,,36.43,,1.35,46.2,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,59.77,63.39,,,,2.6,0.1,,,57.82,,,63.57,7.09,5.32,6.57,62.56,5.46,,,75.9,,0.18,,,,,,,,,18.3,21.73,,0.64,,,,,,,8.1,0.0,,,,,,,6.71,,,,23.69,,,,,,,,11.46,10.9,,,,,6.71,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,,54.57,4.6,,,0.1,22.9,46.8,7.7,58.86,0.94,,57.08,2.15,0.19,0.44,89.16,1.06,,54.74,60.22,4.7,1.23,,0.15,0.94,34.16,23.74,19.83,12.8,11.15,1.75,0.89,2.93,0.19,4.48,5.67,0.99,17.52,6.99,13.36,6.93,95.34,6.56,4.98,,,,5.49,5.51,,23.49,8.39,0.8,,,,,17.95,,1.85,,,15.39,64.84,,1.75,,1.06,,45.39,7.23,,,9.55,,4.49,141.65,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,,73.15,0.3,15.1,11.9,7.8,16.1,6.2,13.6,89.75,2.59,,80.68,7.25,0.3,1.2,329.19,1.16,,20.04,71.1,0.43,0.17,,0.42,1.57,21.88,19.02,23.68,18.35,15.91,3.02,3.18,4.57,0.51,13.44,4.2,1.57,25.38,14.22,6.41,4.64,325.04,32.58,171.01,,10.79,,14.2,7.43,30.15,27.71,2.47,3.25,,1.41,0.94,,24.2,7.02,1.16,,,22.93,34.83,2.68,1.63,40.05,1.16,13.46,227.4,27.32,26.23,,19.64,,3.13,36.45,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,1.78,53.79,,,,,,,30.6,55.67,,29.65,55.09,3.07,0.79,2.73,18.41,1.62,,502.91,127.4,,0.27,,,,,,,,,4.6,5.56,,0.44,,,,630.16,,,28.83,16.87,50.08,,,,,,6.61,,,,5.85,,,,,,,,,27.48,,,,,20.01,1.62,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
