Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,64.12,1.5,7.9,7.7,13.5,33.2,24.7,10.5,59.4,0.94,19.27,63.7,6.92,1.08,0.68,148.94,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.91,26.05,26.66,26.52,23.26,6.41,6.54,3.24,0.57,24.48,3.78,0.64,27.17,16.4,9.5,3.58,142.57,50.56,14.22,,18.35,,19.42,7.05,35.46,29.09,2.42,6.55,,0.93,1.66,,26.66,5.63,1.32,,,22.45,32.75,2.09,2.25,24.54,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,50.66,,,10,33913792728.0,Medical Specialties,Health Technology
AAON,36.57,64.55,,26.3,8.1,29.5,31.8,,29.5,81.89,0.58,33.53,69.03,23.57,,0.01,88.47,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.38,30.8,25.55,141.92,,,,6.01,3.25,0.78,4.23,0.68,0.38,,20.47,,,80.59,34.15,46.97,,15.2,,19.47,9.81,41.46,41.46,1.65,6.33,,2.28,12.95,,149.67,4.76,1.28,,35.48,46.45,84.48,1.92,7.24,12.32,1.54,19.75,39.21,30.05,27.34,,22.64,,0.49,88.47,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,81.1,3.6,,26,,,,8.9,90.02,54.94,2.81,86.05,1.88,0.09,0.13,86.94,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.57,81.05,20.75,190.17,22.33,12.37,0.75,0.76,1.23,0.21,0.4,0.87,1.16,23.1,7.97,14,1.34,196.2,40.1,1.14,,0.17,,0.89,2.05,117.49,117.49,,0.45,,,,,117.15,5.38,0.4,,,18.11,,,0.72,5.53,0.29,0.15,2.06,1.5,0.72,,1.49,,,11.32,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.35,52.48,2.9,1.3,5.7,20.9,23.2,14.6,15.7,77.57,0.76,3.46,61.01,8.21,0.55,0.68,171.24,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.55,23.01,21.03,26.14,23.19,21.22,7.19,7.24,4.35,0.21,27.71,4.04,0.55,26.24,21.32,12.46,2.63,178.44,45.03,40.5,,26.16,,30.76,35.75,26.67,26.67,1.58,6.97,,1.1,1.2,,25.19,6.51,1.75,,,23.13,26.67,1.46,1.99,35.75,1.02,29.33,279.4,57.36,159.97,,34.58,,3.68,40.39,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,23.25,50.83,,,9.7,8.1,22.2,18.4,8.5,69.33,7.6,6.45,56.4,0.63,0.84,0.05,21.58,1.94,,145.67,6.48,6.84,1.43,,1.57,6.19,22.46,11.74,27.79,,,,6.66,4.45,0.4,23.98,8.05,6.26,,6.34,,,33.11,62.84,1.88,,14.66,,27.6,1.1,25.69,25.69,11.17,3.73,,2.23,1.35,9.68,15.68,1.13,0.48,,,8.66,17.67,,1,1.12,1.94,2.15,576.18,4.53,5.34,,4.22,,3.32,28.03,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,12.57,48.72,,,7.8,9.6,49.1,7.4,3.8,33.27,5.57,14.41,42.31,2.06,0.34,0.22,177.6,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.41,42.36,20.9,16.26,14.12,13.68,6.58,6.61,2.36,0.08,40.62,7.02,3.53,15.87,26.4,32.5,1.15,137.79,62.42,6.09,,8.95,,24.92,30.26,65.05,20.04,1.29,5.79,,0.9,0.47,,14.22,,1.32,,,13.73,24.38,0.97,1.49,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.9,39.29,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,43.8,,8.7,,,,,,48.64,,4.53,44.03,2.99,6.39,9.83,4.72,7.33,,,330.79,,0.07,,,,,,,,,8.29,18.64,,0.77,,,,,,,,1.43,,,,,,,1.19,,,,35.9,,,,,,,,3.24,2.57,,,,,1.4,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,42.43,,2.2,20.8,5.4,3.2,9.8,11,42.78,9.61,,42.2,3.26,0.4,4.67,2.5,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6.05,10.34,7.61,9.87,8.65,6.53,2.15,2.31,9.67,0.6,23.91,9.75,6.05,13.53,14.28,,5.85,3.25,50.72,6.73,,18.19,,23.76,2.5,13.49,12.79,2.61,2.52,,,,,10.58,1.9,0.44,,,8.06,12.06,2.02,0.75,6.4,0.67,10.71,61.69,18.14,17.21,,17.86,,5.72,12.48,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,3.97,60.13,,50.3,,28.2,37.8,,24,76.34,,,66.32,2.59,0.02,0.01,225.38,1.06,37.87,13.72,8,5.3,1.69,,,,10.23,9.56,57.93,10.4,9.59,0.56,0.67,9.78,0.32,1.15,3.71,,6.91,31.19,13.9,11.75,242.36,18.62,6.47,,4.07,,7.23,1.41,7.88,6.91,0.22,0.31,,0.22,2.48,,28.62,,1.09,,,15.35,89.48,0.28,0.52,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.29,13.03,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,63.71,2,8.4,5.9,40.8,24.6,,11.1,77.87,2.46,,69.29,2.95,0.05,0.04,44.58,1.48,,,60.22,2.73,0.8,,0.27,2.01,10.02,7.82,15.93,10.92,8.57,0.51,0.51,9.98,0.37,3.2,9.28,2.03,13.51,25.1,,1.9,52.05,,4.92,,3.15,,5.04,1.55,11.4,13.8,0.86,0.35,,0.74,0.97,,11.27,,0.91,,,9.34,10.14,0.75,0.81,,1.48,5.21,63.86,11.09,14.3,,7.6,,,23.71,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
