Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,4.14,57.88,,1.9,5,6.8,3.9,4,3.7,5.12,2.8,79.27,0.98,,65.03,5.16,,0.7,0.39,138.14,2.09,123.03,58.99,71.61,1.81,0.58,,0.19,0.68,24.97,21.55,29.41,24.23,21.18,5.92,6.2,4,0.5,21.09,3.49,0.72,24.41,15.29,15.43,5.73,134.65,54.3,15.5,,,19.8,,22.86,6.68,31.25,27.35,2.4,6.19,,0.88,1.45,,29.32,1.03,7.4,1.22,,,22.97,29.79,2.22,2.07,45,1.58,11.63,68.51,17.6,21.45,,14.54,,3.58,42.77,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.27,59.29,19.83,1.4,10.2,,,,,75.95,5.9,52.95,0.85,,57.95,1.52,,0.38,0.45,45.88,1.41,78.33,59.38,26.65,4.45,0.56,,,0.85,1067.01,21.05,,7.56,5.5,1.2,1.26,0.09,0.36,,,0.85,14.41,,,4.06,32.97,11.35,1.6,,,,,2.02,2.26,,,,0.82,,,,,,1.39,,,,,23.01,,,1.79,2.34,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,7.96,63.54,29.3,,10.4,,,,,597.78,27,60.85,,,62.71,0.68,,0.33,0.22,14.64,0.57,21.4,22.29,13.62,16.51,,,,,16.99,16.99,,6.27,4.61,0.71,0.75,5.89,,,,,7.17,,,4.01,16.16,20.34,1.4,,,0.51,,5.17,,44.36,13.47,,0.19,,,,,,0.91,,0.47,,,4.27,,,,,0.47,0.43,6.13,5.96,,,2.95,,28.74,12.73,,,8,8696254174.0,Airlines,Transportation
AAON,74.77,63.45,19.32,,26.3,8.1,29.5,31.8,,20.3,29.5,53.36,0.35,42.08,60.72,32.59,,,,136.03,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,47.07,37.97,111.49,,,,9.5,2.12,0.77,8.52,0.93,0.23,46.2,20.37,19.72,15.07,79.83,35.65,94.37,,,15.78,,20.14,13.87,59.93,59.93,2.39,9.42,,3.26,9.57,,110.42,1.7,6.79,1.83,,56.92,46.76,71.19,2.4,9.22,17.33,1.79,19.56,38.79,29.01,25.52,,21.87,,0.46,119.32,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,21.93,62.94,1.48,2.7,,4.9,6.2,6.4,8.6,,5.4,82.3,0.55,21.81,70.1,8.96,,0.37,0.61,234.93,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.42,29.17,26.69,33.04,27.18,25.06,8.61,9.19,3.43,0.16,27.83,3.06,0.43,31.71,18.19,11.49,6.89,187.84,46.21,,,,23.97,,31.51,62.32,38.64,34.8,2.19,9.27,,1.47,1.63,,33.29,1.25,9.82,2.04,,,30.62,35.66,2.22,2.59,62.32,0.83,26.93,278.63,59.87,140.28,,32.51,,3.24,50.96,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,44.66,63.95,2.23,,,9.7,8.1,22.2,18.4,28.45,8.5,77.88,5.7,30.15,68.94,0.8,,4.87,0.25,28.61,5.78,,148.94,6.31,7.97,1.8,,1.38,4.64,23.42,12.5,24.68,,,,7.32,4.27,0.35,29.66,7.78,4.65,57.79,8.83,,2.18,27.61,63.33,1.92,,,16.36,,28.14,1.47,29.49,29.49,12.82,4.76,,2.56,1.4,11.86,16,1.04,1.4,0.63,,,10.59,19.46,,1.26,1.49,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.89,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,58.51,4.21,,8.7,,,,,,,68.21,,,61.57,1.86,,8.08,9.01,3.0,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.01,,0.77,,,,,,,,1.02,,,,,,,,0.82,,,,27.72,,,,,,2.94,,,2.7,2.07,,,,,0.91,9.34,,,,,,,,1.07,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.5,,,2.2,20.8,5.4,3.2,9.8,60.73,11,35.65,11.14,,38.14,3.66,,0.59,6.19,2.15,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.01,8.08,6.07,8.76,8.29,6.36,2.02,1.95,12.38,0.67,25.25,11.85,7.01,11.44,15.95,3.83,6.46,2.76,50.98,7.91,,,16.92,,23.87,1.99,12.5,12.22,2.49,2.39,,,,,9.51,0.78,1.63,0.45,,,7.51,10.15,1.65,0.69,4.39,0.9,10.03,70.19,19.21,15.52,,15.33,,6.2,11.94,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,7.39,58.46,,,50.3,,28.2,37.8,,8.08,24,51.54,,,56.8,2.8,,0.03,0.01,260.03,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.99,12.71,39.17,11.92,10.87,0.58,0.62,7.15,0.33,1.58,5.11,,9.55,30.08,,6.16,262.51,17.41,3.89,,,2.16,,5.9,1.51,14.72,9.66,0.3,0.32,,0.31,1.71,,19.69,0.99,,1.11,,,10.41,88.08,0.39,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.79,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,29.48,59.39,,2,8.4,5.9,40.8,24.6,,23.18,11.1,62.12,1.91,12.55,60.22,2.98,,0.07,0.06,56.99,1.38,,,56.6,3.53,0.8,,0.26,1.56,16.2,11.94,18.1,12.31,9.93,0.59,0.6,6.17,0.36,3.3,7.63,1.56,15.55,25.92,,1.62,51.51,,3.58,,,1.89,,3.62,1.95,23.55,16.42,1.02,0.44,,0.89,1.16,,13.46,1.11,,1.11,,,10.88,16.46,0.82,0.98,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.16,29.53,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
