Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
DGII,,45.74,,5.6,,30.5,26.6,,8.5,30.27,,,40.88,3.11,,0.29,0.13,24.31,2.05,144.8,38.37,47.03,2.68,0.34,,,,28.75,14.97,18.52,,8.13,2.33,2.39,3.48,0.67,12.91,6.4,,11.82,24.74,,,29.25,57.33,2.08,,,3.2,,10.55,1.61,63.97,12.22,0.4,2.04,,,,,15.76,,1.27,,,15.14,27.41,0.49,0.97,,1.28,1.68,33.58,4.84,2.61,,5.81,,5.33,58.72,,,10,1124044895.0,Telecommunications Equipment,Electronic Technology
DGX,1.4,63.23,5.7,3.7,7.6,,,,5.7,73.73,2.39,9.31,66.36,3.3,,0.13,0.05,150.08,1,10.7,21.97,49.73,2.9,0.77,,0.34,1.95,16.57,12.29,24.6,15.39,11.63,2.26,2.3,6.04,0.48,9.36,5.24,2,17.3,12.77,6.68,4.59,138.51,32.8,6.91,,,8.99,,13.53,2.52,20.25,17.66,1.8,1.81,,,,,19.25,,1.06,,,13.51,25.25,2.86,0.82,,0.91,6.11,44.81,10.98,13.11,,7.9,,,17.23,,,10,14166301913.999998,Services to the Health Industry,Health Services
DH,,24.04,,,,,,10.8,18.2,10.44,,,18.24,,,1.79,,,2.3,,36.65,73.91,,,,,,,,9.9,14.42,13.33,1.57,1.58,,,16,9.38,,10.67,,,5.14,,80.96,,,,,,,0.51,,38.54,,1.67,,,,,10.42,,,,,9.95,,,,,2.3,,,,,,,,1.87,,,,,1342168701.9999998,Packaged Software,Technology Services
DHI,7.53,68.6,2.7,27.7,12.6,30.9,30.1,58.1,23.5,60.46,1.36,,68.32,7.3,,1.43,0.52,177.62,16.14,317.99,17.72,,0.9,0.23,,0.08,0.68,9.66,9.53,28.92,8.85,8.71,1.52,1.63,10.35,0.7,5.62,3.62,0.68,11.05,22.23,7.92,5.93,128.78,26.28,,,,13.36,,16.83,2.36,11.93,11.93,0.33,1.59,,0.35,0.83,,28.58,1.13,1.45,,2.49,26.38,31.71,0.48,1.58,2.41,3.95,14.84,23.59,19.97,21.48,,16.96,,4.45,21.19,,,10,38014386480.0,Homebuilding,Consumer Durables
DHR,5.18,67.27,,12.1,13.4,3.5,20,1.1,1.2,68.07,0.63,,70.23,5.45,,0.35,0.14,276.75,1.43,120.29,76.18,65.72,2.52,0.34,,0.16,0.38,47.79,31.8,42.22,35.09,27.96,9.04,10.16,2.09,0.64,24.07,2.54,0.39,37.24,14.48,9.17,5.14,202.69,59.41,16.14,,,19.92,,21.49,4.02,49.16,43.03,2.81,9.78,,2.01,2.48,,40.63,,1.84,,,32.02,42.94,3.72,2.06,,1.04,5.01,73.27,5.93,8.05,,5.54,,0.73,43.85,,,10,188464376541.0,Medical Specialties,Health Technology
DHT,17.84,45.26,1.9,,,,,,,33.24,36.15,7.37,42.48,3.32,,1.18,0.18,11.25,3.3,35.15,12.22,41.12,1.26,0.38,,0.94,9.33,10.42,6.75,15.55,9.68,5.88,4.66,3.72,9.6,0.71,23.93,7.58,10.31,8.22,9.53,30.37,,10.34,38.22,5.91,,,29.58,,35.18,1.75,10.71,10.71,1.22,3.17,,,,,13.24,0.91,1.6,,,7.16,10.76,,0.97,1.75,2.69,11.45,15.08,14.47,16.38,,14.73,,10.95,21.15,,,8,1463880156.9999998,Marine Shipping,Transportation
DINO,3.84,35.54,,16.9,8.7,,,133.6,34.6,25.65,3.98,,32.98,3.54,,0.43,0.4,46.76,2.17,43.13,29.74,20.29,1.31,0.3,,0.22,4.06,4.91,3.63,5.38,7.43,4.86,0.34,0.35,20.37,0.57,6.56,23.11,4.28,8.36,23.28,,,53.42,14.43,8.7,,,3.8,,5.1,0.9,5.79,5.67,,0.28,,,,,4.27,0.61,0.68,,,3.62,3.99,,0.39,1.47,1.09,6.59,18.98,11.59,12.15,,9.31,,18.42,9.98,,,8,10910561780.0,Oil Refining/Marketing,Energy Minerals
DIOD,,31.58,,20.3,,25.5,33.9,9.6,15,12.54,,6.81,23.53,5.83,,0.73,3.95,66.7,3.18,143.2,59.8,94.63,0.2,0.04,,,,13.52,8.18,107.05,8.57,6.44,1.99,1.92,7.4,0.74,1.79,0.87,,,24.12,,,61.03,37.64,41.89,,,11.37,,11.48,1.76,18.17,19.86,1.18,2.06,,0.58,5.84,,115,1.33,1.28,,5.18,20.59,100.6,1,0.94,2,2.05,7.27,17.09,10.94,10.08,,8.54,,4.79,22.44,,,9,3542799268.0000005,Semiconductors,Electronic Technology
DIS,13.55,31.26,,5.5,,32.9,71.5,10.4,10.3,27.62,0.83,0.89,30.43,1.92,,0.2,0.14,89.57,0.75,12.11,95.25,50.9,3.97,0.47,,0.08,0.84,31.54,17.39,24.28,12.86,10.21,2.1,2.28,3.17,0.51,9.37,5.12,1,16.21,,17.67,4.3,114.06,35.03,5.18,,,1.9,,11.82,1.65,97.36,23.8,,1.84,,,,,19.64,3.53,0.59,,,12.2,122.03,,1.4,11.8,0.69,0.84,18.39,3.76,1.71,,3.78,,2.22,19.2,,,9,156380769842.0,Movies/Entertainment,Consumer Services
DK,,39.1,4.6,,,,,,37.2,30.68,4.42,,37.68,2.61,,0.29,0.28,21.82,1.04,27.09,43.69,20.85,4.25,3.1,,0.83,4.45,12.65,5.29,6.28,10.49,4.79,0.24,0.2,7.91,0.12,3.24,37.53,4.67,18.95,,,,27.22,3.81,0.57,,,,,1.16,1.63,,18.97,,0.09,,,,,2.71,,0.39,,,1.81,3.89,,0.55,,0.64,,8.67,5.5,,,2.75,,26.54,36.89,,,7,1928981221.0,Oil Refining/Marketing,Energy Minerals
