Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,56.46,1.5,7.9,7.7,13.5,33.2,24.7,10.5,64.18,1.04,10.4,58.78,6.3,0.99,0.58,132.02,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.67,28.45,23.93,27.68,24.65,21.62,5.95,5.97,3.51,0.54,21.57,3.72,0.7,24.69,17.13,9.5,3.53,149.32,50.71,14.21,,18.15,,19.76,6.76,32.14,26.96,2.25,5.87,,0.84,1.66,,27.18,5.65,1.17,,,22.61,34.88,1.82,2.06,28.02,1.97,11.55,64.95,15.98,22.07,,14.5,,2.19,46.67,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,48.6,1.4,10.2,,,,,5.8,59.2,1.46,,51.33,0.97,0.31,0.52,27.75,1.45,86.07,58.94,24.77,11.68,0.43,,,1.43,,37.79,,14.58,5.41,0.55,0.56,,0.3,,,1.43,63.29,,,,40.24,7,,,,,,1.17,,,,0.45,,,,,,,,,,53.12,,,0.97,1.17,0.74,,,,,,,,0.5,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,55.04,,10.4,,,,,27,54.65,,,54.63,0.76,0.34,0.19,15.24,0.62,20.89,20.46,14.17,12.45,,,,,13.09,13.09,35.42,11,6.83,0.77,0.81,7.64,,2.29,12.48,,5.32,,34.88,3.56,20.31,22.37,1.87,,1.56,,7.6,,13.44,6.51,,0.19,,,,,8.68,,0.43,,,2.66,,,,,0.51,1.25,8.53,7.75,,,4.5,,30.29,9.93,,,8,8696254174.0,Airlines,Transportation
AAON,35.98,63.16,,23.5,10.5,20.6,22,,22.6,54.7,0.62,13.47,61.81,18.37,,,82.65,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.39,32.1,26.62,227.15,,,,6.04,3.12,0.72,2.66,0.45,0.39,,19.63,,,81.98,32.77,42.97,,15.18,,18.83,9.75,40.03,40.03,3.28,6.09,,2.55,20.11,,230.2,4.73,1.26,,41.12,54.52,120.87,2.1,7.55,12.36,1.5,19.51,38.13,29.02,27.91,,22.62,,0.36,85.73,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,39.5,5.1,,192.4,8,16.8,,10.4,20.07,139.76,,31.95,1.89,0.06,0.08,60.69,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.68,21.85,11.46,,19.79,10.39,0.63,0.65,4.58,0.22,,,1.63,16.75,16.58,,2.05,208.04,41.67,3.92,,1.72,,2.98,1.37,19.61,14.53,1.56,0.32,,0.97,,,,1.48,0.28,,,13.58,,2.38,0.51,3.44,0.27,1.6,6.46,4.79,7.26,,3.59,,,7.79,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.01,37.36,2.9,1.3,5.7,20.9,23.2,14.6,15.7,27.36,0.73,8.94,32.48,8.33,0.55,0.68,184.37,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.53,23.46,21.44,26.66,23.64,21.64,7.33,7.39,4.26,0.21,27.71,3.8,0.53,27.93,21.26,12.46,2.63,178.23,45.03,40.5,,26.16,,30.76,38.02,28.38,28.38,1.68,7.42,,1.19,1.29,,26.77,7.01,1.89,,,24.58,28.41,1.57,2.15,38.02,1.02,29.33,279.4,57.36,159.97,,34.58,,3.6,42.97,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,45.57,,,9.7,8.1,22.2,18.4,8.5,48.52,7.51,11.54,45.05,0.63,0.84,0.05,21.63,1.94,,145.67,6.48,6.84,1.43,,1.57,6.04,22.62,11.83,27.86,,,,6.71,4.42,0.4,23.98,7.95,6.13,,6.32,,,32.89,62.84,1.88,,14.66,,27.6,1.11,26.02,26.02,11.31,3.8,,2.23,1.35,9.86,15.85,1.13,0.48,,,8.92,18.03,,1,1.13,1.94,2.15,576.18,4.53,5.34,,4.22,,3.26,28.39,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,8.4,66.8,,,7.8,9.6,49.1,7.4,3.8,51.52,5.55,9.73,62.9,2.05,0.34,0.22,176.75,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.42,42,20.73,16.13,14.15,13.57,6.54,6.55,2.38,0.08,40.62,7.13,3.54,15.61,26.44,9.5,1.38,137.64,62.42,6.09,,8.95,,24.92,29.85,64.15,19.76,1.27,5.72,,0.89,0.47,,14.07,,1.32,,,13.6,24.11,0.97,1.49,,0.76,3.58,171.32,8.18,36.93,,9.52,,7,38.78,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,41.05,,8.7,,,,,,28.51,,,37.12,3.03,6.39,9.83,4.85,7.33,,,330.79,,0.07,,,,,,,,,8.29,19.07,,0.77,,,,,,,,1.61,,,,,,,1.21,,,,36.44,,,,,,,,3.32,2.64,,,,,1.42,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,7.14,46.17,,10.1,15.8,5.3,6.9,2,15.3,65,7.99,,51.27,3.77,0.52,4.74,2.59,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.81,12.44,8.76,11.26,8.87,6.74,2.16,2.35,8.04,0.65,20.35,8.09,5.81,13.74,10.9,6.94,5.52,3.42,50.3,19.12,,18.29,,22.51,2.26,13.61,13.07,5.68,2.48,,,,,12.16,1.67,0.43,,,9.05,13.98,,0.8,4.91,0.79,10.98,52.73,15.37,17.44,,18.54,,5.43,12.38,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
