Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,6.88,60.13,0.42,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,69.12,0.97,3.73,65.09,5.26,0.7,0.39,140.58,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,25.59,22.08,30.14,24.25,21.58,6.14,6.36,3.91,0.5,21.09,3.42,0.71,25.25,15.22,8.66,5.96,134.91,54.3,15.5,,19.8,,22.86,6.8,31.81,26.57,2.33,6.26,,0.85,1.47,,29.79,1.04,7.36,1.25,,,23.33,30.26,2.15,2.1,45.79,1.58,11.63,68.51,17.6,21.45,,14.54,,3.46,43.52,,,10,33913792728.0,Medical Specialties,Health Technology
AA,80.57,42.96,58.99,1.4,10.2,,,,,75.95,5.9,19.67,0.93,6.35,34.31,1.5,0.38,0.45,42.49,1.41,78.33,59.38,26.65,4.45,0.56,,,0.94,1042.17,20.56,,6.87,5,1.09,1.23,0.1,0.36,,,0.94,12.65,,,4.18,32.35,11.35,1.6,,,,2.02,2.27,,,,0.8,,,,,,1.31,,,,,22.38,,,1.66,2.16,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,3.86,81.54,29.63,,10.4,,,,,597.78,27,92.56,,22.48,86.47,0.69,0.33,0.22,17.4,0.57,21.4,22.29,13.62,16.51,,,,,17.75,17.75,,8.83,5.95,0.75,0.79,5.63,,,,,8.52,,,3.99,16.26,20.34,1.4,,0.51,,5.17,,52.73,16.01,,0.23,,,,,,1.07,,0.56,,,5.1,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.21,15.13,,,8,8696254174.0,Airlines,Transportation
AAON,88.07,62.5,37.59,,26.3,8.1,29.5,31.8,,20.3,29.5,63.06,0.36,66.21,61.34,31.61,,,137.25,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,45.51,36.71,107.79,,,,9.18,2.2,0.77,8.52,0.92,0.23,46.6,20.38,17.97,15.07,79.97,35.65,94.37,,15.78,,20.14,13.99,60.46,60.46,2.41,9.49,,3.28,9.65,,111.38,1.72,6.85,1.85,,57.43,47.1,71.8,2.42,9.31,17.48,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,120.39,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,62.46,,3.6,,26,,,,,8.9,70.45,47.46,,65.71,1.9,0.08,0.12,44.97,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.22,28.77,11.36,27.21,30.5,13.78,0.71,0.48,3.48,0.21,1.77,8.14,2.22,25.8,4.05,,,103.37,40.02,2.38,,0.36,,1.55,1.03,61.6,57.65,,0.21,,,,,12.25,0.44,2.08,0.2,,,6.44,87.51,,0.42,1.69,0.62,0.36,4.12,2.95,1.7,,1.76,,4.3,6.19,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.81,73.1,0.86,2.7,,4.9,6.2,6.4,8.6,,5.4,91.01,0.54,14.52,81.99,9.19,0.37,0.61,242.84,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.15,27.59,34.14,28.05,25.84,8.9,9.5,3.32,0.16,27.83,2.96,0.41,32.85,18.11,11.49,6.89,188.2,46.21,,,23.97,,31.51,64.41,39.94,35.98,2.26,9.56,,1.52,1.68,,34.42,1.29,10.15,2.11,,,31.67,36.89,2.29,2.68,64.41,0.83,26.93,278.63,59.87,140.28,,32.51,,3.13,52.68,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,32.29,47.74,7.69,,,9.7,8.1,22.2,18.4,28.45,8.5,29.9,5.99,29.36,42.06,0.79,4.87,0.25,27.74,5.78,,148.94,6.31,7.97,1.8,,1.38,4.83,23.06,12.31,24.3,,,,7.21,4.34,0.35,29.66,8.02,4.83,56.04,8.95,,2.18,27.75,63.33,1.92,,16.36,,28.14,1.42,28.6,28.6,12.43,4.67,,2.48,1.36,11.66,15.77,1,1.36,0.61,,,10.4,19.16,,1.22,1.44,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.83,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,37.45,41.33,4.03,,,7.8,9.6,1.7,7.4,21.19,3.8,31.81,5.73,19.36,40.21,1.8,0.17,0.1,176.19,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.52,38.02,20.58,24.01,13.69,13.2,6.35,6.75,2.63,0.04,28.13,5.02,3.72,14.47,16.55,7.68,5.5,150.28,67.21,5.43,,9.22,,26.13,51.67,61.18,16.39,1.06,5.64,,0.6,0.66,,20.04,1.17,,1.28,,,18.96,35.33,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.7,37.73,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,57.03,15.48,,8.7,,,,,,,62.48,,,58.85,1.87,8.08,9.01,3.0,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.19,,0.77,,,,,,,22.79,1.01,,,,,,,0.78,,,,25.22,,,,,,2.97,,,2.7,2.07,,,,,0.91,9.34,,,,,,,,1.06,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,56.27,,,2.2,20.8,5.4,3.2,9.8,60.73,11,60.13,10.45,,58.99,4.01,0.59,6.19,2.29,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.59,8.77,6.58,10.14,9.45,7.25,2.3,2.11,11.4,0.67,25.25,11.12,6.59,12.38,14.99,3.83,6.6,2.76,50.98,7.91,,16.92,,23.87,2.27,13.31,13.01,2.66,2.72,,,,,10.82,0.83,1.86,0.51,,,8.55,11.58,1.89,0.79,4.98,0.9,10.03,70.19,19.21,15.52,,15.33,,5.57,13.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,20.77,54.4,16.81,,50.3,,28.2,37.8,,8.08,24,38.22,,10.1,49.85,2.79,0.03,0.01,258.98,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.86,12.6,38.83,11.82,10.77,0.57,0.61,7.22,0.33,1.58,5.13,,9.48,30.26,,6.16,263.71,17.41,3.89,,2.16,,5.9,1.51,14.66,9.62,0.3,0.32,,0.31,1.7,,19.62,0.98,,1.1,,,10.36,87.76,0.38,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.74,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,33.4,58.12,11.5,2,8.4,5.9,40.8,24.6,,23.18,11.1,59.77,1.91,18.16,58.38,2.98,0.07,0.06,57.44,1.38,,,56.6,3.53,0.8,,0.26,1.57,16.18,11.92,18.08,12.41,10.01,0.6,0.6,6.18,0.36,3.3,7.57,1.85,15.68,25.93,,1.62,51.53,,3.58,,1.89,,3.62,1.97,23.74,16.55,1.03,0.45,,0.89,1.17,,13.5,1.11,,1.12,,,10.98,16.62,0.83,0.99,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.18,29.76,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,4.14,51.39,23.3,,38.3,,,,,322.31,8,47.37,,,50.18,4.72,0.99,4.98,136.92,1.62,,33.1,6.78,0.96,0.27,,,,33.21,32.37,18.51,21.74,21.4,6.22,7.03,3.01,0.38,37.96,4.83,,30.75,,,10.78,166.97,83.07,22.92,,16.96,,15.01,10.07,47.83,47.83,,8.15,,,,,21.52,0.82,4.88,,,18.53,21.52,36.08,,,11.14,1.62,7.98,839.68,21.23,22.05,,19.8,,4.05,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,11.3,44.38,2.58,0.7,6.3,12.3,6.8,6.7,,,5.8,23.77,3.55,12.02,37.99,5.26,0.52,0.52,115.6,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.9,28.22,19.62,32.02,22.16,17.5,4.61,5.04,3.54,0.54,15.74,3.23,1.9,22.39,11.32,8.9,6.48,108.6,55.55,11.5,,13.99,,16.24,5.04,35.14,25.58,2.22,4.94,,1.38,1.61,,31.15,1.06,5.09,1.14,,,23.19,40.73,3.17,1.93,22.8,1.14,7.9,65.41,12.45,14.86,,10.65,,3.41,41.29,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,35.33,60.95,26.14,,6.9,,13.2,4.1,,3.27,5.9,54.3,0.19,21.71,58.57,2.91,1.75,0.61,108.35,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.18,28.7,15.25,47.2,,,1.94,2.3,3.48,0.56,4.86,2.31,0.18,24.51,18.02,26.64,11.51,77.32,19.84,4.58,,5.17,,7.87,2.15,40.74,33.17,1.64,2.1,,,,,43.27,1.4,2.65,,,,16.55,25.36,2.14,1.47,4.73,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,60.01,,,,,38.8,40.9,46.1,223.57,16.4,66.93,,3.2,62.29,2.77,1.64,11.45,17.28,2.29,235.21,82.57,38.31,0.4,0.09,,,,20.18,18.18,11.17,14.42,17.78,2.3,2.44,4.96,0.59,21.82,7.05,,22.65,,,15.88,33.93,91.61,,,13.83,,12.08,4.98,22.15,22.15,0.99,3.05,,,,,14.11,0.51,2.45,,17.28,7.38,14.11,21.55,,,6.08,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
