Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SKT,52.7,46.67,,12.6,10.8,16.8,45.1,6.6,1.2,20.49,2.15,17.62,38.15,1.13,0.17,0.01,28.32,0.17,,,,5.85,2.69,,1.04,3.57,30.22,17.6,19.98,,15.18,15.21,9.88,3.31,0.24,49.44,7.44,3.67,28.88,4.43,,,19.18,68.66,2.79,,21.35,,28.82,5.44,30.45,30.45,,6.5,,,,14.58,13.17,2.71,1.4,,,13.17,,,1.21,5.36,0.17,4.45,194.57,7.15,19.68,,6.57,,2.77,27.51,,,9,2476995395.0,Real Estate Investment Trusts,Finance
SKX,39.59,50.8,0.3,17.9,,51.3,74.3,247,19.8,47.08,,27.33,50.39,4.26,0.76,0.75,60.91,2.38,146.34,85,42.25,1.74,0.42,,,,12.43,10.09,10.75,10.46,8.05,1.11,1.22,8.05,0.53,11.34,9.72,,15.22,14.94,,10.13,55.7,51.9,,,6.82,,9.81,2.32,17.45,17.66,1.42,1.19,,0.69,0.34,,10.49,1.37,1.05,,21.99,7.73,12.26,1.37,1.66,2.38,1.46,7.62,18.96,13.99,14.29,,12.6,,1.14,25.77,,,10,7335962558.0,Apparel/Footwear,Consumer Non-Durables
SKY,25.07,50.73,,37.1,,72.7,90,80.4,23.5,39.77,,16.16,45.91,8.8,1.47,4.74,81.05,2.56,54.95,11.36,9.93,0.35,0.07,,,,15.99,14.31,19.88,,16.52,1.88,2.17,6.25,0.76,10.9,4.61,,26.39,,,,55.39,26.7,77.48,,10.19,,11.93,3.29,23.22,23.22,,2.36,,,,,21.71,2.21,2.55,92.1,11.06,17.3,20.5,,1.59,4.75,1.71,12.25,105.71,19.46,15.61,,22.52,,0.1,56.18,,,7,3978197951.0,Homebuilding,Consumer Durables
SKYW,220.39,66.25,7.1,7.2,,1.8,,36.6,15.8,49.11,,37.44,61.17,1.26,0.67,0.27,66.3,0.9,17.76,65.18,12.63,18.06,1.46,,,,28.76,28.76,11.73,,,,1.68,3.48,0.3,14.31,15.75,,,,,,47.29,12.68,0.79,,1.17,,3.55,1.26,76.21,76.21,,1,,,,,6.88,2.07,1.63,,,3.96,,,1.33,1.26,0.8,0.48,3.05,2.86,1.56,,1.37,,21.56,24.14,,,7,1803232086.0,Airlines,Transportation
SLAB,,41.89,10.1,11.5,,,25.5,,28.8,21.24,,16.61,34.52,12.86,2.69,6.78,130.9,4.51,168.17,73.07,36.28,1.41,0.05,,,,,82.53,,,,6.34,4.86,,0.84,,,,,18.87,,,156.42,58.88,,,,,,3.45,,225.69,,5.49,,,,,,7.36,1.1,20.39,8.29,,,,2.84,5.4,3.32,,,,,,,,13.66,20.81,,,9,3878848980.0,Semiconductors,Electronic Technology
SLB,7.19,69.18,,17.7,4.6,,54.8,36.4,10.6,79.41,0.68,,76.2,3.3,0.3,0.33,52.87,1.32,58.62,97.23,83.45,1.59,0.59,,0.33,1.94,14.47,11.1,18.42,12.39,9.03,2.25,2.53,6.91,0.42,13.72,6,2.08,14.81,,12.05,9.59,55.09,19.8,10.91,,12.68,,16.56,3.74,18.11,17.56,,2.3,,,,,16.8,4.53,0.96,,,11.5,17.31,,1.63,26.3,1,9.31,61.16,17.72,22.37,,13.97,,3.6,,,,6,86095452612.0,Contract Drilling,Industrial Services
SLCA,,71.58,,9.8,,89.1,,,19.8,84.92,,,77.26,1.78,1.32,0.27,12.59,3.23,55.36,57.49,46.32,2.1,1.08,,,,5.55,3.8,8.32,,,,1.06,18.02,0.41,12.78,20.18,,,,,,14.14,34.24,2.71,,9.47,,17.74,1.14,6.73,6.88,,0.64,,,,,4.98,0.75,0.61,,,3.75,4.93,,0.73,1.82,2.43,6.95,21.56,15.69,18.91,,11.96,,28.34,,,,5,1101998282.9999998,Other Metals/Minerals,Non-Energy Minerals
SLG,65.69,59.37,,,1,,,,,55.26,6.21,10.77,58.88,0.26,0.26,0.05,50.52,0.74,,110.22,119.09,,1.17,,,6.31,,,33.5,192.39,13.52,10.95,8.41,,0.4,25.12,7.01,5.94,,,,,51.68,47.67,,,,,,0.92,,,,3.75,,,,,14.97,,0.61,,,14.97,,,0.52,0.92,0.74,,,,,,,,28.24,20.81,,,8,2792461241.0,Real Estate Investment Trusts,Finance
SLVM,26.92,48.19,2.1,,,36,48.6,1,17.1,19.46,1.95,32.06,38.31,3.77,0.32,0.23,56.78,1.72,57.2,53.07,41.25,1.68,1.06,,0.19,1.94,7.18,5.38,10.47,,3.51,0.85,0.82,13.93,0.31,7.86,12.56,2.11,10.43,,,0.15,0.0,24.37,11.85,,6.77,,10.78,2.6,9.59,9.59,,0.65,,,,,8.2,1.14,,,,4.79,,,,3.07,1.14,9.04,33.9,20.43,31.1,,13.17,,14.48,,,,6,1790546726.0000002,Pulp & Paper,Process Industries
SM,52.75,78.19,,21.1,210.7,,,24.4,26,85.51,5.9,,82.11,2.57,0.97,0.39,46.79,1.45,,22.01,35.04,0.93,0.44,,0.1,1.35,6.34,3.76,13.42,,3.57,2.52,2.7,15.77,0.57,20.1,8.77,1.54,7.49,,12,,34.59,46.95,10.03,,34.6,,38.87,1.5,6.81,7.98,,2.36,,,,,11.62,0.7,1.64,,,3.54,5.96,,1.09,1.5,1.45,13.61,19.48,18.57,24.58,,15.46,,7.51,635.27,,,5,4697968548.0,Oil & Gas Production,Energy Minerals
SMAR,0.24,26.24,,,,,36.3,,35,11,,7.66,19.92,4.35,0.94,10.7,37.52,1.32,,4.05,66.72,,0.1,,,,,,43.94,,,4.02,5.03,,0.46,11.45,2.05,,42.13,,,22.04,59.43,79.79,,,,,,9.13,,234.5,469,5.47,,,,,47.8,11.73,,,32.63,42.2,,,11.3,13.21,1.32,,,,,,,,0.26,,,,,5678278920.0,Packaged Software,Technology Services
SMCI,994.28,59.43,,22.4,,86.9,94.7,,26.3,44.17,,302.79,54.97,18.77,0.36,1.89,1068.83,2.43,84.24,40.8,38.95,0.42,0.13,,,,68.29,65.54,,,,,6.42,1.46,0.57,,,,,20,,,109.94,16.39,58.81,,7.92,,9.4,19.42,83.44,76.02,1.71,6.61,,2.43,,,,8.08,11.62,,23.76,,,3.05,23.43,19.42,1.19,18.83,46.17,34.92,33.9,,31.9,,0.25,272.01,,,10,13187335516.0,Computer Communications,Electronic Technology
