Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,13.45,49.01,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,32.47,1.03,,43.79,6.08,,0.74,0.61,138.36,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.68,25.12,21.78,28.99,24.51,21.43,5.98,6.29,3.98,0.54,21.81,3.56,0.68,24.46,15.64,4.91,2.34,133.71,54.39,17.3,,,21.75,,22.9,6.74,28.71,26.56,2.21,6.28,,0.77,1.64,,28.7,5.51,1.24,,,22.72,28.62,2.06,2.13,25.72,1.37,13.03,74.15,18.1,23.78,,16.15,,3.19,44.63,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,38.67,1.4,10.2,,,,,75.95,5.9,26.94,1.3,5.69,35.52,1.18,,0.44,0.55,30.27,1.55,79.98,58.53,26.31,10.94,0.65,,,1.3,,38.74,,7.38,4.71,0.83,0.84,,0.27,,,1.3,11.04,,,2.67,39.39,8.14,,,,,,,1.4,,,,0.51,,,,,,,,,,16.57,,,1.33,1.46,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,60.28,,10.4,,,,,597.78,27,80.38,,,68.35,0.65,,0.34,0.21,10.8,0.6,20.92,21.96,14.01,19.76,,,,,19.03,19.03,,10.18,6.08,0.67,0.71,5.25,,,,,5.99,,,4.03,16.59,20.23,1.4,,,,,5.34,,,11.17,,0.14,,,,,,,0.33,,,3.52,,,,,0.5,,5.17,4.89,,,12.18,,44.79,8.06,,,8,8696254174.0,Airlines,Transportation
AAON,32.84,44.01,,26.3,8.1,29.5,31.8,,20.3,29.5,26.32,0.55,5.62,37.52,19.26,,,,87.53,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,30.04,24.63,71.23,,,,6.12,3.33,0.73,8.59,1.45,0.36,31.4,20.55,18.09,11.33,78.57,36.27,88.05,,,15.61,,20.32,9.56,39.41,39.41,1.57,6.12,,1.99,5.72,,71.38,4.61,1.21,,46.31,32.26,50.4,1.58,6.44,12.16,1.7,19.5,39.13,29.71,25.86,,21.83,,0.62,80.27,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,10.32,49.01,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,37.74,0.61,23.01,44.94,9.94,,0.47,0.61,222.39,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.41,25.14,32.56,25.33,23.49,7.98,8.81,3.65,0.2,27.06,3.09,0.45,29.74,19.91,11.13,6.01,183.68,45.96,120.35,,,26.44,,31.27,50.77,33.85,33.85,2,8.92,,1.27,1.44,,33.08,8.74,2.07,,,30.54,35.64,1.95,2.51,50.77,0.91,29.81,269.91,59,151.08,,35.41,,3.33,48.98,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.89,51.44,,,9.7,8.1,22.2,18.4,28.45,8.5,28.37,6.29,13.31,44.41,0.73,,0.99,0.07,25.95,1.84,,145.05,6.23,6.69,1.44,,1.49,5.12,23.85,12.58,23.11,,,,7.24,4.19,0.4,31.33,8.83,5.16,36.55,8.15,,2.74,27.05,62.62,1.87,,,15.39,,27.37,1.33,29.16,29.16,12.68,4.55,,2.34,1.14,11.66,14.6,1.32,0.57,,,9.94,20,,1.16,1.35,1.84,2.29,628.91,4.67,5.7,,4.27,,3.74,32.04,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,26.19,53.63,,,7.8,9.6,49.1,7.4,26.06,3.8,28.31,5.16,2.9,44.17,2.05,,0.31,0.19,192.86,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.16,42.36,22.42,22.8,14.61,14.23,6.9,7.37,2.36,0.05,32.33,5.22,3.2,15.95,20.05,7.26,5.14,146.33,62.76,5.48,,,9.71,,24.95,50.22,64.29,18.02,1.16,6.37,,0.74,0.57,,19.7,,1.41,,,18.79,33.21,1.25,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.87,41.84,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,36.73,,8.7,,,,,,,27.24,,,33.69,1.88,,9.52,9.3,2.43,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.36,,0.79,,,,,,,32.02,1.06,,,,,,,,0.67,,,,22.11,,,,,,,,1.94,1.52,,,,,0.73,10.96,,,,,,,,0.73,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,55.12,,2.2,20.8,5.4,3.2,9.8,60.73,11,51.65,10.34,,52.8,3.73,,0.44,4.44,2.32,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.51,9.06,6.77,9.45,8.82,6.77,2.15,2.17,11.04,0.66,25.65,11.24,6.51,12.61,14.52,5.05,6.54,2.66,50.83,7.5,,,17.86,,24.06,2.15,12.75,12.21,2.49,2.54,,,,,10.12,1.73,0.47,,,7.92,11.2,1.83,0.76,4.94,0.79,10.57,68.13,19.18,16.5,,16.25,,6.02,12.89,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,17.9,61.33,2,8.4,5.9,40.8,24.6,,23.18,11.1,53.78,1.98,29.47,60.19,3.12,,0.05,0.04,56.1,1.44,,,58.62,2.69,0.76,,0.28,1.62,11.95,9.36,13.96,12.02,9.71,0.58,0.59,8.37,0.37,4.23,9.86,1.63,15.19,26.03,,2.09,50.87,,4.81,,,3.04,,4.88,1.91,14.69,17.87,1.11,0.44,,0.88,0.84,,10.57,,1.13,,,9.04,9.74,0.9,0.97,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.4,28.62,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
