Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,6.88,60.13,0.42,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,69.12,0.97,3.73,65.09,5.34,0.7,0.39,140.58,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,26.07,22.49,30.7,24.25,21.58,6.14,6.48,3.84,0.5,21.09,3.42,0.71,25.25,15.16,8.66,5.96,134.93,54.3,15.5,,19.8,,22.86,6.8,31.81,26.57,2.33,6.29,,0.85,1.47,,29.8,1.04,7.36,1.25,,,23.37,30.28,2.15,2.1,45.79,1.58,11.63,68.51,17.6,21.45,,14.54,,3.41,43.55,,,10,33913792728.0,Medical Specialties,Health Technology
AA,80.57,42.96,58.99,1.4,10.2,,,,,75.95,5.9,19.67,0.93,6.35,34.31,1.5,0.38,0.45,42.49,1.41,78.33,59.38,26.65,4.45,0.56,,,0.94,1042.17,20.56,,6.87,5,1.09,1.23,0.1,0.36,,,0.94,12.65,,,4.18,32.3,11.35,1.6,,,,2.02,2.27,,,,0.8,,,,,,1.32,,,,,22.38,,,1.66,2.16,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,3.86,81.54,29.63,,10.4,,,,,597.78,27,92.56,,22.48,86.47,0.69,0.33,0.22,17.4,0.57,21.4,22.29,13.62,16.51,,,,,17.76,17.76,,8.83,5.95,0.75,0.79,5.63,,,,,8.52,,,3.99,16.27,20.34,1.4,,0.51,,5.17,,52.73,16.01,,0.22,,,,,,1.07,,0.56,,,5.07,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.18,15.15,,,8,8696254174.0,Airlines,Transportation
AAON,88.07,62.5,37.59,,26.3,8.1,29.5,31.8,,20.3,29.5,63.06,0.36,66.21,61.34,31.92,,,137.25,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,46.01,37.11,108.96,,,,9.28,2.17,0.77,8.52,0.92,0.23,46.6,20.38,17.97,15.07,79.98,35.65,94.37,,15.78,,20.14,13.99,60.46,60.46,2.41,9.48,,3.28,9.65,,111.4,1.72,6.85,1.85,,57.43,47.15,71.82,2.42,9.31,17.48,1.79,19.56,38.79,29.01,25.52,,21.87,,0.46,120.14,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,62.46,,3.6,,26,,,,,8.9,70.45,47.46,,65.71,1.91,0.08,0.12,44.97,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.22,29.16,11.51,27.59,30.5,13.78,0.71,0.49,3.43,0.21,1.77,8.14,2.22,25.8,3.67,,,103.02,40.02,2.38,,0.36,,1.55,1.03,61.6,57.65,,0.22,,,,,12.29,0.44,2.08,0.2,,,6.45,87.49,,0.42,1.69,0.62,0.36,4.12,2.95,1.7,,1.76,,4.14,6.19,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.81,73.1,0.86,2.7,,4.9,6.2,6.4,8.6,,5.4,91.01,0.54,14.52,81.99,9.19,0.37,0.61,242.84,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.13,27.57,34.12,28.05,25.84,8.9,9.49,3.32,0.16,27.83,2.96,0.41,32.85,18.11,11.49,6.89,188.24,46.21,,,23.97,,31.51,64.47,39.94,35.98,2.26,9.57,,1.52,1.68,,34.43,1.29,10.15,2.11,,,31.67,36.88,2.29,2.68,64.41,0.83,26.93,278.63,59.87,140.28,,32.51,,3.14,52.72,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,32.29,47.74,7.69,,,9.7,8.1,22.2,18.4,28.45,8.5,29.9,5.99,29.36,42.06,0.79,4.87,0.25,27.74,5.78,,148.94,6.31,7.97,1.8,,1.38,4.83,23.06,12.31,24.3,,,,7.21,4.34,0.35,29.66,8.02,4.83,56.04,8.95,,2.18,27.77,63.33,1.92,,16.36,,28.14,1.42,28.6,28.6,12.43,4.67,,2.48,1.36,11.66,15.77,1,1.36,0.61,,,10.4,19.16,,1.22,1.44,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.83,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,37.45,41.33,4.03,,,7.8,9.6,1.7,7.4,21.19,3.8,31.81,5.73,19.36,40.21,1.8,0.17,0.1,176.19,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.52,38.02,20.58,24.01,13.69,13.2,6.35,6.75,2.63,0.04,28.13,5.02,3.72,14.47,16.55,7.68,5.5,150.29,67.21,5.43,,9.22,,26.13,51.67,61.18,16.39,1.06,5.64,,0.6,0.66,,20.04,1.17,,1.28,,,18.96,35.33,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.7,37.73,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,57.03,15.48,,8.7,,,,,,,62.48,,,58.85,1.87,8.08,9.01,3.0,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.19,,0.77,,,,,,,22.79,1.01,,,,,,,0.78,,,,25.22,,,,,,2.97,,,2.7,2.07,,,,,0.91,9.34,,,,,,,,1.06,,,,4,1545160366.0,Biotechnology,Health Technology
ABG,20.77,54.4,16.81,,50.3,,28.2,37.8,,8.08,24,38.22,,10.1,49.85,2.79,0.03,0.01,258.98,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.86,12.6,38.81,11.82,10.77,0.57,0.61,7.22,0.33,1.58,5.13,,9.48,30.27,,6.16,263.83,17.41,3.89,,2.16,,5.9,1.51,14.66,9.62,0.3,0.32,,0.31,1.7,,19.62,0.98,,1.1,,,10.36,87.73,0.38,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.74,,,10,4632090814.999999,Specialty Stores,Retail Trade
