Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,10.12,32.12,1.5,7.9,7.7,13.5,33.2,24.7,10.5,20.48,1.12,0.18,27.74,6.18,0.85,0.65,126.37,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.74,26.59,22.5,24.5,22.52,19.72,5.53,5.72,3.76,0.57,23.33,4.17,0.75,21.98,16.13,5.53,,135.82,50.63,14.64,,18.84,,19.54,5.93,29.87,23.75,1.98,5.65,,0.76,1.51,,24.22,4.61,1.12,,,19.62,29.58,1.8,1.9,20.09,1.64,11.49,63.42,15.6,20.99,,14.11,,3,41.43,,,10,33913792728.0,Medical Specialties,Health Technology
AA,28.42,60.85,1.4,10.2,,,,,5.9,79.18,0.92,39.76,66.61,1.11,0.45,0.53,42.44,1.61,83.25,57.67,25.57,134.11,0.64,,,0.92,,463.15,,23.74,8.57,0.86,0.84,,0.28,,,0.92,333.1,,,3.01,39.6,6.37,,,,,,1.91,,,,0.72,,,,,,,,,,233.54,,,1.92,2,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,33.47,,10.4,,,,,27,41.92,,,35.59,0.66,0.33,0.21,11.04,0.58,20.92,21.48,13.98,14.34,,,,,13.98,13.98,,11.85,6.89,0.71,0.73,7.15,,,,,4.97,,19.84,4.58,18.63,21.59,1.73,,0.94,,6.83,,18.4,6.01,,0.14,,,,,,,0.32,,,2.78,,,,,0.48,0.76,7.26,6.75,,,3.98,,39.93,8,,,8,8696254174.0,Airlines,Transportation
AAON,15.81,64.63,,26.3,8.1,29.5,31.8,,29.5,66.24,0.56,1.19,67.68,28.56,0.07,0.49,87.04,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.37,30.71,25.25,55.73,,,,6.08,3.26,0.82,10.92,1.78,0.37,,20.59,,,77.56,35.56,58.55,,15.44,,19.77,9.1,40.54,40.54,1.62,6.24,,2.23,4.96,,57.28,4.51,1.25,,31.88,29.53,43.62,1.75,6.18,11.3,1.57,19.39,38.08,29.18,25.9,,21.96,,0.77,83.69,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,34.97,3.6,,26,,,,8.9,29.27,36.13,10.52,32.76,1.28,0.09,0.11,58.72,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.69,70.34,17.33,15.06,19.13,10.41,0.63,0.63,1.42,0.21,4.18,13.46,1.69,16.15,6.77,104.68,1.34,163.7,39.77,1.15,,0.14,,0.85,1.36,85.1,85.1,,0.32,,,,,7.46,3.65,0.27,,,5.2,11.56,,0.51,3.53,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.7,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,0.82,71.29,2.9,1.3,5.7,20.9,23.2,14.6,15.7,77.65,0.61,5.31,72.93,10.08,0.54,0.64,226.34,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.44,28.62,26.14,33.7,26.55,24.63,8.22,9,3.49,0.22,26.71,2.94,0.45,30.63,20.23,9.16,4.58,178.98,45.59,59.12,,26.31,,30.98,46.76,35.2,35.2,2.08,9.21,,1.45,1.65,,34.67,8.56,2.29,,,32.01,37.43,1.98,2.64,46.76,0.99,29.34,262.55,56.47,150.79,,34.83,,3.05,51.21,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,10.72,58.43,,,9.7,8.1,22.2,18.4,8.5,67.4,7.52,,62.33,0.65,0.98,0.06,21.79,2.06,,143.65,6.4,6.71,1.43,,1.49,6.12,21.93,11.63,24.3,,,,6.68,4.56,0.4,27.51,9.21,6.17,,7.94,,2.39,29.21,62.64,1.88,,15.46,,27.6,1.11,24.48,24.48,10.64,3.77,,2.12,1.18,9.65,13.73,1.11,0.48,,,8.73,17.06,,0.98,1.12,2.06,2.29,612.23,4.67,5.68,,4.28,,3.86,27.24,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,18.65,42.77,,,7.8,9.6,49.1,7.4,3.8,24.48,5.94,,36.51,1.77,0.44,0.24,167.25,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.64,35.01,18.66,15.77,13.51,13.06,6.26,6.35,2.86,0.05,40.24,7.41,3.72,15.31,24.56,6.83,4.97,142.03,62.28,5.83,,11.02,,24.96,36.84,49.63,15.26,0.98,5.35,,0.68,0.45,,13.32,,1.24,,,12.85,19.55,0.86,1.46,,0.83,4.34,199,9.56,52.94,,9.67,,5.26,36.44,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,26.19,,8.7,,,,,,25.95,,,24.92,1.89,6.66,9.48,2.69,7.76,,,342.96,,0.07,,,,,,,,,8.29,4.82,,0.77,,,,,,,31.92,1.21,,,,,,,0.7,,,,21.69,,,,,,,,2.17,1.64,,,,,0.82,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,38.7,,2.2,20.8,5.4,3.2,9.8,11,52.35,11.61,,42.29,3.44,0.4,3.65,2.07,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.31,8.23,6.08,8.44,8.22,6.25,1.97,1.9,12.15,0.65,25.4,12.61,7.31,12.19,14.75,5.22,6.15,2.99,50.66,6.83,,18.25,,23.83,2.07,11.07,10.62,2.17,2.28,,,,,8.98,1.6,0.41,,,6.96,10.08,1.73,0.68,4.93,0.7,10.77,64.69,18.64,17.03,,17.22,,6.49,10.89,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
