Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.6,47.12,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,45.04,1.02,10.97,45.31,5.17,,0.7,0.39,133.43,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.71,25,21.57,29.44,23.26,20.7,5.89,6.21,4,0.5,21.09,3.6,0.74,23.97,15.3,8.61,5.95,135.91,54.3,15.5,,,19.8,,22.86,6.45,30.19,25.22,2.21,5.94,,0.81,1.4,,28.21,0.98,6.99,1.18,,,22.15,28.52,2.04,1.97,43.46,1.58,11.63,71.45,17.6,21.45,,14.54,,3.58,41.31,,,10,33913792728.0,Medical Specialties,Health Technology
AA,37.2,34.96,16.67,1.4,10.2,,,,,75.95,5.9,32.28,1.02,11.93,31.57,1.36,,0.38,0.45,37.99,1.41,78.33,59.38,26.65,4.45,0.56,,,1.02,875.43,17.27,,4.81,3.73,0.92,1.03,0.11,0.36,,,1.02,9.31,,,6.69,31.41,11.35,1.6,,,,,2.02,1.87,,,,0.66,,,,,,1.21,,,,,18.04,,,1.49,1.94,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,8.71,68.09,36.03,,10.4,,,,,597.78,27,71.53,,32.22,68.35,0.69,,0.33,0.22,17.0,0.57,21.4,22.29,13.62,16.51,,,,,17.76,17.76,,8.57,5.83,0.74,0.79,5.63,,,,,7.55,,12.26,4.05,16.49,20.34,1.4,,,0.51,,5.17,,51.52,15.64,,0.22,,,,,,1.03,,0.54,,,4.93,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.14,14.78,,,8,8696254174.0,Airlines,Transportation
AAON,79.01,39.05,23.27,,26.3,8.1,29.5,31.8,,20.3,29.5,23.13,0.41,54.18,31.93,27.84,,,,117.94,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.27,39.49,31.85,93.53,,,,7.97,2.53,0.77,8.52,1.07,0.27,40.05,20.44,17.97,15.07,80.42,35.65,94.37,,,15.78,,20.14,12.02,51.96,51.96,2.07,8.16,,2.82,8.29,,95.77,1.47,5.89,1.59,,49.35,40.51,61.7,2.08,8,15.02,1.79,19.56,38.79,29.01,25.52,,21.87,,0.54,103.46,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.05,14.61,3.6,,26,,,,,8.9,54.48,45.54,,53.34,1.91,,0.08,0.12,48.14,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.13,29.83,11.78,28.22,31.2,14.1,0.73,0.5,3.35,0.21,1.77,7.6,2.13,28.12,3.06,,,93.91,40.02,2.38,,,0.36,,1.55,1.11,65.95,61.72,,0.23,,,,,13.17,0.51,2.23,0.21,,,6.85,93.7,,0.45,1.81,0.62,0.36,4.12,2.95,1.7,,1.76,,3.93,6.63,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.06,67.64,5.65,2.7,,4.9,6.2,6.4,8.6,,5.4,58.77,0.53,8.77,65.73,9.41,,0.37,0.61,243.85,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,31.06,28.42,35.17,28.95,26.64,9.18,9.79,3.22,0.16,27.83,2.95,0.4,32.97,18.04,11.41,6.91,189.15,46.21,,,,23.97,,31.51,64.68,40.11,36.13,2.27,9.59,,1.52,1.69,,34.56,1.29,10.19,2.12,,,31.81,37.04,2.3,2.69,64.68,0.83,26.93,278.63,59.87,140.28,,32.51,,3.05,52.9,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,23.76,37.71,8.48,,,9.7,8.1,22.2,18.4,28.45,8.5,37.23,6.3,27.77,35.92,0.76,,4.87,0.25,26.06,5.78,,148.94,6.31,7.97,1.8,,1.38,5.13,22.05,11.77,23.23,,,,6.89,4.54,0.35,29.66,8.54,5.13,52.65,9.19,,2.77,26.49,63.33,1.92,,,16.36,,28.14,1.34,26.87,26.87,11.68,4.35,,2.33,1.27,10.91,14.71,0.98,1.27,0.57,,,9.73,17.85,,1.15,1.36,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.78,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.73,50.72,,,,7.8,9.6,1.7,7.4,21.19,3.8,57.49,5.71,9.53,54.39,1.81,,0.17,0.1,179.44,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.5,38.29,20.73,24.19,13.79,13.3,6.4,6.8,2.61,0.04,28.13,4.93,3.7,14.71,16.5,7.74,5.5,150.67,67.21,5.43,,,9.22,,26.13,52.62,62.31,16.69,1.08,5.7,,0.61,0.67,,20.26,1.19,,1.3,,,19.19,35.7,1.65,1.61,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.69,38.42,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,28.86,,,2.2,20.8,5.4,3.2,9.8,60.73,11,16.26,9.63,6.31,23.79,3.49,,0.59,6.19,1.83,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.06,6.85,5.14,8.14,7.66,5.88,1.86,1.65,14.6,0.67,25.25,13.92,6.06,10.17,16.52,3.83,6.6,2.73,50.98,7.91,,,16.92,,23.87,1.87,10.64,10.4,2.12,2.25,,,,,8.89,0.67,1.53,0.42,,,7.04,9.51,1.55,0.65,4.07,0.9,10.03,70.19,19.21,15.52,,15.33,,6.1,11.44,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,18.93,41.13,15.91,,50.3,,28.2,37.8,,8.08,24,35.87,,16.59,36.97,2.76,,0.03,0.01,236.42,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.43,12.21,37.61,11.45,10.44,0.55,0.59,7.45,0.33,1.58,5.62,,8.66,30.94,,6.25,266.71,17.41,3.89,,,2.16,,5.9,1.38,13.38,8.78,0.27,0.3,,0.28,1.55,,17.87,0.89,,1.01,,,9.46,80.08,0.35,0.48,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.54,,,10,4632090814.999999,Specialty Stores,Retail Trade
