Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,12.11,58.26,1.5,7.9,7.7,13.5,33.2,24.7,10.5,66.13,1.01,0.9,60.67,6.71,0.85,0.65,140.04,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.67,29.46,24.92,27.14,24.94,21.84,6.13,6.33,3.39,0.57,23.33,3.76,0.67,28.11,15.83,5.44,2.44,135.2,50.63,14.64,,18.84,,19.54,6.57,33.11,26.32,2.19,6.26,,0.76,1.54,,26.83,5.1,1.24,,,21.76,32.79,2,2.11,22.26,1.64,11.49,63.42,15.6,20.99,,14.11,,2.71,45.89,,,10,33913792728.0,Medical Specialties,Health Technology
AA,31.9,44.96,1.4,10.2,,,,,5.9,65,1.26,41.09,51.2,1.2,0.44,0.55,32.12,1.55,79.98,58.53,26.31,10.94,0.65,,,1.25,,40.56,,27.27,9.3,0.84,0.88,,0.27,,,1.25,239.1,,,2.82,39.31,8.14,,,,,,1.48,,,,0.54,,,,,,,,,,17.46,,,1.42,1.55,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,46.6,,10.4,,,,,27,60.05,,,51.14,0.65,0.34,0.21,10.05,0.6,20.92,21.96,14.01,19.76,,,,,18.84,18.84,,19.03,8.65,0.7,0.7,5.31,,,,,14.34,,,4.06,16.67,20.23,1.4,,,,5.34,,,10.39,,0.13,,,,,,,0.3,,,3.24,,,,,0.5,,5.17,4.89,,,12.18,,47.37,7.52,,,8,8696254174.0,Airlines,Transportation
AAON,50.08,56.55,,26.3,8.1,29.5,31.8,,29.5,65.52,0.55,12.24,58.92,19.22,,,88.69,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,29.97,24.56,71.05,,,,6.1,3.34,0.73,8.59,1.43,0.36,39.79,20.55,18.37,11.35,78.27,36.27,88.05,,15.61,,20.32,9.7,39.95,39.95,1.59,6.21,,2.01,5.8,,72.4,4.68,1.22,,46.93,32.73,51.09,1.6,6.52,12.32,1.7,19.5,39.13,29.71,25.86,,21.83,,0.61,81,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.77,3.6,,26,,,,8.9,64.8,33.99,,57.77,1.29,0.09,0.11,62.19,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.61,71.72,17.67,15.35,21.08,11.13,0.64,0.64,1.39,0.21,4.18,12.71,1.61,17.13,6.38,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.45,90.13,90.13,,0.33,,,,,7.87,3.87,0.29,,,5.51,12.23,,0.54,3.74,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.15,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,32.99,60.62,2.9,1.3,5.7,20.9,23.2,14.6,15.7,79.88,0.61,28.8,66.01,10.12,0.47,0.61,226.05,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.04,25.72,33.32,25.91,24.03,8.27,9.02,3.57,0.2,27.06,3.04,0.44,30.39,19.86,10.44,5.62,182.61,45.96,120.35,,26.44,,31.27,51.59,34.41,34.41,2.04,9.1,,1.3,1.46,,33.61,8.88,2.11,,,31.03,36.21,1.98,2.55,51.61,0.91,29.81,269.91,59,151.08,,35.41,,3.25,49.79,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.5,57.51,,,9.7,8.1,22.2,18.4,8.5,60.02,6.44,13.13,56.83,0.7,0.99,0.07,25.38,1.84,,145.05,6.23,6.69,1.44,,1.49,5.24,23.25,12.27,22.53,,,,7.06,4.3,0.4,31.33,9.03,5.28,37.86,8.36,,2.7,27.2,62.62,1.87,,15.39,,27.37,1.3,28.52,28.52,12.4,4.36,,2.28,1.11,11.12,13.91,1.29,0.56,,,9.48,19.04,,1.13,1.32,1.84,2.29,628.91,4.67,5.7,,4.27,,3.97,31.19,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,11.65,70.73,,,7.8,9.6,49.1,7.4,3.8,81.19,5.18,,74.14,2.03,0.31,0.19,193.9,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.16,41.79,22.11,22.5,16.13,15.51,7.2,7.27,2.39,0.05,32.33,5.19,3.2,36.16,20.14,7.41,5.2,146.02,62.76,5.48,,9.71,,24.95,50.52,64.63,18.12,1.17,6.25,,0.74,0.58,,19.33,,1.42,,,18.44,32.59,1.26,1.74,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.92,42.07,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,37.72,,8.7,,,,,,30.17,,,34.68,1.93,9.52,9.3,2.61,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.17,,0.79,,,,,,,31.92,1.13,,,,,,,0.69,,,,22.89,,,,,,,,2.09,1.63,,,,,0.79,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,74.59,,2.2,20.8,5.4,3.2,9.8,11,80.95,10.06,,79.02,3.73,0.44,4.44,2.39,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.32,10,7.46,9.47,9.46,7.22,2.27,2.39,10,0.66,25.65,9.95,6.32,13.07,14.51,5.17,6.56,2.74,50.83,7.5,,17.86,,24.06,2.15,14.25,13.68,2.79,2.55,,,,,10.12,1.73,0.47,,,7.94,11.21,1.82,0.76,4.98,0.79,10.57,68.13,19.18,16.5,,16.25,,5.93,12.6,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
