Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,21.17,34.96,1.5,7.9,7.7,13.5,33.2,24.7,10.5,29.54,1.04,9.78,30.34,6.44,0.85,0.65,133.03,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.69,28.01,23.69,25.8,25.69,22.4,6.13,6.02,3.57,0.57,23.33,3.96,0.71,25.46,15.97,4.95,102.1,136.57,50.63,14.64,,18.84,,19.54,6.24,31.45,25.01,2.08,5.96,,0.8,1.59,,25.49,4.85,1.18,,,20.69,31.18,1.9,2,21.15,1.64,11.49,63.42,15.6,20.99,,14.11,,2.83,43.76,,,10,33913792728.0,Medical Specialties,Health Technology
AA,6.28,50.51,1.4,10.2,,,,,5.9,29.83,0.96,50.64,43.64,1.09,0.45,0.53,41.16,1.61,83.25,57.67,25.57,134.11,0.64,,,0.96,,449.25,,23.03,8.31,0.83,0.81,,0.28,,,0.96,346.96,,63.4,3.09,39.49,6.37,,,,,,1.85,,,,0.71,,,,,,,,,,227.4,,,1.86,1.94,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,27.14,,10.4,,,,,27,21.83,,2.44,22.26,0.66,0.33,0.21,11.49,0.58,20.92,21.48,13.98,14.34,,,,,14.07,14.07,,11.93,6.94,0.71,0.74,7.11,,,,,5.29,,46,4,18.5,21.59,1.73,,0.94,,6.83,,19.15,6.25,,0.15,,,,,,,0.33,,,2.88,,,,,0.48,0.76,7.26,6.75,,,3.98,,38.61,8.33,,,8,8696254174.0,Airlines,Transportation
AAON,23.13,33.89,,26.3,8.1,29.5,31.8,,29.5,28.79,0.67,20.28,31.47,24.43,0.07,0.49,72.47,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.44,25.69,21.12,46.62,,,,5.09,3.89,0.82,10.92,2.14,0.44,,20.7,,,77.33,35.56,58.55,,15.44,,19.77,7.57,33.73,33.73,1.34,5.2,,1.86,4.13,,47.63,3.75,1.04,,26.52,24.58,36.28,1.45,5.14,9.4,1.57,19.39,38.08,29.18,25.9,,21.96,,0.92,69.63,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,13.69,36.93,3.6,,26,,,,8.9,34.12,33.78,32.46,35.59,1.3,0.09,0.11,63.19,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.58,73.13,18.02,15.66,19.6,10.74,0.65,0.65,1.37,0.21,4.18,12.51,1.58,17.17,6,116.65,1.3,163.69,39.77,1.15,,0.14,,0.85,1.47,91.58,91.58,,0.34,,,,,7.99,3.93,0.29,,,5.6,12.42,,0.55,3.8,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.28,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,2.58,70.91,2.9,1.3,5.7,20.9,23.2,14.6,15.7,77.01,0.69,,73.94,9.22,0.54,0.64,193.12,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.5,25.47,23.26,29.99,23.68,21.91,7.39,8.01,3.93,0.22,26.71,3.44,0.52,26.29,20.53,10.5,5,178.41,45.59,59.12,,26.31,,30.98,39.9,30.03,30.03,1.78,7.88,,1.24,1.41,,29.6,7.3,1.96,,,27.27,31.98,1.69,2.25,39.9,0.99,29.34,275.4,56.47,150.79,,34.62,,3.43,43.69,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,8.1,45.94,,,9.7,8.1,22.2,18.4,8.5,37.24,7.6,2.56,43.01,0.64,0.98,0.06,21.44,2.06,,143.65,6.4,6.71,1.43,,1.49,6.19,21.56,11.44,23.89,,,,6.57,4.64,0.4,27.51,9.36,6.23,,8.11,,2.19,29.24,62.64,1.88,,15.46,,27.6,1.09,24.09,24.09,10.47,3.68,,2.09,1.16,9.43,13.43,1.09,0.47,,,8.55,16.64,,0.96,1.11,2.06,2.29,612.23,4.67,5.68,,4.28,,4.01,26.8,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,19.08,63.55,,,7.8,9.6,49.1,7.4,3.8,83.74,5.83,9.85,71.74,1.81,0.44,0.24,170.46,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.57,36.01,19.19,16.22,13.9,13.42,6.44,6.53,2.78,0.05,40.24,7.27,3.64,15.19,24.34,6.21,3.88,141.87,62.28,5.83,,11.02,,24.96,37.55,50.58,15.55,1,5.5,,0.7,0.45,,13.85,,1.26,,,13.36,20.29,0.88,1.48,,0.83,4.34,199,9.56,52.94,,9.67,,5.1,37.14,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,37.35,,8.7,,,,,,20.98,,,32.3,2.37,6.66,9.48,3.52,7.76,,,342.96,,0.07,,,,,,,,,8.29,12.3,,0.77,,,,,,,,1.2,,,,,,,0.91,,,,28.32,,,,,,,,2.83,2.14,,,,,1.07,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,35.25,,2.2,20.8,5.4,3.2,9.8,11,31.42,11.17,,33.07,3.47,0.4,3.65,2.15,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.03,8.59,6.34,8.54,8.06,6.12,2.03,1.99,11.64,0.65,25.4,12.12,7.03,12.34,14.67,6.1,6.23,2.98,50.66,6.83,,18.25,,23.83,2.09,11.5,11.03,2.25,2.27,,,,,9,1.62,0.41,,,6.97,10.13,1.73,0.68,4.89,0.7,10.77,64.69,18.64,17.03,,17.22,,6.38,11.32,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
