Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,66.63,1.5,7.9,7.7,13.5,33.2,24.7,10.5,68.61,0.92,18.5,67.85,6.97,,1.08,0.68,147.45,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.61,31.18,26.27,26.92,26.78,23.48,6.47,6.59,3.21,0.57,24.48,3.82,0.63,26.89,16.38,9.5,3.58,142.58,50.56,14.22,,,18.35,,19.42,6.98,35.11,28.8,2.4,6.49,,0.92,1.65,,26.45,5.58,1.31,,,22.2,32.48,2.07,2.23,24.29,2.04,11.42,62.86,15.64,21.32,,14.14,,2.2,50.15,,,10,33913792728.0,Medical Specialties,Health Technology
AAL,10.27,53.81,,10.4,,,,,27,69.59,,18.14,57.6,0.76,,0.34,0.19,14.82,0.62,20.89,20.46,14.17,12.45,,,,,13.09,13.09,35.43,11,6.83,0.77,0.81,7.64,,2.29,12.45,,5.51,,17.44,4.15,19.68,22.37,1.87,,,1.56,,7.6,,13.46,6.49,,0.19,,,,,7.48,,0.43,,,2.59,,,,,0.51,1.25,8.53,7.75,,,4.5,,30.27,9.94,,,8,8696254174.0,Airlines,Transportation
AAP,,82.61,3.6,,26,,,,8.9,92.25,56.44,5.36,87.75,1.89,,0.09,0.13,85.76,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.64,81.98,20.99,192.31,22.58,12.51,0.76,0.77,1.22,0.21,0.4,0.88,1.17,22.8,7.82,14,1.34,196.2,40.1,1.14,,,0.17,,0.89,2.03,115.89,115.89,,0.46,,,,,115.58,5.3,0.39,,,17.84,,,0.71,5.46,0.29,0.15,2.06,1.5,0.72,,1.49,,,11.17,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,16.82,39.23,2.9,1.3,5.7,20.9,23.2,14.6,15.7,38.22,0.77,5.48,39.67,7.97,,0.55,0.68,172.25,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.56,22.08,20.18,25.09,22.25,20.36,6.9,6.95,4.53,0.21,27.71,4.02,0.56,26.48,21.45,12.46,2.63,178.45,45.03,40.5,,,26.16,,30.76,35.97,26.83,26.83,1.59,6.98,,1.11,1.2,,25.32,6.55,1.76,,,23.19,26.88,1.47,2.01,35.97,1.02,29.33,279.4,57.36,159.97,,34.58,,3.82,40.63,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,27.01,49.09,,,9.7,8.1,22.2,18.4,8.5,60.82,7.76,13.84,53,0.63,,0.84,0.05,21.05,1.94,,145.67,6.48,6.84,1.43,,1.57,6.32,22.41,11.72,27.74,,,,6.65,4.46,0.4,23.98,8.25,6.4,,6.36,,,33.11,62.84,1.88,,,14.66,,27.6,1.07,25.06,25.06,10.9,3.63,,2.17,1.32,9.46,15.3,1.1,0.46,,,8.49,17.22,,0.97,1.09,1.94,2.15,576.18,4.53,5.34,,4.22,,3.33,27.34,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,15.02,51.69,,,7.8,9.6,49.1,7.4,3.8,42.92,5.49,15.72,47.25,2.07,,0.34,0.22,178.45,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.36,42.58,21.01,16.36,14.21,13.76,6.62,6.64,2.35,0.08,40.62,6.98,3.49,15.89,26.36,32.5,1.15,137.79,62.42,6.09,,,8.95,,24.92,30.4,65.37,20.14,1.3,5.82,,0.9,0.47,,14.27,,1.33,,,13.79,24.46,0.98,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.91,39.48,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,42.28,,8.7,,,,,,42.86,,,41.4,2.96,,6.39,9.83,4.6,7.33,,,330.79,,0.07,,,,,,,,,8.29,18.14,,0.77,,,,,,,,1.43,,,,,,,,1.16,,,,35.03,,,,,,,,3.14,2.49,,,,,1.36,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.28,,2.2,20.8,5.4,3.2,9.8,11,38.81,9.71,,40.27,3.27,,0.4,4.67,2.47,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6.11,10.21,7.51,9.93,8.71,6.57,2.16,2.29,9.79,0.6,23.91,9.85,6.11,13.38,14.23,,5.85,3.25,50.72,6.73,,,18.19,,23.76,2.49,13.35,12.67,2.59,2.49,,,,,10.59,1.91,0.44,,,8.02,12.08,2.04,0.75,6.33,0.67,10.71,61.69,18.14,17.21,,17.86,,5.72,12.35,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,6.62,65.45,,50.3,,28.2,37.8,,24,83.19,,,72.85,2.6,,0.02,0.01,224.01,1.06,37.87,13.72,8,5.3,1.69,,,,10.35,9.68,58.64,10.53,9.71,0.57,0.68,9.66,0.32,1.15,3.73,,6.89,30.89,13.9,11.75,242.5,18.62,6.47,,,4.07,,7.23,1.4,7.83,6.87,0.21,0.32,,0.22,2.46,,28.44,,1.09,,,15.22,88.9,0.27,0.52,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.28,12.95,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,67.67,2,8.4,5.9,40.8,24.6,,11.1,84.18,2.43,1.98,74.35,2.96,,0.05,0.04,43.68,1.48,,,60.22,2.73,0.8,,0.27,1.99,10.14,7.92,16.14,11.07,8.68,0.51,0.52,9.86,0.37,3.2,9.47,2.04,13.23,24.97,,1.9,52.06,,4.92,,,3.15,,5.04,1.52,11.17,13.52,0.84,0.36,,0.73,0.95,,11,,0.9,,,9.19,10,0.74,0.8,,1.48,5.21,63.86,11.09,14.3,,7.6,,,23.23,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
