Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,5.4,52.75,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,63.65,1,11.51,55.73,5.24,,0.7,0.39,137.47,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.69,25.47,21.98,30,23.7,21.09,6,6.33,3.93,0.5,21.09,3.5,0.71,24.7,15.25,8.61,5.95,136.12,54.3,15.5,,,19.8,,22.86,6.65,31.1,25.99,2.28,6.14,,0.83,1.44,,29.06,1.01,7.2,1.22,,,22.82,29.41,2.1,2.03,44.78,1.58,11.63,71.45,17.6,21.45,,14.54,,3.51,42.56,,,10,33913792728.0,Medical Specialties,Health Technology
AA,33.91,34.3,12.62,1.4,10.2,,,,,75.95,5.9,31.42,1.1,1.99,32.02,1.33,,0.38,0.45,35.91,1.41,78.33,59.38,26.65,4.45,0.56,,,1.1,840.06,16.57,,4.63,3.59,0.88,0.99,0.12,0.36,,,1.1,8.63,,,6.69,31.41,11.35,1.6,,,,,2.02,1.77,,,,0.63,,,,,,1.14,,,,,17.43,,,1.4,1.83,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,19.34,64.39,45.97,,10.4,,,,,597.78,27,63.45,,59.19,63.38,0.7,,0.33,0.22,18.38,0.57,21.4,22.29,13.62,16.51,,,,,17.81,17.81,,8.59,5.84,0.74,0.79,5.61,,,,,7.8,,14.17,4.02,16.52,20.34,1.4,,,0.51,,5.17,,55.7,16.91,,0.23,,,,,,1.11,,0.59,,,5.36,,,,,0.47,0.43,6.13,5.96,,,2.95,,23.91,15.98,,,8,8696254174.0,Airlines,Transportation
AAON,86.23,41.33,25.74,,26.3,8.1,29.5,31.8,,20.3,29.5,42.38,0.41,59.61,39.33,28.37,,,,122.07,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.27,40.32,32.53,95.51,,,,8.14,2.48,0.77,8.52,1.04,0.27,41.45,20.43,17.97,15.07,80.86,35.65,94.37,,,15.78,,20.14,12.44,53.78,53.78,2.14,8.42,,2.92,8.58,,99.09,1.51,6.09,1.65,,51.08,41.91,63.84,2.15,8.28,15.55,1.79,19.56,38.79,29.01,25.52,,21.87,,0.54,107.08,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.58,15.75,3.6,,26,,,,,8.9,45.03,47.03,,51.25,1.91,,0.08,0.12,46.2,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.2,29.33,11.58,27.74,30.67,13.86,0.71,0.49,3.41,0.21,1.77,7.92,2.2,26.99,3.51,,,93.79,40.02,2.38,,,0.36,,1.55,1.06,63.29,59.23,,0.22,,,,,12.61,0.49,2.14,0.2,,,6.61,89.92,,0.44,1.74,0.62,0.36,4.12,2.95,1.7,,1.76,,4.1,6.36,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,30.87,44.91,7.56,2.7,,4.9,6.2,6.4,8.6,,5.4,28.28,0.54,6.59,37.63,9.18,,0.37,0.61,236.85,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.11,27.55,34.1,28.06,25.83,8.9,9.49,3.32,0.16,27.83,3.04,0.41,32.02,18.12,11.43,6.9,189.39,46.21,,,,23.97,,31.51,62.82,38.96,35.09,2.21,9.38,,1.48,1.64,,33.61,1.25,9.9,2.06,,,30.91,36.01,2.23,2.61,62.82,0.83,26.93,278.63,59.87,140.28,,32.51,,3.14,51.38,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,19.41,27.36,5.72,,,9.7,8.1,22.2,18.4,28.45,8.5,15.56,7.08,26.21,22.43,0.73,,4.87,0.25,23.56,5.78,,148.94,6.31,7.97,1.8,,1.38,5.76,21.24,11.34,22.38,,,,6.64,4.71,0.35,29.66,9.44,5.76,47.6,9.54,,2.77,26.5,63.33,1.92,,,16.36,,28.14,1.21,24.29,24.29,10.56,3.94,,2.11,1.15,9.89,13.31,0.89,1.15,0.52,,,8.82,16.18,,1.04,1.24,5.78,2.43,683.81,4.81,6.24,,4.5,,,28.73,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,9.14,50.65,,,,7.8,9.6,1.7,7.4,21.19,3.8,47.88,5.78,5.81,51.82,1.82,,0.17,0.1,175.17,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.54,38.44,20.81,24.28,13.84,13.35,6.42,6.83,2.6,0.04,28.13,5.05,3.76,14.39,16.47,7.74,5.5,150.83,67.21,5.43,,,9.22,,26.13,51.37,60.82,16.29,1.05,5.65,,0.59,0.65,,20.12,1.16,,1.27,,,19.07,35.53,1.61,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.68,37.51,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,52.6,16.73,,8.7,,,,,,,45.6,,9.09,51.17,1.93,,8.08,9.01,2.92,9.34,,,376.42,,0.07,,,,,,,,,8.29,9.81,,0.77,,,,,,,20.55,1.01,,,,,,,,0.8,,,,25.92,,,,,,2.89,,,2.63,2.01,,,,,0.89,9.34,,,,,,,,1.02,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,34.19,,,2.2,20.8,5.4,3.2,9.8,60.73,11,42.98,9.69,11.17,34.85,3.42,,0.59,6.19,1.78,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.1,6.67,5.01,7.88,7.43,5.7,1.81,1.61,14.99,0.67,25.25,14.31,6.1,9.89,16.76,3.83,6.6,2.72,50.98,7.91,,,16.92,,23.87,1.76,10.35,10.11,2.06,2.09,,,,,8.5,0.65,1.46,0.4,,,6.66,9.05,1.48,0.62,3.87,0.9,10.03,70.19,19.21,15.52,,15.33,,6.27,10.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,24.06,43.12,13.45,,50.3,,28.2,37.8,,8.08,24,51.94,,13.95,43.26,2.76,,0.03,0.01,237.8,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.4,12.18,37.53,11.43,10.42,0.55,0.59,7.46,0.33,1.58,5.59,,8.71,30.99,,6.25,266.94,17.41,3.89,,,2.16,,5.9,1.39,13.46,8.84,0.28,0.29,,0.28,1.56,,18.01,0.89,,1.01,,,9.54,80.56,0.35,0.49,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.62,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,35.03,39.96,9.81,2.6,6.2,5.8,5.2,24.3,,,12.8,46.34,2.41,15.78,40.8,2.81,,0.05,0.04,50.42,1.33,,,56.48,4.47,0.82,,0.26,1.9,20.85,14.02,27.25,11.11,8.83,0.54,0.55,4.8,0.35,2,5.33,2.12,13.51,24.96,8.13,2.33,52.16,,2.5,,,0.98,,2.54,1.76,39.7,14.79,1.26,0.38,,0.77,1.66,,19.14,0.97,,0.97,,,14.18,59.73,0.8,0.88,,1.33,1.63,40.75,5.81,4.49,,3.02,,3.86,27.25,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,43.64,3.34,,38.3,,,,,322.31,8,35.68,,,40.97,4.56,,0.99,4.98,129.63,1.62,,33.1,6.78,0.96,0.27,,,,31.7,30.91,17.67,20.66,20.33,5.93,6.71,3.15,0.38,37.96,5.08,,29.39,,,10.75,168.43,83.07,22.92,,,16.96,,15.01,9.57,45.48,45.48,,7.78,,,,,20.55,0.77,4.62,,,17.54,20.55,34.46,,,10.55,1.62,7.98,839.68,21.23,22.05,,19.8,,4.22,,,,2,92399740712.0,Other Consumer Services,Consumer Services
