Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,15.53,44.85,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,22.1,1.01,,36.84,6.03,,0.74,0.61,137.2,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.68,24.95,21.63,28.63,24.35,21.29,5.94,6.25,4.01,0.54,21.81,3.59,0.69,24.25,15.68,4.91,2.34,133.72,54.39,17.3,,,21.75,,22.9,6.68,28.46,26.33,2.19,6.2,,0.77,1.63,,28.44,5.46,1.23,,,22.55,28.34,2.04,2.11,25.5,1.37,13.03,74.15,18.1,23.78,,16.15,,3.26,44.24,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,32.36,1.4,10.2,,,,,75.95,5.9,15.19,1.41,4.15,26.54,1.14,,0.44,0.55,28.53,1.55,79.98,58.53,26.31,10.94,0.65,,,1.4,,36.58,,6.97,4.45,0.79,0.8,,0.27,,,1.4,10.27,,,2.67,39.39,8.14,,,,,,,1.31,,,,0.48,,,,,,,,,,15.51,,,1.26,1.38,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,60.91,,10.4,,,,,597.78,27,81.99,,,69.28,0.66,,0.34,0.21,10.82,0.6,20.92,21.96,14.01,19.76,,,,,19.09,19.09,,10.22,6.1,0.68,0.71,5.24,,,,,5.99,,,4.03,16.58,20.23,1.4,,,,,5.34,,,11.18,,0.14,,,,,,,0.33,,,3.49,,,,,0.5,,5.17,4.89,,,12.18,,44.02,8.09,,,8,8696254174.0,Airlines,Transportation
AAON,32.19,42.56,,26.3,8.1,29.5,31.8,,20.3,29.5,22.26,0.56,6.51,35.08,18.99,,,,87.43,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.37,29.55,24.22,70.06,,,,6.02,3.38,0.73,8.59,1.45,0.37,31.37,20.56,18.09,11.33,78.58,36.27,88.05,,,15.61,,20.32,9.56,39.38,39.38,1.57,6.12,,1.99,5.72,,71.37,4.61,1.21,,46.26,32.26,50.36,1.58,6.43,12.14,1.7,19.5,39.13,29.71,25.86,,21.83,,0.62,79.85,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,17.31,3.6,,26,,,,,8.9,3.29,53.66,,10.67,1.72,,0.09,0.12,39.76,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.52,128.48,16.43,16.63,21.92,10.51,0.51,0.52,0.78,0.21,3.13,14.85,2.52,14.11,6.86,82.92,,147.63,39.48,0.41,,,,,0.3,0.91,3976,3976,,0.21,,,,,6.73,20.08,0.19,,,4.38,14.37,,0.35,2.28,0.3,,0.91,0.64,,,0.32,,,5.31,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.3,45.59,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,29.89,0.61,22.53,39.72,9.94,,0.47,0.61,220.86,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.41,25.14,32.56,25.37,23.28,7.97,8.81,3.65,0.2,27.06,3.11,0.45,29.53,19.91,11.24,6.09,183.78,45.96,120.35,,,26.44,,31.27,50.4,33.62,33.62,1.99,8.89,,1.27,1.43,,32.84,8.68,2.06,,,30.31,35.38,1.94,2.5,50.42,0.91,29.81,269.91,59,151.08,,35.41,,3.33,48.65,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,27.54,54.28,,,7.8,9.6,49.1,7.4,26.06,3.8,32.65,5.19,2.57,45.56,2.02,,0.31,0.19,193.4,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.17,41.7,22.06,22.45,14.38,14,6.78,7.26,2.4,0.05,32.33,5.2,3.21,16,20.15,7.26,5.14,146.33,62.76,5.48,,,9.71,,24.95,50.39,64.47,18.07,1.17,6.23,,0.74,0.58,,19.28,,1.42,,,18.39,32.5,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.93,41.96,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,34.9,,8.7,,,,,,,22.5,,,30.8,1.8,,9.52,9.3,2.38,10.96,,,406.96,,0.07,,,,,,,,,8.29,3.12,,0.79,,,,,,,32.02,1.06,,,,,,,,0.63,,,,20.88,,,,,,,,1.9,1.49,,,,,0.72,10.96,,,,,,,,0.77,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,56.86,,2.2,20.8,5.4,3.2,9.8,60.73,11,60.13,10.28,,56.06,3.73,,0.44,4.44,2.33,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.48,9.98,7.45,9.45,8.82,6.77,2.15,2.39,10.02,0.66,25.65,9.96,6.48,12.66,14.52,5.05,6.54,2.7,50.83,7.5,,,17.86,,24.06,2.14,14.23,13.66,2.79,2.55,,,,,10.11,1.73,0.47,,,7.93,11.19,1.82,0.75,4.96,0.79,10.57,68.13,19.18,16.5,,16.25,,5.94,12.58,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,3.31,37.92,,50.3,,28.2,37.8,,8.08,24,17.18,,12.73,31.05,2.66,,0.03,0.02,221.89,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.72,11.62,,10.71,9.8,0.54,0.6,7.86,0.32,,,,7.48,30.78,,8.25,256.1,17.75,4.56,,,2.51,,6.31,1.33,11.38,7.67,0.24,0.29,,0.22,,,,,0.97,,,40.74,,0.31,0.51,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.13,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,16.4,32.32,2,8.4,5.9,40.8,24.6,,23.18,11.1,11.68,2.16,27.87,23.32,3.06,,0.05,0.04,51.29,1.44,,,58.62,2.69,0.76,,0.28,1.74,11.32,8.86,13.23,11.38,9.19,0.55,0.56,8.83,0.37,4.23,10.78,1.75,13.89,26.59,,2.09,50.88,,4.81,,,3.04,,4.88,1.75,13.43,16.33,1.01,0.4,,0.81,0.77,,9.64,,1.03,,,8.25,8.89,0.82,0.89,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.63,26.21,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,35.27,,38.3,,,,,322.31,8,32.59,,,35.68,3.14,,0.71,4.95,114.3,1.41,,29.97,7.3,1.12,0.28,,,,32.12,31.29,14.56,18.16,17.86,5.18,6.03,3.11,0.3,41.38,6.01,,24.84,,,10.6,165.82,82.59,20.75,,,46.11,,15.21,9.06,15.55,15.55,,7.12,,,,,17.21,2.63,,,18.41,17.15,12.95,,,10.04,1.41,21.22,720.92,19.41,63.33,,55.65,,3.96,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,7.82,63.05,0.7,6.3,12.3,6.8,6.7,,,5.8,59.26,3.55,,62.9,5.32,,0.52,0.49,113.86,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.9,28.9,19.85,36.37,20.03,17.45,4.58,5.05,3.46,0.54,13.88,2.85,1.93,22.14,12.88,8.41,6.41,106.72,55.24,10.7,,,13.65,,15.92,5.04,35.92,25.59,2.23,4.89,,0.81,1.67,,35.21,5.25,1.16,,,25.2,46.19,2.63,1.93,24.23,1.18,7.63,64.74,12.05,14.52,,10.37,,3.08,41.52,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,3.16,38.74,,6.9,,13.2,4.1,,3.27,5.9,16.32,0.24,,31.06,2.99,,0.24,0.15,81.78,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.24,21.5,11.95,281.74,,,1.58,1.88,4.65,0.63,0.67,0.41,0.24,19.01,20.27,,,70.72,19.03,5.57,,,6.05,,7.68,1.65,27.17,27.23,1.35,1.64,,,,,245.59,2.12,,,,17.74,27.42,1.54,1.16,3.7,1.36,4.09,12.41,6.71,6.29,,4.98,,0.63,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,46.5,,,,38.8,40.9,46.1,223.57,16.4,42.1,,,46.13,2.03,,1.48,8.69,16.07,2.16,197.37,87.05,38.64,1.68,0.11,,,,97.41,64.84,27.6,13.5,10.79,2.17,2.5,1.03,0.57,9.04,3.02,,19.34,,,16.93,32.7,91.73,,,,3.43,,2.56,5.16,89.28,89.28,4,2.99,,,,,33.13,5.09,,25.92,8.04,33.13,136.19,,,6.51,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,51.94,,12.2,,,16.9,,,10.9,32.53,,,45.74,2.31,,0.14,0.04,76.43,1.18,18.83,519.12,44.07,8.34,0.67,,,,94.22,38.01,,13.6,10.8,2.54,2.94,1.06,0.52,,,,19.27,,15.92,10.11,86.26,96.46,5.51,,,,,17.58,2.37,,21.41,,2.29,,,,,,3.28,1.03,,,66.23,,,2.25,11.34,1.17,,3.96,2,,,,,,237.97,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACI,,28.6,,18.8,33.9,6,,,132.17,4.2,7.4,2.58,,20.05,3.58,,0.04,0.02,18.47,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.6,12.93,5.62,29.57,11.67,5.97,0.31,0.31,7.73,0.11,1.05,7.76,2.6,7.78,20.41,,1.68,21.82,27.84,3.99,,,1.41,,2.43,3.67,9.62,7.05,0.52,0.14,,,,,12.95,,,,,3.86,11.53,0.78,0.72,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.87,28.46,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,95.02,53.17,2.6,5.9,,7,21.8,,142.28,6.8,31.39,,46.53,45.04,2.88,,0.15,0.15,47.83,1.32,,22.1,60.56,2.39,0.84,,,,18.95,13.53,23.84,,13.28,3.45,3.85,5.28,0.37,16.16,4.94,,24.47,13.55,24.56,6.73,32.67,50.71,3.86,,,12.01,,19.46,4.06,28.14,25.58,2.13,3.38,,1.19,1.66,,20.87,,1.32,,,17.83,22.98,2.44,1.5,,1.32,5.59,174.23,13.31,14.81,,7.6,,3.05,52.08,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,32.72,0.9,22.7,,62.7,72,31,57.41,34.8,15.77,,,26.62,8.16,,2.25,12.33,96.86,4.42,179.55,30.91,63.45,0.15,0.05,,,,9.39,8.94,17.38,,9.98,2.38,2.39,10.65,0.73,13.75,4.84,,13.1,23.61,,4.24,120.3,44.63,48.8,,,21.54,,23.4,3.38,13.34,13.34,0.27,2.87,,,,,20.89,1.42,1.33,16.22,4.36,18.58,22.19,0.53,1.41,3.38,3.26,19.31,74.1,28.93,28.19,,33.01,,1.86,32.58,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,40,63.6,,,,2.6,0.1,,,,68.82,,,65.29,9.2,,5.85,6.96,71.35,6.01,,,69.04,,0.15,,,,,,,,,35.42,23.44,,0.66,,,,,,,6.07,0.0,,,,,,,,7.85,,,,24.98,,,,,,,,14.18,13.51,,,,,7.86,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,6.48,45.31,4.6,,,0.1,22.9,46.8,,7.7,22.16,0.88,1.77,37.21,2.26,,0.26,0.55,94.05,1.13,,55.01,59.44,3.29,1.31,,0.21,0.89,18.92,15.24,20.08,12.86,11.42,1.79,0.88,5.29,0.19,4.4,5.52,0.94,18.9,8.53,13.58,7.45,97.78,6.58,4.87,,,1.61,,5.59,5.55,50.56,23.42,8.36,0.82,,,,,18.61,,1.77,,,15.92,24.3,,1.75,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.79,147.21,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,,62.3,0.3,15.1,11.9,7.8,16.1,6.2,17.95,13.6,50.98,2.48,,60.59,7.41,,0.3,1.2,339.84,1.16,,20.04,71.1,0.43,0.17,,0.42,1.52,22.6,19.64,24.45,18.95,16.43,3.12,3.29,4.42,0.51,13.44,4.07,1.52,26.6,14.1,6.35,4.67,326.68,32.58,171.01,,,10.79,,14.2,7.68,31.12,28.61,2.55,3.36,,1.46,0.97,,24.99,7.25,1.2,,,23.67,35.96,2.77,1.69,41.34,1.16,13.46,227.4,27.32,26.23,,19.64,,3.03,37.62,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,,49.96,,,,,,,,30.6,42.31,,,47.68,3.17,,0.66,2.48,18.16,1.49,,469.19,121.47,,0.24,,,,,,,,,3.74,5.26,,0.45,,,,475.45,,,29.29,17.39,50.64,,,,,,,6.59,,,,5.43,,,,,,,,,49.08,518.86,,,,25.94,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,54.03,1.7,9.4,,17.7,14.1,11.4,,16.8,40.19,,,50.95,12.99,,0.85,1.32,563.45,1.16,,49.57,33.69,0.82,0.41,,,,37.71,33.32,38.92,22.48,21,10.37,12.13,2.65,0.5,31.17,2.55,,27.38,20.55,13.84,11.17,588.89,88.24,58.8,,,24.86,,35.4,17.04,50.62,32.53,1.52,12.58,,0.95,1.17,,40.35,18.18,0.98,,,39.03,57.42,1.79,2.58,228.12,1.16,17.46,275.62,32.26,32.8,,22.15,,2.39,74.28,,,10,241068062221.0,Packaged Software,Technology Services
ADC,19.78,77.18,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,88.36,5.47,26.14,80.74,1.71,,0.07,,75.04,0.9,,535.71,52.31,5.24,0.52,,1.65,3.96,36.4,20.38,25.45,29.96,18.34,16.02,17.81,2.75,0.65,69.98,5.4,4,40.94,11.51,3.51,9.9,74.0,87.98,3.02,,,32.09,,48.78,1.51,41.69,41.76,6.74,12.83,,3.34,1.33,18.09,18.32,1.84,1.03,,,18.32,,6.36,1.1,1.82,0.9,2.43,,3.76,3.63,,3.67,,,33.7,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,1.87,44.89,,,,,,,13.28,,20.77,0.32,,37.35,1.84,,1.29,0.17,11.52,3,,,33.87,2.68,1.52,,0.19,1.74,15.25,8.39,12.45,,,4.55,4.75,6.56,0.34,38.16,10.92,1.74,7.94,17.95,,,9.05,,2.01,,,12.87,,32.86,3.49,28.8,11.21,3.62,3.62,,,,,9.49,,1.71,,,8.6,12.33,,0.59,,3,4.2,606.5,11.04,13.34,,10.28,,13.93,30.48,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,12.46,42.17,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,27.62,2.99,6.88,37.65,5.43,,0.79,0.31,213.64,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.69,52.07,26.18,37.87,27.21,21.24,10.54,11.51,1.92,0.72,30.39,2.78,1.72,28.22,17.72,12.29,,153.84,57.85,7.22,,,17.07,,23.16,3.01,64.16,48.52,3.98,10.99,,2.45,1.64,,36.17,,1.6,,,26.74,33.76,3.27,1.75,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.84,50.16,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,43.18,2.6,9.4,7.7,25.1,24.8,,89.18,15,30.82,4.31,7.04,39.97,3.26,,0.04,0.06,59.47,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.28,10.09,7.87,12.52,13.22,9.54,0.46,0.45,9.91,0.42,3.56,11.11,3.36,11,22.28,,,78.55,7.44,4.48,,,2.93,,3.39,1.28,11.89,10.88,0.59,0.35,,,,,9.95,0.95,0.86,,,6.61,8.59,0.49,1.73,1.87,0.88,4.77,18.59,10.96,10.87,,5.18,,16.59,12.67,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADP,3.35,56.65,1.2,,13.8,15.3,15.1,13,20.5,9.9,30.2,3.53,6.44,48.42,2.61,,0.06,0.79,269.56,1.01,,2.97,62.22,0.64,0.82,,0.59,2.02,21.16,19.1,30.8,20.71,18.85,5.47,5.77,4.73,0.08,18.72,3.27,2.08,26.87,14.58,8.81,5.54,266.46,45.44,13.74,,,19.54,,25.85,24.19,29.59,29.36,2.43,5.78,,1.32,1.61,,30.85,12.93,1.21,,,26.67,46.98,2.45,2.61,128.36,1.01,6.8,497.94,59.7,91.62,,7.53,,3.04,41.58,,,10,101064499899.00002,Data Processing Services,Technology Services
