Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,2.82,50.97,,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,66.49,1.07,,55.5,5.93,0.74,0.61,134.37,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.61,21.24,28.08,23.88,20.88,5.83,6.11,4.06,0.54,21.09,3.56,0.76,23.77,15.79,4.8,2.36,134.41,54.39,17.3,,21.75,,22.9,6.55,30.4,26.61,2.22,6.03,,0.83,1.73,,27.76,1,5.35,1.2,,,22,27.76,1.99,2.07,24.98,1.37,13.03,74.15,18.1,23.78,,16.15,,3.34,43.35,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.63,66.63,18.92,1.4,10.2,,,,,75.95,5.9,74.91,0.86,,69.51,1.52,0.38,0.45,47.42,1.41,78.33,59.38,26.65,4.45,0.56,,,0.86,1063.04,20.97,,7.54,5.48,1.2,1.26,0.09,0.36,,,0.86,14.9,,,4.06,32.97,11.35,1.6,,,,2.02,2.33,,,,0.82,,,,,,1.44,,,,,22.89,,,1.86,2.42,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.82,63.54,28.8,,10.4,,,,,597.78,27,60.85,,,62.71,0.68,0.33,0.22,14.64,0.57,21.4,22.29,13.62,16.51,,,,,17.07,17.07,,6.3,4.63,0.71,0.76,5.86,,,,,7.17,,,4.01,16.16,20.34,1.4,,0.51,,5.17,,44.36,13.47,,0.19,,,,,,0.91,,0.47,,,4.26,,,,,0.47,0.43,6.13,5.96,,,2.95,,28.2,12.73,,,8,8696254174.0,Airlines,Transportation
AAON,74.2,72.39,18.48,,26.3,8.1,29.5,31.8,,20.3,29.5,82.15,0.35,42.08,74.93,32,,,140.45,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,46.12,37.2,109.23,,,,9.31,2.17,0.77,8.52,0.9,0.23,47.69,20.37,19.72,15.07,79.81,35.65,94.37,,15.78,,20.14,14.32,61.87,61.87,2.46,9.68,,3.36,9.88,,114.01,1.76,7.01,1.89,,58.77,48.25,73.46,2.47,9.52,17.89,1.79,19.56,38.79,29.01,25.52,,21.87,,0.46,123.2,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,63.71,,3.6,,26,,,,,8.9,78.01,49.17,,69.3,1.9,0.08,0.12,43.84,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.3,28.72,11.33,27.16,30.03,13.57,0.7,0.48,3.48,0.21,1.77,8.35,2.3,26.45,4.11,,,107.21,40.02,2.38,,0.36,,1.55,1.01,60.05,56.21,,0.21,,,,,11.99,0.41,2.03,0.19,,,6.3,85.3,,0.41,1.65,0.62,0.36,4.12,2.95,1.7,,1.76,,4.29,6.04,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.81,63.27,1.86,2.7,,4.9,6.2,6.4,8.6,,5.4,83.77,0.56,21.81,70.72,8.89,0.37,0.61,235.06,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.9,26.45,32.73,26.93,24.83,8.53,9.11,3.46,0.16,27.83,3.06,0.43,31.75,18.22,11.49,6.89,187.81,46.21,,,23.97,,31.51,62.35,38.66,34.82,2.19,9.25,,1.47,1.63,,33.33,1.25,9.83,2.04,,,30.62,35.66,2.22,2.59,62.35,0.83,26.93,278.63,59.87,140.28,,32.51,,3.28,50.99,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,46.35,65.01,3.58,,,9.7,8.1,22.2,18.4,28.45,8.5,82.12,5.75,30.15,70.82,0.79,4.87,0.25,28.67,5.78,,148.94,6.31,7.97,1.8,,1.38,4.68,23.26,12.42,24.51,,,,7.27,4.3,0.35,29.66,7.76,4.7,57.9,8.88,,2.18,27.61,63.33,1.92,,16.36,,28.14,1.47,29.56,29.56,12.85,4.74,,2.56,1.4,11.85,16.03,1.04,1.4,0.63,,,10.56,19.5,,1.26,1.49,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.96,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,35.47,49,,,,7.8,9.6,1.7,7.4,21.19,3.8,73.06,5.63,19.6,55.24,1.8,0.17,0.1,181.14,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.45,38.18,20.67,24.11,13.75,13.26,6.38,6.78,2.62,0.04,28.13,4.88,3.64,14.9,16.52,7.63,5.52,150.08,67.21,5.43,,9.22,,26.13,53.12,62.9,16.85,1.09,5.69,,0.61,0.68,,20.18,1.21,,1.32,,,19.09,35.6,1.67,1.63,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.67,38.79,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,52.72,1.12,,8.7,,,,,,,54.59,,,53.14,1.93,8.08,9.01,2.83,9.34,,,376.42,,0.07,,,,,,,,,8.29,9.09,,0.77,,,,,,,,1.02,,,,,,,0.81,,,,26.11,,,,,,2.77,,,2.55,1.95,,,,,0.85,9.34,,,,,,,,1.03,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,44.9,,,2.2,20.8,5.4,3.2,9.8,60.73,11,53.23,10.91,,47.2,3.65,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.87,8.25,6.19,8.71,8.24,6.32,2.01,1.99,12.12,0.67,25.25,11.63,6.87,11.65,16,3.83,6.46,2.76,50.98,7.91,,16.92,,23.87,2.03,12.73,12.44,2.54,2.44,,,,,9.7,0.79,1.66,0.46,,,7.67,10.36,1.7,0.71,4.47,0.9,10.03,70.19,19.21,15.52,,15.33,,6.14,12.17,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
