Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SMTC,140.33,64.26,21.26,0.4,,,,,,,14.6,56.51,,62.07,62.5,0.87,,0.58,0.12,64.54,2.37,107.44,42.27,63.49,,,,,,,,269.86,,25.61,5.87,7.73,,,2.86,0.44,,36.12,12.94,,14.67,30.03,38.25,,,,,,,,,,,5.07,,,,,201.6,2.15,,1.19,,,120.73,,,8.17,,1.67,,,,,,,,1.58,,,,9,1603076681.0,Semiconductors,Electronic Technology
SN,115.12,51.63,,,,,,11,,,15.5,56.42,,31.6,53.34,5.69,,0.08,0.11,101.04,1.67,113.55,72.45,70.94,1.67,0.63,,,,26.65,22.17,,,,2.59,2.92,3.75,0.42,,,,20.77,,19.58,15.66,0.0,47.77,8.59,,,7.02,,10.55,7.89,39.62,39.62,,2.76,,,,,,,7.12,,,194.31,97.5,,,,28.7,0.95,9.68,51.19,22.19,22.41,,15.13,,,,,,4,5657990000.0,Electronics/Appliances,Consumer Durables
SNA,28.65,52.99,29.69,0.9,10.8,14.6,15.1,18.1,4.5,35.82,10.2,27.18,4.27,34.32,41.58,7.51,,1.37,1.05,355.64,4.18,154.66,41.1,61.68,0.83,0.23,,0.38,2.17,13.16,12.31,16.41,14.78,13.46,3.84,3.96,7.6,0.69,24.11,6.07,2.41,17.68,16,4.17,2.72,266.57,50.14,21.46,,,22.13,,22.71,3.41,18.31,18.19,2.02,4.05,,1.04,0.88,,16.8,1.33,1.92,1.47,,12.27,15.61,18.88,1.59,1.31,4.54,3.14,13.62,88.71,21.17,20.17,,14.52,,3.4,23.53,,,10,13780527585.0,Tools & Hardware,Consumer Durables
SNAP,,53.64,20.82,,,,,,,,18.4,41.14,,,50.85,0.72,,2.81,0.75,11.38,4.04,,29.84,82.54,,1.92,,,,,,143.9,,124.13,3.47,4.1,,0.29,2.85,0.73,,27.22,,86.95,14.26,12.64,53.07,,,,,,,9.08,,57.14,10.78,3.83,,,,,134.83,0.9,10.54,,,,56.87,,,36.71,48.19,4.04,,,,,,,,1.47,,,,,14864918887.0,Packaged Software,Technology Services
SNDR,31.93,53.24,16.68,0.3,13.2,11.5,6.1,4.7,,1.19,6.4,41.21,1.8,41.47,48.17,3.9,,0.35,0.88,31.62,1.66,7.41,18.21,39.15,0.47,0.09,,0.57,1.19,35.98,9.82,55.04,19.86,8.26,0.99,1.04,2.8,0.65,1.9,1.83,1.2,27.33,8.41,,2.88,22.69,7.86,9.63,,,2.1,,2.9,1.86,50.89,47.8,6.55,1.05,,4.15,4.76,,54.87,1.39,2.31,,,,8.18,68.89,7.19,1.77,2.51,1.53,2.45,5.4,3.95,3.78,,3.11,,1.09,18.79,,,10,4994962047.0,Trucking,Transportation
SNDX,,28.93,,,7.4,,,,,,,12.93,,,22.66,7.31,,6.84,475.87,13.47,6.99,,,77.72,,,,,,,,,,,4.9,50.57,,0.86,,,,,,,,0.0,,,,,,,,3.31,,,,76.1,,,,,,,,,3.31,3.23,,,,,3.31,6.99,,,,,,,,0.02,,,,1,1206243230.0,Biotechnology,Health Technology
SNEX,48.32,53.98,25.03,,20.8,,91.2,38.3,,16.67,44,26.61,,35.9,44.03,4.32,,0.11,0.11,100.89,1.67,2.19,40.76,3.43,7.02,6.62,,,,8.67,8.27,30.18,,,,0.13,11.53,0.06,0.44,13.45,,12.55,47.6,,,97.85,2,1.29,,,0.26,,1.53,1.92,12.92,13.35,0.23,0.03,,,,,7.27,1.03,1.07,1.16,,,6.35,7.65,0.52,0.25,2.01,1.61,1.05,552.78,11.77,16.89,,9.25,,,22.36,,,10,1940567330.0,Investment Banks/Brokers,Finance
SNN,,45.27,,0.2,1.8,1.9,5.6,10.9,,11.16,9.1,47.43,3.14,,48.59,2.96,,0.32,0.16,25.53,2.51,508.99,208.91,79.55,3.67,0.7,,1.07,2.91,29.14,14.05,46.27,16.58,9.42,2.32,2.47,3.43,0.49,5.33,2.77,2.91,19.84,,12.93,4.53,34.13,69.03,4.85,,,5.4,,12.64,2.1,35.76,35.76,,1.93,,,,,36.15,0.75,4.14,0.58,,,14.85,87.8,,1.26,11.06,1.11,3,12.74,5.84,5.83,,7.64,,,18.38,,,10,11518362802.052998,Medical Specialties,Health Technology
SNOW,,63.19,11.04,,,,7.6,,,,27,40.79,,,56.92,5.58,,1.57,1.6,170.0,1.88,,30.86,60.11,,0.89,,,,,,69.6,,,12.43,16.17,,0.36,23.23,1.4,,171.72,,14.9,24.25,256.66,67.1,,,,,,,19.38,,197.66,,16.75,,,,,72.07,0.66,17.09,,,,65.56,,,,33.68,1.88,,,,,,,,2.35,,,,,53546580190.0,Packaged Software,Technology Services
SNPS,,42.11,13.2,,17.9,,18,24.5,,114.94,13.7,33.32,,,38,13.87,,1.53,5.92,511.73,2.44,103.36,26.49,53.23,0.41,0.08,,,,55.44,45.57,58.84,40.36,30.05,11.14,12.06,1.8,0.69,20.49,1.63,,34.34,21.61,14.88,12.81,495.72,79.33,70.21,,,36.12,,21.75,8.78,35.27,38.24,2.08,12.73,,1.33,2.52,,62.23,1.03,5.01,1.98,,33.04,56.77,59.75,1.88,3.24,14.76,2.3,19.99,99.4,15.73,30.86,,14.66,,,95.36,,,10,68731238090.0,Packaged Software,Technology Services
