Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,20.82,46.16,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,39.66,1.01,,42.11,6.03,,0.74,0.61,138.31,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,24.91,21.59,28.66,24.37,21.3,5.95,6.24,4.01,0.54,21.81,3.57,0.68,24.45,15.67,4.89,,133.79,54.39,17.3,,,21.75,,22.9,6.74,28.7,26.55,2.21,6.28,,0.77,1.64,,28.66,5.51,1.24,,,22.73,28.54,2.06,2.13,25.71,1.37,13.03,74.15,18.1,23.78,,16.15,,3.26,44.62,,,10,33913792728.0,Medical Specialties,Health Technology
AA,11.33,53.63,1.4,10.2,,,,,75.95,5.9,70.52,1.15,5.52,59.23,1.21,,0.44,0.55,34.5,1.55,79.98,58.53,26.31,10.94,0.65,,,1.15,,40.96,,7.81,4.98,0.88,0.89,,0.27,,,1.15,12.42,,,2.67,39.54,8.14,,,,,,,1.59,,,,0.59,,,,,,,,,,18.69,,,1.52,1.67,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,55.48,,10.4,,,,,597.78,27,53.09,,,56.31,0.65,,0.34,0.21,10.81,0.6,20.92,21.96,14.01,19.76,,,,,19.05,19.05,,10.19,6.08,0.68,0.71,5.25,,,,,5.81,,,4.03,16.55,20.23,1.4,,,,,5.34,,,11.18,,0.14,,,,,,,0.33,,,3.51,,,,,0.5,,5.17,4.89,,,12.18,,44.54,8.07,,,8,8696254174.0,Airlines,Transportation
AAON,45.68,64.74,,26.3,8.1,29.5,31.8,,20.3,29.5,80.89,0.52,7.57,69.8,20.2,,,,96.16,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.34,31.77,26.05,75.34,,,,6.47,3.15,0.73,8.59,1.32,0.34,34.52,20.52,18.09,11.33,78.67,36.27,88.05,,,15.61,,20.32,10.51,43.32,43.32,1.73,6.74,,2.18,6.29,,78.48,5.07,1.33,,50.88,35.47,55.41,1.73,7.07,13.36,1.7,19.5,39.13,29.71,25.86,,21.83,,0.58,88.22,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,3.96,30.04,3.6,,26,,,,,8.9,52.2,51.74,,33.81,1.73,,0.09,0.12,41.14,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.42,130.84,16.73,16.91,22.29,10.69,0.52,0.53,0.76,0.21,3.13,14.35,2.42,14.84,6.24,82.92,,147.55,39.48,0.41,,,,,0.3,0.94,4114,4114,,0.22,,,,,6.96,20.78,0.19,,,4.52,14.87,,0.36,2.36,0.3,,0.91,0.64,,,0.32,,,5.49,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.16,39.05,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,20.97,0.63,30.95,31.58,10,,0.47,0.61,216.32,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.46,27.61,25.32,32.8,25.56,23.45,8.03,8.88,3.62,0.2,27.06,3.17,0.47,28.91,19.9,11.23,6.08,184.22,45.96,120.35,,,26.44,,31.27,49.39,32.93,32.93,1.95,8.72,,1.24,1.4,,32.16,8.5,2.02,,,29.65,34.65,1.9,2.44,49.39,0.91,29.81,269.91,59,151.08,,35.41,,3.31,47.65,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,23.38,57.94,,,9.7,8.1,22.2,18.4,28.45,8.5,63.4,6.12,19.89,58.36,0.73,,0.99,0.07,26.86,1.84,,145.05,6.23,6.69,1.44,,1.49,4.98,23.76,12.54,23.11,,,,7.22,4.21,0.4,31.33,8.53,5,37.83,8.15,,2.74,26.99,62.62,1.87,,,15.39,,27.37,1.37,30.18,30.18,13.12,4.61,,2.42,1.18,11.73,14.73,1.37,0.59,,,10.02,20.18,,1.2,1.39,1.84,2.29,628.91,4.67,5.7,,4.27,,3.79,33.16,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.47,52.82,,,7.8,9.6,49.1,7.4,26.06,3.8,42.37,5.14,9.01,47.66,2.03,,0.31,0.19,195.73,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.15,41.85,22.14,22.53,14.43,14.05,6.8,7.28,2.39,0.05,32.33,5.14,3.17,16.19,20.13,7.21,4.99,146.45,62.76,5.48,,,9.71,,24.95,50.97,65.24,18.29,1.18,6.28,,0.75,0.58,,19.55,,1.43,,,18.63,32.87,1.27,1.75,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,42.46,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,55.78,,8.7,,,,,,,77.68,,,64.08,2.01,,9.52,9.3,2.68,10.96,,,406.96,,0.07,,,,,,,,,8.29,6.37,,0.79,,,,,,,32.02,1.06,,,,,,,,0.71,,,,23.52,,,,,,,,2.14,1.68,,,,,0.81,10.96,,,,,,,,0.67,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,51.52,,2.2,20.8,5.4,3.2,9.8,60.73,11,42.02,10.31,,47.79,3.67,,0.44,4.44,2.33,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.49,8.97,6.71,9.25,8.63,6.62,2.1,2.15,11.15,0.66,25.65,11.19,6.49,12.73,14.67,4.92,6.6,2.64,50.83,7.5,,,17.86,,24.06,2.12,12.8,12.26,2.5,2.53,,,,,10,1.71,0.47,,,7.85,11.04,1.81,0.75,4.85,0.79,10.57,68.13,19.18,16.5,,16.25,,6.06,12.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
