Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,63.24,1.5,7.9,7.7,13.5,33.2,24.7,10.5,79.64,1.01,9.14,68.81,6.61,1.08,0.68,139.06,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.66,29.18,24.59,25.2,25.07,21.98,6.05,6.17,3.43,0.57,24.48,4.05,0.68,25.38,16.55,9.5,3.58,142.34,50.56,14.22,,18.35,,19.42,6.59,33.11,27.16,2.26,6.1,,0.87,1.56,,24.91,5.26,1.24,,,20.95,30.6,1.95,2.1,22.91,2.04,11.42,62.86,15.64,21.32,,14.14,,2.35,47.36,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,49.98,1.4,10.2,,,,,5.9,60.61,1.45,,53.08,0.98,0.31,0.49,27.68,1.45,86.07,58.94,24.77,12.36,0.45,,,1.45,,38.33,,14.79,5.49,0.55,0.56,,0.3,,,1.45,62.5,,,,40.3,7,,,,,,1.16,,,,0.47,,,,,,,,,,54.17,,,0.96,1.21,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,64.58,,10.4,,,,,27,77.68,,,69.58,0.77,0.34,0.19,15.67,0.62,20.89,20.46,14.17,12.45,,,,,13.27,13.27,35.91,11.15,6.93,0.78,0.82,7.54,,2.29,11.77,,5.63,,17.44,3.56,19.68,22.37,1.87,,1.56,,7.6,,14.24,6.87,,0.2,,,,,7.88,,0.45,,,2.73,,,,,0.51,1.25,8.53,7.75,,,4.5,,28.56,10.53,,,8,8696254174.0,Airlines,Transportation
AAON,19.68,59.21,,23.5,10.5,20.6,22,,22.6,44.69,0.6,10.05,55.44,18.65,,,83.19,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.38,32.68,27.11,231.28,,,,6.15,3.06,0.72,2.66,0.44,0.38,,19.62,,,82.41,32.77,42.97,,15.18,,18.83,9.9,40.64,40.64,3.33,6.18,,2.57,20.24,,233.68,4.76,1.27,,41.39,55.35,122.7,2.12,7.6,12.55,1.5,19.51,38.13,29.02,27.91,,22.62,,0.35,87.02,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,64.74,3.6,,26,,,,8.9,82.37,121.82,2.35,70.54,1.31,0.09,0.13,69.26,1.2,269.01,213.72,25.63,9.01,1.59,,2.7,3.25,55.36,17.16,174.55,20.64,10.84,0.66,0.68,1.81,0.21,0.39,1.06,1.44,18.83,11.13,14,1.84,196.26,40.37,1.5,,0.39,,1.17,1.64,93.59,93.59,,0.37,,,,,96.19,4.28,0.32,,,14.47,,,0.62,4.41,0.29,0.36,2.68,1.95,1.68,,1.62,,,9.02,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,28.59,35.9,2.9,1.3,5.7,20.9,23.2,14.6,15.7,26.71,0.73,,31.9,8.25,0.55,0.68,179.66,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.53,23.14,21.14,26.29,23.32,21.34,7.23,7.28,4.32,0.21,27.71,3.85,0.53,27.55,21.31,12.46,2.63,178.3,45.03,40.5,,26.16,,30.76,37.48,27.98,27.98,1.66,7.32,,1.16,1.25,,26.4,6.83,1.84,,,24.24,28.01,1.53,2.09,37.51,1.02,29.33,279.4,57.36,159.97,,34.58,,3.65,42.37,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,45.61,,,9.7,8.1,22.2,18.4,8.5,54.11,7.46,4.18,46.71,0.63,0.84,0.05,21.59,1.94,,145.67,6.48,6.84,1.43,,1.57,6.11,22.5,11.76,27.84,,,,6.67,4.44,0.4,23.98,8.05,6.21,,6.33,,,32.98,62.84,1.88,,14.66,,27.6,1.1,25.7,25.7,11.17,3.74,,2.23,1.35,9.7,15.58,1.13,0.48,,,8.73,17.7,,1,1.12,1.94,2.15,576.18,4.53,5.34,,4.22,,3.24,28.06,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,7.93,67.44,,,7.8,9.6,49.1,7.4,3.8,63.69,5.47,13.08,65.66,2.08,0.34,0.22,178.91,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.35,42.79,21.12,16.44,14.41,13.83,6.66,6.68,2.34,0.08,40.62,6.98,3.47,15.95,26.31,32.5,0.85,137.63,62.42,6.09,,8.95,,24.92,30.49,65.53,20.19,1.3,5.84,,0.9,0.47,,14.38,,1.34,,,13.89,24.63,0.98,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.82,39.62,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,47.45,,8.7,,,,,,49.46,,,47.64,3.15,6.39,9.83,5.05,7.33,,,330.79,,0.07,,,,,,,,,8.29,20.92,,0.77,,,,,,,,1.39,,,,,,,1.27,,,,38.26,,,,,,,,3.46,2.74,,,,,1.49,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,2.33,37.42,,10.1,15.8,5.3,6.9,2,15.3,30.1,8.33,,35.27,3.68,0.52,4.74,2.48,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,6.09,11.73,8.27,10.89,8.53,6.43,2.12,2.22,8.53,0.65,20.35,8.58,6.09,13.37,11.16,,5.74,3.4,50.3,19.12,,18.29,,22.51,2.17,12.84,12.29,5.34,2.39,,,,,11.72,1.61,0.42,,,8.73,13.48,,0.78,4.77,0.79,10.98,52.73,15.37,17.44,,18.54,,5.61,12.01,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
