Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,59.74,1.5,7.9,7.7,13.5,33.2,24.7,10.5,73.25,1,7.46,64.01,6.36,,0.99,0.58,137.36,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.66,28.56,24.02,27.79,24.74,21.7,5.98,5.99,3.5,0.54,21.57,3.67,0.69,25,17.1,9.5,3.53,149.33,50.71,14.21,,,18.15,,19.76,6.85,32.54,27.29,2.27,5.94,,0.88,1.72,,27.52,5.88,1.22,,,22.89,35.31,1.89,2.15,28.37,1.97,11.55,64.95,15.98,22.07,,14.5,,2.15,47.24,,,10,33913792728.0,Medical Specialties,Health Technology
AAL,,62.78,,10.4,,,,,27,72.43,,,66.72,0.76,,0.34,0.19,15.65,0.62,20.89,20.46,14.17,12.45,,,,,13.23,13.23,35.8,11.11,6.9,0.78,0.82,7.56,,2.29,11.92,,5.56,,34.88,3.56,19.67,22.37,1.87,,,1.56,,7.6,,14.05,6.78,,0.2,,,,,7.77,,0.45,,,2.7,,,,,0.51,1.25,8.53,7.75,,,4.5,,28.94,10.38,,,8,8696254174.0,Airlines,Transportation
AAON,15.7,72.03,,23.5,10.5,20.6,22,,22.6,81.88,0.59,11.26,75.25,19.3,,,,83.94,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.37,34.03,28.23,240.82,,,,6.41,2.94,0.72,2.66,0.42,0.37,,19.61,,,82.28,32.77,42.97,,,15.18,,18.83,10.35,42.48,42.48,3.48,6.46,,2.6,20.43,,244.24,4.8,1.28,,41.78,57.85,128.24,2.14,7.68,13.11,1.5,19.51,38.13,29.02,27.91,,22.62,,0.35,90.96,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,58.72,5.1,,192.4,8,16.8,,10.4,74.01,125.56,,62.97,1.91,,0.06,0.08,67.54,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.39,22.78,11.95,,20.67,10.85,0.66,0.68,4.39,0.22,,,1.51,18.18,15.75,,2.05,208.09,41.67,3.92,,,1.72,,2.98,1.49,21.29,15.78,1.7,0.35,,1.08,,,,1.65,0.31,,,14.74,,2.64,0.56,3.73,0.27,1.6,6.46,4.79,7.26,,3.59,,,8.46,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,25.09,39.5,2.9,1.3,5.7,20.9,23.2,14.6,15.7,37.46,0.73,,37.72,8.31,,0.55,0.68,180.75,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.53,23.36,21.35,26.54,23.54,21.54,7.3,7.35,4.28,0.21,27.71,3.81,0.53,27.86,21.28,12.46,2.63,178.28,45.03,40.5,,,26.16,,30.76,37.87,28.26,28.26,1.67,7.39,,1.16,1.26,,26.66,6.87,1.85,,,24.47,28.28,1.54,2.1,37.87,1.02,29.33,279.4,57.36,159.97,,34.58,,3.61,42.79,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,40.23,,,9.7,8.1,22.2,18.4,8.5,36.3,7.54,4.76,37.79,0.62,,0.84,0.05,21.57,1.94,,145.67,6.48,6.84,1.43,,1.57,6.21,22.34,11.68,27.64,,,,6.63,4.48,0.4,23.98,8.17,6.31,,6.39,,,32.96,62.84,1.88,,,14.66,,27.6,1.08,25.3,25.3,11,3.68,,2.23,1.35,9.55,15.12,1.13,0.48,,,8.59,17.42,,1,1.11,1.94,2.15,576.18,4.53,5.34,,4.22,,3.32,27.62,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,6.82,69.15,,,7.8,9.6,49.1,7.4,3.8,60.99,5.6,11.87,66.94,2.07,,0.34,0.22,176.05,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.37,42.6,21.02,16.36,14.35,13.77,6.63,6.65,2.35,0.08,40.62,7.02,3.48,15.74,26.34,9.5,0.85,137.63,62.42,6.09,,,8.95,,24.92,30.34,65.2,20.09,1.3,5.81,,0.89,0.47,,14.3,,1.31,,,13.82,24.51,0.96,1.48,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.87,39.41,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,48.22,,8.7,,,,,,52.78,,,48.99,3.17,,6.39,9.83,5.06,7.33,,,330.79,,0.07,,,,,,,,,8.29,21.15,,0.77,,,,,,,,1.38,,,,,,,,1.28,,,,38.48,,,,,,,,3.46,2.74,,,,,1.49,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,2.75,59.19,,10.1,15.8,5.3,6.9,2,15.3,80.2,8.3,,67.79,3.89,,0.52,4.74,2.49,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.61,12.04,8.48,11.78,9.28,7.05,2.26,2.28,8.31,0.65,20.35,7.82,5.61,14.14,10.61,6.94,5.52,3.42,50.3,19.12,,,18.29,,22.51,2.34,14.08,13.52,5.88,2.59,,,,,12.68,1.62,0.42,,,9.44,14.57,,0.78,5.17,0.79,10.98,52.73,15.37,17.44,,18.54,,5.25,12.81,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,,44.43,,58.9,,53,58.9,21.4,22.6,34.13,,,41.04,3.49,,0.02,0.01,208.83,1.06,37.87,17.45,7.15,3.4,1.09,,,,8.02,7.5,48.56,7.34,6.81,0.43,0.52,12.47,0.39,1.08,3.73,,6.32,32.02,1.3,15.63,252.1,18.62,6.46,,,4.07,,7.23,1.32,7.28,6.38,0.18,0.29,,0.2,0.91,,28.29,0.61,1.05,,,16.56,12.64,0.24,0.47,1.32,0.45,7.45,38.82,18.88,19.42,,13.63,,16.76,12.11,,,10,4632090814.999999,Specialty Stores,Retail Trade
