Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.06,52.2,1.5,7.9,7.7,13.5,33.2,24.7,10.5,45.14,1.01,,51.05,6.51,0.85,0.65,136.26,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.67,28.36,23.99,26.13,24.01,21.03,5.9,6.1,3.53,0.57,23.33,3.87,0.68,27.35,15.94,5.44,2.44,135.32,50.63,14.64,,18.84,,19.54,6.39,32.21,25.61,2.13,6.07,,0.74,1.5,,26.16,4.97,1.21,,,21.15,31.9,1.94,2.05,21.66,1.64,11.49,63.42,15.6,20.99,,14.11,,2.82,44.68,,,10,33913792728.0,Medical Specialties,Health Technology
AA,25.01,28.66,1.4,10.2,,,,,5.9,29.29,1.33,53.66,27.11,1.14,0.44,0.55,29.39,1.55,79.98,58.53,26.31,10.94,0.65,,,1.33,,36.48,,22.93,8.28,0.83,0.79,,0.27,,,1.33,235.41,,,2.82,39.65,8.14,,,,,,1.31,,,,0.48,,,,,,,,,,15.46,,,1.3,1.42,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,28.22,,10.4,,,,,27,17.65,,,24.75,0.65,0.34,0.21,9.3,0.6,20.92,21.96,14.01,19.76,,,,,18.59,18.59,,18.78,8.54,0.69,0.69,5.38,,,,,13.42,,,4.05,16.81,20.23,1.4,,,,5.34,,,9.63,,0.12,,,,,,,0.28,,,2.99,,,,,0.5,,5.17,4.89,,,12.18,,51.25,6.95,,,8,8696254174.0,Airlines,Transportation
AAON,33.22,50.55,,26.3,8.1,29.5,31.8,,29.5,46.11,0.56,20.77,48.13,18.63,,,86.27,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.37,28.88,23.67,68.47,,,,5.88,3.46,0.73,8.59,1.47,0.37,38.56,20.57,18.37,11.35,78.43,36.27,88.05,,15.61,,20.32,9.43,38.86,38.86,1.55,6.04,,1.96,5.64,,70.43,4.55,1.19,,45.65,31.82,49.69,1.55,6.34,11.98,1.7,19.5,39.13,29.71,25.86,,21.83,,0.64,79.15,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,38.81,3.6,,26,,,,8.9,24.86,37.2,,34.98,1.28,0.09,0.11,58.22,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.74,69.75,17.18,14.93,18.96,10.32,0.62,0.62,1.43,0.21,4.18,13.57,1.74,15.99,6.95,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.35,84.38,84.38,,0.3,,,,,7.4,3.62,0.27,,,5.16,11.46,,0.51,3.5,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.63,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.37,36.05,2.9,1.3,5.7,20.9,23.2,14.6,15.7,18.18,0.66,19.57,27.35,9.54,0.47,0.61,207.13,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.48,25.98,23.83,30.86,24.86,23.1,7.71,8.35,3.85,0.2,27.06,3.31,0.5,27.89,20.06,10.04,5.41,182.4,45.96,120.35,,26.44,,31.27,47.31,31.54,31.54,1.87,8.35,,1.19,1.34,,30.84,8.14,1.93,,,28.43,33.15,1.82,2.34,47.29,0.91,29.81,269.91,59,151.08,,35.41,,3.53,45.65,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,59.49,,,9.7,8.1,22.2,18.4,8.5,54.2,6.44,,57.49,0.69,0.99,0.07,25.51,1.84,,145.05,6.23,6.69,1.44,,1.49,5.24,22.86,12.06,22.15,,,,6.94,4.37,0.4,31.33,8.98,5.28,39.55,8.52,,2.7,29.11,62.62,1.87,,15.39,,27.37,1.3,28.66,28.66,12.46,4.23,,2.3,1.12,10.75,13.43,1.3,0.56,,,9.16,18.4,,1.14,1.32,1.84,2.29,628.91,4.67,5.7,,4.27,,4.11,31.49,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.21,62.12,,,7.8,9.6,49.1,7.4,3.8,56.38,5.45,,61.33,1.93,0.44,0.24,185.71,0.94,72.03,65.71,76.29,4.7,9.24,,0.57,3.34,40.8,24.24,17.43,15.41,14.67,6.88,6.94,2.45,0.05,39.8,6.72,3.37,36.07,23.8,7.37,5.1,142.93,62.76,6,,9.71,,24.95,40.65,61.45,17.23,1.11,5.94,,0.71,0.45,,14.93,,1.38,,,14.4,21.95,0.96,1.62,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.75,40.12,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,37.81,,8.7,,,,,,20.52,,,32.89,1.92,6.66,9.48,2.85,7.76,,,342.96,,0.07,,,,,,,,,8.29,5.27,,0.77,,,,,,,31.92,1.23,,,,,,,0.72,,,,22.3,,,,,,,,2.3,1.74,,,,,0.87,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,53.96,,2.2,20.8,5.4,3.2,9.8,11,69.95,11.23,,59.32,3.5,0.44,4.44,2.13,1.11,98.87,188.94,24.71,0.13,0.04,,0.79,7.07,8.38,6.26,8.57,8.58,6.55,2.06,2,11.93,0.66,25.65,12.24,7.07,13.32,15.12,5.39,6.5,2.63,50.83,7.78,,17.86,,24.2,1.99,11.7,11.21,2.29,2.4,,,,,9.39,1.6,0.44,,,7.38,10.42,1.72,0.7,4.53,0.78,10.57,67.86,19.1,16.5,,16.34,,6.5,11.83,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
