Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,14.05,48.42,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,29.75,1.01,,42.65,6.08,0.74,0.61,138.16,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,25.26,21.9,28.99,24.65,21.55,6.02,6.32,3.96,0.54,21.81,3.57,0.68,24.42,15.64,4.91,2.34,133.7,54.39,17.3,,21.75,,22.9,6.73,28.66,26.52,2.21,6.25,,0.77,1.64,,28.63,5.5,1.24,,,22.76,28.53,2.06,2.12,25.68,1.37,13.03,74.15,18.1,23.78,,16.15,,3.19,44.57,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,39.42,1.4,10.2,,,,,75.95,5.9,28.61,1.31,7.24,36.63,1.17,0.44,0.55,30.48,1.55,79.98,58.53,26.31,10.94,0.65,,,1.31,,38.45,,7.33,4.67,0.83,0.84,,0.27,,,1.31,11.12,,,2.67,39.39,8.14,,,,,,1.39,,,,0.51,,,,,,,,,,16.42,,,1.34,1.47,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,57.11,,10.4,,,,,597.78,27,73.28,,,63.75,0.65,0.34,0.21,10.63,0.6,20.92,21.96,14.01,19.76,,,,,19.02,19.02,,10.18,6.07,0.67,0.71,5.26,,,,,5.83,,,4.06,16.6,20.23,1.4,,,,5.34,,,10.99,,0.14,,,,,,,0.32,,,3.45,,,,,0.5,,5.17,4.89,,,12.18,,44.91,7.93,,,8,8696254174.0,Airlines,Transportation
AAON,30.64,47.23,,26.3,8.1,29.5,31.8,,20.3,29.5,31.41,0.56,3.98,41.73,19.33,,,88.92,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.37,30.17,24.73,71.53,,,,6.14,3.31,0.73,8.59,1.42,0.37,31.92,20.55,18.09,11.33,78.56,36.27,88.05,,15.61,,20.32,9.72,40.05,40.05,1.6,6.2,,2.02,5.82,,72.56,4.69,1.23,,47.05,32.8,51.23,1.6,6.54,12.35,1.7,19.5,39.13,29.71,25.86,,21.83,,0.59,81.58,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,20.19,3.6,,26,,,,,8.9,5.63,50.24,,13.68,1.73,0.09,0.12,42.42,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.35,133.66,17.09,17.3,22.81,10.94,0.53,0.54,0.75,0.21,3.13,13.92,2.35,15.05,5.47,83.9,,147.66,39.48,0.41,,,,0.3,0.97,4242,4242,,0.23,,,,,7.2,21.42,0.2,,,4.65,15.38,,0.37,2.44,0.3,,0.91,0.64,,,0.32,,,5.66,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,16.05,46.3,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,27.65,0.61,25.56,40.12,10,0.47,0.61,220.85,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.62,25.34,32.82,25.53,23.67,8.04,8.88,3.62,0.2,27.06,3.11,0.45,29.53,19.89,11.13,6.01,183.64,45.96,120.35,,26.44,,31.27,50.42,33.61,33.61,1.99,8.9,,1.27,1.43,,32.78,8.68,2.06,,,30.29,35.36,1.94,2.5,50.42,0.91,29.81,269.91,59,151.08,,35.41,,3.29,48.65,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,19.45,60.97,,,9.7,8.1,22.2,18.4,28.45,8.5,50.58,6.08,19.84,59.35,0.73,0.99,0.07,26.7,1.84,,145.05,6.23,6.69,1.44,,1.49,4.95,23.96,12.65,23.22,,,,7.28,4.17,0.4,31.33,8.5,4.99,37.61,8.11,,2.74,27.05,62.62,1.87,,15.39,,27.37,1.38,30.29,30.29,13.17,4.63,,2.4,1.17,11.81,14.77,1.36,0.59,,,10.07,20.23,,1.19,1.38,1.84,2.29,628.91,4.67,5.7,,4.27,,3.73,33.13,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.73,66.88,,,7.8,9.6,49.1,7.4,26.06,3.8,61.36,5.08,6.91,65.65,2.04,0.31,0.19,197.01,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.11,42.49,22.48,22.73,14.65,14.27,6.92,7.39,2.35,0.05,32.33,5.11,3.15,16.3,20.07,7.21,5.07,146.33,62.76,5.48,,9.71,,24.95,51.3,65.67,18.41,1.19,6.3,,0.75,0.59,,19.51,,1.44,,,18.62,32.89,1.28,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.88,42.74,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.35,,8.7,,,,,,,39.65,,,39.88,1.86,9.52,9.3,2.52,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.14,,0.79,,,,,,,32.02,1.06,,,,,,,0.66,,,,21.89,,,,,,,,2.02,1.58,,,,,0.76,10.96,,,,,,,,0.74,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,55.12,,2.2,20.8,5.4,3.2,9.8,60.73,11,51.65,10.34,,52.8,3.69,0.44,4.44,2.32,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.51,8.96,6.7,9.31,8.68,6.66,2.11,2.15,11.16,0.66,25.65,11.24,6.51,12.61,14.63,5.05,6.54,2.65,50.83,7.5,,17.86,,24.06,2.17,12.75,12.21,2.49,2.56,,,,,10.18,1.74,0.48,,,7.98,11.29,1.84,0.76,4.94,0.79,10.57,68.13,19.18,16.5,,16.25,,5.99,12.89,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
