Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,25.11,60.85,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,78.98,1,,66.54,6.09,,0.74,0.61,141.95,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.66,25.27,21.91,29,24.66,21.56,6.02,6.33,3.96,0.54,21.81,3.47,0.67,25.09,15.64,4.89,,133.81,54.39,17.3,,,21.75,,22.9,6.91,29.45,27.25,2.27,6.42,,0.79,1.69,,29.42,5.65,1.27,,,23.33,29.33,2.11,2.18,26.38,1.37,13.03,74.15,18.1,23.78,,16.15,,3.2,45.79,,,10,33913792728.0,Medical Specialties,Health Technology
AA,19.97,60.59,1.4,10.2,,,,,75.95,5.9,77.28,1.11,14.59,67.18,1.24,,0.44,0.55,34.92,1.55,79.98,58.53,26.31,10.94,0.65,,,1.11,,43.02,,8.2,5.23,0.93,0.94,,0.27,,,1.11,12.73,,,2.67,39.54,8.14,,,,,,,1.61,,,,0.57,,,,,,,,,,18.63,,,1.54,1.69,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,59.65,,10.4,,,,,597.78,27,63.31,,,62.1,0.66,,0.34,0.21,11.11,0.6,20.92,21.96,14.01,19.76,,,,,19.16,19.16,,10.25,6.12,0.68,0.72,5.22,,,,,5.97,,,4.03,16.53,20.23,1.4,,,,,5.34,,,11.49,,0.14,,,,,,,0.34,,,3.58,,,,,0.5,,5.17,4.89,,,12.18,,43.16,8.29,,,8,8696254174.0,Airlines,Transportation
AAON,47.21,74.62,,26.3,8.1,29.5,31.8,,20.3,29.5,92.51,0.49,6.75,81.87,20.71,,,,102.52,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.32,32.71,26.82,77.57,,,,6.66,3.06,0.73,8.59,1.24,0.32,36.77,20.5,18.09,11.33,78.7,36.27,88.05,,,15.61,,20.32,11.2,46.15,46.15,1.84,7.17,,2.33,6.71,,83.59,5.4,1.41,,54.24,37.81,59.02,1.85,7.54,14.24,1.7,19.5,39.13,29.71,25.86,,21.83,,0.56,93.99,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,2.08,35.08,3.6,,26,,,,,8.9,63.83,50.24,,41.77,1.73,,0.09,0.12,42.43,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.35,131.5,16.82,17.02,22.44,10.76,0.53,0.53,0.76,0.21,3.13,13.92,2.35,15.31,6.02,82.92,,147.52,39.48,0.41,,,,,0.3,0.97,4243,4243,,0.22,,,,,7.18,21.43,0.2,,,4.68,15.32,,0.37,2.44,0.3,,0.91,0.64,,,0.32,,,5.66,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,26.15,60.44,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,74.47,0.59,28.29,65.03,9.93,,0.47,0.61,228.9,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,27.39,25.12,32.54,25.35,23.26,7.97,8.8,3.65,0.2,27.06,3,0.44,30.59,19.92,11.24,6.08,184.36,45.96,120.35,,,26.44,,31.27,52.25,34.84,34.84,2.06,9.24,,1.31,1.48,,34.02,8.99,2.13,,,31.39,36.62,2.01,2.59,52.26,0.91,29.81,269.91,59,151.08,,35.41,,3.34,50.41,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,26.13,64.17,,,9.7,8.1,22.2,18.4,28.45,8.5,78.19,5.99,22.67,68,0.74,,0.99,0.07,27.37,1.84,,145.05,6.23,6.69,1.44,,1.49,4.88,24.03,12.68,23.29,,,,7.3,4.16,0.4,31.33,8.37,4.9,38.55,8.09,,2.74,26.99,62.62,1.87,,,15.39,,27.37,1.4,30.75,30.75,13.37,4.68,,2.46,1.2,11.94,14.93,1.39,0.6,,,10.2,20.43,,1.22,1.42,1.84,2.29,628.91,4.67,5.7,,4.27,,3.73,33.79,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,28.26,51.32,,,7.8,9.6,49.1,7.4,26.06,3.8,43.21,5.21,9.58,46.78,2.02,,0.31,0.19,193.62,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.19,41.61,22.02,22.4,14.35,13.98,6.77,7.24,2.4,0.05,32.33,5.2,3.22,16.01,20.17,7.21,4.99,146.45,62.76,5.48,,,9.71,,24.95,50.42,64.54,18.1,1.17,6.23,,0.74,0.58,,19.23,,1.42,,,18.36,32.41,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.95,42,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,54.14,,8.7,,,,,,,66.42,,,59.92,2.01,,9.52,9.3,2.74,10.96,,,406.96,,0.07,,,,,,,,,8.29,6.41,,0.79,,,,,,,32.02,1.06,,,,,,,,0.73,,,,23.46,,,,,,,,2.19,1.71,,,,,0.83,10.96,,,,,,,,0.67,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,61.37,,2.2,20.8,5.4,3.2,9.8,60.73,11,72.68,10.06,,64.09,3.72,,0.44,4.44,2.39,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.33,9.35,6.99,9.45,8.81,6.76,2.15,2.24,10.7,0.66,25.65,10.91,6.33,13.06,14.53,4.92,6.6,2.63,50.83,7.5,,,17.86,,24.06,2.13,13.13,12.58,2.57,2.55,,,,,10.1,1.73,0.47,,,7.91,11.18,1.82,0.75,4.88,0.79,10.57,68.13,19.18,16.5,,16.25,,5.95,12.58,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
