Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,26.44,53.3,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,54.42,1.03,,53.69,6.12,,0.74,0.61,139.79,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.68,25.46,22.07,29.22,24.85,21.72,6.06,6.37,3.93,0.54,21.81,3.53,0.68,24.71,15.67,4.89,,133.65,54.39,17.3,,,21.75,,22.9,6.81,29,26.83,2.24,6.3,,0.78,1.66,,28.89,5.57,1.25,,,22.87,28.89,2.07,2.15,25.98,1.37,13.03,74.15,18.1,23.78,,16.15,,3.19,45.09,,,10,33913792728.0,Medical Specialties,Health Technology
AAL,,56.39,,10.4,,,,,597.78,27,52.83,,,56.64,0.66,,0.34,0.21,10.98,0.6,20.92,21.96,14.01,19.76,,,,,19.15,19.15,,10.25,6.11,0.68,0.72,5.22,,,,,5.89,,,4.01,16.52,20.23,1.4,,,,,5.34,,,11.35,,0.14,,,,,,,0.33,,,3.55,,,,,0.5,,5.17,4.89,,,12.18,,43.3,8.19,,,8,8696254174.0,Airlines,Transportation
AAON,66.02,79.98,,26.3,8.1,29.5,31.8,,20.3,29.5,95.76,0.47,9.37,87.18,22,,,,107.82,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.31,35.11,28.78,83.24,,,,7.15,2.85,0.73,8.59,1.17,0.31,39.07,20.47,16.31,10.76,78.74,36.27,88.05,,,15.61,,20.32,11.78,48.57,48.57,1.94,7.54,,2.45,7.05,,88,5.68,1.49,,57.05,39.75,62.12,1.94,7.93,14.98,1.7,19.5,39.13,29.71,25.86,,21.83,,0.52,98.92,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,30.81,3.6,,26,,,,,8.9,37.29,52.59,,33.05,1.72,,0.09,0.12,40.57,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.46,130.09,16.64,16.83,22.2,10.65,0.52,0.53,0.77,0.21,3.13,14.55,2.46,14.68,6.4,82.89,,147.52,39.48,0.41,,,,,0.3,0.93,4057,4057,,0.22,,,,,6.87,20.49,0.19,,,4.47,14.66,,0.35,2.33,0.3,,0.91,0.64,,,0.32,,,5.42,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.78,56.02,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,61.69,0.59,31.67,58.05,10.19,,0.47,0.61,226.47,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.31,25.96,33.63,26.2,24.04,8.23,9.1,3.53,0.2,27.06,3.03,0.44,30.27,19.83,11.24,6.08,184.55,45.96,120.35,,,26.44,,31.27,51.71,34.47,34.47,2.04,9.13,,1.3,1.46,,33.66,8.9,2.11,,,31.08,36.29,1.99,2.56,51.71,0.91,29.81,269.91,59,151.08,,35.41,,3.23,49.88,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,40.21,59.74,,,9.7,8.1,22.2,18.4,28.45,8.5,61.31,6.06,26.56,60.31,0.73,,0.99,0.07,27.12,1.84,,145.05,6.23,6.69,1.44,,1.49,4.93,23.96,12.64,23.22,,,,7.27,4.17,0.4,31.33,8.45,4.94,38.2,8.11,,2.74,26.96,62.62,1.87,,,15.39,,27.37,1.39,30.47,30.47,13.25,4.65,,2.44,1.19,11.86,14.87,1.38,0.6,,,10.14,20.34,,1.21,1.41,1.84,2.29,628.91,4.67,5.7,,4.27,,3.76,33.48,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,29.34,51.86,,,7.8,9.6,49.1,7.4,26.06,3.8,46.35,5.18,10.7,47.95,2.02,,0.31,0.19,193.83,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.17,41.71,22.07,22.45,14.38,14.01,6.78,7.26,2.4,0.05,32.33,5.19,3.2,16.03,20.15,7.21,4.99,146.52,62.76,5.48,,,9.71,,24.95,50.48,64.61,18.11,1.17,6.24,,0.74,0.58,,19.31,,1.42,,,18.43,32.59,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.92,42.05,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.77,,8.7,,,,,,,26.01,,,37.11,1.92,,9.52,9.3,2.48,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.99,,0.79,,,,,,,32.02,1.06,,,,,,,,0.66,,,,21.78,,,,,,,,1.98,1.55,,,,,0.75,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,49,,2.2,20.8,5.4,3.2,9.8,60.73,11,38.29,10.34,,44.92,3.68,,0.44,4.44,2.31,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.51,8.89,6.65,9.28,8.65,6.64,2.11,2.13,11.25,0.66,25.65,11.29,6.51,12.62,14.65,4.92,6.6,2.63,50.83,7.5,,,17.86,,24.06,2.12,12.69,12.16,2.48,2.5,,,,,9.96,1.7,0.47,,,7.8,11.06,1.8,0.75,4.81,0.79,10.57,68.13,19.18,16.5,,16.25,,6.04,12.16,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,8.42,49.8,,50.3,,28.2,37.8,,8.08,24,62.58,,7.93,53.36,2.66,,0.03,0.02,227.95,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.8,11.7,,10.77,9.86,0.54,0.61,7.81,0.32,,,,7.86,30.63,,6.95,257.88,17.75,4.56,,,2.51,,6.31,1.37,11.7,7.88,0.25,0.29,,0.23,,,,,1,,,41.85,,0.32,0.53,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.46,,,10,4632090814.999999,Specialty Stores,Retail Trade
