Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
EOG,,46.1,0.2,11.6,32.7,66.4,217.6,49.1,32.5,34.87,13.16,11.08,43.19,4.81,1.17,1.33,124.98,2.12,68.94,131.98,40.3,0.3,0.14,,0.28,2.84,7.2,5.14,13.82,7.61,5.17,2.98,2.91,13.89,0.65,21.06,7.11,2.9,10.38,25.78,2.16,1.11,123.1,72.51,64.88,,31.23,,37.84,2.44,9.65,10.09,0.59,3.02,,,,,14.34,1.05,0.92,,,6.26,9.92,0.4,1.05,2.44,1.89,17.12,29.29,24.51,26.79,,20.24,,6.31,24.85,,,7,76963236773.0,Oil & Gas Production,Energy Minerals
EPAC,56.07,53.83,2.8,,,29.2,90,,8.6,55.69,0.1,20.08,54.27,5.52,1.09,0.68,40.14,2.85,103.57,57.82,61.88,1.45,0.54,,0.02,0.1,18.37,16.49,27.45,15.97,13.37,2.75,3.76,5.44,0.49,13.69,3.71,0.1,18.5,18.06,,,28.03,51.15,8.78,,14.13,,20.8,5.96,26.41,24.85,5.92,3.75,,,,,27.55,6.19,1.65,,,25.5,28.62,1.57,2.72,34.6,2.2,10.88,95.8,19,24.76,,16.49,,1.04,,,,6,1528265364.0,Industrial Machinery,Producer Manufacturing
EPAM,,50.27,,19.3,,8.7,23.2,3.6,20.4,52.36,,,49.77,11.21,3.07,11.14,200.85,4.84,,3.22,72.97,0.27,0.05,,,,19.63,15.57,17.68,,,,2.1,5.09,0.8,11.86,4.82,,19.9,17.1,5.82,6.3,308.77,29.96,,,8.86,,10.68,3.35,28.61,19.22,1.04,2.54,,0.56,0.63,,21.45,1.9,0.58,11.18,5.47,20.51,36.8,1.43,1.36,4.22,4.84,9.66,61.02,13.63,12.12,,18.52,,4.12,37.84,,,10,15281937744.999998,Information Technology Services,Technology Services
EPC,9.9,56.29,2.7,5.3,,12.2,,,6.8,78.39,1.52,5.22,63.28,1.9,0.37,0.15,39.31,1.79,138.79,59.66,20.12,4.15,0.83,,0.2,1.52,13.42,9.61,19.48,10.63,8,1.31,1.34,7.45,0.43,6.88,8.05,1.52,12.32,4.13,9.23,2.16,43.18,42.79,3.24,,5.27,,11.1,1.23,16.66,12.85,,0.88,,,,,12.67,,0.81,,,9.68,12.7,,0.71,,0.94,3.19,42.48,7.03,7.71,,6.34,,8.6,100.79,,,8,1974041835.0000005,Household/Personal Care,Consumer Non-Durables
EPD,12.99,49.75,0.2,4.6,3.6,9.6,13.8,18.4,22.4,49.96,8.09,8.58,50.04,1.9,0.01,0.01,29.0,0.91,24.11,8.66,49.3,3.23,1.08,,0.77,7.08,12.91,9.95,25.77,12.44,9.43,1.54,1.7,7.75,0.38,6.61,5.76,7.24,10.67,11.42,5.42,7.3,30.29,12.77,5.11,,10.48,,12.33,2.25,11.07,11.07,2.21,1.16,,,,,17.52,1.29,0.77,,,8.2,14.67,,0.86,3.36,0.68,8.13,15.66,12.51,20.92,,10.91,,6.27,13.3,,,10,58659027345.0,Oil & Gas Pipelines,Industrial Services
EPR,2.14,65.13,,,29.6,30.6,,90.1,17.8,79.18,5.2,3.17,69.35,0.76,0.18,0.01,46.2,4.06,,497.24,35.64,6.08,1.25,,1.24,7.28,19.23,12.88,15.92,,11.95,11.68,9.92,5.2,0.43,62.34,11.56,7.42,16.97,17.34,,,44.48,90.95,2.97,,32.31,,56.51,1.44,18.93,17.09,24.41,5.39,,,,9.54,8.69,1.05,0.67,,,8.69,,2.25,0.65,1.46,4.06,3.68,179.69,6.09,8.53,,6.61,,7.86,18.33,,,9,3208817779.0,Real Estate Investment Trusts,Finance
EQC,1.16,59.41,4.2,,,,186.2,61.6,1.6,43.42,,3.29,55.89,50.72,84.6,,20.25,85.27,,304.89,99.01,,,,,,,53.67,0.83,,,,1.75,,0.99,211.63,5.81,,,,,,21.98,55.55,,,171.4,,,0.94,23.28,23.28,,36.94,,,,19.78,17.49,0.99,1.58,1,1.05,17.49,,,0.82,0.94,85.27,4.21,,,4.27,,,,2.74,12.74,,,9,2073905529.0,Real Estate Investment Trusts,Finance
EQIX,5.51,55.09,,3.5,10.8,10.6,21,146.6,8.7,43.4,3.07,,52.98,2.53,0.65,0.11,817.99,1.22,,75.12,45.26,5.06,1.46,,1.5,1.98,58.88,26.69,291.09,49.41,23.07,10.83,11.21,1.7,0.37,3.85,0.42,2.07,78.3,6.19,9.52,8.12,835.75,48.76,3.62,,12.24,,17.91,6.33,74.91,75.61,14.83,9.17,,3.74,6.91,26.05,237.7,7.17,1.08,,,23.56,121.05,12.69,6.94,15.28,1.22,3.22,8.24,5.44,8.49,,4.43,,0.33,157.91,,,9,72626964233.0,Real Estate Investment Trusts,Finance
EQNR,,47.71,3.2,24.1,23.2,75.9,,113.3,45.2,34.12,5.78,4.18,45.43,2.82,0.9,0.94,26.91,1.54,23,61.87,39.76,0.73,0.75,,0.38,4.8,2.31,1.74,10.2,2.38,1.83,0.7,0.73,43.29,0.33,7.11,9.99,4.99,8.2,33.67,,,28.89,42.05,29.31,,9.14,,29.4,1.8,8.2,8.2,0.25,0.76,,,,,10.66,0.88,0.77,,,4.31,5.49,0.33,0.4,2.1,1.44,6.91,57.57,31.65,19.94,,10.34,,7.37,16.51,,,7,98209793093.99974,Integrated Oil,Energy Minerals
EQR,11.32,62.92,,1.1,3.2,,16.3,2.5,3.3,77.66,4.49,14.55,66.55,2.44,0.06,0.01,72.31,0.23,,44.77,,3.13,0.68,,2.83,3.73,23.62,14.57,27.71,40.87,19.66,11.74,11.91,4.23,0.56,42.98,4.57,3.77,36.54,6.6,,3.53,69.26,63.76,3.32,,32.83,,30.79,2.5,28.81,76.36,152.72,9.64,,,,19.61,22.56,2.91,0.96,,,17.61,16.46,,1.41,2.5,0.23,4.79,321.54,7.64,8.67,,4.45,,4.28,17.99,,,10,23939686937.0,Real Estate Investment Trusts,Finance
EQT,,48.26,,1.9,172.6,78.7,,13.9,6.3,61.6,1.93,,53.77,1.68,0.02,0.01,33.1,0.73,,187.7,46.11,1.73,0.33,,0.41,1.93,26.19,8.62,57.8,22.46,7.66,4.41,5.39,3.82,0.61,9.33,2.17,1.93,22.07,,77.33,20.76,17.38,50.67,,,15.22,,,0.97,20.95,21.78,,3.17,,,,,34.85,0.97,1.68,,,5.71,12.38,,0.81,0.97,0.73,2.87,4.26,4.25,4.89,,,,,,,,5,17079631506.0,Oil & Gas Production,Energy Minerals
EQX,21.18,65.79,,10.4,,,,,,87.64,,21.71,73.9,0.94,0.27,0.12,5.97,1.1,141.45,41.12,18.47,2.13,0.46,,,,7.67,5.35,,,,2.36,3.41,13.04,0.48,,,,17.25,,136.66,26.57,5.05,9.3,0.56,,22.91,,3.65,0.79,11.94,,,1.88,,,,,,,,,,9.86,15.29,,2.31,0.79,0.45,5.3,13,11.66,9.78,,0.56,,,,,,3,1605417441.9240685,Precious Metals,Non-Energy Minerals
ERIC,33,71.5,,4.4,21.6,,,,4.2,87.16,10.89,22.8,77.15,1.35,0.37,0.98,7.25,1.14,95.63,72.1,65.6,1.99,0.57,,0.28,3.47,,10.5,9.52,77.76,18.95,1,1.01,,0.3,10.54,10.32,3.47,17.34,18.56,86.57,,5.81,40.8,3.83,,,,5.5,2.95,,8.06,,0.98,,,,,9.55,2.32,0.88,,,8.18,,0.76,1.05,15.43,0.9,,,,,,5.63,,0.76,181.25,,,7,16779336880.784998,Telecommunications Equipment,Electronic Technology
ERII,,71.06,,8.3,,,,31.7,11,82.35,,,75.5,21.94,5.04,8.2,18.18,7.94,271.75,24.87,71.82,0.55,0.06,,,,55.37,41.1,27.88,,,,6.97,1.81,0.88,24.98,3.18,,56.81,,28.05,19.81,25.91,67.47,,,15.4,,12.58,4.77,50.5,50.5,4.63,7.69,,,,,30.71,3.37,0.9,14.78,8.12,28.3,48.3,,3.54,5.08,6.26,8.72,22.12,7.72,9.98,,12.89,,,82.64,,,8,1297351822.0,Industrial Machinery,Producer Manufacturing
ERJ,97.67,65.16,0.1,,,,,,10.1,80.88,,64,70.5,1.14,0.31,0.44,32.83,1.5,537,172.29,33.61,6.98,0.96,,,,24.88,18.66,,18.21,12.14,1.36,3.18,4.02,0.26,,,,25.89,,47.76,15.33,18.18,17.05,0.81,,5.42,,5.4,2.14,47.1,46.24,,2.68,,,,,,5.93,4.06,,,,,,14.53,14.21,0.66,1.23,16.47,4.48,4.74,,1.62,,8.85,,,,5,2668627051.265,Aerospace & Defense,Electronic Technology
ERO,,60.07,,50.2,,24.1,,,10.3,83.89,,21.05,68.63,2.29,0.25,0.08,20.99,0.68,47.41,77.81,8.8,20.21,0.83,,,,,94.85,,,,3.85,5.82,,0.46,,,,11.82,7.51,78.97,35.64,17.14,34.16,18.78,,,,19.66,3.14,,33.06,1.34,4.52,,,,,,2.25,,,,64.63,,3.64,13.54,3.29,0.5,,,,,,5.82,,,,,,6,1754247366.4508257,Other Metals/Minerals,Non-Energy Minerals
ES,,63.32,,,16.6,,8,,9.1,67.84,5.81,4.59,63.93,0.66,0.01,,66.53,0.75,29.17,101.16,46.69,13.18,1.95,,0.65,4.16,45.98,23.9,,18.94,13.21,4.05,4.63,2.17,0.25,,,4.28,14.57,,5.44,4.64,76.19,46.07,2.8,,,,24.03,1.59,,15.65,,2.06,,,,,,1.26,0.83,,,11.92,,,,2.29,0.66,,2.85,2.28,,,,,,19.12,,,9,22414799889.0,Electric Utilities,Utilities
ESAB,41.53,57.03,,,,18.3,9.7,1.2,12.1,65.97,0.26,4.02,60.61,3,0.35,0.2,100.54,1.86,88.15,68.53,54.02,2.34,0.69,,0.06,0.26,15.97,13.79,22.3,16.44,14.24,2.59,2.5,6.26,0.43,11.19,5.19,0.32,20.4,,14.21,2.38,0.0,37.22,5.65,,9.06,,16.3,3.49,24.11,20.88,,2.17,,,,,19.39,,,,,16.81,,,,,1.21,6.51,58.99,13.41,15.74,,10.6,,2.57,,,,5,4115715080.0,Industrial Machinery,Producer Manufacturing
ESE,16.07,54.46,0.3,6,,28.7,10.3,1.1,9.7,50.9,0.27,15.36,53.25,4.8,0.2,0.3,119.12,2.1,121.17,48.85,71.93,1.08,0.17,,0.08,0.27,23.03,16.56,52.22,,,,3.19,4.34,0.66,6.11,1.99,0.27,24.5,13.95,,,110.19,39.22,12.05,,9.95,,13.93,2.57,30.86,30.23,3.93,3.04,,1.78,2.83,,50.32,4.07,1.18,,86.32,29.84,46.22,2.57,1.88,12.31,1.39,5.69,41.63,9.59,8.66,,7.16,,0.12,35.88,,,10,2722638535.0,Electronic Equipment/Instruments,Electronic Technology
ESLT,,62.72,,9.7,,2.5,,,8.3,61.65,0.95,,64.51,1.5,0.03,0.09,198.44,1.13,179.75,88.97,139.85,3.21,0.53,,0.3,1,30.85,20.81,71.72,,,,1.64,3.24,0.29,2.3,1.65,1,26.64,7.49,11.89,5.64,180.27,23.99,4.83,,3.85,,6.17,2.92,36.48,29.98,6.66,1.41,,2.6,5.29,,60.99,3.19,1.05,,,25.28,65.84,4.09,2.84,7.62,0.63,2.44,14.05,6.83,8.31,,4.61,,,27.95,,,10,8858517924.730385,Aerospace & Defense,Electronic Technology
ESRT,29.76,48.68,1.7,,,17.3,,10.9,9.1,44.68,0.36,8.35,45.78,0.75,0.74,0.22,10.2,1.42,,50.35,114.99,6.66,1.42,,0.61,1.39,20.2,9.7,16.72,23.45,10.27,4.79,4.81,4.95,0.4,28.74,12.98,1.39,75.56,13.72,,1.56,9.34,54.21,1.51,,6.3,,20.32,0.96,38.88,43.77,11.22,3.58,,,,10.99,12.4,1.88,0.58,,,12.4,,6.58,0.92,1.79,1.42,1.12,98.44,4.9,4.14,,3.69,,3.06,35.19,,,8,1383845455.0,Real Estate Investment Trusts,Finance
ESS,22.15,59.79,0.4,,3.6,,17.5,6.3,4.4,73.65,4.02,21.07,63.31,1.88,0.28,0.02,289.21,0.77,,224.53,2.13,4.05,1.16,,1.53,3.27,24.57,15.76,27.99,36.12,19.66,13.94,14.41,4.07,0.44,51.47,4.74,3.37,35.09,5.22,,3.66,259.02,81.66,3.41,,30.31,,44.68,3.39,35.79,46.41,21.1,10.85,,2.47,1.54,19.88,21.12,2.64,0.91,,,18.07,19.46,,1.56,3.39,0.77,4.15,1616.57,8.29,9.4,,6.38,,1.64,37.61,,,10,14455363768.0,Real Estate Investment Trusts,Finance
ESTA,,52.9,,,,,,,21.1,66.19,,27.01,57.3,1.51,1.3,0.28,44.05,4.44,483.59,219.3,127.25,,4.39,,,,,,,,,10.16,9.08,,0.16,,,,,,,24.4,58.72,66.04,,,,,,27.35,,,,7.86,,,,,,,,,,,,,,35.52,2.91,,,,,,,,,,,,,1340076881.0,Medical Specialties,Health Technology
ESTC,84.8,52.65,,13.4,,14.2,,88.1,20.4,64.28,,,56.49,4.64,1.24,1.83,110.08,1.76,,27.33,70.94,,0.8,,,,,,73.89,217.08,163.88,7.28,8.47,,0.33,11.47,1.29,,77.85,,25.78,19.03,108.29,73.96,,,4.87,,,15.21,208.28,43.81,3.95,8.89,,,,,78.74,7.39,,,423.38,76.93,,5.32,13.88,28.08,1.76,3.25,,,11.38,,5.46,,,,,,1,7705228876.000001,Packaged Software,Technology Services
ET,26.46,50.04,,16.7,5,18.6,25,34.6,19.6,49.5,6.37,10.71,50.15,1.4,0.06,0.01,16.02,1.14,12.98,38.03,39.4,4.09,1.7,,1.03,7.89,11.81,7.9,16.83,10.55,7.31,1.27,1.35,8.47,0.28,8.01,12.22,7.98,10.88,14.58,11.7,5.3,11.69,17.76,3.25,,5.34,,10.91,1.57,13.46,13.1,,0.63,,,,,7.98,1.14,1.34,,,5.47,11.72,,0.76,2.23,0.92,3.96,10.98,9.51,12.86,,8.37,,,12.82,,,9,42716184034.0,Oil & Gas Pipelines,Industrial Services
ETN,44.57,50.5,,8.3,5.6,22.2,22.9,4.2,9.4,62.66,1.58,12.53,54.64,5.02,0.34,0.27,299.69,1.56,91.74,80.88,69.16,1.95,0.55,,0.35,1.23,28.03,23.29,41.62,26.54,21.79,4.99,5.2,3.57,0.49,12.51,2.53,1.27,28.31,13.19,13.06,7.63,207.99,37.53,36.43,,15.12,,17.96,6.21,32.97,29.53,3.56,4.99,,1.83,2.66,,39.86,,2.81,,,31.16,33.71,2.63,2.92,,1.07,9.58,65.77,14.68,19.44,,11.16,,1.42,47.12,,,10,86838359756.0,Electrical Products,Producer Manufacturing
ETNB,,56.67,,,,15.1,13.4,14.3,,73.13,,,61.56,,12.76,,,13.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,2.01,1.82,,,,,1.81,13.92,,,,,,,,,,,,,1310348136.0000002,Pharmaceuticals: Major,Health Technology
ETR,16.2,65.04,,8,5.1,2.5,18.4,45.7,4.4,70.49,4.6,9.11,66.3,0.87,0.25,0.05,118.88,0.94,90,77.09,22.18,6.4,1.97,,0.41,3.8,24.44,11.75,,17.82,10.63,4.06,4.38,4.09,0.23,,,3.8,16.48,,,4.62,103.38,45.64,2.28,,14.8,,20.14,1.74,14.22,10.98,1.44,2.08,,,,,,0.93,1.37,,,6.27,,,,1.79,0.62,2.93,4.87,3.95,12.65,,6.59,,1.41,25.9,,,8,20807231060.0,Electric Utilities,Utilities
ETRN,45.17,33.67,,,,,,,,27.54,4.83,29.18,30.13,0.34,0.21,0.02,12.42,0.68,16.55,57.85,62.28,6.19,4.54,,0.64,4.83,14.89,10.83,25.57,14.92,10.99,9.49,9.74,6.72,0.14,38.09,10.05,4.83,13.68,,,4.19,9.42,75.46,1.54,,31.98,,49.47,5.12,13.96,13.28,,3.83,,,,,10.06,6.21,,,,5.88,7.35,,1.01,65.37,0.68,3.97,11.67,8.58,26.63,,6.11,,,,,,5,4159305634.0,Oil & Gas Pipelines,Industrial Services
ETSY,,43.17,1.8,,,,,,15.7,51.34,,,44.58,2.35,1.77,0.42,54.64,2.41,,113.62,33.73,5.97,,,,,25.28,19.02,11.14,14.93,9.9,2.71,2.75,3.96,,24.9,11.01,,23.18,25.24,8.18,4.61,111.19,70.57,,,10.36,,12.35,,25.41,24.84,,2.72,,,,,10.93,,,,,10.31,17.97,,1.09,,2.41,11.35,123.5,15.44,,,22.03,,11.1,97.57,,,6,7988516079.000001,Internet Retail,Retail Trade
ETWO,,48.26,,,,,,,,57.84,,7.54,50.74,,0.51,0.15,4.28,1.02,,33.73,66.61,,0.74,,,,,,39.74,11.88,10.03,3.5,3.53,,0.47,8.88,4.29,,22.53,,,3.63,6.04,49.7,,,,,,0.89,,,,2.05,,,,,23.2,,,,,15.22,,,,,1.02,,,,,,,,0.63,,,,,1691047228.0,Packaged Software,Technology Services
EURN,,39.83,,4.3,43.8,18.1,8.3,,5.8,18.31,43.28,,32.68,2.51,0.56,0.14,16.22,1.37,21.02,72.54,111.15,1.58,1.96,,2.59,43.28,3.93,3.44,41.59,15.96,10.08,3.72,5.06,25.45,0.33,12.03,3.98,43.28,7.68,22.65,,,20.28,45.63,3.57,,115.03,,43.21,2.49,2.7,7.06,0.34,3.03,,,,,28.12,0.88,1.1,,,4.49,2.47,0.34,1.81,2.52,1.32,31.52,41.11,40.22,61.35,,13.06,,47.47,11.03,,,7,3162310760.913043,Marine Shipping,Transportation
EVCM,16.73,45.78,1,,,,46.3,,,64.99,,21.3,48.72,1.6,0.74,0.16,10.41,1.68,,14.64,26.11,5.03,0.68,,,,283.68,22.08,29.63,,,3.39,3.36,0.35,0.53,11.35,4.17,,18.1,,,4.83,11.78,66.02,0.63,,,,3.79,2.41,,,,2.77,,,,,24.39,,,,,19.07,,,,,1.68,,86.86,0.59,,,2.48,,3.64,,,,,1793036575.0000002,Packaged Software,Technology Services
EVEX,,36.61,,,,,,,,46.64,,,38.78,,2.23,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,,,,,,,,,,,,63.25,6.84,,,,,6.49,3.87,,,,,,,,,,,,,2374025603.0,Aerospace & Defense,Electronic Technology
EVGO,,57.79,,,,,,,110.7,60.35,,46.89,57.18,0.62,1.81,2.04,3.8,2.5,,23.28,74.83,,5.86,,,,,,,,,1.23,1.49,,0.02,,,,,,39.61,41.29,17.28,8.4,,,,,,28.59,,,,1.84,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,1178798244.0000002,Specialty Stores,Retail Trade
EVH,,69.17,,8.5,,57.2,,,17.5,81.18,,,73.73,1.85,0.21,0.16,28.11,1.08,,11.17,61.64,9.64,0.6,,,,,57.41,25.08,20.1,19.79,1.47,1.61,,0.43,6.41,4.64,,21.1,,,19.45,46.39,18.57,,,,,,3.04,,90.75,,1.35,,,,,20.97,,,,,17.96,172.53,,4.58,,1.08,,,,,,,,,,,,1,2967005566.0,Miscellaneous Commercial Services,Commercial Services
EVO,,29.2,,12.6,,,,,10.7,28.62,,,28.04,0.48,0.86,0.65,3.1,1.83,18.14,57.66,62.13,,0.47,,,,,,,,45.58,1.46,1.5,,0.51,,,,186.3,25.14,,15.06,11.27,15.98,,,,,,0.96,,,,1.24,,,,,,,0.18,,,,,,2.65,1.35,1.73,,,,,,,,,62,,,7,4270653341.1357794,Pharmaceuticals: Major,Health Technology
EVRG,,56.46,,3,6.6,5.2,4.5,,3.4,45.42,6.16,9.41,51.9,0.73,0.01,,58.34,0.59,99.72,55.28,0.54,5.74,1.45,,0.71,4.37,21.09,11.15,,18.47,10.5,4.73,4.85,4.74,0.31,,,4.37,15.23,3.04,6.55,2.77,59.8,49.95,2.26,,13.12,,21.85,1.38,18.17,16.25,2.39,2.37,,,,,,1.15,0.87,,,7.1,40.45,,2.14,1.82,0.35,2.39,5.43,4.76,7.65,,3.8,,,17.79,,,10,12436075002.0,Electric Utilities,Utilities
EVRI,,79.52,1.1,,,29,,,25,82.65,,,81.63,1.01,0.28,0.24,13.01,1.05,180.85,72.29,48.48,3.57,3.95,,,,14.33,6.79,21.97,,5.48,2.27,2.37,6.98,0.12,10.78,7.57,,18.88,19.63,,2.42,18.69,80.39,1.67,,5.42,,16.53,4.5,27.68,17.35,2.67,1.47,,,,,13.95,,1.58,,,4.41,13.09,1.67,0.87,,0.95,2.13,82,10.35,17.78,,6.08,,5.92,,,,6,1313735233.0,Casinos/Gaming,Consumer Services
EVTC,,45.12,3.2,24.7,,2.1,10.9,0.9,14.7,41.96,1,,43.91,2.11,0.89,0.27,32.73,1.82,,56.86,57.39,3.89,2.02,,0.07,0.61,21.99,11.22,21.77,,,,3.58,4.55,0.26,16.45,6.16,0.61,10.95,16.24,8.38,11.47,48.77,51.62,2.3,,8.84,,17.51,4.36,31.18,11.02,1.17,2.75,,0.8,0.94,,16.64,,0.67,,,9.15,17.53,1.11,0.87,,1.82,4.16,141.66,9.2,13.08,,11.06,,,18.82,,,10,2437866598.0,Regional Banks,Finance
EW,13.32,47.56,1.3,14.7,,20.6,11,0.3,12.4,77.98,,,57.83,12.54,1.64,2.87,70.09,3.71,286.7,52.08,47.03,0.41,0.09,,,,26.13,23.8,73.39,24.8,20.22,6.24,6.75,3.83,0.74,9.2,1.31,,26.06,16.9,7.27,6.2,97.95,77.03,,,24.55,,27.72,5.68,28.84,27.06,1.54,7.1,,0.81,5.24,,77.32,2.94,0.77,,22.76,49.14,102.45,1.82,2.29,7.19,2.87,15.48,53.1,18.6,21.51,,21.18,,1.85,39.6,,,10,44499472827.0,Medical Specialties,Health Technology
EWCZ,,37.97,,,,35,,,9.5,51.63,,,41.6,0.75,1.93,0.15,6.48,3.49,132.47,36.91,14.14,5.42,4.49,,,,12.37,8.84,10.51,,,,2.78,8.08,0.12,26.43,19.94,,17.37,,56.42,8.18,17.76,72.82,1.97,,5.61,,22.7,3.49,23.88,23.98,,1.36,,,,,5.17,,,,,5.14,,,,,2.72,1.69,207.33,7.07,13.81,,5.42,,,,,,3,1134189161.0,Other Consumer Services,Consumer Services
EXAS,,67.22,,7.3,,,29.7,,12,72.65,,,69.72,1.58,1.42,0.34,59.68,2.17,67.45,35.54,30.35,47.21,0.87,,,,,216.8,,,204.03,4.49,4.86,,0.48,,,,,,,13.2,75.69,73.19,,,,,,3.45,,,,4.16,,,,,,,0.25,,,92.39,,,1492,,1.98,,,,,,,,,,,,,13853417481.0,Medical Specialties,Health Technology
EXEL,5.76,67.11,1,7.4,,17.7,22.9,,22.4,55.18,,9.07,64.74,8.59,2.9,5.06,26.33,4.27,103.51,129.51,49.13,0.46,0.09,,,,16.75,15.72,40.59,11.56,11.05,3.32,3.35,5.97,0.76,8.26,2.21,,23.4,,41.47,7.95,26.1,96.06,,,17.38,,20,3.54,22.64,19.61,,3.94,,,,,47.52,1.78,0.53,21.58,9.11,25.47,66.85,,1.25,3.65,4.21,11.95,86.04,15.73,15.37,,17.59,,11.44,46.19,,,7,6943884376.0,Pharmaceuticals: Major,Health Technology
EXLS,21.63,61.99,0.5,7.9,,17.4,33.4,0.4,20.5,66.39,,12.23,62.84,8.37,0.96,0.67,35.63,2.45,,1.18,59.69,1.27,0.49,,,,23.23,17.93,38.78,,,3.21,3.42,4.3,0.57,8.81,2.62,,22.12,21.36,24.58,11.81,40.5,37.2,15.65,,10.45,,13.89,6.77,33.3,25.82,1.2,3.45,,1.01,1.89,,39.13,4.06,1.29,,111.34,29.37,59.09,1.36,2.22,14.31,2.45,12.5,87.37,22.02,21.1,,16.8,,3.07,57.47,,,10,4820854340.0,Data Processing Services,Technology Services
EXP,30.32,58.37,6.9,6.1,115.4,17.4,24.7,,18.4,68.53,1.79,,60.84,5.23,0.16,0.04,255.35,2.45,78.25,29.03,37.62,1.36,0.83,,0.07,0.4,13.99,11.43,21.54,,10.33,3.86,4.17,7.15,0.44,19.35,5.11,0.4,16.37,24.47,11.66,5.34,198.67,30.72,15.14,,21.65,,27.9,6.38,18.03,18.03,0.82,3.91,,0.63,0.59,,20.22,2.82,1.18,,,15.96,18.12,0.77,1.25,9.95,1.17,16.67,32.9,25,37.52,,18.33,,5.19,34.14,,,10,6163392835.999999,Construction Materials,Non-Energy Minerals
EXPD,4.89,53.91,5.3,1.9,9.9,6.9,7.2,23.8,3.4,68.4,1.83,1.95,58.34,7.51,0.59,2.3,122.27,1.71,,41.51,62.73,0.58,0.25,,0.3,1.17,18.24,16.96,23.32,17.49,16.69,1.66,1.78,5.48,0.46,7.63,4.03,1.21,24.46,19.33,3.79,2.68,85.14,12.72,485.32,,7.4,,9.37,7.9,26.24,26.24,1.55,1.91,,1,0.87,,25.53,3.04,1.23,,15.86,24.23,28.65,1.85,1.16,7.93,1.71,14.7,67.46,31.73,28.57,,36.49,,6.18,24.26,,,10,17516941297.0,Air Freight/Couriers,Transportation
EXPE,25.73,56.82,1.5,2.1,,,,,32.5,61.96,,0.92,59.12,0.89,0.35,0.96,133.19,0.76,,778.5,89.82,3.24,7.37,,,,14.79,8.72,8.8,10.14,6.32,1.3,1.33,6.76,0.03,15.12,11.57,,11.4,5.8,24.35,7.51,147.98,88.9,6.45,,6.09,,11.97,19.59,23.78,12.69,,1.41,,,,,8.45,,0.73,,,6.29,15.16,,1.34,,0.76,3.35,44.31,12.59,59.9,,4.93,,12.91,172.98,,,9,15835998534.0,Other Consumer Services,Consumer Services
EXPI,,51.36,,16.9,,,,20.7,33,62.77,1.59,25.95,52.9,14.5,0.46,15485,12.57,1.42,,0.82,9.44,,,,,1.59,,169.46,9.95,,,,0.4,,0.48,4.06,9.47,1.59,1257,,,5.75,14.95,7.45,,,,,,8.63,,,,0.43,,,,,10.67,,0.27,,19.64,10.3,,,0.81,9.9,1.42,,,,,,,,10.18,740.91,,,4,2672434283.0000005,Real Estate Development,Finance
