Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,6.49,66.86,1.4,10.2,,,,,75.95,5.9,74.33,0.97,,69.95,1.36,0.44,0.55,41.02,1.55,79.98,58.53,26.31,10.94,0.65,,,0.98,,50.43,,9.29,6.01,1.08,1.1,,0.27,,,0.98,16.25,,,3.15,39.91,8.14,,,,,,1.89,,,,0.69,,,,,,,,,,22.29,,,1.81,1.98,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,61.43,,10.4,,,,,597.78,27,65.13,,,63.12,0.66,0.34,0.21,11.79,0.6,20.92,21.96,14.01,19.76,,,,,19.41,19.41,,10.39,6.2,0.69,0.72,5.15,,,,,6,,,4.04,16.44,20.23,1.4,,,,5.34,,,12.19,,0.15,,,,,,,0.36,,,3.8,,,,,0.5,,5.17,4.89,,,12.18,,40.38,8.82,,,8,8696254174.0,Airlines,Transportation
AAON,55.33,78.61,,26.3,8.1,29.5,31.8,,20.3,29.5,84.73,0.44,4.71,82.02,23.5,,,112.45,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.28,37.88,31.05,89.82,,,,7.71,2.64,0.73,8.59,1.13,0.28,40.77,20.43,16.3,10.75,78.9,36.27,88.05,,15.61,,20.32,12.29,50.65,50.65,2.02,7.87,,2.75,7.95,,91.8,5.93,1.55,,59.5,41.49,64.78,2.03,8.27,15.62,1.7,19.5,39.13,29.71,25.86,,21.83,,0.48,102.7,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,23.84,53.06,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,52.2,0.59,27.21,52.82,10.17,0.47,0.61,227.55,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.23,25.89,33.54,26.13,23.95,8.21,9.07,3.54,0.2,27.06,3.02,0.44,30.42,19.84,11.14,6.1,185.4,45.96,120.35,,26.44,,31.27,51.93,34.63,34.63,2.05,9.16,,1.43,1.61,,33.83,8.94,2.12,,,31.23,36.45,2,2.57,51.95,0.91,29.81,269.91,59,151.08,,35.41,,3.24,50.12,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,36.94,53.26,,,9.7,8.1,22.2,18.4,28.45,8.5,61.81,6.2,22.62,54.12,0.73,0.99,0.07,26.62,1.84,,145.05,6.23,6.69,1.44,,1.49,5.02,23.81,12.57,23.08,,,,7.23,4.2,0.4,31.33,8.61,5.03,37.49,8.16,,2.88,27.07,62.62,1.87,,15.39,,27.37,1.36,29.91,29.91,13,4.57,,2.59,1.26,11.66,14.59,1.35,0.59,,,9.94,19.97,,1.19,1.38,1.84,2.29,628.91,4.67,5.7,,4.27,,3.81,32.71,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,30.3,50.57,,,7.8,9.6,49.1,7.4,26.06,3.8,46.75,5.14,16.16,48.47,2.03,0.31,0.19,194.19,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.16,41.84,22.14,22.52,14.72,14.33,6.85,7.28,2.39,0.05,32.33,5.18,3.19,16.09,20.13,7.1,4.99,146.78,62.76,5.48,,9.71,,24.95,50.6,64.73,18.15,1.17,6.26,,0.81,0.64,,19.36,,1.42,,,18.47,32.64,1.26,1.74,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,42.13,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.61,,8.7,,,,,,,59.02,,,53.36,1.92,9.52,9.3,2.59,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.99,,0.79,,,,,,,32.02,1.06,,,,,,,0.69,,,,22.72,,,,,,,,2.07,1.62,,,,,0.78,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,42.72,,2.2,20.8,5.4,3.2,9.8,60.73,11,22.86,10.44,,36.06,3.7,0.44,4.44,2.31,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.54,9.89,7.39,9.37,8.74,6.71,2.13,2.37,10.11,0.66,25.65,10.04,6.54,12.62,14.58,4.92,6.6,2.66,50.83,7.5,,17.86,,24.06,2.13,14.11,13.54,2.76,2.53,,,,,10.02,1.71,0.47,,,7.86,11.16,1.8,0.75,4.91,0.79,10.57,68.13,19.18,16.5,,16.25,,5.99,12.48,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,,44.52,,50.3,,28.2,37.8,,8.08,24,36.88,,,42.1,2.66,0.03,0.02,223.13,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.75,11.65,,10.73,9.83,0.54,0.61,7.84,0.32,,,,7.69,30.72,,6.58,260.26,17.75,4.56,,2.51,,6.31,1.34,11.45,7.72,0.24,0.29,,0.25,,,,,0.98,,,40.96,,0.31,0.52,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.2,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,11.83,57.02,2,8.4,5.9,40.8,24.6,,23.18,11.1,72.08,2.11,12.22,62.56,2.94,0.07,0.06,53.39,1.38,,,56.6,3.53,0.8,,0.26,1.69,15.5,11.42,17.32,11.77,9.5,0.57,0.57,6.45,0.36,3.3,8.14,1.69,14.45,26.3,,1.35,51.39,,3.58,,1.89,,3.62,1.83,22.06,15.39,0.96,0.41,,0.83,1.09,,12.56,,1.04,,,10.21,15.44,0.77,0.92,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.38,27.73,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
