Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,10.51,58.84,1.5,7.9,7.7,13.5,33.2,24.7,10.5,68.24,1,,61.78,6.71,0.85,0.65,140.51,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.66,29.46,24.92,27.14,24.94,21.84,6.13,6.33,3.39,0.57,23.33,3.75,0.66,28.17,15.83,5.44,2.44,135.18,50.63,14.64,,18.84,,19.54,6.59,33.22,26.41,2.2,6.27,,0.77,1.54,,26.92,5.12,1.24,,,21.79,32.91,2,2.12,22.34,1.64,11.49,63.42,15.6,20.99,,14.11,,2.71,46.07,,,10,33913792728.0,Medical Specialties,Health Technology
AA,20.54,53.79,1.4,10.2,,,,,5.9,80.43,1.19,27.45,63.38,1.2,0.44,0.55,34.0,1.55,79.98,58.53,26.31,10.94,0.65,,,1.19,,40.56,,27.27,9.3,0.84,0.88,,0.27,,,1.19,253.06,,,2.82,39.24,8.14,,,,,,1.57,,,,0.55,,,,,,,,,,18.51,,,1.5,1.64,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAP,,49.4,3.6,,26,,,,8.9,50.52,34.63,,50.68,1.29,0.09,0.11,60.9,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.62,71.72,17.67,15.35,21.08,11.13,0.64,0.64,1.39,0.21,4.18,12.98,1.62,16.79,6.38,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.42,88.26,88.26,,0.33,,,,,7.7,3.79,0.28,,,5.39,11.97,,0.53,3.66,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.98,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,28.55,60.47,2.9,1.3,5.7,20.9,23.2,14.6,15.7,78.55,0.59,23.04,65.53,10.12,0.47,0.61,225.89,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.04,25.72,33.32,25.91,24.03,8.27,9.02,3.57,0.2,27.06,3.04,0.44,30.31,19.86,10.44,5.62,182.69,45.96,120.35,,26.44,,31.27,51.57,34.38,34.38,2.03,9.09,,1.29,1.46,,33.6,8.88,2.11,,,30.97,36.21,1.98,2.55,51.57,0.91,29.81,269.91,59,151.08,,35.41,,3.25,49.76,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,14.4,61.51,,,9.7,8.1,22.2,18.4,8.5,71.64,6.34,9.78,63.21,0.7,0.99,0.07,25.92,1.84,,145.05,6.23,6.69,1.44,,1.49,5.16,23.25,12.27,22.53,,,,7.06,4.3,0.4,31.33,8.84,5.19,38.66,8.36,,2.7,27.16,62.62,1.87,,15.39,,27.37,1.32,29.12,29.12,12.66,4.41,,2.33,1.14,11.36,14.21,1.32,0.57,,,9.73,19.46,,1.16,1.34,1.84,2.29,628.91,4.67,5.7,,4.27,,3.97,32,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.77,73.67,,,7.8,9.6,49.1,7.4,3.8,88.22,5.11,,78.71,2.03,0.31,0.19,196.87,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.13,41.79,22.11,22.5,16.13,15.51,7.2,7.27,2.39,0.05,32.33,5.11,3.17,36.71,20.14,7.41,5.2,146.22,62.76,5.48,,9.71,,24.95,51.27,65.62,18.4,1.19,6.31,,0.75,0.59,,19.65,,1.44,,,18.73,33.09,1.28,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,42.7,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,42.72,,8.7,,,,,,51.53,,,43.74,1.93,9.52,9.3,2.71,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.17,,0.79,,,,,,,31.92,1.13,,,,,,,0.72,,,,23.83,,,,,,,,2.17,1.69,,,,,0.82,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,76.13,,2.2,20.8,5.4,3.2,9.8,11,84.1,9.98,,81.07,3.73,0.44,4.44,2.42,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.28,9.39,7.02,9.47,9.46,7.22,2.27,2.25,10.65,0.66,25.65,10.77,6.28,13.26,14.51,5.17,6.56,2.62,50.83,7.5,,17.86,,24.06,2.18,13.3,12.74,2.6,2.63,,,,,10.24,1.75,0.48,,,8.07,11.32,1.85,0.77,5.04,0.79,10.57,68.13,19.18,16.5,,16.25,,5.93,12.74,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,11.06,44.91,,50.3,,28.2,37.8,,24,45.33,,13.36,43.69,2.67,0.03,0.02,230.03,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.94,11.83,,12.24,9.68,0.57,0.61,7.73,0.32,,,,7.96,30.38,,8.9,254.28,17.75,4.56,,2.51,,6.31,1.38,11.8,7.95,0.25,0.3,,0.23,,,,,1.01,,,42.22,,0.32,0.53,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.58,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,18.22,60.84,2,8.4,5.9,40.8,24.6,,11.1,70.51,2,32.06,62.87,3.1,0.05,0.04,54.61,1.44,,,58.62,2.69,0.76,,0.28,1.64,11.66,9.13,13.62,11.72,9.47,0.56,0.58,8.58,0.37,4.23,10.13,1.65,16.53,26.24,,2.09,50.79,,4.81,,3.04,,4.88,1.86,14.3,17.39,1.08,0.43,,0.86,0.82,,10.22,,1.1,,,8.78,9.44,0.87,0.94,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.49,27.86,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
