Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,27.69,67.73,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,78.34,0.95,,72.34,6.39,0.74,0.61,148.06,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.63,26.87,23.29,30.84,26.22,22.92,6.4,6.73,3.72,0.54,21.81,3.33,0.64,26.17,15.52,4.89,,133.67,54.39,17.3,,21.75,,22.9,7.21,30.72,28.42,2.37,6.67,,0.83,1.75,,30.59,5.9,1.32,,,24.27,30.58,2.2,2.28,27.52,1.37,13.03,74.15,18.1,23.78,,16.15,,3.01,47.74,,,10,33913792728.0,Medical Specialties,Health Technology
AA,30.92,69.27,1.4,10.2,,,,,75.95,5.9,81.66,1.02,3.28,75.22,1.33,0.44,0.55,39.27,1.55,79.98,58.53,26.31,10.94,0.65,,,1.02,,48.49,,8.93,5.78,1.04,1.06,,0.27,,,1.02,14.68,,,2.33,39.61,8.14,,,,,,1.81,,,,0.66,,,,,,,,,,21.34,,,1.73,1.9,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,63.44,,10.4,,,,,597.78,27,67.24,,,65.84,0.66,0.34,0.21,11.56,0.6,20.92,21.96,14.01,19.76,,,,,19.33,19.33,,10.35,6.17,0.69,0.72,5.17,,,,,6.21,,,4.01,16.5,20.23,1.4,,,,5.34,,,11.95,,0.15,,,,,,,0.35,,,3.73,,,,,0.5,,5.17,4.89,,,12.18,,41.18,8.65,,,8,8696254174.0,Airlines,Transportation
AAON,63.86,77.36,,26.3,8.1,29.5,31.8,,20.3,29.5,86.77,0.46,7.52,82.71,22.53,,,107.09,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.3,36.1,29.59,85.59,,,,7.35,2.77,0.73,8.59,1.18,0.3,38.8,20.46,16.31,10.76,78.78,36.27,88.05,,15.61,,20.32,11.71,48.24,48.24,1.92,7.5,,2.4,7,,87.42,5.65,1.48,,56.66,39.52,61.69,1.93,7.87,14.87,1.7,19.5,39.13,29.71,25.86,,21.83,,0.51,97.8,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,38.72,3.6,,26,,,,,8.9,57.31,52.16,,45.56,1.73,0.09,0.12,41.38,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.42,130.6,16.7,16.9,22.28,10.69,0.52,0.53,0.77,0.21,3.13,14.27,2.42,14.97,6.26,82.89,,147.47,39.48,0.41,,,,0.3,0.95,4138,4138,,0.22,,,,,7.01,20.9,0.19,,,4.55,14.96,,0.36,2.38,0.3,,0.91,0.64,,,0.32,,,5.53,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,33.8,57.49,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,64.77,0.59,31.57,60.13,10.18,0.47,0.61,227.79,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.26,25.92,33.57,26.16,24,8.22,9.08,3.54,0.2,27.06,3.01,0.44,30.44,19.84,11.24,6.08,184.78,45.96,120.35,,26.44,,31.27,51.98,34.67,34.67,2.05,9.17,,1.31,1.47,,33.87,8.95,2.12,,,31.26,36.49,2,2.57,52.01,0.91,29.81,269.91,59,151.08,,35.41,,3.23,50.18,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,41.65,51.37,,,9.7,8.1,22.2,18.4,28.45,8.5,38.57,6.22,24.31,47.06,0.73,0.99,0.07,26.57,1.84,,145.05,6.23,6.69,1.44,,1.49,5.02,23.79,12.55,23.05,,,,7.22,4.2,0.4,31.33,8.62,5.04,37.42,8.17,,2.74,26.96,62.62,1.87,,15.39,,27.37,1.36,29.85,29.85,12.98,4.56,,2.39,1.17,11.64,14.56,1.35,0.59,,,9.92,19.93,,1.19,1.38,1.84,2.29,628.91,4.67,5.7,,4.27,,3.85,32.65,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.94,54.37,,,7.8,9.6,49.1,7.4,26.06,3.8,61.8,5.21,8.63,54.65,2.03,0.31,0.19,194.79,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.15,41.95,22.2,22.58,14.46,14.09,6.82,7.3,2.38,0.05,32.33,5.17,3.18,16.11,20.11,7.21,4.99,146.52,62.76,5.48,,9.71,,24.95,50.75,64.93,18.2,1.17,6.28,,0.74,0.58,,19.42,,1.43,,,18.53,32.74,1.26,1.74,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.94,42.26,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.49,,8.7,,,,,,,55.53,,,51.56,1.93,9.52,9.3,2.61,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.17,,0.79,,,,,,,32.02,1.06,,,,,,,0.69,,,,22.89,,,,,,,,2.09,1.63,,,,,0.79,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,60.86,,2.2,20.8,5.4,3.2,9.8,60.73,11,72.81,9.98,,64.07,3.71,0.44,4.44,2.4,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.29,9.92,7.41,9.4,8.77,6.73,2.13,2.37,10.08,0.66,25.65,10.02,6.29,13.11,14.56,4.92,6.6,2.82,50.83,7.5,,17.86,,24.06,2.13,14.15,13.59,2.77,2.54,,,,,10.05,1.71,0.47,,,7.89,11.2,1.82,0.75,4.9,0.79,10.57,68.13,19.18,16.5,,16.25,,5.97,12.52,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
