Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,47.12,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,45.04,1.02,5.61,45.31,5.17,,0.7,0.39,134.34,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.71,25,21.57,29.44,23.26,20.7,5.89,6.21,4,0.5,21.09,3.58,0.74,24.14,15.3,8.61,5.95,135.88,54.3,15.5,,,19.8,,22.86,6.5,30.39,25.4,2.23,6,,0.81,1.41,,28.42,0.99,7.03,1.19,,,22.29,28.73,2.06,1.99,43.76,1.58,11.63,71.45,17.6,21.45,,14.54,,3.57,41.62,,,10,33913792728.0,Medical Specialties,Health Technology
AA,31.8,34.96,16.83,1.4,10.2,,,,,75.95,5.9,32.28,1.06,18.19,31.57,1.36,,0.38,0.45,37.78,1.41,78.33,59.38,26.65,4.45,0.56,,,1.06,875.43,17.27,,4.81,3.73,0.92,1.03,0.11,0.36,,,1.06,9.26,,,6.69,31.41,11.35,1.6,,,,,2.02,1.86,,,,0.66,,,,,,1.2,,,,,18.31,,,1.48,1.92,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,4.65,68.09,26.64,,10.4,,,,,597.78,27,71.53,,29.79,68.35,0.69,,0.33,0.22,17.43,0.57,21.4,22.29,13.62,16.51,,,,,17.76,17.76,,8.57,5.83,0.74,0.79,5.63,,,,,7.74,,12.26,4.05,16.49,20.34,1.4,,,0.51,,5.17,,52.82,16.03,,0.22,,,,,,1.06,,0.56,,,5.08,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.14,15.17,,,8,8696254174.0,Airlines,Transportation
AAON,83.3,39.05,27.02,,26.3,8.1,29.5,31.8,,20.3,29.5,23.13,0.41,56.97,31.93,27.84,,,,117.68,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.27,39.49,31.85,93.53,,,,7.97,2.53,0.77,8.52,1.08,0.27,39.96,20.44,17.97,15.07,80.37,35.65,94.37,,,15.78,,20.14,12,51.84,51.84,2.07,8.13,,2.82,8.28,,95.52,1.46,5.88,1.59,,49.24,40.43,61.58,2.07,7.98,14.99,1.79,19.56,38.79,29.01,25.52,,21.87,,0.54,103.01,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.05,7.39,3.6,,26,,,,,8.9,54.48,45.11,,53.34,1.91,,0.08,0.12,47.29,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.11,29.83,11.78,28.22,31.2,14.1,0.73,0.5,3.35,0.21,1.77,7.74,2.11,27.62,3.06,,,93.92,40.02,2.38,,,0.36,,1.55,1.09,64.78,60.63,,0.23,,,,,12.92,0.5,2.19,0.21,,,6.78,92,,0.45,1.78,0.62,0.36,4.12,2.95,1.7,,1.76,,3.92,6.51,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.63,67.64,3.13,2.7,,4.9,6.2,6.4,8.6,,5.4,58.77,0.53,9.73,65.73,9.41,,0.37,0.61,250.42,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,31.06,28.42,35.17,28.95,26.64,9.18,9.79,3.22,0.16,27.83,2.87,0.4,33.86,18.04,11.41,6.91,189.11,46.21,,,,23.97,,31.51,66.48,41.19,37.1,2.33,9.87,,1.56,1.73,,35.5,1.32,10.47,2.17,,,32.66,38.05,2.36,2.76,66.42,0.83,26.93,278.63,59.87,140.28,,32.51,,3.04,54.37,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,25.1,37.71,7.68,,,9.7,8.1,22.2,18.4,28.45,8.5,37.23,6.26,32.64,35.92,0.76,,4.87,0.25,26.26,5.78,,148.94,6.31,7.97,1.8,,1.38,5.1,22.05,11.77,23.23,,,,6.89,4.54,0.35,29.66,8.47,5.1,53.05,9.19,,2.77,26.49,63.33,1.92,,,16.36,,28.14,1.35,27.07,27.07,11.77,4.39,,2.35,1.28,10.97,14.82,0.99,1.28,0.58,,,9.78,18.02,,1.16,1.37,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.84,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,18.21,50.72,,,,7.8,9.6,1.7,7.4,21.19,3.8,57.49,5.7,8.34,54.39,1.81,,0.17,0.1,177.7,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.49,38.29,20.73,24.19,13.79,13.3,6.4,6.8,2.61,0.04,28.13,4.98,3.69,14.57,16.5,7.74,5.5,150.67,67.21,5.43,,,9.22,,26.13,52.05,61.7,16.53,1.07,5.67,,0.6,0.66,,20.17,1.18,,1.29,,,19.08,35.58,1.64,1.6,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.68,38.03,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,55.82,14.94,,8.7,,,,,,,64.09,,4.17,58.32,1.92,,8.08,9.01,2.93,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.91,,0.77,,,,,,,22.79,1.0,,,,,,,,0.8,,,,25.93,,,,,,2.93,,,2.64,2.02,,,,,0.89,9.34,,,,,,,,1.03,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,28.86,,,2.2,20.8,5.4,3.2,9.8,60.73,11,16.26,9.55,2.87,23.79,3.49,,0.59,6.19,1.85,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.01,8.48,6.36,8.14,7.66,5.88,1.86,2.04,11.79,0.67,25.25,11.17,6.01,10.28,16.52,3.83,6.6,2.73,50.98,7.91,,,16.92,,23.87,1.88,13.27,12.99,2.65,2.25,,,,,9,0.68,1.54,0.43,,,7.11,9.62,1.57,0.66,4.11,0.9,10.03,70.19,19.21,15.52,,15.33,,6.1,11.39,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
