Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.4,53.04,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,42.71,0.98,2.84,51.78,5.3,,0.7,0.39,139.0,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.68,25.79,22.25,30.37,24,21.35,6.07,6.41,3.88,0.5,21.09,3.46,0.71,24.97,15.19,8.66,5.96,135.1,54.3,15.5,,,19.8,,22.86,6.72,31.45,26.28,2.31,6.22,,0.84,1.46,,29.46,1.03,7.28,1.23,,,23.11,29.94,2.13,2.08,45.28,1.58,11.63,68.51,17.6,21.45,,14.54,,3.45,43.06,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.18,33.94,24.82,1.4,10.2,,,,,75.95,5.9,11.42,1.02,5.32,24.25,1.38,,0.38,0.45,39.12,1.41,78.33,59.38,26.65,4.45,0.56,,,1.02,902.06,17.79,,4.95,3.84,0.95,1.07,0.11,0.36,,,1.02,10.67,,,6.49,32.1,11.35,1.6,,,,,2.02,1.93,,,,0.68,,,,,,1.22,,,,,18.96,,,1.53,1.99,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,68.21,31.06,,10.4,,,,,597.78,27,57.75,,22.47,66.3,0.69,,0.33,0.22,16.92,0.57,21.4,22.29,13.62,16.51,,,,,17.62,17.62,,8.5,5.78,0.74,0.78,5.68,,,,,7.7,,,3.99,16.34,20.34,1.4,,,0.51,,5.17,,51.27,15.57,,0.22,,,,,,1.04,,0.54,,,4.93,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.87,14.73,,,8,8696254174.0,Airlines,Transportation
AAON,99.84,51.85,43.04,,26.3,8.1,29.5,31.8,,20.3,29.5,42.77,0.36,78.58,47.17,30.69,,,,131.32,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.03,35.52,104.28,,,,8.88,2.27,0.77,8.52,0.97,0.24,44.59,20.39,17.97,15.07,80.08,35.65,94.37,,,15.78,,20.14,13.39,57.85,57.85,2.3,9.07,,3.14,9.23,,106.59,1.64,6.56,1.77,,54.95,45.11,68.72,2.31,8.9,16.73,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,114.95,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.41,,3.6,,26,,,,,8.9,42.96,48.74,,52.04,1.9,,0.08,0.12,43.86,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.28,28.84,11.38,27.28,30.16,13.63,0.7,0.48,3.47,0.21,1.77,8.34,2.28,25.16,3.98,,,100.58,40.02,2.38,,,0.36,,1.55,1.01,60.08,56.23,,0.21,,,,,11.98,0.44,2.03,0.19,,,6.29,85.33,,0.41,1.65,0.62,0.36,4.12,2.95,1.7,,1.76,,4.25,6.04,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.72,75.52,1.18,2.7,,4.9,6.2,6.4,8.6,,5.4,83.78,0.53,5.08,81.61,9.34,,0.37,0.61,248.13,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,30.78,28.16,34.85,28.66,26.4,9.1,9.7,3.25,0.16,27.83,2.9,0.4,33.55,18.06,11.49,6.89,188.49,46.21,,,,23.97,,31.51,65.87,40.81,36.76,2.31,9.78,,1.55,1.72,,35.18,1.32,10.37,2.15,,,32.36,37.68,2.34,2.74,65.82,0.83,26.93,278.63,59.87,140.28,,32.51,,3.07,53.87,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,10.4,38.05,,,,7.8,9.6,1.7,7.4,21.19,3.8,24.44,5.84,2.28,34.93,1.78,,0.17,0.1,173.37,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.58,37.52,20.31,23.69,13.51,13.03,6.27,6.67,2.67,0.04,28.13,5.1,3.78,14.22,16.66,7.67,5.45,150.42,67.21,5.43,,,9.22,,26.13,50.78,60.2,16.13,1.04,5.54,,0.59,0.65,,19.68,1.15,,1.26,,,18.62,34.71,1.6,1.56,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.74,37.1,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,47.51,6.18,,8.7,,,,,,,35.34,,,43.77,1.85,,8.08,9.01,2.81,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.83,,0.77,,,,,,,22.79,1.01,,,,,,,,0.77,,,,24.87,,,,,,2.78,,,2.53,1.94,,,,,0.85,9.34,,,,,,,,1.08,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.29,,,2.2,20.8,5.4,3.2,9.8,60.73,11,27.49,11.2,7.25,37.55,3.75,,0.59,6.19,2.14,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.05,9.51,7.13,9.12,8.37,6.42,2.04,2.28,10.52,0.67,25.25,10.03,5.28,11.89,15.68,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.1,14.78,14.47,2.95,2.51,,,,,10.03,0.78,1.73,0.48,,,7.92,10.72,1.75,0.73,4.65,0.9,10.03,70.19,19.21,15.52,,15.33,,5.95,12.69,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,19.41,48.09,19.44,,50.3,,28.2,37.8,,8.08,24,21.59,,13.47,39.72,2.78,,0.03,0.01,253.72,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.72,12.47,38.42,11.7,10.66,0.57,0.61,7.29,0.33,1.58,5.24,,9.29,30.48,,6.16,264.68,17.41,3.89,,,2.16,,5.9,1.48,14.36,9.43,0.29,0.31,,0.3,1.67,,19.22,0.96,,1.08,,,10.15,85.95,0.38,0.52,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.46,,,10,4632090814.999999,Specialty Stores,Retail Trade
