Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,29.24,37.59,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,25.52,1.06,,34.03,5.93,0.74,0.61,130.22,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.7,24.44,21.18,28.04,23.84,20.85,5.82,6.12,4.09,0.54,21.81,3.79,0.7,23.05,15.79,4.77,2.33,134.16,54.39,17.3,,21.75,,22.9,6.34,27.02,24.99,2.08,5.86,,0.8,1.68,,26.91,5.19,1.16,,,21.34,26.91,1.93,2,24.2,1.37,13.03,74.15,18.1,23.78,,16.15,,3.33,42.01,,,10,33913792728.0,Medical Specialties,Health Technology
AA,59.72,50.25,1.4,10.2,,,,,75.95,5.9,38.99,0.98,4.95,45.73,1.41,0.38,0.45,41.21,1.41,78.33,59.38,26.65,4.45,0.56,,,0.98,931.28,18.37,,6.6,4.8,1.05,1.1,0.11,0.36,,,0.98,12.91,,,4.06,33.81,11.35,1.6,,,,2.02,2.03,,,,0.71,,,,,,,,,,19.54,,,1.61,2.1,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,65.33,,10.4,,,,,597.78,27,67.94,,,65.64,0.67,0.33,0.22,14.26,0.57,21.4,22.29,13.62,16.51,,,,,16.82,16.82,,6.21,4.56,0.7,0.74,5.95,,,,,7.05,,,4,15.93,20.34,1.4,,0.51,,5.17,,43.21,13.12,,0.19,,,,,,,0.46,,,4.16,,,,,0.47,0.43,6.13,5.96,,,2.95,,30.04,12.4,,,8,8696254174.0,Airlines,Transportation
AAON,74.88,67.37,,26.3,8.1,29.5,31.8,,20.3,29.5,62.29,0.36,48.58,66.49,31.38,,,133.18,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.13,36.41,106.9,,,,9.11,2.22,0.77,8.52,0.95,0.24,45.22,20.38,19.72,15.07,79.68,35.65,94.37,,15.78,,20.14,13.58,58.67,58.67,2.34,9.22,,3.19,9.37,,108.1,6.65,1.8,,55.72,45.75,69.72,2.35,9.03,16.97,1.79,19.56,38.79,29.01,25.52,,21.87,,0.47,116.82,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,23.4,51.86,2.7,,4.9,6.2,6.4,8.6,,5.4,64.29,0.58,23.41,54.39,8.67,0.37,0.61,228.22,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.95,25.58,31.66,26.05,24.01,8.25,8.81,3.58,0.16,27.83,3.15,0.44,30.88,18.3,11.57,6.93,187.52,46.21,,,23.97,,31.51,60.54,37.54,33.81,2.13,9.01,,1.42,1.58,,32.35,9.54,1.98,,,29.77,34.66,2.15,2.52,60.54,0.83,26.93,278.63,59.87,140.28,,32.51,,3.38,49.51,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,41.71,25.12,,,7.8,9.6,1.7,7.4,21.19,3.8,9.06,5.99,21.08,18.69,1.75,0.17,0.1,169.63,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.67,36.97,20.02,23.35,13.31,12.84,6.18,6.57,2.7,0.04,28.13,5.21,3.9,14.01,16.77,7.57,5.47,149.8,67.21,5.43,,9.22,,26.13,49.74,58.9,15.78,1.02,5.4,,0.57,0.63,,19.19,,1.23,,,18.16,33.84,1.56,1.52,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.75,36.32,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.62,,8.7,,,,,,,41.99,,,47.41,1.92,8.08,9.01,2.76,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.9,,0.77,,,,,,,26.46,1.04,,,,,,,0.76,,,,23.44,,,,,,,,2.49,1.9,,,,,0.83,9.34,,,,,,,,1.03,,,,4,1545160366.0,Biotechnology,Health Technology
ABG,3.23,65.75,,50.3,,28.2,37.8,,8.08,24,64.75,,,67.56,2.8,0.03,0.01,261.62,1.2,48.06,16.14,4.32,6.36,1.52,,,,14.01,12.74,39.25,11.95,10.89,0.57,0.62,7.14,0.33,1.58,5.08,,9.55,30.04,,6.34,261.74,17.41,3.89,,2.16,,5.9,1.52,14.81,9.72,0.3,0.33,,0.31,1.72,,19.81,,1.11,,,10.51,88.65,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.88,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,29.7,53.87,2,8.4,5.9,40.8,24.6,,23.18,11.1,40.11,1.94,17.48,50.54,2.98,0.07,0.06,55.58,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.23,11.96,18.13,12.32,9.95,0.59,0.6,6.16,0.36,3.3,7.82,1.59,15.17,25.91,,1.62,51.49,,3.58,,1.89,,3.62,1.9,22.97,16.02,1,0.44,,0.86,1.13,,13.09,,1.09,,,10.63,16.07,0.8,0.96,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.14,28.8,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,6.4,49.71,,38.3,,,,,322.31,8,44.66,,,47.28,4.62,0.99,4.98,134.56,1.62,,33.1,6.78,0.96,0.27,,,,32.24,31.43,17.97,21.01,20.67,6.01,6.82,3.1,0.38,37.96,4.89,,29.94,,,10.66,165.61,83.07,22.92,,16.96,,15.01,9.94,47.21,47.21,,8.04,,,,,21.32,4.79,,,18.21,21.32,35.57,,,10.95,1.62,7.98,839.68,21.23,22.05,,19.8,,4.16,,,,2,92399740712.0,Other Consumer Services,Consumer Services
