Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,14.74,58.08,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,62.65,1,3.6,60.11,6.14,0.74,0.61,141.1,1.78,125.99,57.06,69.2,1.56,0.5,,0.18,0.66,25.55,22.15,29.32,24.93,21.8,6.09,6.39,3.91,0.54,21.81,3.49,0.67,24.9,15.61,5.44,2.44,133.65,54.39,17.3,,21.75,,22.9,6.87,29.27,27.08,2.26,6.4,,0.79,1.68,,29.2,5.62,1.26,,,23.22,29.1,2.1,2.17,26.23,1.37,13.03,72.53,18.1,23.78,,16.15,,3.18,45.52,,,10,33913792728.0,Medical Specialties,Health Technology
AA,18.42,55.93,1.4,10.2,,,,,75.95,5.9,72.3,1.18,25.21,63.39,1.25,0.44,0.55,34.3,1.55,79.98,58.53,26.31,10.94,0.65,,,1.18,,43.26,,29.09,9.92,0.89,0.94,,0.27,,,1.18,54.7,,,2.82,39.31,8.14,,,,,,1.59,,,,0.58,,,,,,,,,,18.78,,,1.51,1.66,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,49.29,,10.4,,,,,597.78,27,52.65,,,52.2,0.65,0.34,0.21,10.17,0.6,20.92,21.96,14.01,19.76,,,,,18.89,18.89,,19.09,8.68,0.7,0.71,5.29,,,,,10.01,,,4.06,16.63,20.23,1.4,,,,5.34,,,10.52,,0.13,,,,,,,0.31,,,3.23,,,,,0.5,,5.17,4.89,,,12.18,,46.58,7.59,,,8,8696254174.0,Airlines,Transportation
AAON,44.3,65.55,,26.3,8.1,29.5,31.8,,20.3,29.5,74.25,0.52,2.06,70.13,20.16,,,93.19,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.34,31.7,25.98,75.16,,,,6.45,3.15,0.73,8.59,1.36,0.34,41.14,20.52,18.09,11.33,78.48,36.27,88.05,,15.61,,20.32,10.18,41.98,41.98,1.67,6.51,,2.12,6.09,,76.06,4.91,1.29,,49.31,34.39,53.65,1.68,6.85,12.94,1.7,19.5,39.13,29.71,25.86,,21.83,,0.58,85.5,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,22.03,61,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,71.97,0.59,19.35,65.24,10.16,0.47,0.61,228.03,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.19,25.85,33.43,26.05,24.16,8.32,9.06,3.55,0.2,27.06,3.01,0.44,30.49,19.84,11.13,6.01,183.27,45.96,120.35,,26.44,,31.27,52.06,34.71,34.71,2.05,9.21,,1.31,1.47,,33.91,8.96,2.13,,,31.3,36.53,2,2.58,52.06,0.91,29.81,269.91,59,151.08,,35.41,,3.24,50.23,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,21.31,64.48,,,9.7,8.1,22.2,18.4,28.45,8.5,74.69,6.12,18.68,67.4,0.73,0.99,0.07,26.9,1.84,,145.05,6.23,6.69,1.44,,1.49,4.98,23.78,12.55,23.05,,,,7.22,4.21,0.4,31.33,8.52,5.01,35.87,8.17,,2.7,27.17,62.62,1.87,,15.39,,27.37,1.37,30.22,30.22,13.14,4.56,,2.42,1.18,11.63,14.55,1.37,0.59,,,9.91,19.92,,1.2,1.4,1.84,2.29,628.91,4.67,5.7,,4.27,,3.79,33.21,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,26.23,72.69,,,7.8,9.6,49.1,7.4,26.06,3.8,80.84,5.11,3.45,76.37,2.05,0.31,0.19,195.92,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.13,42.44,22.46,22.85,16.39,15.75,7.31,7.39,2.36,0.05,32.33,5.1,3.17,18,20.03,7.41,5.2,146.27,62.76,5.48,,9.71,,24.95,51.44,65.81,18.45,1.19,6.36,,0.75,0.58,,19.68,,1.44,,,18.78,33.18,1.27,1.75,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.84,42.84,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,45.72,,8.7,,,,,,,57.19,,,48.75,1.98,9.52,9.3,2.61,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.92,,0.79,,,,,,,31.92,1.06,,,,,,,0.71,,,,23.64,,,,,,,,2.09,1.63,,,,,0.79,10.96,,,,,,,,0.68,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,65.46,,2.2,20.8,5.4,3.2,9.8,60.73,11,62.25,10.12,,65.44,3.74,0.44,4.44,2.37,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.37,9.15,6.84,9.52,9.52,7.26,2.29,2.2,10.93,0.66,25.65,11,6.37,13.7,14.47,5.17,6.56,2.66,50.83,7.5,,17.86,,24.06,2.14,13.02,12.47,2.54,2.54,,,,,10.1,1.73,0.47,,,7.92,11.18,1.82,0.75,4.94,0.79,10.57,68.13,19.18,16.5,,16.25,,5.9,12.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,16.24,55.26,,50.3,,28.2,37.8,,8.08,24,69.71,,19.91,59.43,2.7,0.03,0.02,240.36,1.25,45.36,16.38,4.15,6.36,1.58,,,,13.3,12.16,,12.59,9.95,0.58,0.63,7.52,0.32,,,,8.84,29.8,,8.9,254.68,17.75,4.56,,2.51,,6.31,1.44,12.33,8.31,0.26,0.31,,0.24,,,,,1.06,,,44.15,,0.33,0.56,,0.45,4.25,19.44,10.28,12.31,,8.62,,,13.14,,,10,4632090814.999999,Specialty Stores,Retail Trade
