Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
TDY,,55.33,,30.6,,21.2,22.8,1.4,6.1,13,47.82,,0.46,53.23,3.77,,0.32,0.16,426.75,1.98,110.03,48.83,57.33,2.1,0.3,,,,21.96,16.84,23.46,16.51,15.03,3.73,4.04,4.55,0.66,17.21,4.79,,19.83,20.7,6.51,3.41,419.86,43.25,16.46,,,15.86,,18.53,2.15,23.21,21.75,1.32,3.7,,0.91,0.96,,21.42,,1.13,,,19.44,22.25,1.25,1.3,,1.28,6.13,65.4,8.04,9.75,,7.53,,3.26,35.8,,,10,19537845644.0,Aerospace & Defense,Electronic Technology
TEAM,,48.03,,50.2,,,22.9,21.7,,26.2,42.83,,,46.42,5.87,,0.9,1.87,159.84,1.18,,73.75,44.32,45.58,1.21,,,,,1438.56,27.86,91.19,80.37,7.8,9.05,,0.2,32.47,3.4,,50.69,,20.17,19.41,253.77,81.57,,,,,,,40.36,,54.55,,9.25,,,,,28.49,,,,,27.84,123.8,,3.41,,1.18,,,,,,,,1.07,,,,2,52180181896.0,Packaged Software,Technology Services
TECH,4.71,59.56,,9.2,,8.1,1.6,,,7.8,81.58,0.42,3.67,67.4,12.85,,0.96,0.36,76.51,3.87,168.33,28.53,69.27,1.34,0.2,,0.18,0.42,60.62,38.99,51.71,36.96,30.25,9.96,10.53,1.65,0.77,20.37,1.95,0.42,40.44,9.53,12.97,8.5,86.21,66.41,15.44,,,14.5,,20.96,5.85,73.57,42.98,5.24,10.63,,2.01,3.39,,52.08,6.27,1.03,,,41.15,63.5,5.66,2.65,20.57,2.75,6.2,30.68,7.84,8.4,,8.96,,0.14,64.29,,,10,11654372151.0,Biotechnology,Health Technology
TECK,12.59,53.15,0.9,11.4,71,131.5,70.4,5.8,14.57,19.5,68.56,3.55,9.8,57.49,1.65,,0.19,0.08,47.1,1.48,101.07,116.48,43.38,2.16,0.44,,0.13,0.76,14.32,8.06,,12.23,8.11,3.74,2.81,6.98,0.45,,,0.76,21.27,,,,37.88,29.02,5.98,,,9.41,,19.93,1.25,22.94,17.11,0.61,2.19,,,,,,1,1.48,,,10.4,,,1.68,1.31,0.77,2.61,6.61,5.99,5.5,,3.37,,,24.28,,,7,22867502252.736427,Coal,Energy Minerals
TEF,6.12,76.25,,24,,,,,,,90.67,4.66,6.62,82.77,0.91,,0.28,0.85,4.9,0.85,,,71.35,0.67,0.38,,,6.59,9.81,2.57,5.32,6.74,2.39,0.64,0.75,10.19,0.21,11.8,18.85,6.66,14.33,13.96,,0.46,3.92,,1.63,,,,,8.68,1.18,,,,0.65,,,,,5.39,,0.87,,,2.37,16.77,,0.48,,0.81,,10.05,3.83,,,1.14,,17.66,8.75,,,9,24093691898.918552,Specialty Telecommunications,Communications
TEL,17.69,45.43,1.9,9.3,7,36.9,54.1,20.6,257.9,11.3,47.21,2.27,6.74,45.36,4.77,,0.29,0.35,145.92,1.51,94.61,56.76,67.2,1.15,0.33,,0.33,1.68,16.73,13.08,16.36,15.15,11.9,2.85,3.01,5.98,0.55,18.42,6.57,1.77,17.71,20.87,10.87,3.75,139.51,33.89,39.55,,,21.94,,18.51,3.52,13.12,19.75,2.5,2.9,,1.06,0.82,,15.56,2.59,1.19,,,12.66,17.36,1.19,1.5,7.67,0.99,15.46,44.9,15.97,28.38,,20.88,,5.21,23.35,,,9,39769745637.0,Semiconductors,Electronic Technology
TENB,,42.35,,26.7,,32.8,61.5,41.1,,16.7,43.88,,,42.05,2.2,,0.76,1.19,39.63,1.21,,,76.28,61.57,1.13,,,,,704.07,30.98,22.38,36.04,4.69,5.5,,0.23,17.82,3.22,,28.17,,27.8,11.22,51.65,77.43,,,,,,,12.95,,38.11,1.03,5.5,,,,,30.86,,,,,28.8,,,3.74,,1.21,,,,,,,,1.2,,,,,5274295554.0,Packaged Software,Technology Services
TER,37.58,47.86,2.8,7.5,3.2,,,,,,46.92,0.45,29.42,47.97,16.08,,0.74,5.75,127.84,2.8,99.52,51.81,61.23,0.12,0.03,,0.16,0.36,35.81,29.92,43.42,22.02,19.85,5.69,7.69,2.79,0.75,17.7,2.29,0.37,27.33,4,31.94,16.25,97.27,57.06,130.68,,,18.33,,19.17,7.57,42.06,43.2,5.76,7.7,,1.26,2,,43.58,4.15,1.76,,24.17,32.26,43.48,,2.51,8.99,2.34,14.33,45.53,20.52,19.53,,18.3,,1.49,43.79,,,9,14706771027.000002,Electronic Production Equipment,Electronic Technology
TEVA,73.24,48.22,,,,,,8.9,,,41.19,,37.09,44.85,0.27,,0.17,0.12,17.88,0.89,177.93,108.18,78.66,9.92,2.98,,,,44.39,19.25,53.51,14.43,10.29,2.19,2.25,2.25,0.15,4.17,3.38,,6.46,14.48,5.54,3.04,8.89,49.48,3.49,,,,,21.27,3.14,,6.65,,1.23,,,,,29.06,,1.61,,,16.86,,,2,,0.59,,13.68,2.75,,,42.8,,7.43,,,,4,11819032291.55805,Pharmaceuticals: Generic,Health Technology
TEX,,57.38,1.2,23.5,74.7,78.3,287.4,28.4,86.14,19.8,81.59,2.24,,65.64,4.18,,0.29,0.48,55.85,2.21,107.06,63.12,46.15,0.96,0.37,,0.09,1.22,6.45,5.88,18.89,6.25,5.75,0.79,0.78,15.5,0.48,4.14,5.75,1.22,8.13,25.86,,,58.15,22.76,9.91,,,9.55,,12.15,2.03,7.66,7.64,0.51,0.73,,,,,17.69,0.91,1.09,,8.3,10.5,15.03,0.31,0.99,2.44,1.07,13.73,44.48,24.99,30.36,,21.51,,4.61,22.16,,,8,3940878171.000001,Trucks/Construction/Farm Machinery,Producer Manufacturing
