Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,59.29,61.37,29.21,1.4,10.2,,,,,75.95,5.9,61.72,0.88,,61.78,1.51,0.38,0.45,45.47,1.41,78.33,59.38,26.65,4.45,0.56,,,0.88,1047.74,20.67,,7.43,5.4,1.18,1.24,0.1,0.36,,,0.88,14.23,,,4.06,33.34,11.35,1.6,,,,2.02,2.29,,,,0.81,,,,,,1.36,,,,,22.52,,,1.78,2.32,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,5.28,63.36,27.81,,10.4,,,,,597.78,27,61.07,,,62.49,0.68,0.33,0.22,14.38,0.57,21.4,22.29,13.62,16.51,,,,,16.87,16.87,,6.23,4.58,0.7,0.75,5.93,,,,,7.02,,,4.01,16.12,20.34,1.4,,0.51,,5.17,,43.55,13.22,,0.18,,,,,,0.89,,0.46,,,4.21,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.63,12.5,,,8,8696254174.0,Airlines,Transportation
AAON,68.6,69.69,15.19,,26.3,8.1,29.5,31.8,,20.3,29.5,74.76,0.36,40.72,70.79,31.57,,,137.42,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.44,36.66,107.63,,,,9.17,2.2,0.77,8.52,0.92,0.24,46.69,20.38,19.72,15.07,79.76,35.65,94.37,,15.78,,20.14,14.01,60.54,60.54,2.41,9.51,,3.29,9.66,,111.51,1.72,6.86,1.85,,57.5,47.25,71.9,2.42,9.32,17.51,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,120.54,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,55.85,,3.6,,26,,,,,8.9,64.24,52.81,,59.15,1.88,0.08,0.12,40.79,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.47,27.35,10.8,25.87,28.6,12.92,0.67,0.46,3.66,0.21,1.77,8.97,2.47,19.79,5.68,91.08,,110.67,40.02,2.38,,0.36,,1.55,0.94,55.88,52.29,,0.19,,,,,11.12,0.37,1.89,0.18,,,5.86,79.41,,0.38,1.53,0.62,0.36,4.12,2.95,1.7,,1.76,,4.8,5.62,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,45.9,58.92,5.07,,,9.7,8.1,22.2,18.4,28.45,8.5,70.27,5.85,25.67,62.13,0.79,4.87,0.25,28.08,5.78,,148.94,6.31,7.97,1.8,,1.38,4.76,23.07,12.31,24.3,,,,7.21,4.33,0.35,29.66,7.92,4.77,38.98,8.95,,2.94,26.45,63.33,1.92,,16.36,,28.14,1.44,28.95,28.95,12.59,4.67,,2.51,1.37,11.59,15.67,1.06,1.37,0.62,,,10.31,19.04,,1.24,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.24,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,36.32,43.09,,,,7.8,9.6,1.7,7.4,21.19,3.8,62.43,5.63,18.26,47.07,1.73,0.17,0.1,176.95,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.45,37.22,20.15,23.06,13.4,12.93,6.22,6.61,2.69,0.04,28.13,5,3.66,14.57,16.87,7.63,5.52,149.97,67.21,5.43,,9.22,,26.13,51.89,61.44,16.46,1.06,5.52,,0.6,0.66,,19.62,1.18,,1.28,,,18.54,34.61,1.63,1.59,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.82,37.89,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,43.93,,,2.2,20.8,5.4,3.2,9.8,60.73,11,51.95,10.95,,45.78,3.62,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.89,8.19,6.15,8.59,8.13,6.24,1.98,1.97,12.21,0.67,25.25,11.63,6.89,11.65,16.09,3.83,6.4,2.76,50.98,7.91,,16.92,,23.87,2.03,12.73,12.44,2.54,2.43,,,,,9.67,0.79,1.66,0.46,,,7.64,10.34,1.68,0.71,4.47,0.9,10.03,70.19,19.21,15.52,,15.33,,6.26,12.17,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,9.09,62.37,,,50.3,,28.2,37.8,,8.08,24,65.43,,,63.4,2.79,0.03,0.01,261.3,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.84,12.58,38.75,11.8,10.75,0.57,0.61,7.23,0.33,1.58,5.09,,9.56,30.3,,6.16,262.49,17.41,3.89,,2.16,,5.9,1.52,14.79,9.71,0.3,0.33,,0.31,1.72,,19.82,1,,1.11,,,10.45,88.51,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.86,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,30.7,59.84,,2,8.4,5.9,40.8,24.6,,23.18,11.1,66.76,1.94,12.08,61.37,2.98,0.07,0.06,56.79,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.11,11.87,18,12.24,9.88,0.59,0.59,6.21,0.36,3.3,7.65,1.59,15.5,25.97,,1.62,51.51,,3.58,,1.89,,3.62,1.94,23.47,16.37,1.02,0.44,,0.88,1.16,,13.38,1.1,,1.11,,,10.84,16.42,0.82,0.98,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.19,29.42,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,5.08,48.46,17.44,,38.3,,,,,322.31,8,45.83,,,46.62,4.69,0.99,4.98,137.34,1.62,,33.1,6.78,0.96,0.27,,,,32.37,31.56,18.35,21.1,20.76,6.04,6.85,3.09,0.38,37.96,4.8,,30.8,,,10.67,165.98,83.07,22.92,,16.96,,15.01,10.14,48.19,48.19,,8.33,,,,,22,0.83,4.89,,,18.58,22,36.89,,,11.17,1.62,7.98,839.68,21.23,22.05,,19.8,,4.08,,,,2,92399740712.0,Other Consumer Services,Consumer Services
