Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
SOS,,51.74,,42.2,,,,,,70.7,,,57.22,,,6.36,383.26,10.59,91.76,32.59,5.91,,,,,,1.06,1.09,,,,,,94.34,0.91,13.55,82.4,,,,,,51.75,,,,,,,,0.07,,,,0.12,,,,,0.69,,,0.13,0.07,0.69,,,,0.07,9.51,,,,,,,,5.16,,,,3,1215493567.0,Internet Software/Services,Technology Services
SOVO,59.06,64.62,,,,,,,29.8,75.93,,,68.93,3.03,,1.58,0.41,3.02,47.33,41.65,31.69,8.69,0.98,,,,114.97,44.53,31.67,25.2,18.16,2.43,2.58,0.87,0.43,8.15,3.57,,,,,8.33,0.0,29.68,2.07,,,,,7.42,4.43,,30.08,,2.28,,,,,28.34,,,,,25.5,,,,,2.39,,15.08,2.11,,,8.45,,0.09,,,,2,2295104112.0,Food: Specialty/Candy,Consumer Non-Durables
SPB,23.09,71.84,6.4,29.8,,,,,8,85,5.25,4.89,77.33,2.09,,2.43,1.13,3.83,111.97,79.48,41.79,,0.66,,4.14,1.96,,,,15.57,9.44,0.94,0.95,,0.48,,,1.96,29.07,,,,85.87,31.67,0.21,,,61.72,,0.89,1.2,1.86,47.78,,1.14,,,,,,6.87,1.5,,16.39,,1.74,,0.99,5.03,3.22,31.12,,,102.88,,0.5,,23.99,13.29,,,7,2852473774.0,Electronics/Appliances,Consumer Durables
SPG,14.26,64.79,,5.4,,,,,,79.76,4.42,19.65,69.3,1.14,,0.63,0.08,0.87,,547.07,50.64,5.45,8.77,,1.26,5.07,20.08,14.66,23.58,23.39,17.23,13.97,12.61,4.98,0.09,53.48,6.32,5.31,25.19,3.8,1.72,1.99,123.4,81.83,3.28,,,40.35,,49.6,16.06,21.05,24.86,,8.49,,,,13,15.88,4.21,0.94,,,12.56,15.31,,1.65,16.06,0.87,6.86,722.9,11.85,76.16,,8.71,,5.18,20.46,,,10,38088310169.0,Real Estate Investment Trusts,Finance
SPGI,18.29,45.64,,283.4,13.3,12.5,,,9,32.33,1.69,10.97,40.15,4.66,,0.32,0.14,0.92,,39.29,72.97,2.42,0.34,,0.34,0.82,36.92,28.72,43.93,23.26,22.68,11.13,11.83,2.71,0.59,28.54,2.59,0.83,30.4,12.5,12.1,6.82,430.07,66.37,11.29,,,20.2,,31.54,3.92,53.21,39.92,3.12,11.51,,3.66,1.34,,41.89,,1.39,,,40.41,49.34,4.25,2.15,,0.92,4.04,550.6,6.9,6.86,,4.94,,1.54,50.92,,,9,123544339846.99998,Financial Publishing/Services,Commercial Services
SPHR,22.51,73.91,,,,,33.3,,,81.43,,,79.34,0.36,,0.44,0.4,0.63,15.5,441.67,263.48,8.79,0.62,,,,65.6,13.45,,,,2.36,10.23,1.52,0.51,,,,,,,,15.66,40.09,,,,162.37,,,0.57,3.81,5.11,,5.87,,,,,,0.4,,,,28.02,,,,0.71,0.63,7.01,0.98,0.83,15.93,,,,27.47,,,,3,1299417394.0,Media Conglomerates,Consumer Services
SPLK,41.59,79.19,,,,12.5,,,13.2,89.4,,53.5,84.15,3.1,,0.93,0.52,1.69,,7,99.56,12.57,16.4,,,,167.69,106.26,32.92,33.16,29.23,5.92,6.93,0.6,0.04,21.04,3.22,,25.77,,30.49,16.15,141.05,79.04,1.68,,,2.66,,1.85,130.97,367.95,73.24,,6.6,,,,,30.71,,0.66,,,29.82,,,13.69,,1.69,1.83,57.98,5.04,,,1.39,,0.1,,,,,20263190938.000004,Packaged Software,Technology Services
SPNS,22.56,58.81,,17.6,47.1,12.4,21.7,,9.9,72.67,5.38,,62.81,5.5,,1.24,1.98,2.08,,10.26,62.61,0.9,0.21,,0.39,1.8,19.49,15.2,32.06,,,,2.93,5.13,0.64,9.15,2.92,1.8,,23.13,,,29.95,42.52,44.3,,,11.69,,14.96,3.78,26.74,21.8,0.64,3.13,,,,,34.23,3.7,1.09,,26.3,28.55,38.25,1.05,2.02,14.13,2.08,8.98,186.64,14.8,14.53,,13.86,,3.92,43.6,,,10,1582471475.9999998,Packaged Software,Technology Services
SPOT,59.75,83.83,,,,22.1,,47.6,13.2,91.17,,38.77,87.88,5.28,,1.03,2.49,1.29,,23.04,13.23,,0.67,,,,,,61.32,50.14,51.13,2.67,3.28,,0.3,1.6,0.46,,83.33,,,13.72,180.71,25.64,,,,,,,17.08,,,,3.44,,,,,218.37,,,,,208.08,,,6.74,33.07,1.29,,,,,,,,,,,,,30167115883.0,Internet Software/Services,Technology Services
SPR,,55.3,,,,,18.2,25,20.1,68.55,,23.64,59.14,1.38,,0.37,0.2,1.71,101.1,62.05,32.47,171.89,,,,,,273.01,,35.13,13.09,0.92,1.1,,,,,,263.16,29.01,,15.61,42.39,3.13,,,,,,,,,,,0.51,,,,,,,0.5,,,,,,,,0.9,,,,,,,,,61.96,,,6,1772019793.0,Aerospace & Defense,Electronic Technology
SPSC,28.93,73.84,,15.3,,16.4,23,14.8,18.5,89.82,,5.82,80.69,27.75,,2.11,19.63,3.07,,14.58,29.89,0.13,0.02,,,,88.99,61.18,58.02,,,,12.7,1.12,0.81,19.77,1.31,,,21.21,,,178.91,66.09,,,,12.26,,14.39,11.6,125.59,77,3.62,12.73,,2.46,2.48,,67.29,9.03,1.82,65.11,31.58,51.85,110.1,3.6,4.84,24.91,3.07,8.86,161.67,12.37,10.98,,12.24,,,248.22,,,10,6447305228.999999,Packaged Software,Technology Services
SPT,,61.29,,1.3,,28.4,64.9,,,74.28,,32.44,65.03,7.76,,0.69,1.2,1.2,,39.95,43.99,,0.65,,,,,,345.99,,,8.68,11.36,,0.36,3.28,0.28,,263.16,,,28.61,103.62,77.17,,,,,,,25.48,,439.93,,11.58,,,,,350.13,,,,,297.14,,,,,1.2,,,,,,,,,,,,,2766653510.9999995,Packaged Software,Technology Services
SPWR,,50.53,,275.9,,,,15.7,15.7,63.16,,,55.06,,,0.12,0.29,1.07,81.32,52.99,38.38,,0.86,,,,,,,,13.2,0.53,0.45,,0.29,,,,,,4.23,5.34,29.58,18.69,,,,,,,1.49,,,,0.34,,,,,,,0.34,,,,,,,2.26,0.7,,,,,,,,28.65,,,,5,1264884010.0,Engineering & Construction,Industrial Services
SPXC,34.17,68.19,,28,,,,,8.1,76.27,,22.38,70.56,3.22,,0.2,0.15,1.56,94.36,43.68,59.68,3.4,0.59,,,,38.15,27.41,163.38,16.95,13.65,2.9,3.2,2.62,0.46,1.96,0.67,,23.42,0.95,18,10.26,85.91,37.88,7.38,,,1.83,,8.68,4.32,169.44,28.31,,2.95,,,,,153.81,,2.97,,,91.37,73.73,,3.08,,0.97,1.36,37.87,7.65,2.77,,5.7,,,36.76,,,8,3604381793.0,Building Products,Producer Manufacturing
SQ,,49.19,,93.5,,,7.7,,44.1,47.42,,10.88,48.99,2.61,,1,1.71,1.91,2.66,13.74,71.65,31.92,0.3,,,,,228.09,48.34,18.72,26.43,1.51,1.85,,0.55,3.83,1.94,,23.04,,27.61,12.36,88.11,34.33,,,,,,,2.3,,42.87,,1.97,,,,,51.98,4.27,,,14.63,43.71,,,2.19,9.57,1.9,,,,,,,,,,,,3,32230351795.0,Information Technology Services,Technology Services
SQM,,24.94,,36.4,96.3,135,148.6,221.5,81.3,21.9,55.09,,20.56,4.13,,0.98,0.73,2.28,136.62,31.17,41.76,0.93,0.7,,0.66,12.48,2.95,2.95,26.85,5.97,5.29,2.04,1.35,33.9,0.48,4.97,4.01,12.48,7.97,24.77,,,156.49,46.48,40.47,,,31.85,,45.05,2.34,3.88,3.87,0.08,1.41,,,,,24.7,0.69,0.34,,24.24,8.2,5.39,0.18,0.99,2.37,1.6,26.76,94.46,52.62,57.42,,43.99,,6.9,14.12,,,10,16483895654.369904,Chemicals: Specialty,Process Industries
