Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,52.57,1.5,7.9,7.7,13.5,33.2,24.7,10.5,51.25,1.03,2.39,52.28,6.26,,0.99,0.58,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.68,28.2,23.71,27.43,24.3,21.31,5.87,5.92,3.55,0.54,21.57,3.77,0.71,24.33,17.15,9.5,3.53,149.3,50.71,14.21,,,18.15,,19.76,6.66,31.67,26.56,2.21,5.75,,0.85,1.67,,26.79,5.71,1.18,,,22.27,34.39,1.84,2.08,27.61,1.97,11.55,64.95,15.98,22.07,,14.5,,2.21,45.98,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,38.3,1.4,10.2,,,,,5.8,26.06,1.49,,32.97,0.98,,0.31,0.52,1.45,86.07,58.94,24.77,11.68,0.43,,,1.49,,37.5,,14.1,5.24,0.53,0.55,,0.3,,,1.49,60.98,,,,40.2,7,,,,,,,1.13,,,,0.47,,,,,,,,,,54.29,,,0.94,1.13,0.74,,,,,,,,0.47,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,57.47,,10.4,,,,,27,60.24,,,58.51,0.76,,0.34,0.19,0.62,20.89,20.46,14.17,12.45,,,,,13.13,13.13,35.53,11.01,6.84,0.77,0.81,7.62,,2.29,12.4,,5.35,,34.88,3.56,20.54,22.37,1.87,,,1.56,,7.6,,13.53,6.55,,0.19,,,,,8.72,,0.42,,,2.66,,,,,0.51,1.25,8.53,7.75,,,4.5,,29.9,9.99,,,8,8696254174.0,Airlines,Transportation
AAON,43.41,72.65,,23.5,10.5,20.6,22,,22.6,85.4,0.65,14.96,77.29,17.77,,,,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.39,30.85,25.59,218.31,,,,5.81,3.24,0.72,2.66,0.45,0.39,,19.65,,,81.5,32.77,42.97,,,15.18,,18.83,9.69,39.77,39.77,3.26,6.06,,2.52,19.82,,228.67,4.66,1.24,,40.53,54.18,120.05,2.07,7.45,12.29,1.5,19.51,38.13,29.02,27.91,,22.62,,0.38,84.79,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,46.84,5.1,,192.4,8,16.8,,10.4,28.35,130.79,,39.92,1.9,,0.06,0.08,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.55,22.38,11.74,,20.13,10.56,0.64,0.66,4.47,0.22,,,1.58,17.33,16.1,,2.05,207.9,41.67,3.92,,,1.72,,2.98,1.42,20.29,15.04,1.62,0.34,,1.02,,,,1.54,0.29,,,14.08,,2.48,0.53,3.56,0.27,1.6,6.46,4.79,7.26,,3.59,,,8.06,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,22.71,49.65,2.9,1.3,5.7,20.9,23.2,14.6,15.7,51.95,0.69,3.9,49.98,8.53,,0.55,0.68,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.51,24.23,22.14,27.53,24.49,22.41,7.58,7.63,4.13,0.21,27.71,3.66,0.51,28.99,21.17,12.46,2.68,178.43,45.03,40.5,,,26.16,,30.76,39.43,29.42,29.42,1.74,7.73,,1.21,1.32,,27.75,7.18,1.93,,,25.47,29.45,1.61,2.2,39.42,1.02,29.33,279.4,57.36,159.97,,34.58,,3.47,44.54,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,46.87,,,3.9,1.6,,,2.3,49.4,6.86,3.44,45.16,0.63,,1.18,0.05,2.56,,145.67,6.48,6.78,1.41,,1.57,5.93,22.78,11.86,30.06,,,,6.7,4.39,0.4,22.3,7.26,6.02,,5.22,,,34.35,62.84,1.88,,,14.66,,27.6,1.13,26.5,26.5,26.5,3.86,,2.2,1.49,9.84,17.32,1.15,0.5,,,9.05,18.29,,1.02,1.13,2.56,2.15,556.85,4.48,5.34,,4.22,,3.94,28.91,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,9.15,74.85,,,9.6,18.2,8.3,16.6,13.4,77.66,7.15,7.65,76.42,2.14,,0.38,0.22,0.96,66.58,52.46,75.76,3.62,5.02,,0.67,3.44,34.99,21.2,14.4,14.18,13.6,6.56,6.55,2.86,0.09,45.53,8.05,3.56,15.41,26.48,9.5,1.38,135.77,62.42,6.64,,,8.95,,24.92,25.41,63.77,19.64,0.99,5.75,,1.23,0.45,,12.54,,1.28,,,12.16,19.72,0.84,1.42,,0.84,3.54,206.51,9.61,34.02,,9.33,,7.75,38.01,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.84,,631.1,,,,,215.7,50.4,,,46.85,3.3,,7.13,9.73,8.34,330,3766.17,358.81,,0.07,,,,,,,,,8.29,14.91,,0.78,,,,,,,,1.6,96.92,,,,,,,1.25,,,,29.84,,,,,,,,3.23,2.5,358.22,,,,1.46,8.33,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,11.84,37.85,,10.1,15.8,5.3,6.9,2,15.3,37.43,8.02,,36.67,3.78,,0.52,4.74,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.85,12.43,8.75,11.31,9,6.74,2.19,2.35,8.05,0.65,20.35,8.15,5.85,13.59,10.87,6.94,5.41,3.43,50.3,19.12,,,18.29,,22.51,2.28,13.51,12.96,5.63,2.5,,,,,12.29,1.7,0.44,,,9.16,14.14,,0.81,4.96,0.79,10.98,52.73,15.37,17.44,,18.54,,5.37,12.29,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,,54.73,,58.9,,53,58.9,21.4,22.6,63.46,,,57.89,3.48,,0.05,0.01,2.07,32.6,17.71,7.2,2.49,1.08,,,,7.99,7.47,48.37,7.56,6.95,0.39,0.52,12.52,0.39,1.08,3.59,,6.7,32.1,13.91,,260.35,19.19,7.18,,,6.13,,7.7,1.37,7.55,6.62,0.19,0.3,,0.2,0.94,,29.33,,1.09,,,17.13,13.09,0.25,0.48,,0.82,11.13,44.92,19.18,30.18,,11.73,,16.89,12.55,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,35.99,2,8.4,5.9,40.8,24.6,,11.1,27.34,2.7,,31.63,2.88,,0.06,0.05,1.4,,,59.87,2.7,0.8,,0.28,2.2,9.46,7.32,20.51,10.18,8,0.48,0.48,10.57,0.37,2.36,7.54,2.24,12.17,24.55,,1.68,53.16,,4.97,,,3.1,,5.06,1.4,10.61,12.93,0.8,0.33,,0.7,1.2,,13.83,,0.84,,,10.84,12.09,0.79,0.77,,1.4,5.1,67.17,11.18,14.12,,7.45,,,21.74,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,21.39,57.36,,,,,,201.3,10.9,53.93,,1.2,56.56,5.87,,1.12,4.75,1.78,,31.31,7.83,0.8,0.25,,,,30.86,30.42,20.69,25.49,22.34,7.98,9.15,3.24,0.43,44.22,4.49,,33,,21.09,12.51,180.81,82.67,132.29,,,56.87,,23.43,10.34,17.85,17.85,,10.41,,,,,23.53,2.98,,,18.11,23.32,,,,11.17,1.78,28.81,1074.22,33.01,89.29,,89.42,,1.62,,,,1,92399740712.0,Other Consumer Services,Consumer Services
ABT,4.31,49.14,0.5,6.2,13.7,16.4,23.1,20.5,11.4,38.69,3.45,7.06,44.58,5.15,,0.54,0.45,1.74,130.37,85.61,57,1.53,0.41,,0.49,1.86,28.24,20.12,45.34,21.88,18.98,4.85,5.08,3.54,0.52,11.2,2.31,1.97,24.21,17.49,0.9,3.02,108.63,55.19,11.82,,,14.27,,16.15,5.18,34.3,26.86,1.7,4.9,,1.12,3.06,,43.57,7,1.23,,,29.92,32.63,1.94,1.8,39.37,1.23,7.81,74.02,12.19,15.55,,10.69,,2.98,43.51,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,35.51,65.44,,6.8,,27.8,,,8.8,81.39,0.24,1.57,70.9,3.51,,0.38,0.3,2.35,68.58,44.74,60.01,0.94,0.22,,0.09,0.24,11.3,8.06,,,,1.78,1.97,8.85,0.66,,,0.24,24.27,22.91,,6.9,63.82,19.25,5.91,,,12.88,,7.54,1.76,14.2,35.68,1.86,1.8,,,,,,2.42,,,,21.01,12.62,1.48,1.16,3.7,1.46,8.37,24.29,12.82,12.97,,4.58,,4.48,,,,8,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,60.27,46.29,,,,6.1,5.7,12,11.6,57.15,,15.31,47.45,4.74,,1.65,6.06,2.38,135.45,198.95,41.42,,0.16,,,,,,,22.12,28.52,4.39,6.22,,0.57,,,,36.63,,,25.48,29.82,95.86,,,,,,,11.93,,,,6.86,,,,,,,,57.26,18.81,,,,,14.63,2.28,,,,,,,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,52.96,,3.1,,15.1,48.7,,7.6,60.24,,5.89,52.87,2.31,,0.12,0.07,0.81,18.13,447.67,43.2,7.9,0.56,,,,138.04,46.13,101.45,15.1,12.12,2.78,3.08,0.72,0.51,3.03,1.15,,22.78,8.09,,11.04,84.42,96.32,6.15,,,,,17.44,2.76,,24.57,9.83,2.59,,,,,85.29,4.45,1.13,,,16.08,,4.34,2,18.11,0.81,,2.93,1.39,,,7.69,,1.4,390.76,,,8,6460318360.000001,Medical/Nursing Services,Health Services
ACI,9.27,32.07,,,,13.9,48,21.1,10.6,32.03,2.24,6.5,29.81,3.55,,0.03,0.02,0.85,31.8,26.09,3.33,3.19,5.83,,0.16,2.26,12.36,5.8,68.59,10.65,6.1,0.33,0.34,8.09,0.1,0.49,3.2,2.26,8.16,22.78,3.62,1.86,21.92,27.77,3.79,,,1.71,,2.6,4.83,9.06,7.14,0.28,0.15,,,,,30.57,,,,,4.85,19.29,0.49,0.93,,0.19,5.02,14.24,12.08,73.94,,7.61,,,39.26,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,9.05,57.03,2.3,4.3,,14.6,29.6,8.3,5.5,68.42,,25.88,59.18,2.24,,0.15,0.13,1.3,,22.68,72.2,3.25,0.91,,,,20.82,12.4,52.22,,11.89,2.78,2.94,4.8,0.37,5.62,2.42,,18.69,17.27,,4.79,31.09,49.84,2.62,,,6.24,,13.75,2.74,38.2,25.47,1.48,2.31,,1.67,3,,41.58,,0.9,,,26.91,56.29,1.96,1.16,,1.3,2.82,94.88,8.74,7.5,,4.65,,3.35,36.82,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,45.07,,16.5,,87.5,121.9,,39.3,36.73,,,41.91,8.67,,1.78,11.2,3.79,162.49,34,59.97,0.15,0.05,,,,12.46,12.06,17.75,,11.25,2.98,3.13,8.03,0.68,17.63,4.87,,,22.28,,14.06,109.65,43.46,49.71,,,21.78,,23.51,4.74,16.87,16.87,0.51,3.68,,,,,20.93,1.88,2.07,46.06,6.18,19.48,23.17,0.72,2.2,4.73,2.71,21.61,84.29,32.35,32.58,,38.22,,1.28,52.88,,,8,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,81.46,61.61,,,,,,,,59.41,,59.72,61.2,4.6,,2.54,4.05,2.84,,,211.86,,0.41,,,,,,27.45,,,45.43,60.75,,0.43,221.31,3.1,,,,,,0.0,,,,,,,,11.86,,,,62.68,,,,,27.88,,,34.52,22,23.99,,,,11.86,2.84,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,,52.11,4.6,,,0.1,22.9,46.8,7.7,59.06,0.86,3.25,54.02,2.12,,0.2,0.44,1.05,,54.73,61.01,4.81,1.21,,0.2,0.85,34.71,23.96,22.86,14.72,12.82,1.88,0.91,2.88,0.2,3.98,4.87,0.98,19.84,8.87,58.7,,84.07,6.54,5.01,,,0.42,,5.51,5.42,198.98,23.19,8.28,0.81,,,,,21,,2.04,,,17.94,68.77,,1.77,,1.05,0.54,42.47,6.94,2.56,,9.39,,4.33,133.64,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,20.2,61.96,0.3,15.1,11.9,7.8,16.1,6.2,13.6,61.61,2.18,10.02,60.87,8.3,,0.41,2.32,1.33,,20.67,69.65,0.29,0.12,,0.4,1.3,24.65,21.35,25.14,22.98,18.9,3.45,3.51,4.06,0.52,13.98,3.87,1.39,30.86,15.13,12.3,6.75,342.66,32.5,160.43,,,10.65,,13.6,8.73,34.45,32.15,2.87,3.66,,1.79,1.13,,26.32,6.34,1.34,,,24.91,37.72,2.7,1.92,28.09,1.33,13.89,213.29,28.33,27.64,,20.55,,2.54,43.12,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,37.55,56.72,,,,,,,49.8,76.45,,,63.42,2.94,,1.23,4.29,2.02,,514.57,130.55,,0.23,,,,,,,,,3.42,4.29,,0.49,,,,238.1,,,21.67,14.9,48.65,,,,,,,5,,,,5.02,,,,,,,,,9.35,252.3,,,,8.47,2.02,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,55.98,57.31,1.7,9.4,,17.7,14.1,11.4,16.8,59.83,,14.1,58.06,15.7,,0.95,1.92,1.34,,51.51,36.2,0.52,0.25,,,,39.74,35.29,39.57,28.43,26.25,13.05,14.15,2.52,0.56,35.77,2.45,,34.97,22.05,15.1,11.31,574.15,87.87,58.85,,,27.97,,34.26,17.28,53.11,45.19,2.11,14.8,,1.45,1.33,,41.48,14.78,1.17,,,39.5,55.51,2.08,2.98,108.7,1.34,19.31,290.37,34.43,36,,21.47,,1.67,89.99,,,10,241068062221.0,Packaged Software,Technology Services
ADC,,35.9,,10,7.2,7.5,2.5,14.2,6.1,28.07,7.02,,32.36,1.56,,0.05,,0.66,,536,50.73,5.02,0.43,,1.65,5.09,33.72,18.49,21.27,22.79,13.72,13.31,16.14,2.97,0.69,75.86,6.69,5.15,30.77,12.99,,17.49,75.78,87.81,3.27,,,32.35,,48.41,1.14,33.64,32.82,4.69,10.49,,2.84,1.05,14.7,13.79,1.41,0.84,,,13.79,,4.82,0.86,1.37,0.66,2.34,,3.53,3.41,,3.51,,,26.51,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,9.56,35.58,,,,45.3,,,,18.06,0.37,15.63,28.11,1.93,,1,0.13,2.68,,,49.87,2.5,1.8,,0.21,1.85,12.72,7.78,12.64,,,4.17,4.75,7.86,0.31,37.58,10.86,1.85,7.6,26.43,,1.28,6.69,,2.49,,,31.69,,38.22,4.07,11.58,13.91,1.08,3.7,,,,,9.72,,1.43,,,9.61,13.1,1.78,0.56,,2.68,9.48,403.78,12.38,28.12,,18.67,,13.53,45.1,,,4,1062196184.9999998,Packaged Software,Technology Services
ADI,6.3,54.52,,30.2,11.6,25.1,26.1,12.4,17.3,62.45,3.13,2.68,55.93,5.2,,0.3,0.14,1.37,130.6,45.57,48.24,1.14,0.2,,0.4,1.76,26.41,16.59,28.76,31.23,19.87,10.17,8.31,3.79,0.73,28.9,3.68,1.76,27.17,16.84,9.26,1.92,190.25,64.01,15.05,,,26.94,,32.37,2.72,29.82,23.38,1.92,8,,1.29,1.37,,27.78,,1.2,,,20.47,24.35,1.71,1.59,,0.86,6.68,97.52,8.25,9.18,,7.92,,4.37,46.99,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,29.83,0.6,8.8,4.6,30.8,34.3,,16.4,35.06,4.26,,31.22,3.55,,0.08,0.16,1.69,53.88,25.28,21.49,1.48,0.38,,0.23,3.49,6.7,5.62,74,10.35,8.07,0.4,0.37,14.93,0.46,0.5,1.72,3.77,9.95,18.04,,,84.36,7.78,6.66,,,4.06,,4.23,1.12,7.39,7.03,0.43,0.3,,,,,56.01,0.69,0.74,,43.13,14.15,14.88,0.34,,1.51,1.07,6.85,24.67,14.91,15.96,,7.05,,13.51,11.84,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,48.1,0.1,22.6,,89.8,,,6.1,46.08,,,47.14,2.04,,0.28,0.39,1.15,22.66,64.76,44.66,3.04,1.12,,,,9.32,5.52,11.06,8.81,5.29,0.3,0.3,10.73,0.25,2.72,13.42,,12.32,,24.3,2.07,41.39,6.83,2.3,,,1.39,,2.99,1.36,15.24,12.24,,0.21,,,,,7.63,,,,,4.76,11.78,,1.35,,0.91,2.27,35.35,8.59,9.62,,7.63,,11.35,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,5.05,71.55,1.4,,10.8,13.1,11.6,16.2,8.4,71.03,3.7,,73.73,2.34,,0.03,0.5,1.01,,2.87,64.89,0.6,0.77,,0.6,2.06,21.18,19.03,30.91,21.09,17.46,5.46,5.93,4.72,0.08,19.19,3.3,2.24,27.32,14.64,9.01,7.41,258.46,42.37,11.09,,,20.13,,21.44,23.76,29.1,29,2.2,5.87,,1.43,1.8,,30.53,14.44,1.27,,,26.21,48.06,2.4,2.78,161.28,1.01,6.55,468.47,59.97,98.92,,5.75,,3.19,41.18,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,5.03,73.96,0.7,,,35.7,33.4,14.9,16,84.63,,15.23,78.25,4.88,,0.5,0.74,0.75,,88.76,39.8,2.11,1.79,,,,50.69,45.09,32.7,34.09,31.51,9.45,10.6,1.97,0.16,32.42,3.04,,33.56,,20.1,10.95,254.75,90.55,363.33,,,17.15,,20.39,38.48,62.75,36.09,,10.79,,,,,33.37,,1.05,,,32.35,54.91,,3.11,,0.75,10.08,284.48,21.54,81.35,,9.59,,2.12,303.05,,,6,45606470933.0,Packaged Software,Technology Services
ADT,,61.11,,,,,,,,80.83,2.09,0.46,67.5,0.4,,0.1,0.03,0.72,55.53,62.14,28.64,4.52,2.99,,0.35,2.06,25.42,7.26,15.6,,5.98,3.05,2.23,3.93,0.19,14.28,15.97,2.36,18.32,10.4,,,6.65,65.95,2,,,0.54,,15.76,1.93,169.5,17.16,,0.95,,,,,6.92,,,,,3.78,12.99,,0.53,,0.63,0.22,18.01,4.04,1.15,,13.55,,3.08,,,,2,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,,62.41,,8.9,,16,16.2,125.9,8.9,78.78,,,68.78,4.25,,0.57,0.37,1.51,,10.95,42.73,2.2,0.32,,,,18.99,16.31,16.63,15.18,13.14,1.46,1.57,5.27,0.66,9.42,6.34,,19.57,23.43,15,6.09,111.8,31.69,7.89,,,5.61,,8.14,2.23,26.55,22.93,1.5,1.44,,1.17,0.83,,15.52,,1.01,,,14.13,16.79,1.2,1.01,,1.51,6.04,110.49,10.3,8.88,,8.32,,5.69,45.31,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,40.98,,7,7.1,6.9,6.1,,8.6,47.11,4.85,,42.83,0.82,,,,0.52,56.33,70.22,27.34,4.75,1.45,,0.59,3.67,18.04,10.04,,17.29,9.68,4,4.27,5.54,0.28,,,3.67,14.93,,5.68,5.36,106.08,43.39,2.89,,,14.59,,19.8,1.64,15.61,16.23,4.39,2.28,,1.21,,,,1.11,0.9,,,6.69,,3.1,143.13,1.7,0.33,3.01,5.88,5.34,10.9,,3.55,,,18.32,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,45.03,,63.2,,,,,31.7,76.5,,,56,22.69,,6.35,7.88,11.53,233.81,55.61,50.03,0.33,0.07,,,,23.21,22.35,69,,,,5.41,4.31,0.86,7.85,1.29,,,,,,30.53,50.65,,,,25.77,,23.32,5.7,24.24,22.06,,6.22,,,,,80.08,2.36,2.84,13.55,6.37,62.85,87.39,,6.49,5.7,7.28,23,57.74,24.19,28.53,,52.84,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,10.67,50.96,0.9,13,,,,,,53.97,0.39,,51.07,3.06,,3.11,1.12,5.1,128.37,54.08,61.14,4.7,0.82,,0.08,0.38,27.6,18.36,24.67,,12.08,2.43,2.2,3.62,0.45,8.93,3.79,0.38,45.05,23,,,96.46,35.78,19.54,,,7.75,,8.5,3.41,30.81,21.51,7.97,2.38,,,,,26.72,2.32,0.82,,13.07,18.9,27.22,1.01,1.46,5.6,4.1,5.83,20.41,7.13,11.59,,12.24,,,36.89,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,0.06,34.11,,19.8,44.3,,34.8,,8.8,23.71,16.53,6.48,30.16,2.18,,0.33,0.17,1.99,110.15,55.91,0.47,0.48,0.11,,0.79,3.43,8.27,5.68,40.89,19.97,9.15,3.47,4.02,12.09,0.68,9.82,2.66,3.43,18.21,21.69,,0.01,51.11,32.72,16.58,,,40.53,,24.71,1.15,8.75,23.07,1.24,3.55,,,,,36.83,1.24,0.85,,,9.91,8.27,0.92,1.26,1.5,0.71,9.41,14.65,11.8,13.8,,5.17,,1.12,39.18,,,8,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,36.87,69.14,,3.1,,,,,,86.98,1.34,38.03,76.28,4.23,,0.29,0.2,1.63,78.83,27.1,16.59,2.57,0.7,,0.23,1.89,22.04,11.06,9.03,11.75,8.08,1.01,1.03,4.54,0.49,11.45,13.09,2.22,13.59,0.44,,4.27,17.37,37.75,81.6,,,4.3,,6.51,2.55,20.25,17.59,,0.85,,,,,7.65,1.58,1.09,,,5.72,8.26,,1.41,3.21,0.7,6.27,9.8,8.72,13.49,,7.93,,14.77,21.83,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,,40.62,,5.4,5.4,6.6,7.6,8.6,6.8,39.6,5.9,4.24,39.39,0.82,,0.05,0.01,0.6,65.49,106.07,18.49,6.03,1.69,,0.74,4.5,20.94,11.57,,17.16,10.03,3.88,4.26,4.78,0.27,,,4.64,13.51,0.78,6.07,6.36,104.39,57.84,2.14,,,11.7,,19.33,1.59,17.62,17.17,3.9,2.02,,,,,,1.1,0.92,,,9.37,,3.03,21.53,1.6,0.44,2.4,5.33,4.83,9.31,,3.92,,,16.74,,,10,41234689544.0,Electric Utilities,Utilities
AER,18.41,58.04,,,,,,,,49.06,,16.21,55.41,0.67,,1.58,0.05,4.44,4.44,63.59,5.66,10.74,2.92,,,,30.56,13.72,,15.95,9.39,7.73,8.13,3.27,0.23,,,,,,,13.1,62.18,32.4,,,,33.76,,26.6,1.01,7.13,9.27,,2.41,,,,,,0.71,1.42,,,3.36,7.54,,2.16,1.24,4.39,3.6,3.34,2.9,15.72,,2.65,,25.31,13.97,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,38.96,,,5,,7.1,,7.3,41.51,5.32,,38.21,0.46,,0.26,0.08,0.83,32.17,58.38,50.8,12.73,9.86,,0.43,4.07,34.59,17.09,,17.38,11.03,3.09,2.88,2.89,0.06,,,4.07,8.67,,7.04,5.08,24.14,20.17,1.84,,,,,18.33,5.68,,10.83,,0.86,,,,,,,1.01,,,3.32,,,,,0.74,,4.21,3.23,,,14.81,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,41.07,,,5,,7.1,,7.3,44.91,,,40.96,0.46,,0.26,0.08,0.83,32.17,58.38,50.8,12.73,9.86,,,,,,,,,,,,0.06,,,,,,7.04,5.08,0.0,20.17,1.84,,,,,18.33,,,,,0.9,,,,,,,,,,3.35,,,,,0.74,,4.21,3.23,,,14.81,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,,56.54,,,,,,,,65.11,3.13,,59.68,3.52,,2.42,2.61,3.22,20.1,45.73,49.34,0.41,1.71,,0.05,3.12,2.74,2.45,11.13,,2.44,1.14,1.3,36.5,0.06,11.65,6.95,4.77,8.6,,,19.99,0.0,52.8,24.18,,,36.66,,47.14,13.15,20.85,6.01,,1.7,,,,,14.24,1.87,,,,3.38,,,,13.15,3.1,23.66,45.2,34.45,80.3,,41.34,,,,,,2,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,231.6,52.35,,,,,,5.8,30.4,50.48,,183.96,52.1,2,,16.1,0.37,54.55,,12.36,39,,2.21,,,,,,,137.71,143.23,9.77,10.69,,0.31,,,,,,,22.5,36.68,48.78,,,,,,,5.14,,,,8.61,,,,,,,,,10.32,259.03,,,,6.56,54.55,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,58.01,53.37,,6.5,,24.4,19.9,26.5,26.8,66.27,,36.1,56.75,2.26,,0.68,0.29,1.18,3.2,142.83,61.71,2.73,0.81,,,,14.73,11.02,15.33,13.17,10.07,3.85,4.28,6.79,0.45,27.92,7.71,,,24.3,,26.88,21.68,61.25,1.97,,,12.98,,27.12,2.76,26.86,33.28,0.61,3.42,,,,,12.24,,,,,9.14,22.99,1.33,,,1.18,4.77,61.33,12.5,10.8,,9.96,,,,,,6,1469574000.0000002,Other Consumer Services,Consumer Services
AG,,38.13,,18.8,,20.4,,,10.3,35.51,0.45,,37.25,0.92,,1.93,0.76,2.97,38.96,38.6,4.42,,0.19,,,0.45,,,,,,2.9,2.38,,0.69,,,0.45,,18.27,,,7.54,,,,,,,,0.98,,,,2.15,,,,,,,0.52,,,67.11,,,5.2,0.98,2.37,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,37.44,,16.1,20.1,24.1,36.4,,16.7,18.79,1.77,,30.28,3.42,,0.14,0.39,1.46,122.38,46.12,39.04,0.86,0.33,,0.07,0.96,6.5,5.45,16.62,6.56,5.32,0.7,0.67,15.38,0.41,4.06,6.79,1.01,8.82,26.44,10.85,,156.59,26.21,374.11,,,8.13,,11.94,1.85,7.36,7.59,0.31,0.6,,,,,14.68,0.98,0.95,,,7.84,10.37,0.3,0.73,2.86,0.67,10.63,41.14,21.84,27.67,,20.59,,1.81,16.6,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,17.45,39.8,,1.2,36.9,,,,7.3,32.97,4.96,8.12,38.16,3.06,,1.01,575.01,2.46,139.9,90.9,13.31,,,,0.21,0.84,15.24,9.42,36.11,,,4.61,4.57,6.56,0.74,12.68,2.68,0.84,20.79,15.08,,4.34,10.68,35.72,62.55,,,20.29,,30.74,1.64,23.43,25.26,2.81,4.74,,,,,37.54,1.35,1.22,,,10.49,25.58,1.73,1.84,1.64,1.27,5.42,9.1,8.45,7.33,,6.26,,0.81,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
