Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,24.25,54.56,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,50.78,0.98,,53.11,6.26,0.74,0.61,144.58,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.65,26.2,22.71,30.06,25.56,22.35,6.24,6.56,3.82,0.54,21.81,3.41,0.65,25.6,15.59,4.82,2.37,133.79,54.39,17.3,,21.75,,22.9,7.04,30,27.75,2.31,6.52,,0.89,1.87,,29.9,5.76,1.29,,,23.71,29.9,2.14,2.22,26.87,1.37,13.03,74.15,18.1,23.78,,16.15,,3.11,46.64,,,10,33913792728.0,Medical Specialties,Health Technology
AA,22.35,68.75,1.4,10.2,,,,,75.95,5.9,78.3,0.98,,72.58,1.37,0.44,0.55,41.3,1.55,79.98,58.53,26.31,10.94,0.65,,,0.98,,51.29,,9.45,6.11,1.1,1.12,,0.27,,,0.98,16.11,,,3.15,39.94,8.14,,,,,,1.9,,,,0.7,,,,,,,,,,22.43,,,1.82,1.99,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,62.55,,10.4,,,,,597.78,27,68.57,,,64.84,0.66,0.34,0.21,12.03,0.6,20.92,21.96,14.01,19.76,,,,,19.44,19.44,,10.4,6.21,0.69,0.73,5.14,,,,,6.12,,,4.04,16.43,20.23,1.4,,,,5.34,,,12.45,,0.16,,,,,,,0.36,,,3.84,,,,,0.5,,5.17,4.89,,,12.18,,40.11,8.99,,,8,8696254174.0,Airlines,Transportation
AAP,,43.51,3.6,,26,,,,,8.9,61.69,53.66,,50.37,1.72,0.09,0.12,39.47,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.51,128.1,16.38,16.58,21.86,10.48,0.52,0.52,0.78,0.21,3.13,14.96,2.51,14.48,6.97,82.69,,147.32,39.48,0.41,,,,0.3,0.9,3947,3947,,0.22,,,,,6.65,19.93,0.19,,,4.34,14.29,,0.35,2.27,0.3,,0.91,0.64,,,0.32,,,5.27,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.41,58.24,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,65.93,0.58,28.84,60.62,10.3,0.47,0.61,233.8,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.42,28.7,26.32,34.1,26.57,24.35,8.35,9.23,3.48,0.2,27.06,2.93,0.43,31.27,19.8,11.14,6.1,185.48,45.96,120.35,,26.44,,31.27,53.39,35.59,35.59,2.11,9.42,,1.47,1.65,,34.8,9.19,2.18,,,32.12,37.48,2.05,2.64,53.39,0.91,29.81,269.91,59,151.08,,35.41,,3.18,51.51,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,45.98,60.46,,,9.7,8.1,22.2,18.4,28.45,8.5,77.97,5.95,30.05,65.49,0.74,0.99,0.07,27.79,1.84,,145.05,6.23,6.69,1.44,,1.49,4.84,24.07,12.7,23.32,,,,7.31,4.15,0.4,31.33,8.24,4.85,39.14,8.08,,2.88,27.06,62.62,1.87,,15.39,,27.37,1.42,31.22,31.22,13.57,4.72,,2.71,1.32,12.23,15.27,1.41,0.61,,,10.4,20.81,,1.24,1.44,1.84,2.29,628.91,4.67,5.7,,4.27,,3.75,34.31,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,31.26,55.01,,,7.8,9.6,49.1,7.4,26.06,3.8,63.02,5.24,20.13,56.38,2.04,0.31,0.19,191.86,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.21,42.11,22.28,22.67,14.81,14.42,6.89,7.33,2.37,0.05,32.33,5.25,3.25,15.9,20.09,7.1,4.99,146.79,62.76,5.48,,9.71,,24.95,49.96,63.95,17.93,1.16,6.28,,0.8,0.63,,19.33,,1.41,,,18.47,32.63,1.25,1.72,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,41.62,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.12,,8.7,,,,,,,44.45,,,45.86,1.87,9.52,9.3,2.55,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.27,,0.79,,,,,,,32.02,1.06,,,,,,,0.68,,,,22.55,,,,,,,,2.05,1.6,,,,,0.77,10.96,,,,,,,,0.73,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,46.49,,2.2,20.8,5.4,3.2,9.8,60.73,11,36.94,10.5,,42.44,3.71,0.44,4.44,2.28,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.61,8.89,6.65,9.4,8.74,6.71,2.13,2.13,11.25,0.66,25.65,11.43,6.61,12.46,14.56,4.92,6.6,2.66,50.83,7.5,,17.86,,24.06,2.07,12.53,12,2.45,2.47,,,,,9.8,1.68,0.46,,,7.7,10.9,1.77,0.73,4.75,0.79,10.57,68.13,19.18,16.5,,16.25,,5.99,12,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,4.38,47.12,,50.3,,28.2,37.8,,8.08,24,47.15,,3.06,46.63,2.67,0.03,0.02,225.83,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.82,11.71,,10.79,9.88,0.54,0.61,7.8,0.32,,,,7.79,30.6,,6.45,260.29,17.75,4.56,,2.51,,6.31,1.35,11.59,7.81,0.24,0.29,,0.25,,,,,0.99,,,41.48,,0.31,0.52,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.35,,,10,4632090814.999999,Specialty Stores,Retail Trade
